latitude,longitude,brightness,acq_date,acq_time,daynight,type
-8.3225,16.109,311.2,2001-01-01,935,D,0
-9.4795,13.9886,300.8,2001-01-01,2152,N,0
-9.5971,14.054,312.8,2001-01-02,1018,D,0
-9.5917,14.0601,314.7,2001-01-02,1018,D,0
-7.4348,13.0757,315.9,2001-01-04,1005,D,0
-7.4308,13.0697,314.2,2001-01-04,1005,D,0
-7.641,13.6927,311.5,2001-01-04,1005,D,0
-14.7206,13.0734,319.2,2001-01-05,912,D,0
-6.277,12.9215,318.4,2001-01-06,953,D,0
-6.665,13.4409,311.3,2001-01-06,953,D,0
-15.554,18.288,300.8,2001-01-07,2113,N,0
-6.6506,15.4214,318.2,2001-01-08,940,D,0
-6.6519,15.4306,310.7,2001-01-08,940,D,0
-6.1385,15.5691,314.6,2001-01-08,940,D,0
-6.1398,15.5783,330.8,2001-01-08,940,D,0
-6.1489,15.5771,328.8,2001-01-08,940,D,0
-6.6415,15.4227,313.6,2001-01-08,940,D,0
-8.2201,15.7072,317.2,2001-01-08,941,D,0
-9.4804,13.9937,331.0,2001-01-08,941,D,0
-9.8566,13.6737,318.6,2001-01-08,941,D,0
-11.8476,14.0105,333.6,2001-01-08,942,D,0
-11.8489,14.0197,330.1,2001-01-08,942,D,0
-12.9184,13.8423,325.7,2001-01-08,942,D,0
-12.9262,13.8352,324.1,2001-01-08,942,D,0
-13.7275,13.6522,325.2,2001-01-08,942,D,0
-7.3566,13.4299,310.6,2001-01-08,2158,N,0
-16.756,14.3364,335.6,2001-01-10,931,D,0
-9.153,13.3875,307.2,2001-01-15,2203,N,0
-9.1547,13.3768,327.0,2001-01-15,2203,N,0
-9.1512,13.3809,323.7,2001-01-15,2203,N,0
-9.1528,13.3702,308.1,2001-01-15,2203,N,0
-16.1763,14.8722,328.4,2001-01-17,936,D,0
-6.4637,13.3608,300.1,2001-01-17,2152,N,0
-6.465,13.3518,306.8,2001-01-17,2152,N,0
-15.2968,21.1815,314.0,2001-01-19,924,D,0
-15.9863,14.4288,320.3,2001-01-20,1007,D,0
-9.5063,14.03,320.3,2001-01-24,941,D,0
-10.2549,17.0512,304.3,2001-01-24,941,D,0
-9.5702,16.2816,325.6,2001-01-26,929,D,0
-12.6894,22.4935,303.2,2001-01-26,929,D,0
-9.2507,13.4456,322.9,2001-01-27,1011,D,0
-9.2558,13.4387,319.8,2001-01-27,1011,D,0
-9.0869,13.5383,320.3,2001-01-28,916,D,0
-8.8233,13.6394,328.7,2001-01-31,947,D,0
-9.1708,13.7601,322.6,2001-01-31,947,D,0
-9.1722,13.7697,323.8,2001-01-31,947,D,0
-9.4347,13.9887,331.4,2001-01-31,947,D,0
-9.6178,14.2475,304.5,2001-01-31,2203,N,0
-6.1492,14.7098,301.0,2001-01-31,2204,N,0
-6.1513,14.6961,300.3,2001-01-31,2204,N,0
-6.1498,14.7044,306.4,2001-01-31,2204,N,0
-7.7051,21.5205,305.1,2001-02-02,934,D,0
-7.7075,21.5144,304.6,2001-02-02,934,D,0
-8.3394,21.1724,324.3,2001-02-02,934,D,0
-9.6305,16.3814,336.1,2001-02-02,935,D,0
-9.6004,16.0447,326.3,2001-02-02,935,D,0
-9.6017,16.0539,318.7,2001-02-02,935,D,0
-9.5942,14.0381,310.4,2001-02-03,1018,D,0
-11.2229,23.2835,304.8,2001-02-06,910,D,0
-8.9884,17.6528,309.7,2001-02-07,953,D,0
-8.4525,15.6891,351.5,2001-02-11,928,D,0
-9.6933,16.3548,320.4,2001-02-11,928,D,0
-9.4828,13.9679,330.3,2001-02-11,929,D,0
-9.4852,13.9726,326.1,2001-02-11,929,D,0
-9.6811,15.533,323.8,2001-02-11,929,D,0
-16.728,14.26,345.7,2001-02-11,930,D,0
-16.7294,14.2695,338.8,2001-02-11,930,D,0
-8.9996,16.0272,313.2,2001-02-12,1011,D,0
-9.0028,16.0201,311.3,2001-02-12,1011,D,0
-9.6283,15.5178,319.2,2001-02-14,959,D,0
-10.8548,13.8787,317.9,2001-02-14,959,D,0
-9.042,15.3365,307.7,2001-02-15,904,D,0
-12.6024,13.8226,311.7,2001-02-16,948,D,0
-8.1037,21.1774,308.1,2001-02-20,922,D,0
-10.2469,17.0716,311.9,2001-02-20,922,D,0
-6.0895,13.8806,309.7,2001-02-23,952,D,0
-7.8062,21.6634,315.2,2001-02-24,857,D,0
-7.9354,17.0292,312.6,2001-02-25,940,D,0
-10.8598,15.9833,307.7,2001-02-25,941,D,0
-16.4189,12.1051,332.7,2001-02-28,1013,D,0
-7.8047,19.3575,313.5,2001-03-01,915,D,0
-7.5911,21.5577,313.3,2001-03-06,933,D,0
-7.0532,15.9255,311.9,2001-03-06,933,D,0
-7.5511,16.4369,319.5,2001-03-06,933,D,0
-7.5524,16.4461,316.6,2001-03-06,933,D,0
-7.6257,16.8868,322.9,2001-03-06,933,D,0
-7.8387,17.1519,319.1,2001-03-06,933,D,0
-7.9074,17.2529,321.2,2001-03-06,933,D,0
-7.9088,17.2625,327.2,2001-03-06,933,D,0
-7.885,16.965,321.4,2001-03-06,933,D,0
-9.2318,19.6993,310.0,2001-03-06,934,D,0
-7.3335,16.9952,316.7,2001-03-18,957,D,0
-7.6725,16.745,310.2,2001-03-18,957,D,0
-7.6648,16.7395,310.4,2001-03-18,957,D,0
-6.7744,12.6726,316.3,2001-03-20,945,D,0
-7.9165,17.0823,304.9,2001-03-24,921,D,0
-8.0241,17.06,309.6,2001-03-24,921,D,0
-6.1424,12.3702,316.2,2001-03-25,1003,D,0
-7.2853,13.944,312.2,2001-03-25,1003,D,0
-6.2076,12.9006,318.1,2001-04-07,932,D,0
-7.4462,16.5298,327.0,2001-04-07,932,D,0
-8.7698,18.0021,312.3,2001-04-09,920,D,0
-5.3917,12.2128,315.1,2001-04-10,1003,D,0
-9.3189,13.1529,314.1,2001-04-10,1004,D,0
-7.0543,15.1043,315.7,2001-04-14,938,D,0
-7.2537,14.5122,311.1,2001-04-14,938,D,0
-7.2576,14.5392,313.3,2001-04-14,938,D,0
-7.3859,14.2855,329.9,2001-04-14,939,D,0
-7.3872,14.2945,316.3,2001-04-14,939,D,0
-8.5212,20.2703,311.9,2001-04-14,939,D,0
-7.7121,14.1862,303.1,2001-04-14,939,D,0
-7.7443,15.2914,311.0,2001-04-17,1009,D,0
-7.8269,15.27,309.9,2001-04-17,1009,D,0
-7.8874,15.287,307.3,2001-04-17,1009,D,0
-7.9957,15.3008,306.7,2001-04-17,1009,D,0
-8.1955,15.3991,308.2,2001-04-17,1009,D,0
-8.1881,15.3946,309.5,2001-04-17,1009,D,0
-7.7978,21.433,312.3,2001-04-18,914,D,0
-7.2747,15.2903,315.0,2001-04-18,914,D,0
-8.4022,18.3632,311.4,2001-04-18,914,D,0
-8.5653,18.7058,318.9,2001-04-18,914,D,0
-8.9963,20.4941,311.8,2001-04-18,914,D,0
-9.116,20.812,322.1,2001-04-18,914,D,0
-12.8335,21.4315,317.4,2001-04-18,915,D,0
-12.843,21.4301,312.8,2001-04-18,915,D,0
-14.9982,20.2799,318.3,2001-04-18,916,D,0
-7.7501,17.3018,307.4,2001-04-19,957,D,0
-7.9154,17.0631,310.0,2001-04-19,957,D,0
-7.9187,17.0882,306.2,2001-04-19,957,D,0
-8.5534,18.6802,305.1,2001-04-19,957,D,0
-9.0294,17.3538,313.3,2001-04-19,957,D,0
-9.0291,17.3485,310.7,2001-04-19,957,D,0
-6.703,15.0367,308.7,2001-04-19,957,D,0
-7.4632,21.1461,308.7,2001-04-20,902,D,0
-8.0165,21.3112,311.2,2001-04-20,902,D,0
-9.1845,21.0175,325.4,2001-04-20,902,D,0
-9.376,19.9481,309.9,2001-04-20,902,D,0
-9.3771,19.9534,312.8,2001-04-20,902,D,0
-9.7919,20.182,311.7,2001-04-20,902,D,0
-8.3186,20.6466,324.2,2001-04-23,932,D,0
-8.6252,20.376,315.8,2001-04-23,932,D,0
-8.6347,20.3592,313.6,2001-04-23,932,D,0
-8.6367,20.3744,320.8,2001-04-23,932,D,0
-8.9887,18.52,306.8,2001-04-23,933,D,0
-8.9903,18.5315,309.9,2001-04-23,933,D,0
-9.6769,21.2548,311.2,2001-04-23,933,D,0
