latitude,longitude,brightness,acq_date,acq_time,daynight,type
10.375,13.8239,322.8,2001-01-01,930,D,0
9.9492,15.3993,322.7,2001-01-01,930,D,0
8.9811,14.5803,319.0,2001-01-01,930,D,0
9.1042,13.3711,322.7,2001-01-01,930,D,0
9.1019,13.3888,322.2,2001-01-01,930,D,0
9.0992,13.3817,327.1,2001-01-01,930,D,0
8.7247,14.7072,325.8,2001-01-01,930,D,0
8.7237,14.7003,325.8,2001-01-01,930,D,0
8.8526,13.0983,317.1,2001-01-01,930,D,0
8.8618,12.9233,315.4,2001-01-01,930,D,0
8.8593,12.9426,319.0,2001-01-01,930,D,0
8.8611,13.1126,320.5,2001-01-01,930,D,0
8.8591,12.9366,322.9,2001-01-01,930,D,0
8.612,13.3249,323.3,2001-01-01,930,D,0
8.5446,13.6478,328.9,2001-01-01,930,D,0
8.5775,13.3026,322.3,2001-01-01,930,D,0
8.5706,13.3553,333.5,2001-01-01,930,D,0
8.5683,13.3729,342.3,2001-01-01,930,D,0
8.5652,13.3009,320.0,2001-01-01,930,D,0
8.4728,13.6827,338.9,2001-01-01,930,D,0
8.2411,14.984,322.6,2001-01-01,930,D,0
8.2375,14.9774,320.2,2001-01-01,930,D,0
8.4558,13.2205,322.7,2001-01-01,930,D,0
8.4458,13.2013,323.5,2001-01-01,930,D,0
8.4434,13.2191,328.5,2001-01-01,930,D,0
8.4576,12.9191,325.6,2001-01-01,930,D,0
8.2479,14.0783,317.8,2001-01-01,930,D,0
8.1358,14.2266,318.2,2001-01-01,931,D,0
8.0698,14.5429,327.4,2001-01-01,931,D,0
8.0679,14.5566,318.0,2001-01-01,931,D,0
8.0588,14.5412,321.0,2001-01-01,931,D,0
7.9836,14.8531,328.5,2001-01-01,931,D,0
7.9818,14.866,329.1,2001-01-01,931,D,0
7.9788,14.8588,334.6,2001-01-01,931,D,0
8.0987,13.7423,388.7,2001-01-01,931,D,0
8.0965,13.7583,361.8,2001-01-01,931,D,0
8.0869,13.7407,356.0,2001-01-01,931,D,0
8.0848,13.7567,323.6,2001-01-01,931,D,0
8.0261,13.7493,337.0,2001-01-01,931,D,0
8.024,13.7655,317.1,2001-01-01,931,D,0
8.0031,14.0283,316.6,2001-01-01,931,D,0
8.0307,13.7438,315.4,2001-01-01,931,D,0
8.0189,13.7424,342.6,2001-01-01,931,D,0
8.1797,12.2473,334.0,2001-01-01,931,D,0
7.6032,15.4176,324.1,2001-01-01,931,D,0
7.9176,12.3653,315.5,2001-01-01,931,D,0
7.4466,15.2252,317.0,2001-01-01,931,D,0
7.7395,12.8231,320.8,2001-01-01,931,D,0
7.7372,12.8404,323.9,2001-01-01,931,D,0
7.59,13.4431,314.9,2001-01-01,931,D,0
7.4662,14.3474,317.3,2001-01-01,931,D,0
7.4643,14.3613,323.0,2001-01-01,931,D,0
7.4551,14.346,326.3,2001-01-01,931,D,0
7.4533,14.3595,334.5,2001-01-01,931,D,0
7.6125,13.0918,313.6,2001-01-01,931,D,0
7.5799,13.3367,334.9,2001-01-01,931,D,0
7.5679,13.3351,319.3,2001-01-01,931,D,0
7.2787,14.9597,342.0,2001-01-01,931,D,0
7.268,14.9591,340.9,2001-01-01,931,D,0
7.1774,15.0294,318.6,2001-01-01,931,D,0
7.4327,12.7814,318.1,2001-01-01,931,D,0
7.4548,12.5087,320.6,2001-01-01,931,D,0
7.4288,12.7935,319.3,2001-01-01,931,D,0
7.4528,12.5224,319.6,2001-01-01,931,D,0
7.3621,13.0061,313.4,2001-01-01,931,D,0
7.2845,12.6138,323.4,2001-01-01,931,D,0
7.2842,12.6079,319.2,2001-01-01,931,D,0
6.7326,14.5296,322.0,2001-01-01,931,D,0
6.7281,14.536,322.8,2001-01-01,931,D,0
6.4979,13.5405,315.1,2001-01-01,931,D,0
6.3519,12.162,320.9,2001-01-01,931,D,0
6.082,13.5787,311.5,2001-01-01,931,D,0
6.237,12.2416,320.4,2001-01-01,931,D,0
6.146,12.8339,325.1,2001-01-01,931,D,0
6.1438,12.851,312.2,2001-01-01,931,D,0
6.238,12.2358,321.2,2001-01-01,931,D,0
6.1426,12.8275,318.0,2001-01-01,931,D,0
6.1402,12.8447,321.3,2001-01-01,931,D,0
6.1328,12.8082,339.3,2001-01-01,931,D,0
6.1157,12.8412,318.9,2001-01-01,931,D,0
6.0603,12.9755,311.2,2001-01-01,931,D,0
6.13,12.2609,323.2,2001-01-01,931,D,0
6.1311,12.254,318.9,2001-01-01,931,D,0
6.1284,12.2736,314.1,2001-01-01,931,D,0
6.0567,12.2244,318.8,2001-01-01,931,D,0
6.0515,12.2635,316.8,2001-01-01,931,D,0
5.7884,14.1356,316.6,2001-01-01,931,D,0
5.7866,14.1488,327.1,2001-01-01,931,D,0
6.0576,12.2183,319.3,2001-01-01,931,D,0
5.785,14.1427,326.5,2001-01-01,931,D,0
6.0217,12.1936,325.3,2001-01-01,931,D,0
5.704,14.2442,318.9,2001-01-01,931,D,0
5.7021,14.2578,320.4,2001-01-01,931,D,0
6.297,9.5367,309.0,2001-01-01,931,D,0
6.2458,9.8179,309.1,2001-01-01,931,D,0
6.3043,9.5319,309.1,2001-01-01,931,D,0
6.2512,9.8116,310.5,2001-01-01,931,D,0
5.6924,13.7457,310.7,2001-01-01,931,D,0
5.9447,10.4037,311.6,2001-01-01,931,D,0
5.3373,14.0645,313.3,2001-01-01,931,D,0
5.2286,14.4433,314.1,2001-01-01,931,D,0
5.4774,11.6697,325.4,2001-01-01,931,D,0
5.479,11.6843,311.4,2001-01-01,931,D,0
5.4686,11.662,311.8,2001-01-01,931,D,0
4.7123,14.1196,320.1,2001-01-01,931,D,0
4.7015,14.118,314.6,2001-01-01,931,D,0
5.6667,12.3442,309.9,2001-01-01,2156,N,0
5.8936,12.1961,332.1,2001-01-01,2156,N,0
5.8923,12.1865,312.6,2001-01-01,2156,N,0
6.2525,11.3364,304.4,2001-01-01,2156,N,0
6.2512,11.3273,328.0,2001-01-01,2156,N,0
6.3178,11.0808,323.1,2001-01-01,2156,N,0
6.346,10.8865,303.1,2001-01-01,2156,N,0
6.4452,11.3985,320.8,2001-01-01,2156,N,0
6.4542,11.3972,300.6,2001-01-01,2156,N,0
6.4224,11.1701,304.1,2001-01-01,2156,N,0
6.4736,11.4038,305.9,2001-01-01,2156,N,0
6.4283,10.2394,300.6,2001-01-01,2156,N,0
6.9273,13.573,302.0,2001-01-01,2156,N,0
6.674,11.654,304.6,2001-01-01,2156,N,0
6.6727,11.6447,303.8,2001-01-01,2156,N,0
7.1376,14.8963,300.5,2001-01-01,2156,N,0
7.2004,12.5226,302.0,2001-01-01,2156,N,0
7.825,12.817,301.5,2001-01-01,2156,N,0
7.85,12.8558,305.0,2001-01-01,2156,N,0
8.0959,13.7662,301.6,2001-01-01,2156,N,0
8.007,12.2672,301.0,2001-01-01,2156,N,0
8.0178,12.276,307.8,2001-01-01,2156,N,0
8.2737,13.2747,304.3,2001-01-01,2156,N,0
8.4683,12.8972,303.8,2001-01-01,2156,N,0
8.6192,13.3453,307.1,2001-01-01,2157,N,0
11.7541,14.6198,318.3,2001-01-02,1012,D,0
11.7512,14.6369,318.5,2001-01-02,1012,D,0
11.3908,14.5863,322.1,2001-01-02,1012,D,0
11.1233,15.0084,318.1,2001-01-02,1012,D,0
10.7304,14.9115,331.6,2001-01-02,1013,D,0
10.6088,13.7397,332.3,2001-01-02,1013,D,0
9.36,14.0552,318.1,2001-01-02,1013,D,0
8.7119,14.1559,328.5,2001-01-02,1013,D,0
8.6997,14.154,333.6,2001-01-02,1013,D,0
8.4772,14.952,321.4,2001-01-02,1013,D,0
8.4717,14.744,340.4,2001-01-02,1013,D,0
8.4701,14.7574,320.7,2001-01-02,1013,D,0
8.526,14.1675,324.7,2001-01-02,1013,D,0
8.5137,14.1656,342.2,2001-01-02,1013,D,0
8.5108,14.1836,325.2,2001-01-02,1013,D,0
8.5015,14.1636,323.7,2001-01-02,1013,D,0
8.6244,13.3337,320.6,2001-01-02,1013,D,0
8.3766,14.7629,334.7,2001-01-02,1013,D,0
8.3732,14.7831,324.7,2001-01-02,1013,D,0
8.3782,14.7576,323.2,2001-01-02,1013,D,0
8.375,14.7778,329.2,2001-01-02,1013,D,0
8.301,14.664,315.8,2001-01-02,1013,D,0
8.5163,13.2246,317.7,2001-01-02,1013,D,0
8.5092,13.2697,322.2,2001-01-02,1013,D,0
8.5309,12.9852,318.5,2001-01-02,1013,D,0
8.547,12.8118,322.3,2001-01-02,1013,D,0
8.2222,14.6642,317.9,2001-01-02,1013,D,0
8.2127,14.6422,317.9,2001-01-02,1013,D,0
8.2094,14.662,371.5,2001-01-02,1013,D,0
8.2106,14.6566,365.0,2001-01-02,1013,D,0
8.2074,14.6764,333.5,2001-01-02,1013,D,0
