latitude,longitude,brightness,acq_date,acq_time,daynight,type
21.8081,17.4362,328.7,2001-01-01,927,D,0
11.7776,19.7449,320.2,2001-01-01,929,D,0
11.7687,19.7436,326.0,2001-01-01,929,D,0
11.7837,19.5793,330.9,2001-01-01,929,D,0
11.7747,19.5779,325.0,2001-01-01,929,D,0
11.5697,20.8343,318.5,2001-01-01,929,D,0
11.7354,19.5351,342.5,2001-01-01,929,D,0
11.7341,19.5442,363.3,2001-01-01,929,D,0
11.7327,19.5532,330.6,2001-01-01,929,D,0
11.7288,19.5804,325.0,2001-01-01,929,D,0
11.7274,19.5895,331.8,2001-01-01,929,D,0
11.7252,19.5364,331.0,2001-01-01,929,D,0
11.6984,19.5325,329.9,2001-01-01,929,D,0
11.6832,19.5117,348.3,2001-01-01,929,D,0
11.6743,19.5104,333.0,2001-01-01,929,D,0
11.673,19.5195,327.5,2001-01-01,929,D,0
11.4619,20.4467,321.8,2001-01-01,929,D,0
11.204,20.9359,325.2,2001-01-01,929,D,0
11.1703,20.7329,326.8,2001-01-01,929,D,0
10.9427,22.1706,333.4,2001-01-01,929,D,0
10.9411,22.1812,322.2,2001-01-01,929,D,0
11.4481,18.5897,318.4,2001-01-01,929,D,0
11.0375,21.1176,327.7,2001-01-01,929,D,0
10.9796,21.4498,324.3,2001-01-01,929,D,0
10.9703,21.4484,330.2,2001-01-01,929,D,0
11.1179,20.0351,348.2,2001-01-01,929,D,0
11.1166,20.0442,328.9,2001-01-01,929,D,0
11.1071,20.1077,325.2,2001-01-01,929,D,0
11.0337,20.5359,322.4,2001-01-01,930,D,0
11.0323,20.5451,319.5,2001-01-01,930,D,0
10.9778,20.7868,321.6,2001-01-01,930,D,0
10.8796,21.1891,326.8,2001-01-01,930,D,0
11.3389,17.7483,325.7,2001-01-01,930,D,0
10.9079,20.5139,342.2,2001-01-01,930,D,0
11.1824,18.581,317.5,2001-01-01,930,D,0
10.9938,19.8748,319.4,2001-01-01,930,D,0
10.7331,21.4197,327.1,2001-01-01,930,D,0
10.9014,20.2506,333.7,2001-01-01,930,D,0
10.7238,21.4183,340.4,2001-01-01,930,D,0
11.467,15.7884,317.0,2001-01-01,930,D,0
11.1299,18.2396,321.9,2001-01-01,930,D,0
10.8268,20.317,322.0,2001-01-01,930,D,0
10.8254,20.3261,327.4,2001-01-01,930,D,0
10.8165,20.3248,321.1,2001-01-01,930,D,0
10.7917,20.49,346.0,2001-01-01,930,D,0
10.7903,20.4993,342.4,2001-01-01,930,D,0
10.7889,20.5085,327.3,2001-01-01,930,D,0
10.7763,20.0985,325.8,2001-01-01,930,D,0
10.775,20.1076,326.1,2001-01-01,930,D,0
10.7674,20.0972,323.8,2001-01-01,930,D,0
