latitude,longitude,brightness,acq_date,acq_time,daynight,type
42.8256,130.1678,304.2,2001-03-02,308,D,0
42.7506,130.1418,303.5,2001-03-08,231,D,0
42.7488,130.1539,304.7,2001-03-08,231,D,0
38.1904,126.9393,310.4,2001-03-10,220,D,0
42.7496,130.1296,306.4,2001-03-11,302,D,0
42.7444,130.1533,308.7,2001-03-11,302,D,0
39.219,127.3155,306.6,2001-03-12,208,D,0
42.7911,130.1708,301.2,2001-03-13,249,D,0
42.76,130.108,302.9,2001-03-13,249,D,0
42.7531,130.088,312.7,2001-03-13,249,D,0
42.7403,130.1682,304.4,2001-03-16,320,D,0
38.9969,127.7229,308.4,2001-03-18,309,D,0
38.9985,127.7167,311.3,2001-03-18,309,D,0
41.2268,129.5383,306.4,2001-03-19,213,D,0
39.0494,127.4689,313.7,2001-03-19,214,D,0
38.9183,127.5365,314.3,2001-03-19,214,D,0
42.3631,129.4807,307.8,2001-03-19,1319,N,0
40.0461,127.4403,327.0,2001-03-20,256,D,0
40.0432,127.4561,308.3,2001-03-20,256,D,0
39.91,124.425,300.1,2001-03-20,256,D,0
38.1093,125.0209,308.5,2001-03-20,257,D,0
38.1071,125.0336,306.6,2001-03-20,257,D,0
39.3212,127.1409,310.5,2001-03-20,1401,N,0
38.6038,127.3816,326.9,2001-03-21,201,D,0
38.5962,127.3744,341.2,2001-03-21,202,D,0
38.5941,127.4033,309.4,2001-03-21,202,D,0
38.5605,125.3445,314.7,2001-03-21,1444,N,0
38.5618,125.3362,315.8,2001-03-21,1444,N,0
41.0212,129.3736,303.9,2001-03-22,244,D,0
40.5786,128.7611,301.7,2001-03-22,244,D,0
40.5099,129.0999,306.8,2001-03-22,244,D,0
40.5071,129.0924,308.4,2001-03-22,244,D,0
40.0124,127.9334,309.6,2001-03-22,244,D,0
39.4997,126.0042,306.1,2001-03-22,244,D,0
38.5309,127.6742,301.1,2001-03-22,244,D,0
38.4547,128.0666,308.6,2001-03-22,244,D,0
38.4525,128.0791,320.2,2001-03-22,244,D,0
38.4486,128.0715,324.4,2001-03-22,244,D,0
38.3723,127.5687,307.7,2001-03-22,244,D,0
38.361,127.5786,305.5,2001-03-22,244,D,0
38.2187,126.8051,308.8,2001-03-22,245,D,0
38.2168,126.8168,312.5,2001-03-22,245,D,0
38.1702,126.7627,331.9,2001-03-22,245,D,0
38.1683,126.7744,312.9,2001-03-22,245,D,0
38.283,125.4846,305.1,2001-03-22,245,D,0
38.0873,125.8056,300.7,2001-03-22,245,D,0
38.1014,125.0231,306.7,2001-03-22,245,D,0
42.7977,129.8688,305.6,2001-03-23,148,D,0
42.7958,129.9052,315.4,2001-03-23,148,D,0
40.9234,129.178,315.7,2001-03-23,149,D,0
40.9084,129.1763,311.9,2001-03-23,149,D,0
40.9102,129.1698,326.0,2001-03-23,149,D,0
40.9524,128.8514,308.7,2001-03-24,232,D,0
40.0781,127.5785,336.4,2001-03-24,232,D,0
