latitude,longitude,brightness,acq_date,acq_time,daynight,type
5.1395,27.2167,321.3,2001-01-01,931,D,0
5.3226,25.4156,328.2,2001-01-01,931,D,0
5.1876,25.6867,323.1,2001-01-01,931,D,0
5.1783,25.7041,321.6,2001-01-01,931,D,0
4.9355,24.224,314.9,2001-01-01,931,D,0
4.2599,20.4661,323.1,2001-01-01,931,D,0
4.2583,20.4763,346.5,2001-01-01,931,D,0
4.9305,24.2349,311.0,2001-01-01,931,D,0
5.1859,25.4717,313.3,2001-01-01,931,D,0
4.7567,24.6037,316.7,2001-01-01,931,D,0
4.7056,24.5958,315.3,2001-01-01,931,D,0
5.1838,25.7104,322.1,2001-01-01,931,D,0
5.1825,25.4942,356.7,2001-01-01,931,D,0
4.7025,24.6152,328.6,2001-01-01,931,D,0
4.7035,24.6087,324.0,2001-01-01,931,D,0
5.0014,25.5288,320.9,2001-01-01,931,D,0
5.0672,19.3808,322.6,2001-01-01,931,D,0
4.6112,19.6622,364.7,2001-01-01,931,D,0
5.3152,25.4077,326.2,2001-01-01,931,D,0
5.1795,25.4763,331.5,2001-01-01,931,D,0
5.0086,25.5244,324.5,2001-01-01,931,D,0
4.6098,19.6717,334.6,2001-01-01,931,D,0
4.5732,19.6663,338.6,2001-01-01,931,D,0
4.8427,26.2162,313.2,2001-01-01,931,D,0
4.4528,20.2803,321.3,2001-01-01,931,D,0
4.4513,20.2902,321.3,2001-01-01,931,D,0
5.1758,25.4988,348.2,2001-01-01,931,D,0
4.7255,26.0101,310.9,2001-01-01,931,D,0
4.4433,20.2789,324.2,2001-01-01,931,D,0
4.4418,20.2888,325.6,2001-01-01,931,D,0
4.7227,26.0042,309.8,2001-01-01,931,D,0
4.4379,19.8928,339.1,2001-01-01,931,D,0
4.4365,19.9023,340.0,2001-01-01,931,D,0
4.9892,25.5159,302.9,2001-01-01,2017,N,0
4.9923,25.511,301.3,2001-01-01,2017,N,0
-5.8158,12.3236,303.2,2001-01-01,2153,N,0
4.6307,19.6764,309.3,2001-01-01,2155,N,0
4.6254,19.67,307.3,2001-01-01,2155,N,0
5.0689,26.6629,320.6,2001-01-02,836,D,0
5.0666,26.6801,328.0,2001-01-02,836,D,0
5.0742,26.675,333.0,2001-01-02,836,D,0
5.0899,25.9136,325.7,2001-01-02,836,D,0
5.0757,25.9249,320.0,2001-01-02,836,D,0
4.3014,29.7904,327.8,2001-01-02,836,D,0
4.9441,25.0538,312.5,2001-01-02,836,D,0
4.9516,25.0487,314.3,2001-01-02,836,D,0
2.547,30.5949,314.6,2001-01-02,836,D,0
1.3949,30.3497,321.1,2001-01-02,837,D,0
4.9243,19.7697,308.5,2001-01-02,2100,N,0
5.0059,19.4086,314.6,2001-01-02,2100,N,0
5.0034,19.3924,302.5,2001-01-02,2100,N,0
3.5861,26.6518,320.0,2001-01-02,2100,N,0
3.5847,26.6422,312.1,2001-01-02,2100,N,0
5.1164,25.8911,303.5,2001-01-02,2100,N,0
4.5696,19.6379,301.1,2001-01-02,2100,N,0
4.6743,19.5656,301.5,2001-01-02,2100,N,0
4.8191,19.9155,306.1,2001-01-02,2100,N,0
4.7169,19.0781,300.3,2001-01-02,2100,N,0
4.7291,19.0766,317.5,2001-01-02,2100,N,0
