latitude,longitude,brightness,acq_date,acq_time,daynight,type
12.0953,42.3099,331.7,2001-03-23,831,D,0
12.0971,42.3034,331.8,2001-03-23,831,D,0
12.0773,42.3289,332.1,2001-03-23,831,D,0
11.9277,42.3288,337.7,2001-04-30,754,D,0
12.3655,42.3566,332.6,2001-05-03,824,D,0
12.336,42.3914,334.2,2001-05-03,824,D,0
12.3323,42.4135,335.5,2001-05-03,824,D,0
12.1172,42.4721,331.6,2001-05-10,830,D,0
11.4081,42.3266,334.7,2001-05-10,831,D,0
11.8624,42.0943,339.6,2001-05-14,806,D,0
11.3928,42.1482,338.6,2001-05-14,806,D,0
11.5885,41.9861,333.1,2001-08-15,733,D,0
11.6222,41.9688,333.5,2001-08-29,745,D,0
12.248,42.6235,335.7,2001-09-05,751,D,0
12.2466,42.6326,336.9,2001-09-05,751,D,0
11.4732,42.2488,336.5,2001-09-05,751,D,0
11.4719,42.2579,336.5,2001-09-05,751,D,0
11.406,42.7124,335.1,2001-09-05,751,D,0
11.3179,42.6842,336.1,2001-09-05,751,D,0
11.2038,42.2008,336.1,2001-09-05,751,D,0
11.1985,42.2373,336.6,2001-09-05,751,D,0
12.3232,42.4212,332.1,2001-09-08,821,D,0
11.4515,42.2998,334.0,2001-09-08,821,D,0
11.4246,42.2945,332.1,2001-09-08,821,D,0
11.4207,42.3172,333.4,2001-09-08,821,D,0
11.4442,42.2919,333.5,2001-09-08,821,D,0
11.8551,42.1031,333.3,2001-09-17,815,D,0
11.7447,42.2113,331.9,2001-09-17,815,D,0
11.4533,42.2992,338.0,2001-09-17,815,D,0
11.4481,42.2917,335.2,2001-09-17,815,D,0
