latitude,longitude,brightness,acq_date,acq_time,daynight,type
13.8445,-89.2418,328.1,2001-01-02,1648,D,0
13.8124,-89.4019,317.1,2001-01-02,1648,D,0
13.6378,-88.8455,318.6,2001-01-02,1648,D,0
13.763,-90.0706,317.6,2001-01-02,1648,D,0
13.6307,-89.7307,319.6,2001-01-02,1648,D,0
13.4138,-89.0759,320.9,2001-01-02,1648,D,0
13.3535,-88.1561,314.4,2001-01-04,421,N,0
13.3521,-88.1656,303.3,2001-01-04,421,N,0
13.3604,-88.6016,305.5,2001-01-04,421,N,0
14.0459,-89.1274,319.2,2001-01-04,1635,D,0
13.7966,-89.4676,322.2,2001-01-04,1635,D,0
13.479,-88.993,312.7,2001-01-04,1635,D,0
13.4753,-89.1328,338.2,2001-01-04,1635,D,0
13.4738,-89.1218,310.1,2001-01-04,1635,D,0
14.0342,-89.6239,316.1,2001-01-07,1706,D,0
13.5161,-88.7963,318.6,2001-01-07,1706,D,0
14.0147,-89.635,316.1,2001-01-09,1653,D,0
13.7188,-89.6313,321.7,2001-01-09,1653,D,0
13.4867,-88.8433,323.1,2001-01-09,1653,D,0
13.4771,-88.7814,323.9,2001-01-09,1653,D,0
14.0654,-89.208,303.6,2001-01-11,427,N,0
14.064,-89.2173,314.1,2001-01-11,427,N,0
13.9745,-89.1306,321.7,2001-01-11,1641,D,0
14.0159,-89.1984,307.0,2001-01-13,415,N,0
13.5607,-89.6768,318.6,2001-01-14,1712,D,0
13.6432,-88.0169,321.3,2001-01-16,1659,D,0
13.6721,-89.6845,319.4,2001-01-16,1659,D,0
13.461,-89.198,320.4,2001-01-16,1659,D,0
13.78,-90.1067,319.8,2001-01-18,1647,D,0
13.3535,-88.159,323.1,2001-01-18,1647,D,0
13.5756,-89.7109,327.5,2001-01-18,1647,D,0
13.5742,-89.7017,321.4,2001-01-18,1647,D,0
13.6006,-88.6362,309.3,2001-01-20,421,N,0
13.4374,-88.1274,323.5,2001-01-20,1635,D,0
14.1097,-89.1155,316.3,2001-01-21,1717,D,0
13.4103,-88.6463,316.1,2001-01-21,1718,D,0
13.4307,-88.8441,330.6,2001-01-21,1718,D,0
13.4257,-88.8164,327.8,2001-01-21,1718,D,0
13.1963,-87.9781,306.3,2001-01-22,408,N,0
14.0571,-89.6886,314.0,2001-01-22,1622,D,0
14.0546,-89.6671,314.7,2001-01-22,1622,D,0
14.0556,-89.6737,319.7,2001-01-22,1622,D,0
13.195,-87.9417,326.8,2001-01-22,1623,D,0
13.4601,-88.7688,314.9,2001-01-23,451,N,0
13.4579,-88.7863,315.1,2001-01-23,451,N,0
13.4643,-88.775,327.7,2001-01-23,451,N,0
13.4622,-88.7926,303.0,2001-01-23,451,N,0
13.574,-89.1285,307.2,2001-01-23,451,N,0
13.5719,-89.1451,303.0,2001-01-23,451,N,0
13.709,-89.9755,304.4,2001-01-23,451,N,0
14.2845,-89.0924,304.2,2001-01-23,452,N,0
13.5131,-88.8281,302.9,2001-01-25,439,N,0
14.2755,-89.0844,313.6,2001-01-25,1653,D,0
14.1052,-89.654,320.6,2001-01-25,1653,D,0
13.7472,-87.7561,316.3,2001-01-25,1653,D,0
14.0178,-89.6248,316.3,2001-01-25,1653,D,0
14.0164,-89.6154,317.7,2001-01-25,1653,D,0
13.9454,-89.9993,319.8,2001-01-25,1653,D,0
13.8538,-89.575,313.4,2001-01-25,1653,D,0
13.5154,-87.782,327.0,2001-01-25,1653,D,0
13.6293,-88.7718,327.0,2001-01-25,1653,D,0
13.5693,-88.7602,322.2,2001-01-25,1653,D,0
13.6525,-89.8318,335.2,2001-01-25,1653,D,0
13.4152,-88.9538,330.3,2001-01-25,1653,D,0
13.4089,-89.0749,349.4,2001-01-25,1653,D,0
13.3996,-89.0764,341.5,2001-01-25,1653,D,0
13.4227,-88.1329,305.6,2001-01-27,427,N,0
14.0574,-89.8221,321.5,2001-01-27,1641,D,0
14.056,-89.8119,323.7,2001-01-27,1641,D,0
13.6451,-88.8539,320.9,2001-01-27,1641,D,0
13.6438,-88.8445,318.7,2001-01-27,1641,D,0
13.3062,-88.5451,333.9,2001-01-27,1641,D,0
14.02,-89.6292,323.4,2001-01-29,1629,D,0
13.5404,-88.2348,344.9,2001-01-29,1629,D,0
13.5388,-88.223,338.0,2001-01-29,1629,D,0
13.4156,-87.9151,320.4,2001-01-29,1629,D,0
13.4141,-87.904,336.9,2001-01-29,1629,D,0
13.4299,-88.1726,333.2,2001-01-29,1629,D,0
13.2685,-88.789,314.7,2001-01-29,1629,D,0
14.0055,-89.1008,318.9,2001-01-30,1711,D,0
13.3927,-88.2581,324.9,2001-01-30,1712,D,0
13.9345,-89.3144,332.0,2001-02-01,1659,D,0
13.9326,-89.3028,325.6,2001-02-01,1659,D,0
13.4253,-89.0762,311.2,2001-02-03,433,N,0
13.4241,-89.0855,302.3,2001-02-03,433,N,0
14.2606,-89.2612,318.6,2001-02-03,1647,D,0
14.0383,-89.8184,325.7,2001-02-03,1647,D,0
