latitude,longitude,brightness,acq_date,acq_time,daynight,type
12.1352,-8.9833,327.9,2001-01-01,1108,D,0
12.1244,-8.9847,323.3,2001-01-01,1108,D,0
12.1319,-8.9904,324.4,2001-01-01,1108,D,0
12.1301,-8.9771,325.3,2001-01-01,1108,D,0
12.147,-9.2672,319.9,2001-01-01,1108,D,0
12.1451,-9.253,319.4,2001-01-01,1108,D,0
12.0974,-9.4023,332.8,2001-01-01,1108,D,0
12.0966,-9.4084,321.3,2001-01-01,1108,D,0
12.0946,-9.3939,326.9,2001-01-01,1108,D,0
12.0084,-9.249,325.9,2001-01-01,1108,D,0
12.0066,-9.2352,321.7,2001-01-01,1108,D,0
12.0415,-9.684,319.8,2001-01-01,1108,D,0
11.9311,-8.8218,319.0,2001-01-01,1108,D,0
11.8939,-9.2425,320.5,2001-01-01,1108,D,0
11.8918,-9.2488,320.7,2001-01-01,1108,D,0
11.8612,-9.4387,323.6,2001-01-01,1108,D,0
11.7554,-9.5915,322.4,2001-01-01,1108,D,0
11.7535,-9.5769,324.3,2001-01-01,1108,D,0
11.7536,-9.5829,325.6,2001-01-01,1108,D,0
11.5952,-9.3347,321.9,2001-01-01,1108,D,0
11.6318,-10.8991,316.6,2001-01-01,1108,D,0
11.4619,-9.5307,320.6,2001-01-01,1108,D,0
11.4594,-9.5233,321.4,2001-01-01,1108,D,0
11.6271,-10.8883,318.2,2001-01-01,1108,D,0
11.4148,-9.3573,318.4,2001-01-01,1108,D,0
11.4375,-9.6138,321.3,2001-01-01,1108,D,0
11.4984,-10.3592,318.5,2001-01-01,1108,D,0
11.4963,-10.3427,317.7,2001-01-01,1108,D,0
11.3892,-10.556,318.3,2001-01-01,1109,D,0
11.3134,-10.2464,325.7,2001-01-01,1109,D,0
11.3032,-10.1669,320.2,2001-01-01,1109,D,0
11.3131,-10.5311,320.8,2001-01-01,1109,D,0
11.3075,-10.5377,320.5,2001-01-01,1109,D,0
11.1489,-9.4249,321.9,2001-01-01,1109,D,0
11.151,-9.5241,318.7,2001-01-01,1109,D,0
11.1491,-9.5101,323.1,2001-01-01,1109,D,0
11.2048,-10.2992,348.7,2001-01-01,1109,D,0
11.1911,-10.2844,322.7,2001-01-01,1109,D,0
11.2096,-10.3054,324.9,2001-01-01,1109,D,0
11.2074,-10.2894,326.5,2001-01-01,1109,D,0
11.1979,-10.307,321.6,2001-01-01,1109,D,0
11.1957,-10.2907,331.4,2001-01-01,1109,D,0
11.1379,-10.1202,318.1,2001-01-01,1109,D,0
10.9966,-9.2983,321.1,2001-01-01,1109,D,0
11.2789,-11.6409,317.3,2001-01-01,1109,D,0
10.8791,-8.489,319.1,2001-01-01,1109,D,0
10.9891,-9.5156,317.2,2001-01-01,1109,D,0
11.1528,-11.1453,336.5,2001-01-01,1109,D,0
11.0987,-10.8475,315.8,2001-01-01,1109,D,0
10.8615,-9.4965,320.1,2001-01-01,1109,D,0
10.9819,-10.6567,317.5,2001-01-01,1109,D,0
10.7026,-9.1532,318.2,2001-01-01,1109,D,0
10.8086,-10.0567,315.1,2001-01-01,1109,D,0
10.8067,-10.0415,315.2,2001-01-01,1109,D,0
10.6202,-8.6897,321.6,2001-01-01,1109,D,0
10.8089,-10.0481,320.7,2001-01-01,1109,D,0
10.6218,-8.6839,322.0,2001-01-01,1109,D,0
10.5543,-9.0144,319.9,2001-01-01,1109,D,0
10.6427,-10.5322,314.0,2001-01-01,1109,D,0
10.3073,-8.1818,318.2,2001-01-01,1109,D,0
10.3267,-8.3989,317.7,2001-01-01,1109,D,0
10.3971,-9.5327,321.0,2001-01-01,1109,D,0
10.3162,-9.0852,325.2,2001-01-01,1109,D,0
10.4025,-9.8326,321.1,2001-01-01,1109,D,0
10.4026,-9.8396,316.5,2001-01-01,1109,D,0
10.4006,-9.8247,314.1,2001-01-01,1109,D,0
10.2157,-8.9383,316.7,2001-01-01,1109,D,0
9.9562,-8.3006,318.1,2001-01-01,1109,D,0
9.7169,-8.2723,315.3,2001-01-01,1109,D,0
9.7928,-9.2059,318.8,2001-01-01,1109,D,0
9.7911,-9.1931,319.1,2001-01-01,1109,D,0
