latitude,longitude,brightness,acq_date,acq_time,daynight,type
38.1965,46.108,301.5,2001-01-01,743,D,0
35.5025,51.7579,306.9,2001-01-01,744,D,0
35.4934,51.756,314.5,2001-01-01,744,D,0
34.4951,51.2794,305.5,2001-01-01,744,D,0
32.4224,51.329,300.7,2001-01-01,745,D,2
32.6614,48.6443,302.5,2001-01-01,745,D,2
32.2403,51.427,305.0,2001-01-01,745,D,2
32.2875,49.0093,301.8,2001-01-01,745,D,0
32.3484,47.7069,316.3,2001-01-01,745,D,2
31.8667,49.1111,300.6,2001-01-01,745,D,0
31.3253,49.2832,305.4,2001-01-01,745,D,2
31.4083,48.6482,320.8,2001-01-01,745,D,2
31.3164,49.2814,313.1,2001-01-01,745,D,2
31.3074,48.7727,310.1,2001-01-01,745,D,2
31.1355,49.3185,310.3,2001-01-01,745,D,2
31.2174,48.4971,310.5,2001-01-01,745,D,2
30.994,49.9471,300.1,2001-01-01,745,D,0
31.073,49.3641,321.2,2001-01-01,745,D,0
31.0714,49.3744,319.0,2001-01-01,745,D,0
30.9499,49.874,311.8,2001-01-01,745,D,2
30.9483,49.8844,304.7,2001-01-01,745,D,2
31.0024,48.7747,305.4,2001-01-01,745,D,0
30.942,49.1878,303.2,2001-01-01,745,D,0
30.5477,50.4972,312.5,2001-01-01,745,D,0
30.546,50.508,330.0,2001-01-01,745,D,0
30.3971,50.6264,301.8,2001-01-01,745,D,2
30.2966,50.7341,303.4,2001-01-01,745,D,0
30.3888,49.8566,303.9,2001-01-01,745,D,2
30.3872,49.867,303.0,2001-01-01,745,D,2
30.2448,50.19,307.5,2001-01-01,745,D,0
30.1518,50.4238,313.6,2001-01-01,745,D,2
30.1171,50.3553,321.5,2001-01-01,745,D,0
30.1155,50.366,311.4,2001-01-01,745,D,0
30.0436,50.6401,305.8,2001-01-01,745,D,2
29.9723,50.7436,303.9,2001-01-01,745,D,0
29.7862,50.5131,303.4,2001-01-01,745,D,2
29.7845,50.5239,304.5,2001-01-01,745,D,2
29.7614,50.3738,306.5,2001-01-01,745,D,2
28.8742,54.1462,303.7,2001-01-01,745,D,0
28.6783,52.0939,302.6,2001-01-01,746,D,0
25.8993,54.5301,334.8,2001-01-01,1844,N,3
30.0372,50.6272,315.5,2001-01-01,1845,N,0
30.2434,50.87,303.9,2001-01-01,1845,N,0
30.9493,49.8805,301.6,2001-01-01,1845,N,2
30.9443,49.876,302.2,2001-01-01,1845,N,2
31.0706,49.3684,316.8,2001-01-01,1845,N,0
31.3233,49.2867,306.9,2001-01-01,1845,N,2
31.3205,49.2714,305.6,2001-01-01,1845,N,2
31.3084,48.7694,306.3,2001-01-01,1845,N,2
29.9939,55.8495,310.5,2001-01-02,650,D,2
29.992,55.8697,311.6,2001-01-02,650,D,0
30.0476,50.6335,307.2,2001-01-02,650,D,0
35.5032,51.7429,300.3,2001-01-02,826,D,0
32.3483,47.703,306.8,2001-01-02,828,D,2
31.3152,49.2853,313.5,2001-01-02,828,D,2
31.3968,48.6597,302.0,2001-01-02,828,D,2
31.4013,48.6541,302.6,2001-01-02,828,D,2
31.309,48.7726,301.2,2001-01-02,828,D,2
31.2037,48.9622,302.6,2001-01-02,828,D,2
29.2132,50.3183,325.8,2001-01-02,1928,N,3
31.3172,49.2846,308.8,2001-01-02,1928,N,2
32.3496,47.7093,302.5,2001-01-02,1929,N,2
32.7794,51.5069,301.2,2001-01-03,732,D,0
32.4282,51.3167,303.9,2001-01-03,732,D,2
32.4177,51.3258,302.4,2001-01-03,732,D,2
32.2387,51.423,305.3,2001-01-03,732,D,2
32.2372,51.4337,300.4,2001-01-03,732,D,2
32.352,47.7123,307.5,2001-01-03,733,D,2
31.4118,48.6495,303.5,2001-01-03,733,D,2
31.4018,48.6479,309.7,2001-01-03,733,D,2
31.3246,49.2859,312.8,2001-01-03,733,D,2
31.315,49.2843,307.6,2001-01-03,733,D,2
31.3054,48.774,312.2,2001-01-03,733,D,2
31.2382,48.9987,305.8,2001-01-03,733,D,0
31.2127,48.9492,308.9,2001-01-03,733,D,2
31.2111,48.9619,303.4,2001-01-03,733,D,2
31.1374,49.3175,303.1,2001-01-03,733,D,2
31.216,48.498,303.7,2001-01-03,733,D,2
31.0695,49.3624,311.2,2001-01-03,733,D,0
31.0679,49.3744,310.8,2001-01-03,733,D,0
30.9938,49.9504,306.5,2001-01-03,733,D,0
30.9468,49.871,304.6,2001-01-03,733,D,2
30.9453,49.8825,317.8,2001-01-03,733,D,2
29.9877,55.8585,305.6,2001-01-03,733,D,2
30.8988,49.6788,312.5,2001-01-03,733,D,2
30.9188,48.8582,311.3,2001-01-03,733,D,2
30.6413,50.2479,306.1,2001-01-03,733,D,0
30.5732,49.9216,310.3,2001-01-03,733,D,2
30.5614,50.0123,302.9,2001-01-03,733,D,0
30.4807,50.4821,302.2,2001-01-03,733,D,0
30.4793,50.493,303.3,2001-01-03,733,D,2
30.3989,50.6153,302.5,2001-01-03,733,D,2
30.3974,50.626,308.4,2001-01-03,733,D,2
30.3491,50.3017,306.2,2001-01-03,733,D,2
30.3887,49.8551,304.7,2001-01-03,733,D,2
30.3872,49.8665,305.8,2001-01-03,733,D,2
30.2941,50.095,304.7,2001-01-03,733,D,0
30.1493,50.4207,310.1,2001-01-03,733,D,2
30.1195,50.5036,323.8,2001-01-03,733,D,0
30.1104,50.5018,326.5,2001-01-03,733,D,0
30.0376,50.6351,306.3,2001-01-03,733,D,2
29.9762,50.748,314.4,2001-01-03,733,D,0
29.7869,50.5175,305.1,2001-01-03,733,D,2
28.87,54.1387,307.1,2001-01-03,733,D,0
28.8682,54.1501,305.9,2001-01-03,733,D,0
31.3163,49.2787,305.8,2001-01-04,1916,N,2
31.3259,49.277,300.9,2001-01-04,1916,N,2
32.426,51.3179,304.3,2001-01-05,720,D,2
32.4244,51.3324,302.1,2001-01-05,720,D,2
32.2418,51.4241,301.8,2001-01-05,720,D,2
