latitude,longitude,brightness,acq_date,acq_time,daynight,type
35.9328,140.6786,309.7,2001-01-02,1254,N,2
40.5357,141.5005,339.7,2001-01-02,1255,N,2
33.2572,131.6421,304.3,2001-01-03,235,D,2
40.5385,141.5029,323.3,2001-01-04,138,D,0
35.9353,140.6823,312.6,2001-01-04,139,D,2
35.9336,140.6771,305.0,2001-01-04,1242,N,2
40.5362,141.5054,308.9,2001-01-06,1231,N,2
40.5346,141.5003,312.7,2001-01-06,1231,N,2
35.3506,139.8726,303.6,2001-01-11,145,D,2
35.349,139.8834,303.6,2001-01-11,145,D,2
35.0285,136.8758,305.0,2001-01-11,145,D,2
35.3503,139.8788,301.4,2001-01-11,1248,N,2
35.0328,136.8744,300.8,2001-01-12,228,D,2
36.4713,139.9578,315.3,2001-01-14,215,D,0
36.4691,139.9516,311.4,2001-01-14,215,D,0
35.9349,140.6758,304.7,2001-01-16,1306,N,2
35.3544,139.8826,302.5,2001-01-18,151,D,0
35.0288,136.8792,306.5,2001-01-18,151,D,2
34.811,137.9143,302.0,2001-01-18,151,D,0
35.9375,140.6797,312.5,2001-01-18,1253,N,2
33.2592,131.6476,310.6,2001-01-23,210,D,2
33.2577,131.6587,300.8,2001-01-23,210,D,2
33.2611,131.6446,300.4,2001-01-28,229,D,2
31.6382,131.3693,300.3,2001-01-28,229,D,0
35.3543,139.8784,303.4,2001-01-29,133,D,0
31.3507,130.9628,310.8,2001-01-30,217,D,0
35.031,136.8704,306.9,2001-01-30,1318,N,2
35.3536,139.8724,300.1,2001-01-31,120,D,2
35.1072,136.8888,300.7,2001-01-31,121,D,0
35.9433,140.6799,300.5,2001-02-03,151,D,2
35.4785,139.7239,303.5,2001-02-03,151,D,0
35.3525,139.8748,302.6,2001-02-03,151,D,2
35.0301,136.875,310.4,2001-02-03,151,D,2
35.0287,136.8714,307.8,2001-02-08,1312,N,2
36.253,139.0993,300.9,2001-02-10,157,D,0
35.9376,140.6854,300.5,2001-02-10,157,D,0
32.9521,131.063,302.2,2001-02-11,241,D,0
32.941,131.0598,315.9,2001-02-11,241,D,0
35.026,136.8788,305.6,2001-02-14,133,D,2
35.0315,136.8805,303.0,2001-02-15,216,D,2
33.2641,131.6463,308.0,2001-02-15,216,D,2
33.2557,131.6381,301.7,2001-02-15,216,D,2
35.0733,137.1352,307.6,2001-02-17,203,D,0
35.0318,136.8802,306.1,2001-02-17,203,D,2
36.2138,139.1833,302.8,2001-02-19,151,D,0
35.3551,139.882,304.8,2001-02-19,151,D,0
35.3017,140.1536,302.0,2001-02-19,151,D,0
35.0242,136.874,309.0,2001-02-19,151,D,2
35.0297,136.8701,301.5,2001-02-19,1253,N,2
36.2926,139.5205,302.0,2001-02-20,233,D,0
36.2969,139.2641,301.8,2001-02-21,138,D,0
36.0726,139.3578,303.0,2001-02-21,138,D,0
35.3519,139.879,303.2,2001-02-21,139,D,2
35.0264,136.8851,307.5,2001-02-22,221,D,2
34.1679,131.2188,304.0,2001-02-22,222,D,0
35.0287,136.8766,311.8,2001-02-23,126,D,2
35.8545,140.5589,302.7,2001-02-26,157,D,0
35.8521,140.5724,300.4,2001-02-26,157,D,0
35.7391,139.4246,300.3,2001-02-26,157,D,0
35.6872,139.3864,311.6,2001-02-26,157,D,0
35.4743,139.7183,300.0,2001-02-26,157,D,0
35.0755,137.1312,302.4,2001-02-26,157,D,0
35.0666,137.1292,302.3,2001-02-26,157,D,0
35.0297,136.8805,303.2,2001-02-26,157,D,2
35.0224,136.8678,307.5,2001-02-26,157,D,2
32.9136,131.1198,304.1,2001-03-03,216,D,0
35.5622,139.3445,303.0,2001-03-05,202,D,0
35.3514,139.8755,303.4,2001-03-05,202,D,2
35.9356,140.6773,305.1,2001-03-05,1305,N,2
35.9356,140.6837,314.2,2001-03-07,1253,N,2
35.9385,140.6784,303.7,2001-03-09,138,D,2
35.9295,140.6766,306.2,2001-03-09,138,D,2
34.7865,139.0237,310.9,2001-03-10,221,D,0
34.7918,139.0189,327.4,2001-03-10,221,D,0
33.259,131.646,308.2,2001-03-10,221,D,2
36.731,140.0162,316.7,2001-03-11,125,D,0
36.722,139.9984,322.6,2001-03-11,125,D,0
35.6783,140.0857,301.4,2001-03-11,125,D,0
35.673,140.0789,300.5,2001-03-11,125,D,0
35.6001,138.582,303.0,2001-03-11,125,D,0
32.7688,130.977,326.4,2001-03-11,304,D,0
32.7453,130.9292,314.2,2001-03-11,304,D,0
32.7353,130.97,313.9,2001-03-11,304,D,0
35.073,137.1367,303.0,2001-03-12,208,D,0
35.029,136.8689,311.4,2001-03-12,208,D,2
35.0252,136.8747,309.3,2001-03-12,208,D,2
33.0672,131.2806,306.0,2001-03-13,252,D,0
31.9981,130.7695,337.8,2001-03-13,252,D,0
