latitude,longitude,brightness,acq_date,acq_time,daynight,type
14.3592,-6.2371,359.1,2001-01-01,1108,D,0
14.3578,-6.2271,358.8,2001-01-01,1108,D,0
14.5916,-9.5114,322.1,2001-01-01,1108,D,0
14.5897,-9.4953,320.2,2001-01-01,1108,D,0
14.0898,-5.7589,331.3,2001-01-01,1108,D,0
14.0806,-5.7602,329.9,2001-01-01,1108,D,0
13.894,-6.0629,329.2,2001-01-01,1108,D,0
13.8847,-6.0642,322.8,2001-01-01,1108,D,0
13.792,-7.1758,322.5,2001-01-01,1108,D,0
14.1309,-10.5689,324.1,2001-01-01,1108,D,0
14.1286,-10.55,323.4,2001-01-01,1108,D,0
13.6178,-7.2459,323.8,2001-01-01,1108,D,0
13.853,-9.6402,331.1,2001-01-01,1108,D,0
13.8567,-9.6465,325.4,2001-01-01,1108,D,0
13.8547,-9.6307,323.5,2001-01-01,1108,D,0
13.5097,-7.4938,324.9,2001-01-01,1108,D,0
13.6963,-9.8545,322.8,2001-01-01,1108,D,0
13.6875,-9.8459,321.6,2001-01-01,1108,D,0
12.9297,-6.2696,326.8,2001-01-01,1108,D,0
13.3097,-9.3113,320.0,2001-01-01,1108,D,0
12.65,-4.651,325.6,2001-01-01,1108,D,0
12.6486,-4.6419,323.7,2001-01-01,1108,D,0
13.1731,-8.6282,327.2,2001-01-01,1108,D,0
13.4596,-10.9398,323.4,2001-01-01,1108,D,0
13.1624,-8.6296,322.5,2001-01-01,1108,D,0
13.2875,-9.9541,321.5,2001-01-01,1108,D,0
13.3166,-10.4954,326.8,2001-01-01,1108,D,0
13.3123,-10.4594,331.7,2001-01-01,1108,D,0
13.3258,-10.5006,320.8,2001-01-01,1108,D,0
13.3135,-10.5019,320.7,2001-01-01,1108,D,0
13.3089,-10.4658,333.9,2001-01-01,1108,D,0
13.3066,-10.4477,319.2,2001-01-01,1108,D,0
13.2349,-9.8842,325.2,2001-01-01,1108,D,0
12.7601,-6.5063,321.4,2001-01-01,1108,D,0
12.7587,-6.4964,322.5,2001-01-01,1108,D,0
13.2766,-10.5072,318.9,2001-01-01,1108,D,0
12.5012,-4.7691,367.3,2001-01-01,1108,D,0
12.4999,-4.7601,361.8,2001-01-01,1108,D,0
12.4986,-4.751,327.0,2001-01-01,1108,D,0
12.4709,-4.6253,327.6,2001-01-01,1108,D,0
12.8372,-8.0369,339.5,2001-01-01,1108,D,0
12.3585,-4.6114,323.9,2001-01-01,1108,D,0
12.855,-8.3119,319.6,2001-01-01,1108,D,0
13.0378,-9.7757,323.1,2001-01-01,1108,D,0
13.0358,-9.7601,333.6,2001-01-01,1108,D,0
12.6463,-7.0096,341.8,2001-01-01,1108,D,0
12.6449,-6.9993,321.7,2001-01-01,1108,D,0
12.8571,-8.7288,338.4,2001-01-01,1108,D,0
12.8064,-8.9594,319.1,2001-01-01,1108,D,0
12.7849,-8.963,323.9,2001-01-01,1108,D,0
12.2062,-6.2948,328.6,2001-01-01,1108,D,0
12.2048,-6.2852,327.0,2001-01-01,1108,D,0
12.5675,-9.5942,320.9,2001-01-01,1108,D,0
12.5689,-9.6009,319.2,2001-01-01,1108,D,0
12.5576,-9.6025,333.3,2001-01-01,1108,D,0
12.4682,-9.6198,320.5,2001-01-01,1108,D,0
12.4662,-9.6046,323.7,2001-01-01,1108,D,0
12.2183,-7.8341,328.2,2001-01-01,1108,D,0
12.4878,-10.3344,318.8,2001-01-01,1108,D,0
11.7895,-5.3852,327.1,2001-01-01,1108,D,0
11.7882,-5.3761,343.3,2001-01-01,1108,D,0
11.8327,-5.8099,323.8,2001-01-01,1108,D,0
12.2461,-8.9627,356.0,2001-01-01,1108,D,0
12.0197,-7.3437,321.5,2001-01-01,1108,D,0
12.0658,-7.9139,325.7,2001-01-01,1108,D,0
11.9514,-7.0937,326.0,2001-01-01,1108,D,0
12.326,-9.9325,321.1,2001-01-01,1108,D,0
12.324,-9.9172,328.6,2001-01-01,1108,D,0
12.164,-8.8714,327.2,2001-01-01,1108,D,0
12.1534,-8.8728,319.9,2001-01-01,1108,D,0
11.849,-6.911,322.8,2001-01-01,1108,D,0
11.795,-6.572,321.6,2001-01-01,1108,D,0
11.8133,-6.9021,320.3,2001-01-01,1108,D,0
11.8467,-7.2096,320.5,2001-01-01,1108,D,0
11.6983,-6.4871,326.5,2001-01-01,1108,D,0
11.6918,-6.494,334.5,2001-01-01,1108,D,0
11.6904,-6.4844,326.1,2001-01-01,1108,D,0
11.6825,-6.4954,332.5,2001-01-01,1108,D,0
11.5424,-5.5237,328.1,2001-01-01,1108,D,0
12.2923,-11.4091,314.2,2001-01-01,1108,D,0
11.8382,-7.8883,340.2,2001-01-01,1108,D,0
11.8367,-7.877,328.7,2001-01-01,1108,D,0
11.7306,-7.1058,320.1,2001-01-01,1108,D,0
11.5596,-5.8963,323.0,2001-01-01,1108,D,0
11.5582,-5.887,323.1,2001-01-01,1108,D,0
11.5506,-5.8976,321.0,2001-01-01,1108,D,0
11.5492,-5.8883,321.7,2001-01-01,1108,D,0
11.4846,-5.5041,335.4,2001-01-01,1108,D,0
11.8667,-8.4088,323.5,2001-01-01,1108,D,0
11.6501,-6.846,333.1,2001-01-01,1108,D,0
11.6421,-6.8573,348.3,2001-01-01,1108,D,0
11.6407,-6.8473,339.1,2001-01-01,1108,D,0
11.63,-6.8387,332.8,2001-01-01,1108,D,0
11.6206,-6.84,337.9,2001-01-01,1108,D,0
11.6192,-6.8301,326.3,2001-01-01,1108,D,0
11.6127,-6.8512,324.8,2001-01-01,1108,D,0
11.5242,-6.358,326.2,2001-01-01,1108,D,0
11.3967,-5.5326,352.8,2001-01-01,1108,D,0
11.3954,-5.5235,373.0,2001-01-01,1108,D,0
11.3941,-5.5144,324.4,2001-01-01,1108,D,0
11.8057,-8.6945,320.8,2001-01-01,1108,D,0
11.7953,-8.6959,349.9,2001-01-01,1108,D,0
11.7936,-8.6833,325.8,2001-01-01,1108,D,0
11.6286,-7.4833,332.4,2001-01-01,1108,D,0
11.6271,-7.4727,320.3,2001-01-01,1108,D,0
11.664,-7.8107,322.9,2001-01-01,1108,D,0
11.6488,-7.7004,319.4,2001-01-01,1108,D,0
11.4691,-6.4205,321.9,2001-01-01,1108,D,0
11.4932,-6.723,323.5,2001-01-01,1108,D,0
11.3306,-5.5856,320.9,2001-01-01,1108,D,0
11.3361,-5.6873,324.8,2001-01-01,1108,D,0
