latitude,longitude,brightness,acq_date,acq_time,daynight,type
-17.742,36.8172,320.6,2001-01-01,759,D,0
-19.0003,35.7746,333.8,2001-01-01,759,D,0
-24.2854,34.3994,329.4,2001-01-01,800,D,0
-19.0043,35.7849,329.0,2001-01-02,842,D,0
-23.4272,33.3962,327.1,2001-01-03,748,D,0
-23.4276,33.3892,329.2,2001-01-03,748,D,0
-19.201,34.5371,309.3,2001-01-04,830,D,0
-22.1507,31.9296,320.0,2001-01-04,831,D,0
-22.4648,32.0026,323.2,2001-01-04,831,D,0
-22.4666,31.9959,323.2,2001-01-04,831,D,0
-22.7189,32.3852,322.2,2001-01-04,831,D,0
-23.6664,31.9992,320.7,2001-01-04,831,D,0
-23.7095,31.9447,326.9,2001-01-04,831,D,0
-23.4566,32.8101,313.3,2001-01-04,2040,N,0
-23.4579,32.8,305.7,2001-01-04,2040,N,0
-23.3033,33.3294,302.1,2001-01-04,2040,N,0
-23.2942,33.3279,304.3,2001-01-04,2040,N,0
-23.6884,31.9947,328.8,2001-01-06,819,D,0
-23.6974,31.9932,323.6,2001-01-06,819,D,0
-24.9815,32.2209,324.3,2001-01-06,819,D,0
-22.5972,31.7768,308.1,2001-01-07,2111,N,0
-22.6003,31.7595,307.3,2001-01-07,2111,N,0
-24.2672,31.9866,304.3,2001-01-09,2058,N,0
-24.269,31.9756,327.6,2001-01-09,2058,N,0
-24.2707,31.9646,313.1,2001-01-09,2058,N,0
-24.2577,31.9847,306.3,2001-01-09,2058,N,0
-22.5114,32.7175,318.3,2001-01-10,754,D,0
-22.9945,33.3899,322.7,2001-01-10,754,D,0
-23.8681,33.3596,328.1,2001-01-10,754,D,0
-18.1819,33.6676,321.0,2001-01-11,835,D,0
-22.5306,31.7723,323.4,2001-01-11,836,D,0
-22.5011,31.3534,332.8,2001-01-11,836,D,0
-23.3769,31.7107,321.6,2001-01-11,837,D,0
-23.4693,31.9386,323.6,2001-01-11,837,D,0
-23.4616,31.9332,321.6,2001-01-11,837,D,0
-23.7411,34.4481,322.2,2001-01-11,837,D,0
-23.7768,33.4235,319.8,2001-01-11,837,D,0
-23.914,32.3111,324.7,2001-01-11,837,D,0
-24.0438,33.3719,324.7,2001-01-11,837,D,0
-24.2516,31.9818,327.7,2001-01-11,837,D,0
-24.2383,32.0055,301.4,2001-01-11,2045,N,0
