latitude,longitude,brightness,acq_date,acq_time,daynight,type
15.0025,145.6059,310.2,2001-04-03,1228,N,0
14.9994,145.6275,312.0,2001-04-06,1258,N,0
15.0077,145.6312,307.5,2001-04-10,1234,N,0
15.0057,145.6188,305.8,2001-04-10,1234,N,0
17.5837,145.8423,311.7,2001-04-25,59,D,3
14.9744,145.648,313.0,2001-04-28,130,D,0
15.25,145.7986,308.8,2001-05-08,1258,N,0
15.2486,145.7875,305.2,2001-05-08,1258,N,0
18.1569,145.7888,325.0,2001-05-27,58,D,0
18.1555,145.7989,327.4,2001-05-27,58,D,0
15.1754,145.776,312.0,2001-06-08,123,D,0
18.1537,145.7989,314.7,2001-09-28,119,D,0
