latitude,longitude,brightness,acq_date,acq_time,daynight,type
7.7336,33.011,314.7,2001-01-01,752,D,0
7.7343,33.0056,316.0,2001-01-01,752,D,0
7.6033,33.6433,315.3,2001-01-01,752,D,0
7.0559,34.087,331.8,2001-01-01,752,D,0
6.3989,34.716,327.5,2001-01-01,752,D,0
6.4072,34.6793,328.7,2001-01-01,752,D,0
7.0515,34.1213,328.2,2001-01-01,752,D,0
6.4031,34.7091,329.2,2001-01-01,752,D,0
7.718,32.9958,323.3,2001-01-01,752,D,0
7.0286,34.1112,322.2,2001-01-01,752,D,0
6.8122,34.4477,323.4,2001-01-01,752,D,0
7.7164,33.0036,326.3,2001-01-01,752,D,0
7.6005,33.6353,317.8,2001-01-01,752,D,0
6.8081,34.48,322.5,2001-01-01,752,D,0
6.4835,34.641,331.4,2001-01-01,752,D,0
7.0627,34.0935,323.5,2001-01-01,752,D,0
6.4883,34.6355,334.5,2001-01-01,752,D,0
6.4028,34.686,339.3,2001-01-01,752,D,0
5.5592,33.0847,335.1,2001-01-01,753,D,0
5.557,33.0788,335.8,2001-01-01,753,D,0
5.0727,32.7831,333.5,2001-01-01,753,D,0
5.0676,32.8232,346.3,2001-01-01,753,D,0
5.0501,32.821,327.3,2001-01-01,753,D,0
5.0662,32.8175,352.2,2001-01-01,753,D,0
5.0488,32.8153,324.4,2001-01-01,753,D,0
4.4277,32.7384,327.0,2001-01-01,753,D,0
4.4265,32.7307,326.9,2001-01-01,753,D,0
4.348,33.1866,322.0,2001-01-01,753,D,0
4.3435,33.1802,326.2,2001-01-01,753,D,0
10.2318,25.0832,323.7,2001-01-01,930,D,0
7.8377,29.6414,321.0,2001-01-01,930,D,0
6.1913,29.2496,319.0,2001-01-01,930,D,0
6.3902,27.2233,323.1,2001-01-01,930,D,0
8.5166,24.6486,323.8,2001-01-01,930,D,0
9.4754,29.6602,322.2,2001-01-01,930,D,0
8.5047,24.6466,323.1,2001-01-01,930,D,0
8.0288,27.5509,318.9,2001-01-01,930,D,0
9.1709,29.8443,323.8,2001-01-01,930,D,0
8.4322,24.8646,320.1,2001-01-01,930,D,0
7.6239,29.5104,327.1,2001-01-01,930,D,0
9.1711,29.8373,323.9,2001-01-01,930,D,0
7.6241,29.5055,325.9,2001-01-01,930,D,0
8.3118,25.1933,330.5,2001-01-01,930,D,0
9.8527,25.1074,321.0,2001-01-01,930,D,0
8.423,24.2104,323.7,2001-01-01,930,D,0
8.4154,24.2027,325.8,2001-01-01,930,D,0
9.1572,29.1133,336.0,2001-01-01,930,D,0
8.1068,26.1403,322.2,2001-01-01,930,D,0
8.3049,24.2437,338.2,2001-01-01,930,D,0
9.1506,29.1498,322.8,2001-01-01,930,D,0
8.3024,24.2596,355.0,2001-01-01,930,D,0
8.2933,24.2417,336.1,2001-01-01,930,D,0
9.1405,29.1104,324.1,2001-01-01,930,D,0
8.2908,24.2576,338.6,2001-01-01,930,D,0
7.2601,29.2913,322.8,2001-01-01,930,D,0
9.8607,25.103,327.4,2001-01-01,930,D,0
7.2531,29.3322,324.9,2001-01-01,930,D,0
7.8913,25.4366,325.8,2001-01-01,930,D,0
9.1527,29.1072,334.2,2001-01-01,930,D,0
7.888,25.4565,320.5,2001-01-01,930,D,0
7.2534,29.3256,326.8,2001-01-01,930,D,0
9.1464,29.1437,328.0,2001-01-01,930,D,0
7.6192,26.6176,324.0,2001-01-01,930,D,0
7.6151,26.6425,338.3,2001-01-01,930,D,0
9.8163,24.9202,328.4,2001-01-01,930,D,0
7.6072,26.5147,345.2,2001-01-01,930,D,0
7.6031,26.5087,339.0,2001-01-01,930,D,0
9.0022,27.2112,342.1,2001-01-01,930,D,0
7.3695,27.017,323.0,2001-01-01,930,D,0
7.0136,28.8253,320.5,2001-01-01,930,D,0
8.9978,27.2375,333.6,2001-01-01,930,D,0
7.0103,28.8195,320.0,2001-01-01,930,D,0
7.23,27.3038,320.6,2001-01-01,930,D,0
8.4595,29.018,347.9,2001-01-01,930,D,0
7.3871,26.0962,321.1,2001-01-01,930,D,0
7.5532,25.1702,322.0,2001-01-01,930,D,0
8.6097,28.0693,322.2,2001-01-01,930,D,0
7.3774,26.1113,321.6,2001-01-01,930,D,0
7.2778,26.4613,324.4,2001-01-01,930,D,0
8.6151,28.0648,319.5,2001-01-01,930,D,0
7.2738,26.4856,355.9,2001-01-01,930,D,0
7.2596,26.4834,340.8,2001-01-01,930,D,0
8.4555,29.0119,346.8,2001-01-01,930,D,0
6.9591,28.1783,333.0,2001-01-01,930,D,0
7.2562,26.4774,326.6,2001-01-01,930,D,0
8.9299,25.8275,330.7,2001-01-01,930,D,0
6.9683,28.1748,326.4,2001-01-01,930,D,0
6.9628,28.2089,320.7,2001-01-01,930,D,0
8.9265,25.848,330.3,2001-01-01,930,D,0
7.3494,25.6271,318.3,2001-01-01,930,D,0
7.296,25.7049,327.8,2001-01-01,930,D,0
8.9231,25.8686,323.7,2001-01-01,930,D,0
7.2925,25.7262,345.4,2001-01-01,930,D,0
7.2694,25.7005,319.1,2001-01-01,930,D,0
8.991,25.29,323.1,2001-01-01,930,D,0
7.284,25.7183,325.6,2001-01-01,930,D,0
7.274,25.6947,318.0,2001-01-01,930,D,0
8.1766,29.6862,347.7,2001-01-01,930,D,0
7.1311,26.3248,324.8,2001-01-01,930,D,0
