latitude,longitude,brightness,acq_date,acq_time,daynight,type
7.112,80.4177,310.2,2001-02-12,511,D,0
7.1135,80.4114,312.7,2001-02-12,511,D,0
6.9133,80.6418,302.1,2001-02-23,1717,N,0
8.7984,80.4398,306.5,2001-02-23,1718,N,0
8.8279,80.4041,306.2,2001-02-27,1653,N,0
8.1692,79.913,313.7,2001-03-05,528,D,0
7.7542,80.6567,313.2,2001-03-05,528,D,0
8.8253,80.4018,308.2,2001-03-06,1659,N,0
8.8314,80.4024,323.6,2001-03-07,515,D,0
7.4549,81.5162,314.5,2001-03-07,516,D,0
6.7077,81.2266,317.1,2001-03-10,546,D,0
7.8252,81.1565,313.0,2001-03-11,451,D,0
6.7839,81.1744,312.1,2001-03-11,1716,N,0
6.7826,81.1651,312.2,2001-03-11,1716,N,0
8.8286,80.4056,306.5,2001-03-11,1717,N,0
7.0646,80.5368,314.2,2001-03-12,534,D,0
8.8332,80.4053,323.0,2001-03-13,1704,N,0
8.8299,80.4023,318.2,2001-03-14,521,D,0
8.8286,80.4114,328.4,2001-03-14,521,D,0
7.8254,81.1597,320.5,2001-03-14,521,D,0
7.8164,81.1584,320.2,2001-03-14,521,D,0
7.8265,80.0166,335.8,2001-03-14,521,D,0
7.55,81.5247,324.3,2001-03-14,521,D,0
7.5487,81.5338,320.3,2001-03-14,521,D,0
7.5149,81.5753,318.2,2001-03-14,521,D,0
7.4307,80.5867,316.0,2001-03-14,521,D,0
7.0372,80.5632,315.9,2001-03-14,522,D,0
6.3344,80.3303,318.9,2001-03-14,522,D,0
6.0839,80.3459,316.7,2001-03-14,522,D,0
7.4738,81.549,311.4,2001-03-19,540,D,0
8.0544,81.3006,318.3,2001-03-21,527,D,0
7.7121,81.3535,317.3,2001-03-21,527,D,0
7.0393,81.4061,312.7,2001-03-21,528,D,0
8.1155,80.0465,321.7,2001-03-23,515,D,0
8.0948,80.0265,325.4,2001-03-23,515,D,0
6.8945,81.3885,317.8,2001-03-23,515,D,0
8.0658,81.2668,319.0,2001-03-28,533,D,0
8.064,81.2789,327.3,2001-03-28,533,D,0
6.7577,80.3178,325.0,2001-03-28,534,D,0
6.756,80.3288,317.2,2001-03-28,534,D,0
6.6821,80.2768,313.5,2001-03-28,534,D,0
8.8302,80.4015,323.5,2001-03-30,521,D,0
8.5549,81.1489,319.5,2001-03-30,521,D,0
7.6361,81.3823,317.9,2001-03-30,521,D,0
7.6266,81.4457,316.7,2001-03-30,521,D,0
6.8523,80.5739,313.8,2001-03-30,522,D,0
8.7853,80.4388,322.9,2001-04-01,509,D,0
8.7836,80.4512,321.8,2001-04-01,509,D,0
7.751,80.4757,316.9,2001-04-04,539,D,0
6.8266,81.7907,319.8,2001-04-04,540,D,0
6.2607,81.2855,315.5,2001-04-07,1657,N,0
7.1693,79.8833,314.6,2001-04-20,540,D,0
8.6263,81.1316,310.2,2001-05-09,1657,N,0
8.6337,81.1304,324.9,2001-05-10,514,D,0
8.6324,81.1398,322.6,2001-05-10,514,D,0
8.5509,81.1315,324.6,2001-05-10,514,D,0
8.0578,81.2971,326.1,2001-05-10,514,D,0
6.4651,81.6139,317.2,2001-05-10,515,D,0
8.5852,81.0893,315.0,2001-05-13,545,D,0
8.6356,81.1193,310.1,2001-05-14,1716,N,0
9.4809,80.4585,308.8,2001-05-14,1716,N,0
8.6554,81.1569,322.4,2001-05-15,532,D,0
8.7055,81.1609,317.7,2001-05-22,538,D,0
8.6648,81.1236,320.4,2001-05-22,538,D,0
7.7954,81.2298,315.2,2001-05-22,539,D,0
8.6852,81.1253,320.8,2001-05-24,526,D,0
8.2424,81.3583,325.3,2001-05-24,526,D,0
7.4613,81.1031,320.7,2001-05-24,526,D,0
6.5985,80.8413,315.5,2001-05-24,527,D,0
8.0831,81.2851,339.7,2001-05-26,514,D,0
7.7774,81.2327,319.1,2001-05-26,514,D,0
7.5676,81.2217,324.4,2001-05-26,514,D,0
7.4213,81.1481,320.7,2001-05-26,514,D,0
6.4065,81.3534,322.6,2001-05-26,514,D,0
6.4052,81.3624,328.3,2001-05-26,514,D,0
7.5925,81.2478,312.4,2001-05-30,449,D,0
6.5813,81.2444,312.2,2001-05-30,450,D,0
8.6039,81.1441,317.0,2001-05-31,532,D,0
8.7075,80.2743,315.0,2001-05-31,532,D,0
8.8017,80.8892,322.2,2001-06-02,520,D,0
7.2721,81.857,318.1,2001-06-11,514,D,0
7.2008,81.8403,316.3,2001-06-11,514,D,0
6.614,80.9355,318.0,2001-06-11,514,D,0
7.2677,81.8194,317.9,2001-06-13,501,D,0
7.1775,81.1311,312.9,2001-06-13,501,D,0
6.6025,80.8837,327.7,2001-06-13,501,D,0
9.5776,80.4027,327.7,2001-07-04,518,D,0
9.5763,80.4119,325.4,2001-07-04,518,D,0
8.7188,81.1149,318.5,2001-07-04,518,D,0
8.7098,81.1136,317.7,2001-07-04,518,D,0
8.6007,80.9752,316.7,2001-07-04,518,D,0
8.2227,81.1758,319.1,2001-07-07,549,D,0
7.8938,81.1652,313.4,2001-07-08,454,D,0
