latitude,longitude,brightness,acq_date,acq_time,daynight,type
24.0222,54.4056,313.3,2001-01-16,703,D,0
24.0273,54.3965,312.3,2001-01-17,746,D,0
24.0275,54.3988,313.4,2001-01-21,722,D,0
25.5146,55.608,325.5,2001-01-26,1837,N,0
23.3092,54.186,320.9,2001-01-27,1919,N,2
23.307,54.1632,310.4,2001-01-27,1919,N,2
23.3186,54.1784,317.9,2001-01-27,1919,N,2
24.1262,52.7131,319.5,2001-02-04,734,D,0
23.8407,53.6576,306.6,2001-02-07,1901,N,2
23.8501,53.6561,300.8,2001-02-07,1901,N,2
24.0214,54.3997,316.7,2001-02-08,710,D,0
23.3136,54.1736,306.0,2001-02-08,1806,N,2
23.3152,54.1686,307.4,2001-02-08,1806,N,2
23.8529,53.6494,301.4,2001-02-23,1901,N,2
23.3011,54.1714,303.2,2001-03-12,1805,N,2
23.3182,54.1668,306.4,2001-03-12,1805,N,2
23.3187,54.1617,300.2,2001-03-12,1805,N,2
23.309,54.1831,311.5,2001-03-22,1841,N,2
23.3073,54.1725,312.0,2001-03-22,1841,N,2
23.3073,54.1727,310.8,2001-03-25,1912,N,2
23.3157,54.1837,306.3,2001-03-25,1912,N,2
23.3064,54.1779,300.2,2001-03-29,1847,N,2
23.3153,54.1764,314.5,2001-03-29,1847,N,2
23.2736,54.2539,307.2,2001-03-30,1930,N,0
23.2706,54.2153,328.4,2001-03-30,1930,N,0
23.2872,54.2138,306.0,2001-03-30,1930,N,0
23.3174,54.1723,303.8,2001-03-30,1930,N,2
23.2785,54.2484,318.7,2001-03-30,1930,N,0
23.2757,54.2096,328.0,2001-03-30,1930,N,0
23.3061,54.1681,301.5,2001-03-30,1930,N,2
23.3085,54.18,336.3,2001-03-31,1835,N,2
23.3064,54.1674,309.3,2001-03-31,1835,N,2
23.3186,54.178,300.8,2001-03-31,1835,N,2
23.3069,54.1706,310.8,2001-04-01,1918,N,2
23.3054,54.1731,321.0,2001-04-02,1823,N,2
23.3097,54.1867,310.1,2001-04-02,1823,N,2
23.3058,54.1666,313.7,2001-04-02,1823,N,2
23.3091,54.188,312.4,2001-04-03,1905,N,2
23.3075,54.1742,329.7,2001-04-03,1905,N,2
23.3174,54.1968,302.1,2001-04-04,1810,N,2
23.3103,54.1633,316.8,2001-04-04,1810,N,2
23.5359,53.2979,304.3,2001-04-07,1841,N,0
23.8506,53.6493,301.2,2001-04-12,1859,N,2
23.8506,53.6574,304.3,2001-04-14,1847,N,2
23.8492,53.6476,304.1,2001-04-14,1847,N,2
23.8474,53.6549,300.6,2001-04-17,1918,N,2
23.8397,53.6584,302.0,2001-04-18,1823,N,2
23.8459,53.6582,310.9,2001-04-19,1905,N,2
23.3133,54.1849,343.4,2001-04-23,1841,N,2
23.3117,54.1744,373.1,2001-04-23,1841,N,2
23.3186,54.1781,311.4,2001-04-23,1841,N,2
23.3132,54.1847,320.2,2001-04-25,1828,N,2
23.3105,54.1692,327.0,2001-04-25,1828,N,2
23.3098,54.1723,312.4,2001-04-26,1911,N,2
23.3179,54.1835,306.1,2001-04-26,1911,N,2
23.3069,54.1667,314.4,2001-04-27,1816,N,2
23.3162,54.1846,308.8,2001-04-27,1816,N,2
23.3111,54.159,306.6,2001-04-27,1816,N,2
23.8495,53.6556,307.6,2001-04-28,1859,N,2
23.8538,53.6491,305.2,2001-04-28,1859,N,2
23.3107,54.1793,314.5,2001-04-30,1847,N,2
23.3084,54.1705,309.6,2001-05-03,1917,N,2
23.308,54.1863,302.3,2001-05-04,1822,N,2
23.3043,54.1664,302.2,2001-05-04,1822,N,2
23.3125,54.1774,341.6,2001-05-07,1852,N,2
23.311,54.1749,325.0,2001-05-11,1828,N,2
23.8447,53.6363,312.3,2001-05-15,1804,N,0
23.8539,53.6745,305.3,2001-05-15,1804,N,0
23.8437,53.6299,310.5,2001-05-15,1804,N,0
23.847,53.6544,331.5,2001-05-17,655,D,2
24.1318,52.7076,316.5,2001-05-21,1905,N,0
23.3099,54.1869,307.1,2001-05-23,1852,N,2
23.3086,54.1769,340.0,2001-05-23,1852,N,2
23.8452,53.6582,319.0,2001-05-23,1852,N,2
23.3129,54.1837,324.4,2001-05-25,1840,N,2
23.3113,54.1732,335.3,2001-05-25,1840,N,2
