latitude,longitude,brightness,acq_date,acq_time,daynight,type
-17.8017,25.3611,326.9,2001-01-07,900,D,0
-17.3411,27.1958,311.5,2001-01-07,2112,N,0
-17.3648,27.172,321.0,2001-01-09,848,D,0
-17.34,27.1955,323.6,2001-01-09,848,D,0
-17.3461,27.1937,305.6,2001-01-09,2100,N,0
-13.9494,22.105,319.3,2001-01-11,835,D,0
-13.9589,22.078,317.9,2001-01-11,835,D,0
-13.9634,22.1024,327.4,2001-01-11,835,D,0
-17.3408,27.1971,326.4,2001-01-11,835,D,0
-13.955,22.0848,326.5,2001-01-11,835,D,0
-13.9592,22.1093,325.9,2001-01-11,835,D,0
-14.5691,22.3984,325.5,2001-01-12,918,D,0
-14.5708,22.4107,325.5,2001-01-12,918,D,0
-14.5776,22.4039,347.0,2001-01-12,918,D,0
-14.5792,22.4162,328.5,2001-01-12,918,D,0
-15.7321,27.7482,320.9,2001-01-13,822,D,0
-17.3614,27.1842,319.2,2001-01-14,906,D,0
-17.345,27.1912,302.5,2001-01-18,2053,N,0
-15.7283,27.7508,323.4,2001-01-20,828,D,0
-17.357,27.1794,315.8,2001-01-21,912,D,0
-17.3415,27.1957,305.0,2001-01-25,2100,N,0
-17.3453,27.195,303.0,2001-01-27,2047,N,0
-17.3427,27.1957,302.8,2001-02-01,2106,N,0
-17.346,27.1978,317.4,2001-03-07,840,D,0
-17.3425,27.1927,306.2,2001-03-07,2052,N,0
-17.346,27.1961,305.7,2001-03-12,2111,N,0
-17.3422,27.1937,304.4,2001-03-28,2110,N,0
-12.5382,28.2335,317.0,2001-03-30,845,D,0
-9.9845,28.6654,308.8,2001-04-06,850,D,0
-9.986,28.6762,310.5,2001-04-06,850,D,0
-17.3415,27.1948,313.1,2001-04-08,839,D,0
-15.4499,28.1387,313.8,2001-04-10,827,D,0
-13.6693,22.4126,314.9,2001-04-13,857,D,0
-13.6707,22.4222,316.6,2001-04-13,857,D,0
-14.9968,28.1295,315.4,2001-04-17,833,D,0
-15.457,28.0649,322.8,2001-04-17,833,D,0
-15.4585,28.0746,314.4,2001-04-17,833,D,0
-9.3892,29.7781,307.7,2001-04-20,902,D,0
-13.6504,22.4232,311.8,2001-04-20,903,D,0
-15.6093,28.1993,314.5,2001-04-24,839,D,0
-12.8463,28.2,322.8,2001-04-24,2053,N,0
-13.1433,23.9298,314.5,2001-04-27,909,D,0
-11.4239,24.1997,310.4,2001-04-29,856,D,0
-13.9304,27.8426,311.5,2001-04-29,857,D,0
-13.8478,22.601,316.8,2001-04-29,857,D,0
-17.3407,27.1917,304.1,2001-04-29,2110,N,0
-12.3229,30.8746,318.1,2001-04-30,801,D,0
-8.7848,29.4938,318.6,2001-05-01,843,D,0
-11.2647,29.1025,310.8,2001-05-01,844,D,0
-14.2303,27.6382,310.1,2001-05-01,844,D,0
-9.6825,30.4,318.8,2001-05-03,831,D,0
-9.6839,30.409,318.6,2001-05-03,831,D,0
-12.4245,32.0733,325.8,2001-05-03,832,D,0
-12.4292,31.9699,310.9,2001-05-03,832,D,0
-12.4306,31.9799,312.8,2001-05-03,832,D,0
-13.7153,31.1824,314.2,2001-05-03,832,D,0
-13.7167,31.1921,317.3,2001-05-03,832,D,0
-15.0038,28.2347,338.0,2001-05-03,832,D,0
-15.0053,28.2443,390.9,2001-05-03,832,D,0
-15.0068,28.2538,319.7,2001-05-03,832,D,0
-15.0736,28.0886,318.5,2001-05-03,832,D,0
-15.2843,29.1203,309.6,2001-05-03,832,D,0
-15.4532,28.1616,317.2,2001-05-03,832,D,0
-15.6008,28.1055,308.7,2001-05-03,833,D,0
-15.6023,28.1151,311.2,2001-05-03,833,D,0
-15.6178,26.4553,314.5,2001-05-03,833,D,0
-13.5764,27.9282,307.7,2001-05-03,2046,N,0
-13.5716,27.9323,303.0,2001-05-03,2046,N,0
-13.573,27.9218,300.7,2001-05-03,2046,N,0
-13.5514,22.3149,322.2,2001-05-04,915,D,0
-15.2544,26.04,307.6,2001-05-04,915,D,0
-15.6703,26.3337,309.7,2001-05-04,915,D,0
-13.6513,27.7027,315.7,2001-05-05,820,D,0
-13.5365,25.4156,320.8,2001-05-06,903,D,0
