latitude,longitude,brightness,acq_date,acq_time,daynight,type
34.8878,70.882,302.5,2002-01-01,525,D,0
34.8943,70.8528,312.2,2002-01-01,525,D,0
34.8894,70.8491,307.2,2002-01-01,525,D,0
34.8512,70.8621,326.7,2002-01-02,608,D,0
34.8885,70.8583,318.6,2002-01-02,608,D,0
34.8497,70.8727,304.5,2002-01-02,608,D,0
34.8974,70.8601,422.1,2002-01-02,608,D,0
34.8959,70.8708,344.0,2002-01-02,608,D,0
34.8969,70.8674,308.2,2002-01-02,1710,N,0
34.8946,70.8542,312.2,2002-01-02,1710,N,0
34.9,70.8571,302.1,2002-01-04,556,D,0
34.8984,70.8711,302.6,2002-01-04,556,D,0
34.8475,70.8723,335.0,2002-01-05,638,D,0
34.8432,70.8636,321.0,2002-01-05,638,D,0
34.852,70.8504,318.5,2002-01-05,638,D,0
34.8435,70.8627,301.0,2002-01-06,1646,N,0
34.8536,70.8629,318.8,2002-01-07,626,D,0
37.3679,66.5368,311.7,2002-01-08,708,D,0
37.3638,66.5284,305.6,2002-01-08,708,D,0
35.4903,71.4989,307.9,2002-01-11,601,D,0
35.4888,71.5105,300.6,2002-01-11,601,D,0
34.4986,60.7313,302.2,2002-01-28,645,D,0
37.5721,69.5368,311.6,2002-01-30,631,D,0
33.5619,65.4852,300.2,2002-02-11,656,D,0
37.5816,69.7987,300.3,2002-02-24,1728,N,0
37.1541,68.5356,306.0,2002-02-26,612,D,0
37.5135,65.8383,320.9,2002-03-05,618,D,0
37.5116,65.846,338.4,2002-03-05,618,D,0
37.1505,68.4949,339.4,2002-03-05,618,D,0
37.3658,66.5554,317.5,2002-03-08,649,D,0
37.3611,66.5483,311.8,2002-03-08,649,D,0
37.3506,66.2091,306.5,2002-03-12,624,D,0
37.2017,68.6922,319.0,2002-03-17,643,D,0
32.8348,64.398,318.2,2002-04-11,638,D,0
32.8332,64.4088,313.6,2002-04-11,638,D,0
33.4947,69.6113,329.6,2002-05-19,601,D,0
33.4926,69.6117,328.5,2002-05-20,644,D,0
34.8466,70.859,303.5,2002-05-22,1733,N,0
36.0168,63.9258,305.6,2002-05-23,1817,N,0
35.0483,70.5362,321.0,2002-05-26,607,D,0
34.8565,70.8585,341.7,2002-05-26,607,D,0
34.8475,70.8569,342.7,2002-05-26,607,D,0
34.8581,70.8644,347.8,2002-05-27,1752,N,0
