latitude,longitude,brightness,acq_date,acq_time,daynight,type
18.2401,-88.5719,309.5,2002-01-07,1624,D,0
17.919,-89.0871,305.8,2002-01-10,1655,D,0
17.914,-89.0939,306.8,2002-01-10,1655,D,0
17.9118,-89.0807,307.1,2002-01-10,1655,D,0
17.9805,-88.5887,309.9,2002-01-12,1642,D,0
17.979,-88.5789,308.6,2002-01-12,1642,D,0
17.9094,-89.0875,314.9,2002-01-12,1643,D,0
16.4945,-88.6862,308.9,2002-01-14,418,N,0
16.4958,-88.6769,306.3,2002-01-14,418,N,0
16.4929,-88.6802,323.1,2002-01-14,1631,D,0
17.9118,-89.0963,300.9,2002-01-16,406,N,0
17.9135,-89.0851,314.1,2002-01-16,406,N,0
16.916,-88.3144,304.1,2002-01-16,406,N,0
17.9119,-89.0853,306.7,2002-01-21,425,N,0
18.0429,-88.574,313.6,2002-01-21,1636,D,0
18.0415,-88.5647,312.0,2002-01-21,1636,D,0
17.7744,-88.2784,309.7,2002-01-28,1642,D,0
17.8571,-88.6646,329.0,2002-01-30,1630,D,0
17.9183,-89.0896,312.1,2002-02-04,1648,D,0
17.1165,-88.3246,308.8,2002-02-04,1648,D,0
18.0998,-88.6094,316.1,2002-02-27,1654,D,0
18.1015,-88.6027,323.0,2002-02-27,1654,D,0
17.9812,-88.3771,309.9,2002-02-27,1654,D,0
18.0974,-88.5952,313.8,2002-02-27,1654,D,0
17.8138,-88.7103,306.1,2002-03-03,418,N,0
16.5048,-88.7131,301.8,2002-03-10,423,N,0
17.8118,-88.6972,303.6,2002-03-10,424,N,0
17.8104,-88.7077,303.7,2002-03-10,424,N,0
17.1138,-88.3099,318.0,2002-03-10,1635,D,0
17.8114,-88.7013,308.7,2002-03-12,411,N,0
17.8204,-88.7028,306.3,2002-03-12,411,N,0
17.8582,-88.6693,313.6,2002-03-13,1706,D,0
17.8516,-88.676,312.2,2002-03-13,1706,D,0
17.4054,-88.3938,312.2,2002-03-15,1654,D,0
16.1001,-88.8949,302.5,2002-03-29,454,N,0
16.3597,-88.6765,305.2,2002-03-30,359,N,0
16.3666,-88.6356,328.1,2002-03-30,359,N,0
16.3545,-88.684,302.9,2002-03-30,359,N,0
16.3611,-88.643,315.9,2002-03-30,359,N,0
16.3633,-88.6293,312.1,2002-03-30,359,N,0
16.3898,-88.6685,327.3,2002-03-30,1611,D,0
16.3846,-88.6575,327.9,2002-03-30,1611,D,0
16.3333,-88.6453,326.9,2002-03-30,1611,D,0
16.3293,-88.6465,306.6,2002-03-31,442,N,0
16.4535,-88.579,316.4,2002-03-31,1654,D,0
16.315,-88.6473,321.2,2002-03-31,1654,D,0
16.3562,-88.6179,323.5,2002-03-31,1654,D,0
18.1013,-88.5974,336.6,2002-04-02,1641,D,0
18.0922,-88.5989,378.1,2002-04-02,1641,D,0
18.0998,-88.5876,331.2,2002-04-02,1641,D,0
