latitude,longitude,brightness,acq_date,acq_time,daynight,type
10.6671,22.0758,328.6,2002-01-01,849,D,0
10.6533,22.0903,349.2,2002-01-01,849,D,0
10.6595,22.0421,364.8,2002-01-01,849,D,0
10.6691,22.0597,360.8,2002-01-01,849,D,0
10.5204,22.5043,318.7,2002-01-01,849,D,0
10.1607,22.7113,318.1,2002-01-01,849,D,0
10.6712,22.0436,411.9,2002-01-01,849,D,0
10.6733,22.0274,351.4,2002-01-01,849,D,0
8.4007,19.8013,320.5,2002-01-01,850,D,0
8.3205,19.1102,325.3,2002-01-01,850,D,0
5.981,26.1953,326.9,2002-01-01,850,D,0
6.5764,26.1537,321.5,2002-01-01,850,D,0
8.2202,19.788,315.1,2002-01-01,850,D,0
5.8483,26.4708,321.0,2002-01-01,850,D,0
6.5801,25.8152,330.9,2002-01-01,850,D,0
6.5823,21.5552,317.1,2002-01-01,850,D,0
7.81,20.8435,319.0,2002-01-01,850,D,0
6.3198,26.0863,331.4,2002-01-01,850,D,0
6.2208,25.9409,317.4,2002-01-01,850,D,0
7.8752,19.7414,327.4,2002-01-01,850,D,0
8.1875,19.549,316.9,2002-01-01,850,D,0
7.9415,21.9238,311.0,2002-01-01,850,D,0
6.3467,26.0902,327.7,2002-01-01,850,D,0
6.5983,25.7533,355.5,2002-01-01,850,D,0
6.5599,25.7017,317.9,2002-01-01,850,D,0
6.2206,26.0049,326.9,2002-01-01,850,D,0
7.6728,21.1906,315.3,2002-01-01,850,D,0
6.4494,26.2663,321.6,2002-01-01,850,D,0
6.5345,25.7473,324.2,2002-01-01,850,D,0
6.6073,25.7546,349.3,2002-01-01,850,D,0
8.6788,20.2877,315.5,2002-01-01,850,D,0
6.4704,26.1233,323.0,2002-01-01,850,D,0
6.3273,25.3992,322.6,2002-01-01,850,D,0
6.462,24.7203,327.3,2002-01-01,850,D,0
8.3903,19.8155,317.1,2002-01-01,850,D,0
8.2401,19.6317,338.7,2002-01-01,850,D,0
6.4894,26.1869,332.3,2002-01-01,850,D,0
6.172,24.5065,321.8,2002-01-01,850,D,0
6.3195,25.3917,315.4,2002-01-01,850,D,0
6.4983,26.1882,323.0,2002-01-01,850,D,0
6.2472,26.0151,319.7,2002-01-01,850,D,0
8.0868,19.3573,312.7,2002-01-01,850,D,0
6.5341,26.1933,323.0,2002-01-01,850,D,0
6.7579,20.4081,314.7,2002-01-01,850,D,0
6.5328,26.2022,322.9,2002-01-01,850,D,0
6.9113,22.6814,311.5,2002-01-01,850,D,0
6.5751,26.1626,318.9,2002-01-01,850,D,0
