latitude,longitude,brightness,acq_date,acq_time,daynight,type
45.8742,8.386,337.7,2002-01-01,1018,D,0
44.1656,8.277,310.9,2002-01-01,1019,D,0
44.4663,8.979,313.3,2002-01-01,1019,D,0
43.9617,8.1184,309.9,2002-01-03,2114,N,0
45.1415,9.9446,317.3,2002-01-08,1024,D,0
45.8959,10.4399,308.6,2002-01-10,1012,D,0
45.8943,10.4531,308.1,2002-01-10,1012,D,0
41.1853,14.2322,302.3,2002-01-10,1013,D,0
46.2157,12.8879,301.3,2002-01-10,2120,N,0
46.2181,12.8812,305.4,2002-01-10,2120,N,0
45.6248,8.0192,347.7,2002-01-11,1055,D,0
45.6143,8.0167,302.9,2002-01-11,1055,D,0
45.6208,8.0397,305.2,2002-01-11,1055,D,0
44.0765,10.6518,300.6,2002-01-12,1000,D,0
46.1971,12.3651,304.5,2002-01-12,2108,N,0
46.2059,12.3625,326.3,2002-01-12,2108,N,0
46.199,12.3778,306.4,2002-01-12,2108,N,0
46.2078,12.3752,328.3,2002-01-12,2108,N,0
46.0841,8.616,326.5,2002-01-13,2151,N,0
46.0731,8.6219,314.5,2002-01-13,2151,N,0
45.9256,10.3982,301.0,2002-01-19,1006,D,0
46.1625,8.1847,303.1,2002-01-19,2114,N,0
42.384,11.8002,301.2,2002-01-28,2107,N,0
45.853,9.7108,308.7,2002-01-29,1042,D,0
39.0573,17.0807,301.5,2002-01-30,949,D,0
42.5715,12.6744,315.2,2002-02-02,1018,D,0
45.7719,11.7868,301.5,2002-02-02,1018,D,0
42.9347,10.53,302.5,2002-02-11,1012,D,0
46.2038,12.3731,303.9,2002-02-13,958,D,0
42.1719,13.165,301.2,2002-02-13,959,D,0
41.87,13.4417,301.8,2002-02-13,959,D,0
39.0995,16.9267,303.5,2002-02-13,1000,D,0
41.4212,13.9074,305.8,2002-02-13,1000,D,0
39.4156,16.2572,303.1,2002-02-13,1000,D,0
37.7291,13.8702,306.3,2002-02-13,1001,D,0
40.0931,9.2927,301.3,2002-02-14,1043,D,0
37.888,13.4449,312.9,2002-02-15,948,D,0
37.9684,14.8888,312.8,2002-02-15,948,D,0
39.0866,16.31,316.8,2002-02-15,948,D,0
