latitude,longitude,brightness,acq_date,acq_time,daynight,type
4.5532,103.4574,322.9,2002-01-01,354,D,2
6.5317,100.3152,324.7,2002-01-01,354,D,0
5.4093,100.5599,316.4,2002-01-01,354,D,0
2.2163,102.7386,309.5,2002-01-01,355,D,0
2.6552,102.6189,301.0,2002-01-01,1618,N,0
5.0608,118.9781,313.6,2002-01-02,258,D,0
4.4677,117.8047,305.9,2002-01-02,258,D,0
5.3971,100.4165,303.4,2002-01-02,1523,N,0
5.3977,100.4098,306.1,2002-01-02,1523,N,0
6.5447,100.3097,334.9,2002-01-03,341,D,0
2.7391,101.5463,318.0,2002-01-03,342,D,0
3.9569,101.0969,323.5,2002-01-03,342,D,0
2.7033,101.6645,317.2,2002-01-03,342,D,0
3.9584,101.087,325.9,2002-01-03,342,D,0
2.1581,102.4334,312.2,2002-01-03,342,D,0
5.6709,100.5635,314.0,2002-01-03,342,D,0
4.1896,100.8606,324.1,2002-01-03,342,D,0
2.4782,103.0121,315.8,2002-01-03,342,D,0
2.6154,102.4563,314.6,2002-01-03,342,D,0
3.2758,101.5256,313.6,2002-01-03,342,D,0
1.8637,102.9967,313.8,2002-01-03,342,D,0
5.7898,100.7379,310.7,2002-01-03,342,D,0
3.1817,102.3638,311.4,2002-01-03,342,D,0
5.5625,101.1145,310.3,2002-01-03,342,D,0
2.69,101.5714,318.8,2002-01-03,342,D,0
1.7955,103.2085,322.2,2002-01-03,343,D,0
1.7819,103.0514,310.9,2002-01-03,343,D,0
1.446,103.9033,303.1,2002-01-03,1605,N,0
3.2296,102.4587,302.7,2002-01-03,1605,N,0
3.7495,101.2591,309.8,2002-01-04,425,D,0
3.7558,101.255,309.4,2002-01-04,425,D,0
2.7017,102.5857,314.1,2002-01-04,1510,N,0
2.7127,102.5893,311.7,2002-01-04,1510,N,0
2.6595,102.6222,304.2,2002-01-04,1510,N,0
1.5014,103.9988,327.1,2002-01-05,330,D,0
3.8933,101.1744,303.8,2002-01-05,1553,N,0
2.4594,102.025,310.1,2002-01-05,1553,N,0
3.2131,102.4531,301.6,2002-01-05,1553,N,0
3.2146,102.4645,302.9,2002-01-05,1553,N,0
2.7111,102.584,301.7,2002-01-05,1553,N,0
3.9542,101.0887,303.4,2002-01-05,1553,N,0
2.4659,102.0297,302.9,2002-01-07,1540,N,0
2.3907,102.083,301.0,2002-01-07,1540,N,0
5.9742,100.5605,302.1,2002-01-07,1541,N,0
3.217,102.4618,315.2,2002-01-07,1541,N,0
5.5528,100.7662,302.1,2002-01-07,1541,N,0
3.2157,102.4529,306.6,2002-01-07,1541,N,0
6.4639,100.4874,325.4,2002-01-08,359,D,0
5.5922,100.6461,314.5,2002-01-08,400,D,0
4.1888,100.8567,316.2,2002-01-08,400,D,0
4.5619,114.0279,307.1,2002-01-08,1445,N,0
3.2836,113.0848,314.8,2002-01-09,305,D,0
5.0473,100.7686,314.3,2002-01-10,347,D,0
3.9501,101.1556,324.9,2002-01-10,348,D,0
3.9503,101.0916,319.4,2002-01-10,348,D,0
3.8889,101.173,303.3,2002-01-10,1611,N,0
1.4499,103.8921,309.9,2002-01-11,1515,N,0
1.4485,103.902,300.3,2002-01-11,1515,N,0
3.5335,103.3892,312.8,2002-01-12,335,D,0
3.8913,101.1809,318.2,2002-01-12,335,D,0
2.7464,101.5568,317.8,2002-01-12,336,D,0
2.9506,101.4846,314.4,2002-01-12,336,D,0
3.9556,101.0824,303.1,2002-01-12,1559,N,0
3.9539,101.0952,313.6,2002-01-13,418,D,0
6.4645,100.4878,314.9,2002-01-13,418,D,0
3.948,101.0876,311.8,2002-01-13,418,D,0
5.5595,100.401,315.5,2002-01-13,418,D,0
4.5604,114.0252,305.3,2002-01-13,1504,N,0
2.4664,103.0656,301.9,2002-01-14,1546,N,0
6.5479,100.315,320.8,2002-01-15,405,D,0
6.3157,100.6326,311.5,2002-01-15,405,D,0
4.1531,102.3625,309.8,2002-01-15,406,D,0
1.8031,103.2184,325.9,2002-01-15,406,D,0
1.8072,103.2122,315.3,2002-01-15,407,D,0
4.5618,114.0251,313.2,2002-01-15,1451,N,0
2.7956,112.0,303.1,2002-01-15,1451,N,0
2.7972,112.0109,315.7,2002-01-15,1451,N,0
2.6667,102.624,301.3,2002-01-16,1534,N,0
2.7324,102.5697,327.3,2002-01-16,1534,N,0
2.7258,102.5899,303.9,2002-01-16,1534,N,0
2.7166,102.5912,300.3,2002-01-16,1534,N,0
6.5153,100.3895,312.3,2002-01-17,353,D,0
5.4913,101.151,309.5,2002-01-17,353,D,0
5.6824,100.4152,320.4,2002-01-17,353,D,0
5.6945,100.5872,314.3,2002-01-17,353,D,0
4.6597,103.3815,308.4,2002-01-17,353,D,0
5.68,100.6855,315.6,2002-01-17,353,D,0
4.8328,101.9772,312.6,2002-01-17,353,D,2
6.4065,99.8098,318.0,2002-01-17,353,D,0
