latitude,longitude,brightness,acq_date,acq_time,daynight,type
16.7098,-62.1587,305.2,2002-01-05,246,N,2
16.708,-62.1734,307.0,2002-01-05,246,N,2
16.7172,-62.1727,339.5,2002-01-10,1516,D,1
16.7048,-62.1761,319.0,2002-01-10,1516,D,2
16.712,-62.1796,365.3,2002-01-11,209,N,1
16.706,-62.1722,328.6,2002-01-11,209,N,2
16.7146,-62.1645,327.7,2002-01-11,209,N,2
16.7093,-62.1999,324.6,2002-02-05,202,N,0
16.7006,-62.1926,321.1,2002-02-05,202,N,2
16.7139,-62.1948,332.7,2002-02-05,202,N,0
16.718,-62.1712,365.0,2002-02-05,202,N,1
16.714,-62.1743,382.2,2002-02-05,202,N,1
16.7049,-62.168,343.6,2002-02-05,202,N,2
16.7221,-62.1709,321.1,2002-02-06,245,N,1
16.7101,-62.1833,333.5,2002-02-06,245,N,1
16.7116,-62.1706,407.9,2002-02-06,245,N,1
16.7053,-62.163,311.7,2002-02-06,245,N,2
16.7171,-62.1672,335.5,2002-02-08,232,N,1
16.7068,-62.1754,368.3,2002-02-08,232,N,2
16.7158,-62.1767,349.1,2002-02-08,232,N,1
16.7081,-62.166,345.0,2002-02-08,232,N,2
16.717,-62.1836,314.0,2002-02-12,208,N,1
16.7081,-62.1959,305.5,2002-02-12,208,N,2
16.7115,-62.1758,344.7,2002-02-12,208,N,1
16.7044,-62.1727,316.3,2002-02-22,1457,D,2
16.7137,-62.171,381.4,2002-02-22,1457,D,1
16.7197,-62.1742,309.8,2002-02-26,220,N,1
16.7103,-62.172,400.0,2002-02-26,220,N,1
16.7086,-62.1828,352.8,2002-02-26,220,N,1
16.7129,-62.1709,425.1,2002-02-26,1432,D,1
16.7114,-62.1591,332.3,2002-02-26,1432,D,2
16.7146,-62.185,369.7,2002-02-26,1432,D,1
16.7114,-62.163,317.4,2002-03-01,251,N,2
16.7093,-62.1812,307.2,2002-03-01,251,N,1
16.7084,-62.1729,327.3,2002-03-05,226,N,1
16.7069,-62.1825,307.0,2002-03-05,226,N,1
16.7106,-62.1775,313.4,2002-03-16,207,N,1
16.7183,-62.1589,316.7,2002-03-17,1503,D,2
16.7084,-62.162,332.0,2002-03-17,1503,D,2
16.7205,-62.1722,312.8,2002-03-17,1503,D,1
16.7106,-62.1753,351.0,2002-03-17,1503,D,1
16.7173,-62.1702,315.3,2002-04-01,208,N,1
16.7196,-62.1564,342.4,2002-04-01,208,N,2
16.7163,-62.1932,360.4,2002-04-10,1414,D,1
16.7115,-62.1852,375.5,2002-04-10,1414,D,1
16.7179,-62.1663,324.7,2002-04-13,1444,D,1
16.71,-62.1767,403.5,2002-04-13,1444,D,1
16.7087,-62.1672,400.4,2002-04-13,1444,D,2
16.7527,-62.1559,319.2,2002-04-13,1444,D,0
16.706,-62.1734,324.4,2002-04-16,1515,D,2
16.7171,-62.1671,328.5,2002-04-26,202,N,1
16.7131,-62.1885,320.1,2002-04-26,202,N,1
16.7208,-62.1639,313.4,2002-04-26,202,N,2
16.7173,-62.1836,316.4,2002-04-26,202,N,1
16.7148,-62.1721,377.4,2002-04-29,232,N,1
16.7134,-62.1815,328.1,2002-04-29,232,N,1
16.7161,-62.1624,317.0,2002-04-29,232,N,2
16.7058,-62.1708,309.9,2002-04-29,232,N,2
16.71,-62.1761,334.2,2002-05-05,155,N,1
16.7086,-62.1825,330.2,2002-05-05,155,N,1
16.7481,-62.1596,320.0,2002-05-31,1445,D,0
16.7135,-62.1642,328.7,2002-06-02,1433,D,2
16.7151,-62.1839,322.2,2002-06-04,1420,D,1
16.7127,-62.1625,319.5,2002-06-04,1420,D,2
16.711,-62.175,328.3,2002-06-20,208,N,1
16.7086,-62.1723,340.7,2002-08-03,1445,D,2
16.71,-62.182,332.9,2002-08-03,1445,D,1
16.7156,-62.1762,305.7,2002-08-05,220,N,1
16.7106,-62.1798,306.8,2002-08-05,220,N,1
16.712,-62.1739,325.5,2002-08-07,208,N,1
16.7087,-62.193,307.9,2002-08-07,208,N,2
16.7459,-62.1613,315.6,2002-08-19,1445,D,0
16.7092,-62.1738,355.4,2002-08-26,1451,D,1
16.707,-62.1679,326.7,2002-09-01,1716,D,2
16.7153,-62.1833,316.8,2002-09-01,1716,D,1
16.7174,-62.1705,317.3,2002-09-01,1716,D,1
16.7048,-62.1815,340.3,2002-09-01,1716,D,2
16.7119,-62.1795,316.0,2002-09-02,528,N,1
16.7244,-62.1801,314.7,2002-09-02,528,N,1
16.7223,-62.1632,308.5,2002-09-02,528,N,2
16.7099,-62.163,306.9,2002-09-02,528,N,2
16.7126,-62.1762,322.1,2002-09-02,1759,D,1
16.7178,-62.1658,310.6,2002-09-03,611,N,2
16.7182,-62.1724,306.2,2002-09-03,611,N,1
16.7143,-62.1748,329.7,2002-09-03,1704,D,1
16.7149,-62.1812,316.9,2002-09-04,232,N,1
16.7162,-62.1718,317.9,2002-09-04,232,N,1
16.7159,-62.1796,319.1,2002-09-05,559,N,1
16.7143,-62.1693,356.4,2002-09-05,559,N,1
16.7117,-62.1724,338.1,2002-09-06,220,N,1
16.7101,-62.1831,327.7,2002-09-06,220,N,1
16.746,-62.1567,317.0,2002-09-06,1734,D,0
16.7106,-62.1798,345.4,2002-09-11,1451,D,1
16.7092,-62.1705,352.6,2002-09-11,1451,D,2
16.7181,-62.1689,327.9,2002-09-11,1451,D,1
16.7155,-62.1771,315.8,2002-09-13,226,N,1
16.7238,-62.1776,312.6,2002-09-18,528,N,1
16.7113,-62.1768,321.6,2002-09-18,528,N,1
16.7065,-62.1598,319.2,2002-09-19,611,N,2
16.7203,-62.1793,324.6,2002-09-19,611,N,1
16.7203,-62.1733,353.0,2002-09-19,611,N,1
16.7095,-62.177,318.4,2002-09-19,611,N,1
16.7067,-62.1668,313.6,2002-09-19,611,N,2
16.7176,-62.1627,352.3,2002-09-19,611,N,2
16.713,-62.1701,382.6,2002-09-20,232,N,1
16.722,-62.1713,314.5,2002-09-20,232,N,1
16.7117,-62.1796,387.1,2002-09-20,232,N,1
16.7207,-62.1808,309.6,2002-09-20,232,N,1
16.7147,-62.1739,342.8,2002-09-20,516,N,1
16.7115,-62.1681,344.7,2002-09-20,516,N,2
16.7063,-62.1758,331.9,2002-09-20,1445,D,2
16.7141,-62.1653,330.8,2002-09-20,1445,D,2
16.7154,-62.1745,344.6,2002-09-20,1445,D,1
16.7151,-62.1714,371.3,2002-09-20,1746,D,1
16.7135,-62.1842,356.1,2002-09-20,1746,D,1
16.7032,-62.1824,337.5,2002-09-20,1746,D,2
16.7247,-62.169,314.6,2002-09-21,559,N,1
16.7171,-62.1812,334.4,2002-09-21,559,N,1
16.7139,-62.1604,316.3,2002-09-21,559,N,2
16.7156,-62.1711,405.8,2002-09-21,559,N,1
