latitude,longitude,brightness,acq_date,acq_time,daynight,type
58.441,6.076,311.8,2002-04-06,1109,D,0
58.4101,6.3756,324.5,2002-04-06,1109,D,0
58.4161,6.3858,332.3,2002-04-06,1109,D,0
60.6849,11.1854,300.3,2002-04-16,1144,D,0
60.6954,11.1487,311.3,2002-04-16,1144,D,0
59.5331,11.2718,303.0,2002-04-20,1120,D,0
60.8123,11.114,306.0,2002-04-20,1120,D,0
60.8149,11.1232,307.3,2002-04-20,1120,D,0
61.6555,9.7382,304.9,2002-04-20,1120,D,0
60.6426,10.9347,311.6,2002-04-21,1025,D,0
60.833,11.325,307.5,2002-04-24,1056,D,0
61.6746,9.5626,301.0,2002-04-24,1056,D,0
60.7515,11.2408,304.9,2002-04-24,1056,D,0
60.628,11.2425,302.3,2002-04-24,1056,D,0
59.287,10.3542,306.2,2002-04-24,1056,D,0
60.7547,11.2225,319.4,2002-04-24,1056,D,0
60.8488,11.2337,309.7,2002-04-24,1056,D,0
60.919,10.8297,301.2,2002-04-25,1001,D,0
60.9212,10.7946,305.3,2002-04-25,1001,D,0
60.9117,10.7989,302.9,2002-04-25,1001,D,0
60.675,12.0963,317.1,2002-05-05,1037,D,0
58.3452,8.5858,305.7,2002-05-07,1026,D,0
60.7138,11.8718,307.7,2002-05-08,930,D,0
60.7131,11.9368,303.4,2002-05-08,930,D,0
60.7226,11.8775,309.0,2002-05-08,930,D,0
60.7699,11.1265,309.9,2002-05-08,1108,D,0
60.7376,11.834,306.9,2002-05-08,1108,D,0
60.6661,12.0244,315.0,2002-05-08,1108,D,0
60.3745,10.4963,307.8,2002-05-08,1108,D,0
60.2035,11.6261,311.3,2002-05-08,1108,D,0
60.6718,12.0134,322.7,2002-05-09,1013,D,0
60.2399,10.1936,303.5,2002-05-09,1013,D,0
58.8637,6.3133,310.9,2002-05-09,1013,D,0
60.6695,12.0381,315.6,2002-05-09,1013,D,0
58.7362,6.6625,300.1,2002-05-10,1056,D,0
60.2787,12.11,302.6,2002-05-10,1056,D,0
60.2821,12.0912,301.7,2002-05-10,1056,D,0
60.918,10.8779,304.9,2002-05-10,1056,D,0
58.4182,6.2014,319.0,2002-05-10,1057,D,0
58.4317,6.1723,313.0,2002-05-10,1057,D,0
58.4293,6.1891,334.1,2002-05-10,1057,D,0
58.4158,6.2181,307.8,2002-05-10,1057,D,0
66.3086,14.1699,300.6,2002-05-11,1137,D,0
60.8235,10.1154,303.2,2002-05-11,1138,D,0
60.6492,10.3196,301.1,2002-05-11,1138,D,0
60.8196,10.1081,305.6,2002-05-11,1138,D,0
66.308,14.1744,315.7,2002-05-19,1048,D,0
66.309,14.1788,303.0,2002-05-20,1131,D,0
62.2573,10.1899,300.5,2002-05-20,1132,D,0
66.3043,14.1589,312.5,2002-05-22,1119,D,0
66.3048,14.1701,310.6,2002-05-23,1024,D,0
66.3058,14.1768,311.7,2002-05-23,1024,D,0
66.3078,14.1799,302.6,2002-05-27,1940,D,0
66.302,14.1616,300.9,2002-05-27,2118,N,0
66.3085,14.1777,314.8,2002-06-04,1048,D,0
66.3063,14.1716,304.5,2002-06-05,2112,N,0
60.2612,12.418,306.4,2002-06-07,1120,D,0
66.425,13.8017,304.2,2002-06-16,1113,D,0
66.3078,14.1723,303.6,2002-07-10,1024,D,0
60.6997,8.5116,302.9,2002-07-29,128,N,0
63.576,10.2977,300.1,2002-08-13,1202,D,0
58.2816,6.8958,308.0,2002-08-16,1044,D,0
60.1286,10.2948,314.9,2002-08-22,1007,D,0
59.976,11.0433,311.2,2002-08-22,1154,D,0
60.3901,10.4692,313.7,2002-08-27,1213,D,0
59.3509,10.7721,308.2,2002-08-29,1013,D,0
59.6272,10.8809,310.7,2002-09-01,1231,D,0
58.277,6.8852,300.5,2002-09-03,1032,D,0
60.8484,10.748,312.9,2002-09-03,1219,D,0
60.8506,10.7716,305.9,2002-09-03,1219,D,0
60.3736,10.4514,307.4,2002-09-03,1219,D,0
60.3808,10.4435,313.8,2002-09-03,1219,D,0
59.2744,11.283,302.3,2002-09-10,1038,D,0
59.2768,11.2658,307.8,2002-09-10,1038,D,0
