latitude,longitude,brightness,acq_date,acq_time,daynight,type
32.3065,35.5101,327.3,2002-05-29,817,D,0
32.1442,35.1394,328.4,2002-06-08,854,D,0
32.1554,35.1428,341.9,2002-06-08,854,D,0
31.5496,35.0273,333.6,2002-06-08,854,D,0
31.5462,35.0327,330.2,2002-06-08,854,D,0
31.8233,35.1183,328.9,2002-06-08,854,D,0
31.8202,35.1229,330.4,2002-06-08,854,D,0
32.2611,35.516,335.1,2002-06-09,759,D,0
32.2619,35.5325,335.1,2002-06-09,759,D,0
31.4827,35.0474,329.3,2002-06-12,830,D,0
31.4842,34.9199,328.9,2002-06-17,848,D,0
32.3457,35.5404,307.8,2002-06-17,1949,N,0
32.2035,35.5581,328.1,2002-06-18,753,D,0
32.4073,35.2308,326.0,2002-06-24,854,D,0
32.3682,35.0364,333.5,2002-07-06,1052,D,0
32.0803,34.9833,332.2,2002-07-20,1104,D,0
32.1904,35.5594,361.9,2002-07-23,1924,N,0
32.187,35.5422,325.1,2002-07-23,1924,N,0
32.1757,35.545,316.1,2002-07-23,1924,N,0
32.1562,35.1443,327.5,2002-08-09,1039,D,0
32.166,35.1422,339.6,2002-08-09,1039,D,0
32.1806,35.5549,334.1,2002-08-11,1027,D,0
32.1772,35.5374,334.7,2002-08-11,1027,D,0
32.1011,35.5143,335.7,2002-08-27,854,D,0
32.0911,35.525,329.7,2002-08-27,854,D,0
32.3916,35.0487,328.5,2002-09-29,1109,D,0
32.1785,35.261,332.4,2002-09-30,841,D,0
32.1764,35.2735,328.5,2002-09-30,841,D,0
32.1553,35.3555,301.3,2002-10-01,2025,N,0
32.1579,35.391,306.5,2002-10-01,2025,N,0
32.1113,35.1864,303.6,2002-10-01,2025,N,0
32.0104,35.2353,322.8,2002-10-12,1038,D,0
32.005,35.263,331.8,2002-10-12,1038,D,0
32.0126,35.2482,366.7,2002-10-12,1038,D,0
32.0147,35.2606,346.5,2002-10-12,1038,D,0
32.0028,35.25,337.9,2002-10-12,1038,D,0
31.859,35.0313,313.4,2002-11-10,835,D,0
31.9966,35.05,308.5,2002-11-12,823,D,0
32.3781,35.0645,313.7,2002-11-18,1056,D,0
32.2796,35.3265,309.4,2002-11-19,829,D,0
32.2146,35.0982,308.8,2002-11-21,817,D,0
