latitude,longitude,brightness,acq_date,acq_time,daynight,type
37.0371,127.3329,317.7,2002-01-02,249,D,0
35.4881,128.3547,303.2,2002-01-11,243,D,0
35.3979,127.909,301.6,2002-01-11,243,D,0
37.4922,126.6464,301.0,2002-01-29,230,D,2
37.4888,126.6433,306.1,2002-02-05,236,D,0
35.64,128.4689,302.2,2002-02-05,237,D,0
35.6425,128.4551,300.5,2002-02-05,237,D,0
35.4922,128.8175,312.1,2002-02-05,237,D,0
36.0003,129.4017,300.4,2002-02-07,224,D,0
34.9619,127.5587,301.8,2002-02-07,224,D,0
34.9603,127.5695,301.8,2002-02-07,224,D,0
35.1611,127.956,300.2,2002-02-07,224,D,0
35.3102,128.613,305.6,2002-02-07,224,D,0
35.3969,128.6502,317.7,2002-02-07,224,D,0
35.9768,129.3723,314.6,2002-02-07,224,D,0
35.3008,128.789,340.1,2002-02-07,224,D,0
35.3025,128.778,315.1,2002-02-07,224,D,0
36.004,129.3788,300.5,2002-02-07,224,D,0
37.4076,127.8915,312.9,2002-02-14,229,D,0
37.4831,127.9994,314.7,2002-02-14,229,D,0
37.4813,128.0108,302.4,2002-02-14,229,D,0
35.0489,127.756,304.3,2002-02-14,230,D,0
34.8335,127.3108,300.3,2002-02-16,218,D,0
35.4843,128.4953,300.2,2002-02-18,206,D,0
35.4837,128.5026,302.7,2002-02-18,206,D,0
37.7874,126.251,315.2,2002-02-19,248,D,0
36.8284,127.841,306.8,2002-02-19,248,D,0
37.7848,126.2655,328.7,2002-02-19,248,D,0
38.13,126.9172,301.6,2002-02-19,248,D,0
36.2128,129.363,303.7,2002-02-20,153,D,0
35.8187,129.1043,300.8,2002-02-20,153,D,0
35.2529,128.155,301.5,2002-02-23,224,D,0
36.7957,126.5914,304.5,2002-02-28,242,D,0
36.7941,126.5851,304.0,2002-02-28,242,D,0
37.9919,128.1044,304.5,2002-02-28,242,D,0
35.9761,129.367,302.6,2002-03-04,218,D,0
36.1588,129.318,304.9,2002-03-04,218,D,0
37.6819,126.4486,303.2,2002-03-07,248,D,0
35.973,129.3715,301.5,2002-03-08,153,D,0
36.7652,126.7631,300.8,2002-03-08,153,D,0
36.4445,127.2751,325.3,2002-03-09,236,D,0
35.5112,126.6561,300.7,2002-03-09,236,D,0
36.4331,127.2849,330.2,2002-03-09,236,D,0
36.9729,126.8919,303.7,2002-03-09,236,D,0
36.4352,127.2727,312.7,2002-03-09,236,D,0
36.4424,127.2873,348.5,2002-03-09,236,D,0
36.7387,126.458,301.3,2002-03-09,236,D,0
36.7723,126.5325,303.6,2002-03-09,236,D,0
37.4872,126.6395,305.8,2002-03-09,236,D,2
35.4382,128.2401,302.2,2002-03-09,236,D,0
36.3949,127.4219,302.5,2002-03-09,236,D,0
37.9359,127.7633,301.0,2002-03-11,223,D,0
38.5665,128.3184,317.7,2002-03-11,223,D,0
36.5654,128.4194,300.5,2002-03-11,223,D,0
37.4922,126.6414,305.3,2002-03-11,223,D,2
38.5648,128.3297,331.6,2002-03-11,223,D,0
36.649,126.4185,304.7,2002-03-11,223,D,0
36.7461,126.4389,304.0,2002-03-11,223,D,0
37.0453,127.7983,300.3,2002-03-11,223,D,0
37.0469,127.7872,300.4,2002-03-11,223,D,0
37.4861,129.05,301.8,2002-03-11,223,D,0
35.6018,129.4265,313.7,2002-03-11,224,D,0
35.2454,128.1636,305.7,2002-03-11,224,D,0
35.1565,127.9581,302.3,2002-03-11,224,D,0
35.1084,126.5736,309.0,2002-03-11,224,D,0
34.8706,127.3359,306.5,2002-03-11,224,D,0
35.4579,128.5251,311.7,2002-03-11,224,D,0
35.6926,128.2614,302.2,2002-03-11,224,D,0
35.7967,128.427,308.7,2002-03-11,224,D,0
38.5712,128.365,320.5,2002-03-11,1327,N,0
38.5533,128.3695,316.5,2002-03-11,1327,N,0
38.5481,128.3352,309.1,2002-03-11,1327,N,0
38.591,128.3121,310.8,2002-03-11,1327,N,0
38.5928,128.3238,314.1,2002-03-11,1327,N,0
38.5821,128.3144,305.3,2002-03-11,1327,N,0
38.5516,128.358,310.9,2002-03-11,1327,N,0
38.5873,128.349,314.7,2002-03-11,1327,N,0
38.589,128.3603,313.9,2002-03-11,1327,N,0
38.5784,128.3513,320.1,2002-03-11,1327,N,0
38.5801,128.3626,336.3,2002-03-11,1327,N,0
38.5392,128.3375,314.2,2002-03-11,1327,N,0
38.5554,128.326,306.3,2002-03-12,306,D,0
38.5979,128.3445,300.6,2002-03-12,306,D,0
38.5634,128.2933,302.7,2002-03-12,306,D,0
38.5557,128.3213,309.1,2002-03-12,306,D,0
35.6078,129.1297,305.0,2002-03-13,211,D,0
36.2517,127.0795,309.1,2002-03-13,211,D,0
36.2505,127.0854,308.5,2002-03-13,211,D,0
36.1535,128.1637,307.9,2002-03-13,211,D,0
36.7575,127.4457,302.6,2002-03-13,211,D,0
35.3292,128.7252,306.4,2002-03-13,211,D,0
36.4787,127.662,301.9,2002-03-13,211,D,0
36.5083,127.7482,305.2,2002-03-13,211,D,0
36.7131,127.1236,320.9,2002-03-13,211,D,0
36.64,126.6049,303.2,2002-03-13,211,D,0
36.7897,127.7758,304.3,2002-03-13,211,D,0
36.8139,127.6568,302.4,2002-03-13,211,D,0
37.2144,128.2405,303.5,2002-03-13,211,D,0
37.0054,128.3396,306.7,2002-03-13,211,D,0
35.695,126.7025,307.0,2002-03-13,211,D,0
36.202,129.3609,305.9,2002-03-13,211,D,0
37.4819,129.0474,303.6,2002-03-13,211,D,0
38.0853,128.0078,300.0,2002-03-13,211,D,0
36.9678,127.1603,312.7,2002-03-17,146,D,0
36.9684,127.1542,314.8,2002-03-17,146,D,0
37.9026,126.7737,303.5,2002-03-18,229,D,0
37.0507,127.2133,303.3,2002-03-18,229,D,0
36.8146,127.365,359.7,2002-03-18,229,D,0
36.8163,127.3538,338.1,2002-03-18,229,D,0
36.8235,127.3671,333.7,2002-03-18,229,D,0
36.8772,126.8957,309.0,2002-03-18,229,D,0
36.8253,127.3558,314.3,2002-03-18,229,D,0
36.8808,127.1149,304.4,2002-03-18,229,D,0
37.2642,126.9639,304.0,2002-03-18,229,D,0
37.4886,126.6365,307.2,2002-03-18,229,D,2
35.9327,126.8457,302.0,2002-03-18,230,D,0
35.2538,128.2507,301.0,2002-03-18,230,D,0
34.9865,127.6795,351.1,2002-03-18,230,D,0
35.8262,128.5035,308.3,2002-03-18,230,D,0
35.2558,128.2389,302.8,2002-03-18,230,D,0
35.3107,128.314,305.3,2002-03-18,230,D,0
34.9988,126.7248,317.8,2002-03-18,230,D,0
34.9756,127.6884,306.6,2002-03-18,230,D,0
36.0962,128.3791,310.1,2002-03-18,230,D,0
34.9774,127.6773,333.3,2002-03-18,230,D,0
35.6905,128.2597,301.0,2002-03-18,230,D,0
35.1681,126.4036,300.3,2002-03-18,230,D,0
34.9847,127.6907,312.2,2002-03-18,230,D,0
35.1655,126.4815,303.3,2002-03-18,230,D,0
34.8408,127.5907,313.6,2002-03-18,1332,N,0
35.8531,126.8529,312.9,2002-04-01,242,D,0
37.3038,126.7843,310.6,2002-04-01,242,D,0
37.3911,126.7043,311.4,2002-04-01,242,D,0
33.466,126.8325,310.9,2002-04-01,243,D,0
37.4914,126.6399,317.3,2002-04-03,229,D,2
35.3709,127.3226,319.7,2002-04-03,230,D,0
36.8266,127.6035,312.8,2002-04-03,230,D,0
36.026,127.0621,305.9,2002-04-03,1333,N,0
37.5529,126.6721,313.9,2002-04-05,217,D,0
37.5544,126.6589,314.4,2002-04-05,217,D,0
37.2855,127.5091,314.1,2002-04-05,217,D,0
36.9303,127.4883,312.7,2002-04-05,217,D,0
37.1281,126.9555,312.2,2002-04-05,217,D,0
37.0,126.9374,331.3,2002-04-05,217,D,0
