latitude,longitude,brightness,acq_date,acq_time,daynight,type
37.1382,9.8221,305.4,2002-02-25,1026,D,0
36.6177,9.0562,328.9,2002-06-05,1001,D,0
31.4127,9.9384,306.3,2002-06-13,2152,N,0
31.4128,9.9319,305.7,2002-06-13,2152,N,0
36.9133,9.3283,323.2,2002-06-16,943,D,0
37.0715,9.4836,328.0,2002-06-17,1025,D,0
37.0696,9.4954,329.4,2002-06-17,1025,D,0
36.7402,8.4766,331.2,2002-07-01,1038,D,0
36.7429,8.4622,334.6,2002-07-01,1038,D,0
36.5415,10.4071,333.8,2002-07-01,2141,N,0
36.5534,10.4213,305.6,2002-07-01,2141,N,0
36.5518,10.406,302.8,2002-07-01,2141,N,0
36.5432,10.4223,349.5,2002-07-01,2141,N,0
36.8098,8.5946,328.8,2002-07-21,2117,N,0
36.8074,8.5808,317.8,2002-07-21,2117,N,0
36.5161,8.3209,338.9,2002-08-06,1013,D,0
36.5146,8.3325,353.7,2002-08-06,1013,D,0
36.5069,8.3186,374.9,2002-08-06,1013,D,0
36.5054,8.3304,431.7,2002-08-06,1013,D,0
37.2267,9.8941,315.2,2002-08-15,1007,D,3
36.8202,11.034,329.0,2002-08-24,1001,D,0
36.8245,11.0407,324.6,2002-08-24,1001,D,0
36.826,11.0283,329.4,2002-08-24,1001,D,0
33.304,11.2163,314.7,2002-08-24,1002,D,3
31.4815,10.1068,310.4,2002-08-27,104,N,0
37.0016,9.3317,304.2,2002-08-29,2123,N,0
36.5133,8.2957,357.7,2002-09-08,1231,D,0
31.4761,10.1097,306.7,2002-09-12,104,N,0
36.7743,9.6337,347.9,2002-09-15,1236,D,0
36.5977,10.7728,307.4,2002-09-16,2110,N,0
31.7093,9.2505,301.5,2002-09-23,46,N,0
31.4801,10.1043,321.0,2002-09-28,2133,N,0
31.4039,10.0229,306.5,2002-10-14,104,N,0
31.7049,9.2362,301.7,2002-10-16,2121,N,0
31.707,9.2486,303.1,2002-10-16,2121,N,0
31.7033,9.2423,313.5,2002-10-16,2121,N,0
