latitude,longitude,brightness,acq_date,acq_time,daynight,type
19.3433,-155.0369,315.8,2002-01-01,808,N,2
19.3487,-155.0864,305.8,2002-01-01,808,N,2
19.3799,-155.0959,308.2,2002-01-01,808,N,2
19.3775,-155.0904,311.6,2002-01-01,808,N,2
19.3532,-155.0623,323.5,2002-01-01,808,N,2
19.3385,-155.0623,334.4,2002-01-01,808,N,2
36.8171,-79.0629,318.9,2002-01-01,1656,D,0
36.8207,-79.0688,314.7,2002-01-01,1656,D,0
36.8123,-79.0336,300.2,2002-01-01,1656,D,0
38.6983,-90.1324,306.0,2002-01-01,1656,D,2
36.8625,-78.3486,301.2,2002-01-01,1656,D,0
32.0523,-82.7224,301.0,2002-01-01,1657,D,0
32.0466,-82.6963,307.6,2002-01-01,1657,D,0
31.6753,-82.776,300.6,2002-01-01,1657,D,0
32.3857,-82.3069,319.9,2002-01-01,1657,D,0
32.381,-82.3139,313.5,2002-01-01,1657,D,0
32.3751,-82.2864,306.5,2002-01-01,1657,D,0
31.9771,-84.2056,314.5,2002-01-01,1657,D,0
31.8684,-83.8714,303.9,2002-01-01,1657,D,0
31.8692,-83.8779,300.8,2002-01-01,1657,D,0
32.551,-83.4348,301.2,2002-01-01,1657,D,0
32.5461,-83.4117,300.1,2002-01-01,1657,D,0
32.5481,-83.4178,305.6,2002-01-01,1657,D,0
32.2778,-83.5328,300.8,2002-01-01,1657,D,0
32.2747,-83.5149,304.0,2002-01-01,1657,D,0
31.1961,-84.0396,300.9,2002-01-01,1658,D,0
31.0099,-83.6609,303.8,2002-01-01,1658,D,0
31.0005,-83.669,303.4,2002-01-01,1658,D,0
33.0026,-110.7657,302.7,2002-01-01,1836,D,2
19.3482,-155.0757,326.7,2002-01-02,851,N,2
19.3497,-155.0642,362.7,2002-01-02,851,N,2
19.3387,-155.0735,310.8,2002-01-02,851,N,2
19.3797,-155.0872,307.8,2002-01-02,851,N,2
19.3538,-155.0596,326.5,2002-01-02,851,N,2
19.3416,-155.0509,317.7,2002-01-02,851,N,2
19.3523,-155.071,337.5,2002-01-02,851,N,2
19.3402,-155.0622,336.6,2002-01-02,851,N,2
39.3706,-77.847,306.1,2002-01-02,1600,D,0
40.1064,-96.2729,307.5,2002-01-02,1738,D,0
35.017,-96.3788,301.6,2002-01-02,1740,D,0
