latitude,longitude,brightness,acq_date,acq_time,daynight,type
12.8752,105.4138,327.8,2003-01-01,319,D,2
12.886,105.4152,331.7,2003-01-01,319,D,2
13.1137,102.7248,320.7,2003-01-01,319,D,0
13.6923,106.1859,311.3,2003-01-01,319,D,0
12.8997,107.0787,349.1,2003-01-01,319,D,0
14.2163,104.5668,313.6,2003-01-01,319,D,0
12.6264,104.9362,314.7,2003-01-01,319,D,0
13.0879,106.5991,315.7,2003-01-01,319,D,0
12.9271,106.7334,325.5,2003-01-01,319,D,0
12.924,106.756,319.6,2003-01-01,319,D,0
12.9176,107.0921,356.1,2003-01-01,319,D,0
12.9225,106.7673,329.0,2003-01-01,319,D,0
13.0511,106.8775,315.8,2003-01-01,319,D,0
12.9419,106.5488,317.8,2003-01-01,319,D,0
13.6962,106.1802,316.4,2003-01-01,319,D,0
13.0834,106.4073,319.3,2003-01-01,319,D,0
13.0486,106.8825,317.9,2003-01-01,319,D,0
12.9141,106.7547,333.3,2003-01-01,319,D,0
13.0733,106.406,318.9,2003-01-01,319,D,0
12.8888,106.2585,311.9,2003-01-01,319,D,0
13.5167,106.7476,314.1,2003-01-01,319,D,0
12.345,107.1719,311.8,2003-01-01,319,D,0
12.893,107.0558,327.2,2003-01-01,319,D,0
13.5675,106.7494,314.7,2003-01-01,319,D,0
12.3464,107.1614,311.1,2003-01-01,319,D,0
14.1282,104.7317,313.5,2003-01-01,319,D,0
13.8235,105.4175,312.3,2003-01-01,319,D,0
13.9403,104.6785,317.7,2003-01-01,319,D,0
13.0059,102.6386,310.8,2003-01-01,319,D,0
12.5767,106.6828,326.9,2003-01-01,319,D,0
12.8915,107.0666,332.8,2003-01-01,319,D,0
12.639,105.827,328.0,2003-01-01,319,D,0
12.5782,106.6715,330.8,2003-01-01,319,D,0
14.1461,104.6846,312.1,2003-01-01,319,D,0
12.644,105.8215,324.9,2003-01-01,319,D,0
12.6406,105.8142,319.2,2003-01-01,319,D,0
13.2585,107.2848,316.2,2003-01-01,319,D,0
14.1344,104.6832,310.0,2003-01-01,319,D,0
13.0695,106.5848,327.1,2003-01-01,319,D,0
13.0679,106.5964,316.9,2003-01-01,319,D,0
13.0038,107.1326,313.1,2003-01-01,319,D,0
13.0196,102.7138,310.4,2003-01-01,319,D,0
13.0304,106.4962,327.0,2003-01-01,319,D,0
13.0687,107.2566,319.9,2003-01-01,319,D,0
13.0679,107.1912,318.6,2003-01-01,319,D,0
13.0457,107.21,343.4,2003-01-01,319,D,0
13.0442,107.2207,319.6,2003-01-01,319,D,0
12.8966,106.6536,316.7,2003-01-01,319,D,0
13.0319,106.4845,330.8,2003-01-01,319,D,0
13.0227,106.399,318.9,2003-01-01,319,D,0
13.1826,107.0259,322.1,2003-01-01,319,D,0
13.2833,107.0347,324.2,2003-01-01,319,D,0
13.2849,107.0237,339.1,2003-01-01,319,D,0
13.1452,106.7762,318.2,2003-01-01,319,D,0
12.9767,106.518,326.9,2003-01-01,319,D,0
13.1713,107.0355,319.2,2003-01-01,319,D,0
13.1698,107.0464,320.1,2003-01-01,319,D,0
12.4542,106.3848,313.3,2003-01-01,319,D,0
13.2946,107.0251,327.2,2003-01-01,319,D,0
13.2931,107.036,331.6,2003-01-01,319,D,0
13.0266,106.4478,316.8,2003-01-01,319,D,0
13.1183,106.3695,326.3,2003-01-01,319,D,0
12.9867,106.5193,321.7,2003-01-01,319,D,0
13.1468,106.7649,309.5,2003-01-01,319,D,0
13.2768,106.7139,322.5,2003-01-01,319,D,0
13.2569,106.7112,335.3,2003-01-01,319,D,0
13.257,106.7051,329.2,2003-01-01,319,D,0
13.2554,106.7165,324.6,2003-01-01,319,D,0
13.1,107.4816,334.1,2003-01-01,319,D,0
12.3869,107.1089,310.6,2003-01-01,319,D,0
12.3947,107.3347,306.1,2003-01-01,319,D,0
12.9032,106.3821,321.1,2003-01-01,319,D,0
12.9724,106.6236,318.0,2003-01-01,319,D,0
12.8966,106.6598,319.9,2003-01-01,319,D,0
12.5334,106.7794,313.2,2003-01-01,319,D,0
13.7955,105.0962,308.8,2003-01-01,319,D,0
13.0358,107.0658,320.0,2003-01-01,319,D,0
12.9783,106.5063,318.1,2003-01-01,319,D,0
13.3098,107.2221,313.6,2003-01-01,319,D,0
13.0343,107.0767,320.6,2003-01-01,319,D,0
13.026,107.0645,318.1,2003-01-01,319,D,0
13.0246,107.0754,317.7,2003-01-01,319,D,0
14.1166,104.7302,315.9,2003-01-01,319,D,0
13.0895,107.1064,346.0,2003-01-01,319,D,0
12.6531,106.5726,316.2,2003-01-01,319,D,0
13.0881,106.8258,313.7,2003-01-01,319,D,0
13.0866,106.837,316.7,2003-01-01,319,D,0
12.7842,107.1773,312.6,2003-01-01,319,D,0
13.257,107.2954,319.2,2003-01-01,319,D,0
12.6462,106.5482,319.6,2003-01-01,319,D,0
13.0768,106.8356,333.2,2003-01-01,319,D,0
13.0753,106.8468,315.2,2003-01-01,319,D,0
12.9438,106.7587,324.0,2003-01-01,319,D,0
13.1204,106.3638,322.8,2003-01-01,319,D,0
13.0865,107.1281,374.9,2003-01-01,319,D,0
12.6446,106.5597,315.2,2003-01-01,319,D,0
13.1135,106.3385,319.9,2003-01-01,319,D,0
13.085,107.1389,389.1,2003-01-01,319,D,0
13.0835,107.1496,318.1,2003-01-01,319,D,0
13.585,102.6601,312.2,2003-01-01,319,D,0
12.9617,106.3233,325.2,2003-01-01,319,D,0
12.9751,106.3007,317.1,2003-01-01,319,D,0
12.8213,106.4605,329.2,2003-01-01,319,D,0
13.2312,107.5482,330.7,2003-01-01,319,D,0
13.1245,102.7103,341.0,2003-01-01,319,D,0
13.1233,106.7152,311.4,2003-01-01,319,D,0
13.1299,102.7042,323.0,2003-01-01,319,D,0
13.1272,102.7263,319.0,2003-01-01,319,D,0
13.3078,107.4489,321.8,2003-01-01,319,D,0
13.1192,102.6804,328.0,2003-01-01,319,D,0
13.1165,102.7027,320.0,2003-01-01,319,D,0
13.694,106.1733,316.3,2003-01-01,319,D,0
13.2666,107.2968,317.9,2003-01-01,319,D,0
12.8117,106.5302,322.6,2003-01-01,319,D,0
12.8133,106.5187,326.2,2003-01-01,319,D,0
13.1033,106.3371,326.9,2003-01-01,319,D,0
12.8129,106.4473,334.3,2003-01-01,319,D,0
12.8145,106.4356,343.3,2003-01-01,319,D,0
13.963,104.4984,323.4,2003-01-01,319,D,0
13.1781,106.9128,313.5,2003-01-01,319,D,0
13.8217,105.4317,311.7,2003-01-01,319,D,0
12.8816,105.4225,323.7,2003-01-01,319,D,2
12.8834,105.4087,331.9,2003-01-01,319,D,2
12.9012,107.0679,324.2,2003-01-01,319,D,0
12.0974,105.75,323.6,2003-01-01,618,D,0
12.7928,106.416,317.9,2003-01-01,618,D,0
12.9508,106.4983,323.9,2003-01-01,618,D,0
12.9832,106.5241,320.8,2003-01-01,618,D,0
13.0883,107.4746,336.8,2003-01-01,618,D,0
11.4026,103.2317,310.6,2003-01-01,618,D,0
12.9,106.655,317.6,2003-01-01,618,D,0
13.0325,107.207,333.1,2003-01-01,618,D,0
13.0312,107.1977,335.8,2003-01-01,618,D,0
13.0415,107.2057,326.1,2003-01-01,618,D,0
13.0402,107.1964,333.0,2003-01-01,618,D,0
13.066,107.2494,321.5,2003-01-01,618,D,0
13.0683,107.1952,325.8,2003-01-01,618,D,0
12.8987,106.6458,324.3,2003-01-01,618,D,0
12.3833,107.1007,319.4,2003-01-01,618,D,0
12.0988,105.7593,322.1,2003-01-01,618,D,0
12.333,102.7731,316.3,2003-01-01,618,D,0
12.558,106.5821,322.2,2003-01-01,618,D,0
12.9633,106.2569,326.1,2003-01-01,618,D,0
12.9543,106.2583,328.9,2003-01-01,618,D,0
12.9557,106.2674,365.7,2003-01-01,618,D,0
12.5748,105.8629,323.0,2003-01-01,618,D,0
13.0973,107.4734,324.0,2003-01-01,618,D,0
12.957,106.2765,349.8,2003-01-01,618,D,0
