latitude,longitude,brightness,acq_date,acq_time,daynight,type
13.2575,-87.2773,306.9,2003-01-01,416,N,0
13.2665,-87.2787,312.6,2003-01-01,416,N,0
13.2818,-87.3367,319.2,2003-01-03,1618,D,0
13.3409,-87.1224,327.8,2003-01-03,1917,D,0
13.5915,-87.7647,324.2,2003-01-03,1917,D,0
13.1615,-87.2141,325.9,2003-01-03,1917,D,0
15.1854,-85.8783,319.6,2003-01-03,1918,D,0
13.5311,-87.4443,304.3,2003-01-08,422,N,0
13.2537,-87.41,321.3,2003-01-08,1636,D,0
13.2821,-87.1397,328.1,2003-01-08,1936,D,0
13.28,-87.1573,358.4,2003-01-08,1936,D,0
15.0271,-84.2061,313.5,2003-01-09,1841,D,0
13.2808,-87.4229,311.5,2003-01-10,409,N,0
15.0941,-83.811,305.2,2003-01-10,410,N,0
15.122,-83.9887,315.2,2003-01-10,410,N,0
15.1275,-84.0025,327.6,2003-01-10,1623,D,0
15.0106,-84.2126,313.9,2003-01-10,1623,D,0
15.0754,-83.7907,326.8,2003-01-10,1623,D,0
15.0013,-84.2142,308.6,2003-01-10,1623,D,0
15.077,-83.801,337.5,2003-01-10,1623,D,0
15.0848,-83.7891,309.7,2003-01-10,1623,D,0
15.0864,-83.7995,317.1,2003-01-10,1623,D,0
15.0797,-83.6938,310.4,2003-01-10,1623,D,0
15.085,-83.6973,309.1,2003-01-10,1623,D,0
13.2836,-87.2726,326.0,2003-01-10,1624,D,0
13.0376,-87.0575,327.8,2003-01-10,1923,D,0
14.5323,-86.6861,309.4,2003-01-10,1924,D,0
15.0796,-83.8043,309.3,2003-01-11,1829,D,0
15.0867,-83.7986,311.9,2003-01-11,1829,D,0
14.7639,-84.3741,312.3,2003-01-12,358,N,0
14.7625,-84.3833,305.7,2003-01-12,358,N,0
14.7549,-84.3727,310.7,2003-01-12,358,N,0
13.3391,-87.2366,339.5,2003-01-12,1911,D,0
13.3405,-87.2274,325.0,2003-01-12,1911,D,0
14.1064,-87.1499,322.1,2003-01-12,1911,D,0
15.0975,-83.7782,324.1,2003-01-12,1912,D,0
15.1077,-83.7795,317.2,2003-01-12,1912,D,0
15.096,-83.7903,326.1,2003-01-12,1912,D,0
13.3297,-87.0918,309.1,2003-01-15,713,N,0
13.1679,-87.1882,328.1,2003-01-17,416,N,0
13.2145,-87.1855,311.9,2003-01-17,416,N,0
13.2713,-87.4391,309.5,2003-01-17,416,N,0
13.2674,-87.3122,319.2,2003-01-17,1630,D,0
13.3243,-87.2903,330.4,2003-01-17,1930,D,0
13.2817,-87.4174,330.2,2003-01-19,1618,D,0
14.052,-86.904,317.4,2003-01-19,1918,D,0
14.0507,-86.9138,330.2,2003-01-19,1918,D,0
14.0245,-87.223,323.1,2003-01-21,1905,D,0
14.3974,-88.7979,312.7,2003-01-24,1936,D,0
14.407,-88.7935,312.5,2003-01-24,1936,D,0
13.3417,-87.1476,323.6,2003-01-25,1841,D,0
13.3437,-87.154,324.2,2003-01-25,1841,D,0
14.7468,-84.3347,315.0,2003-01-26,1623,D,0
14.7561,-84.3333,324.2,2003-01-26,1623,D,0
13.4609,-87.5252,331.1,2003-01-26,1624,D,0
14.116,-87.2147,319.3,2003-01-26,1624,D,0
13.9645,-87.0596,311.2,2003-01-26,1624,D,0
13.327,-87.289,337.0,2003-01-26,1923,D,0
13.9578,-87.0593,316.3,2003-01-26,1923,D,0
15.3542,-84.4256,309.2,2003-01-26,1924,D,0
14.2145,-87.3688,322.2,2003-01-26,1924,D,0
14.1752,-87.7446,313.4,2003-01-26,1924,D,0
14.1738,-87.7552,312.2,2003-01-26,1924,D,0
14.3471,-88.5863,316.4,2003-01-26,1924,D,0
14.216,-87.3577,320.6,2003-01-26,1924,D,0
14.3831,-87.6338,337.4,2003-01-26,1924,D,0
14.3817,-87.6444,334.1,2003-01-26,1924,D,0
13.1802,-87.4215,304.4,2003-01-29,725,N,0
13.2793,-87.3865,316.4,2003-02-02,416,N,0
13.278,-87.3958,310.7,2003-02-02,416,N,0
13.287,-87.3972,305.4,2003-02-02,416,N,0
13.2883,-87.3878,308.3,2003-02-02,416,N,0
13.1802,-87.3215,321.4,2003-02-02,1630,D,0
13.0453,-86.9773,318.6,2003-02-02,1630,D,0
13.2815,-87.3692,314.5,2003-02-03,744,N,0
13.1942,-87.2287,321.8,2003-02-03,1834,D,0
14.7894,-84.2338,303.2,2003-02-04,404,N,0
15.2209,-87.9124,317.0,2003-02-04,1617,D,0
13.4179,-87.3847,331.4,2003-02-04,1917,D,0
13.4985,-86.9331,350.6,2003-02-04,1917,D,0
14.4056,-87.6287,331.8,2003-02-04,1918,D,0
15.4064,-87.969,315.8,2003-02-04,1918,D,0
15.2829,-88.0018,319.2,2003-02-04,1918,D,0
15.3813,-88.3522,317.6,2003-02-04,1918,D,0
15.2399,-88.3091,319.7,2003-02-04,1918,D,0
14.6219,-87.3933,309.0,2003-02-04,1918,D,0
14.7266,-84.3862,326.8,2003-02-04,1918,D,0
15.1725,-87.9312,316.7,2003-02-04,1918,D,0
15.2386,-88.3185,320.6,2003-02-04,1918,D,0
15.4112,-87.9747,309.9,2003-02-05,731,N,0
13.2859,-87.1289,322.1,2003-02-05,731,N,0
13.2735,-87.1689,308.6,2003-02-05,731,N,0
13.2721,-87.1596,316.0,2003-02-05,731,N,0
13.042,-87.0458,307.1,2003-02-06,351,N,0
14.399,-87.6004,346.8,2003-02-06,1605,D,0
14.3938,-87.5874,318.9,2003-02-06,1605,D,0
14.3963,-87.6067,348.9,2003-02-06,1605,D,0
14.3866,-87.602,319.0,2003-02-06,1605,D,0
14.4012,-87.6194,333.3,2003-02-06,1605,D,0
13.3257,-87.2262,323.7,2003-02-06,1606,D,0
13.0436,-87.0415,321.6,2003-02-06,1606,D,0
13.0403,-87.0358,321.3,2003-02-06,1606,D,0
13.3277,-87.2429,322.2,2003-02-06,1606,D,0
14.5596,-87.8217,315.6,2003-02-06,1905,D,0
13.8002,-87.6105,322.9,2003-02-06,1905,D,0
14.7582,-87.7931,315.1,2003-02-06,1905,D,0
13.0435,-87.0643,328.7,2003-02-06,1905,D,0
14.4002,-87.5949,365.0,2003-02-06,1905,D,0
14.2717,-87.7653,321.7,2003-02-06,1905,D,0
13.045,-87.0544,361.5,2003-02-06,1905,D,0
13.0465,-87.0444,332.5,2003-02-06,1905,D,0
13.0372,-87.0429,339.1,2003-02-06,1905,D,0
13.0387,-87.033,335.2,2003-02-06,1905,D,0
14.3877,-87.6139,327.7,2003-02-06,1905,D,0
14.3893,-87.6036,353.0,2003-02-06,1905,D,0
14.3909,-87.5933,341.3,2003-02-06,1905,D,0
14.5707,-87.8128,316.2,2003-02-06,1905,D,0
13.8018,-87.5995,321.0,2003-02-06,1905,D,0
15.401,-87.9975,315.5,2003-02-06,1906,D,0
15.1805,-87.9166,319.2,2003-02-06,1906,D,0
15.2857,-87.9616,331.9,2003-02-06,1906,D,0
15.1789,-87.927,324.5,2003-02-06,1906,D,0
15.3806,-87.8772,316.0,2003-02-06,1906,D,0
15.7884,-87.9375,312.7,2003-02-06,1906,D,0
15.2698,-88.0021,319.1,2003-02-06,1906,D,0
15.213,-87.912,314.5,2003-02-07,1648,D,0
15.5287,-84.3269,316.0,2003-02-08,1853,D,0
14.7487,-84.1256,319.3,2003-02-08,1853,D,0
14.7472,-84.1355,314.7,2003-02-08,1853,D,0
15.3311,-84.4757,315.6,2003-02-08,1853,D,0
15.3296,-84.4857,314.5,2003-02-08,1853,D,0
15.4281,-84.3859,313.0,2003-02-08,1853,D,0
15.5302,-84.3171,317.1,2003-02-08,1853,D,0
14.1603,-87.3221,317.4,2003-02-08,1853,D,0
15.3458,-88.1712,313.3,2003-02-08,1853,D,0
15.4301,-88.0067,314.5,2003-02-08,1853,D,0
15.3858,-85.6356,316.3,2003-02-08,1853,D,0
15.3841,-85.6463,306.3,2003-02-08,1853,D,0
15.6728,-86.7411,313.5,2003-02-08,1853,D,0
15.6543,-87.2837,309.1,2003-02-08,1854,D,0
15.6247,-87.8085,313.7,2003-02-08,1854,D,0
14.2912,-87.6967,320.6,2003-02-09,1636,D,0
15.0843,-86.5208,308.1,2003-02-09,1636,D,0
14.2897,-87.6867,327.2,2003-02-09,1636,D,0
13.2072,-87.3706,323.2,2003-02-09,1636,D,0
14.8115,-84.2286,308.1,2003-02-09,1636,D,0
14.9994,-87.9212,321.4,2003-02-09,1936,D,0
14.5037,-86.9225,333.4,2003-02-10,1841,D,0
15.2697,-84.1256,313.4,2003-02-10,1841,D,0
15.3307,-84.1136,310.6,2003-02-10,1841,D,0
14.5016,-86.9103,300.7,2003-02-11,410,N,0
15.2088,-88.5019,323.5,2003-02-11,1623,D,0
14.8358,-84.2581,314.7,2003-02-11,1623,D,0
13.2709,-87.2276,332.7,2003-02-11,1624,D,0
14.5561,-86.9427,316.5,2003-02-11,1624,D,0
14.4805,-87.6424,319.9,2003-02-11,1624,D,0
14.1769,-87.3159,318.9,2003-02-11,1624,D,0
13.5383,-87.7418,326.4,2003-02-11,1624,D,0
13.4843,-87.449,332.4,2003-02-11,1924,D,0
14.5113,-86.9207,320.7,2003-02-11,1924,D,0
14.1721,-87.327,328.4,2003-02-11,1924,D,0
13.5362,-87.741,334.5,2003-02-11,1924,D,0
14.2548,-87.0206,337.8,2003-02-11,1924,D,0
14.2533,-87.0326,333.8,2003-02-11,1924,D,0
13.0237,-87.0469,309.8,2003-02-13,357,N,0
14.8126,-84.2648,304.0,2003-02-13,358,N,0
13.8427,-87.5628,326.5,2003-02-13,1911,D,0
13.3589,-87.0867,339.4,2003-02-13,1911,D,0
13.3323,-86.7603,326.4,2003-02-13,1911,D,0
15.6542,-84.5553,312.6,2003-02-13,1912,D,0
15.1615,-84.4943,318.7,2003-02-13,1912,D,0
14.5686,-87.8285,327.0,2003-02-13,1912,D,0
13.2872,-87.0834,303.1,2003-02-14,440,N,0
13.293,-87.0903,303.0,2003-02-14,440,N,0
