latitude,longitude,brightness,acq_date,acq_time,daynight,type
35.4213,44.1894,307.0,2003-01-01,809,D,2
35.6802,43.8761,302.6,2003-01-01,809,D,2
35.4118,44.187,304.6,2003-01-01,809,D,2
35.4052,44.2252,309.8,2003-01-01,809,D,0
35.386,44.2203,312.6,2003-01-01,809,D,2
35.6838,43.8829,304.3,2003-01-01,809,D,2
35.5293,44.3497,304.0,2003-01-01,809,D,2
35.7264,44.0358,303.4,2003-01-01,809,D,0
35.5316,44.3368,303.9,2003-01-01,809,D,2
30.8218,47.3419,306.3,2003-01-01,810,D,2
30.8753,47.3398,312.3,2003-01-01,810,D,2
30.4853,47.6033,300.8,2003-01-01,810,D,2
30.5293,47.5905,302.4,2003-01-01,810,D,2
30.8799,47.3173,302.2,2003-01-01,810,D,2
30.755,47.6663,302.6,2003-01-01,810,D,2
30.8264,47.3193,305.2,2003-01-01,810,D,2
30.6919,47.3241,305.5,2003-01-01,810,D,2
32.3705,47.3963,302.2,2003-01-01,810,D,2
30.6872,47.3468,300.9,2003-01-01,810,D,2
30.5594,47.3229,302.4,2003-01-01,810,D,2
34.8994,43.8103,302.1,2003-01-01,810,D,2
30.5243,47.6142,300.0,2003-01-01,810,D,2
30.8247,47.3257,315.4,2003-01-01,810,D,2
34.8899,43.808,300.5,2003-01-01,810,D,2
30.1738,47.386,306.4,2003-01-01,811,D,2
30.3616,47.632,301.8,2003-01-01,811,D,2
30.1642,47.433,301.8,2003-01-01,811,D,2
30.2701,47.7556,316.0,2003-01-01,811,D,2
30.2143,47.378,303.7,2003-01-01,811,D,2
30.2094,47.4013,314.6,2003-01-01,811,D,2
30.1707,47.3906,310.8,2003-01-01,811,D,2
30.2801,47.3785,302.3,2003-01-01,811,D,2
30.4141,47.6282,301.7,2003-01-01,811,D,2
30.3563,47.3318,301.2,2003-01-01,811,D,2
30.4236,47.5989,306.1,2003-01-01,811,D,2
30.4191,47.6044,310.9,2003-01-01,811,D,2
30.3281,47.7253,303.0,2003-01-01,811,D,2
30.3587,47.3271,301.8,2003-01-01,811,D,2
30.4187,47.6227,306.6,2003-01-01,811,D,2
30.1075,47.442,307.3,2003-01-01,811,D,2
30.2702,47.7349,318.3,2003-01-01,811,D,2
30.5305,47.5934,310.6,2003-01-01,941,D,2
30.8179,47.3253,322.9,2003-01-01,941,D,2
30.2627,47.7119,305.8,2003-01-01,941,D,2
30.5588,47.3037,304.6,2003-01-01,941,D,2
30.202,47.3838,315.1,2003-01-01,941,D,2
30.821,47.3419,300.8,2003-01-01,941,D,2
30.879,47.3371,315.1,2003-01-01,941,D,2
30.6776,47.3208,308.2,2003-01-01,941,D,2
30.2132,47.381,309.1,2003-01-01,941,D,2
30.751,47.66,302.0,2003-01-01,941,D,2
30.4154,47.594,307.7,2003-01-01,941,D,2
30.554,47.3401,305.4,2003-01-01,941,D,2
30.8762,47.3277,320.7,2003-01-01,941,D,2
30.3202,47.7085,301.7,2003-01-01,941,D,2
30.4868,47.6045,308.4,2003-01-01,941,D,2
30.6807,47.3375,305.7,2003-01-01,941,D,2
30.366,47.6467,303.9,2003-01-01,941,D,2
30.4921,47.3209,304.9,2003-01-01,941,D,2
30.8758,47.3205,312.9,2003-01-01,941,D,2
30.6079,47.3212,305.9,2003-01-01,941,D,2
30.7607,47.3274,305.3,2003-01-01,941,D,2
30.68,47.3306,312.3,2003-01-01,941,D,2
30.1091,47.4492,307.6,2003-01-01,941,D,2
30.4184,47.6102,315.8,2003-01-01,941,D,2
30.3636,47.6241,307.0,2003-01-01,941,D,2
30.106,47.4324,310.2,2003-01-01,941,D,2
30.5196,47.5962,303.9,2003-01-01,941,D,2
30.3232,47.7245,311.5,2003-01-01,941,D,2
30.2052,47.4006,309.2,2003-01-01,941,D,2
30.562,47.3205,306.4,2003-01-01,941,D,2
32.3679,47.3938,308.2,2003-01-01,942,D,2
32.3709,47.4093,308.1,2003-01-01,942,D,2
32.3651,47.4015,316.5,2003-01-01,942,D,2
35.5174,44.341,303.2,2003-01-01,943,D,2
35.5205,44.3323,302.8,2003-01-01,943,D,2
35.4099,44.1923,303.4,2003-01-01,943,D,2
30.1109,47.4375,300.4,2003-01-01,1910,N,2
30.564,47.3181,301.1,2003-01-01,1910,N,2
30.2702,47.7458,314.4,2003-01-01,1910,N,2
30.1718,47.4207,300.9,2003-01-01,1910,N,2
30.4163,47.602,316.4,2003-01-01,1910,N,2
30.1611,47.411,309.8,2003-01-01,1910,N,2
30.2064,47.3917,323.1,2003-01-01,1910,N,2
30.2846,47.361,312.4,2003-01-01,1910,N,2
30.6184,47.3263,313.9,2003-01-01,1910,N,2
30.4534,47.6673,300.8,2003-01-01,1910,N,2
30.4177,47.6136,318.5,2003-01-01,1910,N,2
30.3293,47.7182,305.2,2003-01-01,1910,N,0
30.6854,47.3265,301.8,2003-01-01,1910,N,2
30.3718,47.6332,321.7,2003-01-01,1910,N,2
30.2688,47.7341,303.9,2003-01-01,1910,N,2
30.1704,47.4093,323.6,2003-01-01,1910,N,2
30.2158,47.3901,320.9,2003-01-01,1910,N,2
30.6916,47.3308,300.7,2003-01-01,1910,N,2
30.2753,47.3626,307.7,2003-01-01,1910,N,2
30.4893,47.6077,315.9,2003-01-01,1910,N,2
30.2658,47.7107,303.1,2003-01-01,1910,N,2
30.2783,47.7325,303.0,2003-01-01,1910,N,2
30.5366,47.5998,300.3,2003-01-01,1910,N,2
30.2797,47.7443,310.6,2003-01-01,1910,N,2
30.7519,47.665,301.7,2003-01-01,1910,N,2
30.3541,46.8372,303.9,2003-01-01,1910,N,0
30.5271,47.6014,310.5,2003-01-01,1910,N,2
30.8303,47.3246,315.7,2003-01-01,1911,N,2
32.3687,47.4035,312.5,2003-01-01,1911,N,2
30.8317,47.3361,300.5,2003-01-01,1911,N,2
30.768,47.3294,302.4,2003-01-01,1911,N,2
30.8846,47.3323,328.1,2003-01-01,1911,N,2
35.2456,44.4328,306.3,2003-01-01,1912,N,2
35.4149,44.1939,314.5,2003-01-01,1912,N,2
30.2088,47.4154,300.1,2003-01-01,2324,N,2
30.2706,47.77,300.1,2003-01-01,2324,N,2
30.2119,47.3846,306.9,2003-01-02,715,D,2
30.8838,47.3238,306.5,2003-01-02,715,D,2
30.5294,47.6021,304.1,2003-01-02,715,D,2
30.2808,47.3616,314.7,2003-01-02,715,D,2
30.4561,47.6617,301.8,2003-01-02,715,D,0
30.3229,47.7299,301.9,2003-01-02,715,D,2
30.8771,47.3367,313.1,2003-01-02,715,D,2
30.7686,47.3233,301.2,2003-01-02,715,D,2
30.5699,47.3185,316.9,2003-01-02,715,D,2
30.8819,47.3435,308.5,2003-01-02,715,D,2
30.2175,47.3923,311.1,2003-01-02,715,D,2
32.3646,47.407,304.5,2003-01-02,715,D,2
30.7621,47.3356,303.2,2003-01-02,715,D,2
30.1724,47.418,304.3,2003-01-02,715,D,2
30.6109,47.3305,311.0,2003-01-02,715,D,2
30.21,47.4036,304.6,2003-01-02,715,D,2
30.1605,47.4165,312.9,2003-01-02,716,D,2
30.8876,47.5409,303.3,2003-01-02,1024,D,0
30.2717,47.7369,324.9,2003-01-02,1024,D,2
30.8784,47.3341,324.5,2003-01-02,1024,D,2
30.8767,47.3172,314.2,2003-01-02,1024,D,2
35.0189,43.5031,302.4,2003-01-02,1025,D,0
34.8901,43.7935,302.8,2003-01-02,1025,D,2
34.8916,43.8061,314.8,2003-01-02,1025,D,2
35.3766,44.2075,301.5,2003-01-02,1026,D,0
35.3782,44.2209,305.0,2003-01-02,1026,D,2
35.6841,43.8722,309.0,2003-01-02,1026,D,2
35.24,44.4365,308.2,2003-01-02,1026,D,2
35.4145,44.1873,315.4,2003-01-02,1026,D,2
35.5231,44.3427,304.7,2003-01-02,1026,D,2
35.4816,44.1567,300.8,2003-01-02,1026,D,2
35.6621,43.9635,305.1,2003-01-02,1026,D,2
35.2385,44.4229,308.8,2003-01-02,1026,D,2
35.7218,44.0274,302.9,2003-01-02,1026,D,0
30.1669,47.4142,300.5,2003-01-02,2229,N,2
30.2186,47.3973,306.4,2003-01-02,2229,N,2
30.2838,47.3643,308.4,2003-01-02,2229,N,2
30.3311,47.7257,301.6,2003-01-02,2229,N,0
30.2207,47.3923,301.5,2003-01-02,2229,N,2
30.2089,47.3958,308.8,2003-01-02,2229,N,2
30.2801,47.7418,319.6,2003-01-02,2229,N,2
30.3922,47.5698,307.9,2003-01-02,2229,N,0
30.2786,47.7537,303.2,2003-01-02,2229,N,2
35.625,44.0091,303.7,2003-01-03,757,D,2
35.4144,44.1868,305.3,2003-01-03,757,D,2
35.531,44.3367,306.3,2003-01-03,757,D,2
35.2483,44.4358,314.2,2003-01-03,757,D,2
35.4842,44.1523,301.4,2003-01-03,757,D,2
32.2763,45.3826,302.7,2003-01-03,758,D,0
32.2782,45.3713,302.6,2003-01-03,758,D,0
33.4878,44.3467,300.9,2003-01-03,758,D,0
35.2441,44.4283,315.8,2003-01-03,1859,N,2
35.4179,44.1825,300.9,2003-01-03,1900,N,2
35.3845,44.2165,309.3,2003-01-03,1900,N,2
35.42,44.1948,305.1,2003-01-03,1900,N,2
35.2517,44.4284,301.8,2003-01-03,2311,N,2
35.2494,44.4414,304.7,2003-01-03,2311,N,2
35.4162,44.1941,307.7,2003-01-03,2311,N,2
30.2671,47.7387,337.5,2003-01-04,1012,D,2
30.6161,47.3189,318.1,2003-01-04,1012,D,2
30.3189,47.7236,314.4,2003-01-04,1012,D,2
30.1675,47.403,304.7,2003-01-04,1012,D,2
30.6175,47.3303,312.4,2003-01-04,1012,D,2
30.4561,47.6644,305.3,2003-01-04,1012,D,2
30.2766,47.7371,312.2,2003-01-04,1012,D,2
30.2745,47.367,313.0,2003-01-04,1012,D,2
30.5545,47.336,310.8,2003-01-04,1012,D,2
30.4503,47.6601,305.6,2003-01-04,1012,D,0
30.2035,47.3854,315.1,2003-01-04,1012,D,2
30.4884,47.3067,309.9,2003-01-04,1012,D,2
30.2143,47.3952,316.9,2003-01-04,1012,D,2
30.1689,47.4144,312.2,2003-01-04,1012,D,2
30.1596,47.416,312.3,2003-01-04,1012,D,2
30.2049,47.3967,316.5,2003-01-04,1012,D,2
30.0979,47.8509,303.7,2003-01-04,1012,D,0
30.4518,47.6718,306.5,2003-01-04,1012,D,2
30.4899,47.318,338.8,2003-01-04,1012,D,2
30.2128,47.3839,315.0,2003-01-04,1012,D,2
30.273,47.3557,319.8,2003-01-04,1012,D,2
30.3521,47.3363,308.8,2003-01-04,1012,D,2
30.0964,47.8391,305.4,2003-01-04,1012,D,0
30.3614,47.3347,311.5,2003-01-04,1012,D,2
33.9825,44.1821,304.0,2003-01-04,1013,D,0
30.2106,47.3746,300.1,2003-01-04,1941,N,2
30.2226,47.3945,300.4,2003-01-04,2217,N,2
30.2784,47.7448,317.4,2003-01-04,2217,N,2
30.2812,47.757,300.4,2003-01-04,2217,N,2
30.2831,47.739,303.9,2003-01-04,2217,N,2
30.2827,47.3569,310.6,2003-01-05,746,D,2
30.3892,47.5636,314.1,2003-01-05,746,D,0
30.3875,47.5744,304.4,2003-01-05,746,D,0
30.3265,47.7189,305.7,2003-01-05,746,D,2
30.4549,47.6732,306.5,2003-01-05,746,D,2
30.1622,47.4144,321.4,2003-01-05,746,D,2
30.4427,47.5138,302.7,2003-01-05,746,D,0
30.6845,47.3332,312.4,2003-01-05,746,D,2
30.3598,47.3354,311.8,2003-01-05,746,D,2
30.2037,47.3898,310.2,2003-01-05,746,D,2
30.3247,47.7299,310.8,2003-01-05,746,D,2
30.2769,47.7472,317.4,2003-01-05,746,D,2
30.6862,47.3226,302.0,2003-01-05,746,D,2
30.281,47.3676,313.1,2003-01-05,746,D,2
30.8232,47.3306,327.2,2003-01-05,746,D,2
30.6122,47.3232,316.8,2003-01-05,746,D,2
30.2127,47.3917,342.3,2003-01-05,746,D,2
30.3581,47.3461,306.8,2003-01-05,746,D,2
30.5529,47.3439,317.8,2003-01-05,746,D,2
30.1007,47.852,315.5,2003-01-05,746,D,0
30.1025,47.8409,318.0,2003-01-05,746,D,0
30.368,47.6375,312.7,2003-01-05,746,D,2
30.5653,47.3245,323.6,2003-01-05,746,D,2
30.211,47.4025,311.4,2003-01-05,746,D,2
30.567,47.3138,357.5,2003-01-05,746,D,2
30.2787,47.7362,309.7,2003-01-05,746,D,2
30.4932,47.3141,306.6,2003-01-05,746,D,2
