latitude,longitude,brightness,acq_date,acq_time,daynight,type
33.0106,35.5836,309.4,2003-01-12,1102,D,0
32.8045,35.6973,306.8,2003-01-24,817,D,0
32.146,34.8656,305.9,2003-02-17,1038,D,0
32.2251,34.8865,323.2,2003-05-06,1049,D,0
31.2667,34.7153,322.9,2003-05-08,905,D,0
32.8548,35.0836,323.2,2003-05-09,810,D,0
32.7384,35.0232,320.0,2003-05-09,1120,D,0
31.9428,34.764,326.3,2003-05-11,1108,D,0
32.4554,35.4573,339.0,2003-05-12,840,D,0
32.4576,35.4443,326.4,2003-05-12,840,D,0
32.9027,35.7045,313.8,2003-05-12,1941,N,0
32.9155,35.7298,306.5,2003-05-12,1941,N,0
32.9244,35.7278,338.6,2003-05-12,1941,N,0
31.3243,34.5565,327.8,2003-05-14,828,D,0
31.5101,34.8049,325.7,2003-05-19,847,D,0
32.1033,34.9459,305.9,2003-05-19,1947,N,0
32.0968,34.8389,309.6,2003-05-19,1947,N,0
32.3158,34.884,306.7,2003-05-19,1947,N,0
31.6062,34.7655,303.6,2003-05-19,1947,N,0
31.7321,34.7437,304.8,2003-05-19,1947,N,0
31.7394,34.9803,301.3,2003-05-19,1947,N,0
31.6151,34.7636,305.0,2003-05-19,1947,N,0
31.6136,34.7531,304.0,2003-05-19,1947,N,0
31.0735,35.0304,304.4,2003-05-19,1947,N,0
31.4227,34.5875,306.5,2003-05-19,1947,N,0
31.4212,34.5769,301.7,2003-05-19,1947,N,0
32.0944,34.9477,307.6,2003-05-19,1947,N,0
32.0774,34.8321,311.4,2003-05-19,1947,N,0
32.0498,34.9569,308.1,2003-05-19,1947,N,0
32.0136,34.7758,314.7,2003-05-19,1947,N,0
32.026,34.86,306.3,2003-05-19,1947,N,0
31.8784,34.7337,304.8,2003-05-19,1947,N,0
31.8799,34.7443,302.6,2003-05-19,1947,N,0
31.8908,34.8179,307.4,2003-05-19,1947,N,0
31.871,34.7461,306.4,2003-05-19,1947,N,0
31.864,34.8235,304.0,2003-05-19,1947,N,0
31.7861,35.1755,306.0,2003-05-19,1947,N,0
32.9264,35.0904,303.0,2003-05-19,1948,N,0
32.8406,35.0704,304.7,2003-05-19,1948,N,0
32.808,35.0988,304.7,2003-05-19,1948,N,0
32.8095,35.1094,306.3,2003-05-19,1948,N,0
32.811,35.1199,303.5,2003-05-19,1948,N,0
32.7534,35.1055,302.7,2003-05-19,1948,N,0
31.5162,34.5294,326.0,2003-05-24,905,D,0
31.509,34.5324,331.6,2003-05-24,905,D,0
32.2175,34.8815,324.8,2003-05-26,1025,D,0
32.2245,34.8864,323.8,2003-05-26,1025,D,0
30.3568,35.1559,306.6,2003-05-26,1953,N,0
32.6254,35.4212,343.0,2003-05-29,1056,D,0
32.624,35.4101,335.6,2003-05-29,1056,D,0
32.3863,35.5541,310.6,2003-05-30,2342,N,0
31.6615,34.7957,329.2,2003-06-01,816,D,0
31.8339,34.837,328.0,2003-06-03,1114,D,0
31.3411,35.1511,331.6,2003-06-04,847,D,0
31.3238,34.3931,328.0,2003-06-04,847,D,0
32.4111,35.542,332.5,2003-06-05,1102,D,0
32.7997,35.8036,305.6,2003-06-06,1935,N,0
32.7936,35.7989,307.3,2003-06-06,1935,N,0
31.4612,34.4743,321.9,2003-06-07,917,D,0
31.4736,34.4714,318.7,2003-06-07,917,D,0
31.3308,34.3823,327.9,2003-06-11,1024,D,0
31.5833,34.6299,325.3,2003-06-15,828,D,0
31.5743,34.6282,330.6,2003-06-15,828,D,0
32.4396,35.4688,332.2,2003-06-15,828,D,0
31.3359,34.4246,356.1,2003-06-15,828,D,0
31.3344,34.4351,340.9,2003-06-15,828,D,0
32.9477,35.7758,331.6,2003-06-16,1043,D,0
32.9461,35.765,339.6,2003-06-16,1043,D,0
32.9965,35.7636,304.3,2003-06-17,2330,N,0
31.4441,34.7896,357.3,2003-06-18,1031,D,0
31.4409,34.773,331.0,2003-06-18,1031,D,0
33.0072,35.649,331.5,2003-06-18,1031,D,0
31.6548,34.5416,335.0,2003-06-18,1959,N,0
32.9501,35.3243,305.3,2003-06-18,2000,N,0
31.4814,34.6138,351.5,2003-06-19,1114,D,0
33.1824,35.8182,305.3,2003-06-19,2318,N,0
31.5076,34.814,301.5,2003-06-23,2254,N,0
31.3571,34.3943,330.0,2003-06-25,1037,D,0
31.4158,34.5645,341.8,2003-06-25,1037,D,0
32.8792,35.5475,332.9,2003-07-03,815,D,0
31.3726,34.4532,340.2,2003-07-03,816,D,0
31.3795,34.6412,350.7,2003-07-05,1114,D,0
32.7919,35.7701,303.8,2003-07-05,2318,N,0
31.9343,34.849,330.0,2003-07-06,846,D,0
32.2585,34.9477,328.8,2003-07-06,846,D,0
31.9346,34.8576,328.3,2003-07-06,846,D,0
32.7743,35.7801,330.4,2003-07-06,1019,D,0
32.7688,35.7654,332.7,2003-07-06,1019,D,0
31.4739,34.8899,309.9,2003-07-06,1947,N,0
32.7704,35.7679,308.6,2003-07-06,1947,N,0
32.8858,35.8153,316.3,2003-07-09,916,D,0
32.8862,35.8229,316.9,2003-07-09,916,D,0
31.5827,34.7006,317.3,2003-07-09,917,D,0
31.5834,34.6764,339.6,2003-07-09,1049,D,0
31.5818,34.6659,332.0,2003-07-09,1049,D,0
32.2913,34.9745,327.9,2003-07-09,1049,D,0
32.8808,35.8106,331.7,2003-07-09,1050,D,0
31.4964,34.844,332.5,2003-07-12,1120,D,0
32.3066,34.8545,324.4,2003-07-13,852,D,0
31.3647,34.5412,330.0,2003-07-13,852,D,0
31.3501,34.4036,330.0,2003-07-13,1025,D,0
32.6702,35.4212,330.4,2003-07-13,1025,D,0
32.4825,34.9926,305.4,2003-07-13,1953,N,0
31.9414,34.7947,328.8,2003-07-16,1055,D,0
32.9396,35.8786,333.6,2003-07-19,815,D,0
31.8304,34.7773,330.6,2003-07-19,815,D,0
32.6103,35.1798,327.0,2003-07-24,833,D,0
31.8712,34.9032,328.9,2003-07-25,1049,D,0
31.477,34.5536,343.9,2003-07-25,1049,D,0
32.8601,35.8233,367.1,2003-08-01,1055,D,0
32.8523,35.8365,347.5,2003-08-01,1055,D,0
32.8508,35.825,349.0,2003-08-01,1055,D,0
32.8616,35.8348,386.8,2003-08-01,1055,D,0
32.6785,35.5316,332.4,2003-08-04,1126,D,0
32.682,35.5588,338.0,2003-08-04,1126,D,0
32.6811,35.5676,335.2,2003-08-04,1126,D,0
30.3796,35.1504,316.4,2003-08-07,1946,N,0
30.3707,35.1522,310.8,2003-08-07,1946,N,0
32.8782,35.5336,337.6,2003-08-08,1101,D,0
33.1114,35.5536,326.5,2003-08-11,821,D,0
33.1129,35.5423,332.6,2003-08-11,821,D,0
32.4542,35.5656,331.6,2003-08-12,1037,D,0
32.0055,34.9279,327.3,2003-08-15,757,D,0
31.5564,34.8742,357.1,2003-08-15,1107,D,0
31.565,34.8591,330.9,2003-08-15,1107,D,0
31.5666,34.8726,350.4,2003-08-15,1107,D,0
31.858,34.7641,344.6,2003-08-17,1055,D,0
31.372,34.6395,349.6,2003-08-17,1055,D,0
32.439,35.4688,332.2,2003-08-26,1049,D,0
32.4133,35.5409,336.1,2003-08-28,1037,D,0
32.4112,35.5288,375.4,2003-08-28,1037,D,0
31.5025,34.5276,326.9,2003-08-31,757,D,0
31.498,34.521,324.3,2003-08-31,757,D,0
31.5871,34.5472,333.0,2003-08-31,1108,D,0
31.8364,34.8979,337.0,2003-09-02,1055,D,0
31.5081,34.9187,333.5,2003-09-02,1055,D,0
31.5171,34.917,340.1,2003-09-02,1055,D,0
31.5156,34.9064,342.7,2003-09-02,1055,D,0
32.5494,35.558,332.9,2003-09-04,1043,D,0
33.0126,35.5723,324.1,2003-09-06,858,D,0
31.4903,34.6705,335.3,2003-09-08,846,D,0
31.4803,34.668,326.0,2003-09-08,846,D,0
31.8473,34.6756,326.2,2003-09-09,1102,D,0
31.683,34.752,325.3,2003-09-09,1102,D,0
31.4177,34.8048,327.3,2003-09-10,834,D,0
32.7876,35.7803,348.3,2003-09-11,1050,D,0
31.8219,34.8302,304.1,2003-09-15,1953,N,0
31.5882,34.9393,349.6,2003-09-18,1055,D,0
31.7739,34.767,329.7,2003-09-19,828,D,0
31.2038,34.3449,332.7,2003-09-20,1043,D,0
33.2207,35.5883,330.5,2003-09-22,1031,D,0
32.0415,34.8358,314.8,2003-09-24,1947,N,0
32.8985,35.6369,325.6,2003-09-27,1050,D,0
32.9226,35.8666,324.0,2003-09-29,1037,D,0
32.9094,35.8452,320.5,2003-09-29,1037,D,0
32.9113,35.8569,330.1,2003-09-29,1037,D,0
31.5067,34.7233,325.8,2003-10-03,840,D,0
32.7853,35.048,318.6,2003-10-05,1929,N,0
32.788,35.0632,316.8,2003-10-05,1929,N,0
32.5725,34.9748,316.4,2003-10-06,910,D,0
31.2045,35.0156,322.4,2003-10-08,859,D,0
31.9583,34.9688,322.7,2003-10-08,1031,D,0
31.6693,34.5881,325.2,2003-10-11,1102,D,0
31.8196,34.8252,305.9,2003-10-12,1935,N,0
31.8211,34.8311,323.9,2003-10-12,1935,N,0
31.8234,34.8445,303.5,2003-10-12,1935,N,0
31.822,34.8385,319.6,2003-10-12,1935,N,0
32.0114,34.9404,320.1,2003-10-14,822,D,0
32.8776,35.3368,313.6,2003-10-16,809,D,0
31.7382,34.7477,317.7,2003-10-19,840,D,0
31.6399,34.6476,321.6,2003-10-22,1043,D,0
32.2365,34.8436,320.0,2003-10-22,1043,D,0
31.4057,34.5986,320.1,2003-10-28,834,D,0
31.6513,34.6244,312.5,2003-10-28,834,D,0
32.477,35.0234,305.0,2003-10-28,834,D,0
32.3678,34.8825,302.2,2003-10-28,1935,N,0
33.0701,35.6233,311.1,2003-10-30,821,D,0
32.836,35.8089,345.1,2003-11-03,757,D,0
31.3902,34.4129,317.5,2003-11-04,840,D,0
32.5841,35.3793,316.9,2003-11-04,840,D,0
31.385,34.4057,318.2,2003-11-04,840,D,0
31.4304,34.6163,315.3,2003-11-06,828,D,0
31.4289,34.6268,316.2,2003-11-06,828,D,0
32.5785,35.5466,306.4,2003-11-13,1007,D,0
32.5738,35.5446,307.5,2003-11-13,1007,D,0
32.9525,35.2707,317.4,2003-11-15,822,D,0
32.954,35.2592,304.7,2003-11-15,822,D,0
32.6403,35.4824,316.5,2003-11-16,1038,D,0
