latitude,longitude,brightness,acq_date,acq_time,daynight,type
21.7317,101.0231,308.6,2003-01-01,621,D,0
20.1929,95.5173,315.7,2003-01-02,704,D,0
21.5398,95.5571,315.2,2003-01-02,704,D,0
22.7065,95.8384,315.8,2003-01-02,704,D,0
22.7051,95.8274,328.7,2003-01-02,704,D,0
21.6109,95.5394,312.1,2003-01-02,704,D,0
22.4877,93.419,306.5,2003-01-02,704,D,0
22.5849,93.5894,305.7,2003-01-02,704,D,0
22.4588,93.4102,311.3,2003-01-02,704,D,0
22.4677,93.4088,313.6,2003-01-02,704,D,0
22.4774,93.4109,307.6,2003-01-02,704,D,0
27.2997,97.5288,315.0,2003-01-02,705,D,0
27.2884,97.5228,313.1,2003-01-02,705,D,0
27.2997,97.5214,314.3,2003-01-02,705,D,0
25.2368,94.5664,302.0,2003-01-02,705,D,0
23.5403,93.7669,303.4,2003-01-02,705,D,0
25.629,96.3405,307.4,2003-01-02,705,D,0
27.2979,97.5125,308.9,2003-01-02,705,D,0
22.8321,95.8566,308.3,2003-01-03,443,D,0
16.7383,95.8686,318.1,2003-01-04,650,D,0
16.7556,95.9809,319.1,2003-01-04,650,D,0
17.2573,96.7392,318.0,2003-01-04,651,D,0
17.2244,96.5179,314.6,2003-01-04,651,D,0
19.8748,95.0189,312.8,2003-01-04,651,D,0
19.3287,96.2844,313.7,2003-01-04,651,D,0
18.9136,95.2443,320.6,2003-01-04,651,D,0
17.3814,97.7189,320.6,2003-01-04,651,D,0
22.9661,98.2218,302.7,2003-01-04,652,D,0
21.2755,96.8155,315.0,2003-01-04,652,D,0
22.532,93.538,345.0,2003-01-04,652,D,0
22.5352,93.5425,326.0,2003-01-04,652,D,0
23.8226,94.171,315.1,2003-01-04,652,D,0
23.5188,98.3125,311.6,2003-01-04,652,D,0
22.7725,95.8303,317.1,2003-01-04,652,D,0
22.4755,96.0696,313.4,2003-01-04,652,D,0
21.0955,95.3481,316.8,2003-01-04,652,D,0
23.6614,95.7336,315.0,2003-01-04,652,D,0
23.9554,98.5592,312.3,2003-01-04,652,D,0
23.5812,98.008,301.8,2003-01-04,652,D,0
23.6628,95.7434,321.1,2003-01-04,652,D,0
27.288,97.513,310.8,2003-01-04,653,D,0
27.4457,98.4685,305.7,2003-01-04,653,D,0
27.4443,98.457,326.8,2003-01-04,653,D,0
27.5304,97.3988,303.6,2003-01-04,653,D,0
27.5476,97.3848,304.2,2003-01-04,653,D,0
27.5569,97.3832,308.5,2003-01-04,653,D,0
27.2894,97.524,312.3,2003-01-04,653,D,0
26.539,95.1834,317.3,2003-01-04,653,D,0
26.5375,95.1734,378.6,2003-01-04,653,D,0
26.5361,95.1635,354.6,2003-01-04,653,D,0
26.5464,95.1718,317.7,2003-01-04,653,D,0
25.293,97.4088,309.7,2003-01-04,653,D,0
22.6325,93.5418,307.8,2003-01-05,430,D,0
21.3515,93.7771,315.8,2003-01-05,431,D,0
23.2348,93.6296,308.6,2003-01-05,735,D,0
16.8416,95.2383,314.4,2003-01-06,638,D,0
17.1959,95.699,315.8,2003-01-06,638,D,0
16.8353,95.3458,310.4,2003-01-06,638,D,0
17.1954,95.7101,308.6,2003-01-06,638,D,0
17.1927,95.6944,311.8,2003-01-06,638,D,0
16.8472,95.2309,318.5,2003-01-06,638,D,0
17.3703,96.7363,316.3,2003-01-06,638,D,0
17.3133,96.6832,316.2,2003-01-06,638,D,0
17.713,96.737,316.1,2003-01-06,638,D,0
21.2011,96.117,312.8,2003-01-06,639,D,0
21.122,97.993,311.3,2003-01-06,639,D,0
21.4169,97.9216,310.0,2003-01-06,639,D,0
21.4137,97.9007,308.1,2003-01-06,639,D,0
21.4738,97.8199,314.8,2003-01-06,639,D,0
22.9811,95.8329,309.8,2003-01-06,640,D,0
21.6597,97.6037,309.8,2003-01-06,640,D,0
21.6533,97.6009,308.5,2003-01-06,640,D,0
23.5168,95.7815,325.0,2003-01-06,640,D,0
25.4947,97.3813,307.0,2003-01-06,641,D,0
21.1189,96.5869,303.9,2003-01-07,418,D,0
21.7816,93.5528,307.6,2003-01-07,418,D,0
21.7393,93.5513,304.4,2003-01-07,418,D,0
23.2908,93.7676,304.7,2003-01-07,418,D,0
19.7582,96.8596,318.2,2003-01-07,419,D,0
19.7567,96.8692,311.3,2003-01-07,419,D,0
16.9033,95.2347,309.7,2003-01-07,420,D,0
16.9047,95.2254,309.3,2003-01-07,420,D,0
16.8573,95.3602,311.0,2003-01-07,420,D,0
16.8573,94.9083,317.1,2003-01-07,721,D,0
16.5781,95.2599,318.0,2003-01-07,721,D,0
22.326,97.8326,308.2,2003-01-07,723,D,0
22.5396,93.5395,321.6,2003-01-07,723,D,0
23.5113,93.564,311.5,2003-01-07,723,D,0
24.7587,97.2997,306.2,2003-01-07,723,D,0
21.7405,93.5492,307.2,2003-01-07,723,D,0
21.7777,93.551,306.7,2003-01-07,723,D,0
23.1186,97.2708,305.4,2003-01-07,723,D,0
23.1184,97.2654,304.0,2003-01-07,723,D,0
26.6631,95.5151,316.4,2003-01-07,724,D,0
26.6906,95.5176,352.2,2003-01-07,724,D,0
26.706,95.5363,320.3,2003-01-07,724,D,0
26.7043,95.5173,400.4,2003-01-07,724,D,0
26.7016,95.4894,330.9,2003-01-07,724,D,0
26.7015,95.5314,373.0,2003-01-07,724,D,0
26.6994,95.508,396.5,2003-01-07,724,D,0
27.2819,97.5052,307.5,2003-01-07,724,D,0
27.291,97.4995,306.3,2003-01-07,724,D,0
26.4872,95.1433,313.0,2003-01-07,724,D,0
27.2636,97.4721,305.9,2003-01-07,724,D,0
26.4852,95.1345,312.5,2003-01-07,724,D,0
26.4986,95.1358,307.1,2003-01-07,724,D,0
26.4848,95.1192,312.3,2003-01-07,724,D,0
26.666,95.5471,343.4,2003-01-07,724,D,0
26.6553,95.5939,308.6,2003-01-08,500,D,0
23.66,95.7811,306.8,2003-01-08,500,D,0
26.6566,95.5998,307.1,2003-01-08,500,D,0
26.3834,95.0626,316.2,2003-01-08,500,D,0
23.6671,95.7476,307.2,2003-01-08,500,D,0
21.0604,97.5726,306.4,2003-01-08,627,D,0
21.1454,99.5433,300.6,2003-01-08,627,D,0
21.659,97.6147,313.5,2003-01-08,627,D,0
21.4385,97.8764,309.7,2003-01-08,627,D,0
23.4146,97.9351,307.7,2003-01-08,628,D,0
24.7591,97.2824,307.5,2003-01-08,628,D,0
23.4039,97.9374,307.4,2003-01-08,628,D,0
23.4014,97.923,305.0,2003-01-08,628,D,0
22.492,97.4853,320.0,2003-01-08,628,D,0
22.4948,97.5013,308.8,2003-01-08,628,D,0
27.2763,97.4378,323.0,2003-01-08,629,D,0
16.5815,95.7983,317.3,2003-01-09,709,D,0
17.2043,96.7668,318.0,2003-01-09,709,D,0
17.2399,96.7441,319.8,2003-01-09,709,D,0
20.0862,95.3144,321.4,2003-01-09,710,D,0
20.1663,95.6342,320.5,2003-01-09,710,D,0
25.4205,97.2652,310.8,2003-01-09,711,D,0
25.4142,97.2587,307.4,2003-01-09,711,D,0
25.4333,94.7178,310.8,2003-01-09,711,D,0
25.4319,94.7055,325.9,2003-01-09,711,D,0
22.5073,93.3147,306.6,2003-01-09,711,D,0
24.7655,97.3157,312.9,2003-01-09,711,D,0
24.7636,97.2975,322.5,2003-01-09,711,D,0
24.77,97.309,314.9,2003-01-09,711,D,0
23.1354,93.9809,311.5,2003-01-09,711,D,0
23.1315,93.5128,309.2,2003-01-09,711,D,0
26.7088,95.4873,318.7,2003-01-09,712,D,0
26.707,95.4712,313.4,2003-01-09,712,D,0
26.7195,95.4847,348.0,2003-01-09,712,D,0
26.7178,95.4695,339.4,2003-01-09,712,D,0
26.7604,95.966,310.5,2003-01-09,712,D,0
26.4911,95.0757,303.9,2003-01-09,712,D,0
