latitude,longitude,brightness,acq_date,acq_time,daynight,type
-45.3992,167.7794,311.3,2003-01-12,2303,D,0
-41.9005,171.9175,308.5,2003-01-14,215,D,0
-39.3413,173.9585,331.1,2003-01-14,216,D,0
-38.8752,174.703,304.4,2003-01-14,2249,D,0
-39.3718,175.9009,325.2,2003-01-20,2212,D,0
-39.3697,175.8883,327.8,2003-01-20,2212,D,0
-42.1502,172.2449,305.4,2003-01-21,221,D,0
-42.1518,172.2307,314.7,2003-01-21,221,D,0
-39.3676,175.8974,364.5,2003-01-21,222,D,0
-39.3786,175.8881,314.8,2003-01-21,222,D,0
-39.3694,175.8858,326.6,2003-01-21,222,D,0
-46.0402,168.8293,304.1,2003-01-21,2257,D,0
-37.0081,174.8698,311.4,2003-01-25,2230,D,0
-34.5461,172.7985,310.6,2003-01-26,2312,D,0
-39.695,174.8729,326.9,2003-01-30,215,D,0
-39.6768,174.8686,328.4,2003-01-30,215,D,0
-39.6843,174.8828,418.6,2003-01-30,215,D,0
-39.6859,174.8707,480.9,2003-01-30,215,D,0
-39.7245,174.7934,328.5,2003-01-30,215,D,0
-39.6752,174.8806,315.8,2003-01-30,215,D,0
-39.7336,174.7955,323.3,2003-01-30,215,D,0
-39.732,174.8073,335.6,2003-01-30,215,D,0
-34.4829,172.7061,313.4,2003-01-30,2248,D,0
-34.6529,173.0218,310.2,2003-01-30,2248,D,0
-40.6872,176.1945,345.3,2003-01-30,2249,D,0
-40.6892,176.22,333.2,2003-01-30,2249,D,0
-40.6861,176.1892,327.3,2003-01-30,2249,D,0
-40.699,176.1884,310.5,2003-01-30,2249,D,0
-40.7008,176.2139,312.3,2003-01-30,2249,D,0
-40.6879,176.2145,333.8,2003-01-30,2249,D,0
-45.4066,167.7772,322.0,2003-01-31,257,D,0
-45.4046,167.7901,321.2,2003-01-31,257,D,0
-40.6985,176.1966,323.7,2003-01-31,258,D,0
-40.6999,176.1909,321.1,2003-01-31,258,D,0
-38.0354,174.8064,303.9,2003-01-31,2154,D,0
-34.6502,173.0095,311.6,2003-02-01,204,D,0
-43.4818,172.4344,347.7,2003-02-02,245,D,0
-43.4699,172.4451,365.0,2003-02-02,245,D,0
-43.4794,172.4482,335.2,2003-02-02,245,D,0
-44.0308,171.6166,320.6,2003-02-03,150,D,0
-37.6945,176.0383,310.6,2003-02-03,2224,D,0
-45.9728,170.1873,303.7,2003-02-04,2309,D,0
-43.751,171.9807,308.7,2003-02-05,2214,D,0
-39.611,174.8476,428.5,2003-02-06,221,D,0
-39.6183,174.8615,322.0,2003-02-06,221,D,0
-39.6003,174.857,482.9,2003-02-06,221,D,0
-39.6093,174.8593,446.9,2003-02-06,221,D,0
-38.8648,176.0362,333.3,2003-02-06,222,D,0
-38.8575,176.0218,342.4,2003-02-06,222,D,0
-38.8667,176.0241,370.4,2003-02-06,222,D,0
-38.8555,176.0339,309.7,2003-02-06,222,D,0
-34.7332,172.9749,305.1,2003-02-06,1325,N,0
-43.5817,171.7333,314.0,2003-02-06,2257,D,0
-43.8941,171.8056,310.5,2003-02-06,2257,D,0
-43.8828,171.8074,312.6,2003-02-06,2257,D,0
-43.5835,171.7536,346.0,2003-02-06,2257,D,0
-39.1275,175.6011,304.0,2003-02-07,126,D,0
-36.9674,175.833,305.6,2003-02-08,1313,N,0
-41.9544,173.7418,302.0,2003-02-08,2244,D,0
-45.9322,169.7529,302.8,2003-02-09,2328,D,0
-43.7471,171.645,337.5,2003-02-10,2232,D,0
-39.2992,175.1906,317.6,2003-02-12,145,D,0
-42.0893,171.7736,307.3,2003-02-13,227,D,0
-42.2636,171.6943,330.8,2003-02-13,227,D,0
-34.7335,172.9901,322.6,2003-02-14,2205,D,0
-34.7286,172.9671,321.8,2003-02-14,2205,D,0
-38.4718,176.0815,305.1,2003-02-15,216,D,0
-34.7185,172.9777,392.1,2003-02-15,217,D,0
-34.72,172.9663,323.4,2003-02-15,217,D,0
-34.734,172.9873,318.0,2003-02-15,217,D,0
-34.7355,172.976,323.4,2003-02-15,217,D,0
-34.7233,172.9969,333.9,2003-02-15,217,D,0
-34.7248,172.9855,434.9,2003-02-15,217,D,0
-34.7263,172.9742,387.3,2003-02-15,217,D,0
-34.717,172.989,342.1,2003-02-15,217,D,0
-43.8696,171.4064,323.1,2003-02-15,2250,D,0
-43.8714,171.4224,313.2,2003-02-15,2250,D,0
-38.1878,175.0053,311.0,2003-02-17,204,D,0
-43.8764,171.8515,311.0,2003-02-18,245,D,0
-43.8737,171.3512,331.8,2003-02-19,2226,D,0
-44.1344,171.36,309.0,2003-02-19,2226,D,0
-43.8447,171.2764,308.3,2003-02-20,233,D,0
-43.8338,171.2869,311.2,2003-02-20,233,D,0
-43.843,171.2892,319.3,2003-02-20,233,D,0
-39.3386,175.7583,332.8,2003-02-20,234,D,0
-39.349,175.761,358.8,2003-02-20,234,D,0
-39.3461,175.7765,327.1,2003-02-20,234,D,0
-39.3517,175.7463,322.5,2003-02-20,234,D,0
-39.3415,175.7429,313.7,2003-02-20,234,D,0
-43.7663,171.9058,325.3,2003-02-21,2213,D,0
-43.9081,171.892,303.3,2003-02-21,2213,D,0
-43.7761,171.9128,328.7,2003-02-21,2213,D,0
-43.7731,171.8972,334.8,2003-02-21,2213,D,0
-44.1981,171.4397,334.4,2003-02-22,220,D,0
-44.1998,171.4237,311.7,2003-02-22,220,D,0
-43.8526,171.3635,307.5,2003-02-22,221,D,0
-43.8509,171.3793,324.6,2003-02-22,221,D,0
-43.8606,171.9393,307.8,2003-02-22,221,D,0
-43.8622,171.9242,315.1,2003-02-22,221,D,0
-43.6155,171.6854,311.8,2003-02-22,221,D,0
-43.6636,171.8039,306.6,2003-02-22,221,D,0
-43.6172,171.6701,323.7,2003-02-22,221,D,0
-43.7319,171.6357,350.8,2003-02-22,221,D,0
-43.6405,171.7372,312.5,2003-02-22,221,D,0
-43.6421,171.722,333.5,2003-02-22,221,D,0
-43.7584,171.7665,322.4,2003-02-22,221,D,0
-43.6555,171.6936,320.3,2003-02-22,221,D,0
-43.965,171.7567,314.8,2003-02-22,2256,D,0
-43.9214,172.0157,312.8,2003-02-22,2256,D,0
-43.7283,171.6375,371.5,2003-02-23,303,D,0
-42.3559,172.1885,303.3,2003-02-24,209,D,0
-42.0963,171.7783,306.7,2003-02-24,2244,D,0
-43.9635,171.7911,344.9,2003-02-25,251,D,0
-45.4787,168.0171,309.7,2003-02-25,251,D,0
-43.9613,171.573,324.3,2003-02-25,251,D,0
-43.8429,171.3122,318.3,2003-02-25,2327,D,0
-43.8572,171.3172,314.1,2003-02-25,2327,D,0
-43.8441,171.3643,313.3,2003-02-25,2327,D,0
-43.7313,171.8611,323.4,2003-02-25,2327,D,0
-43.7308,171.866,327.1,2003-02-25,2327,D,0
-43.8401,171.3174,310.9,2003-02-25,2327,D,0
-43.6729,171.7058,319.2,2003-02-26,156,D,0
-43.664,171.6065,328.7,2003-02-26,156,D,0
-43.6657,171.5736,317.2,2003-02-26,156,D,0
-43.6715,171.6684,333.3,2003-02-26,156,D,0
-43.6754,171.6029,318.6,2003-02-26,156,D,0
-43.6612,171.6018,322.3,2003-02-26,156,D,0
-43.7389,171.6198,312.2,2003-02-26,156,D,0
-43.9057,171.8441,323.8,2003-02-26,156,D,0
-43.9151,171.8376,324.9,2003-02-26,156,D,0
-43.9977,171.7219,302.0,2003-02-26,156,D,0
-43.9958,171.7547,312.4,2003-02-26,156,D,0
-44.0008,171.7262,304.9,2003-02-26,156,D,0
-43.9991,171.759,310.6,2003-02-26,156,D,0
-43.7351,171.6125,316.7,2003-02-26,156,D,0
-43.6746,171.6733,340.1,2003-02-26,156,D,0
-43.6696,171.701,326.6,2003-02-26,156,D,0
-43.8062,172.0188,323.1,2003-02-26,156,D,0
-43.7996,172.0454,308.6,2003-02-26,156,D,0
-43.8015,172.0141,328.5,2003-02-26,156,D,0
-43.6446,171.7836,304.2,2003-02-26,334,D,0
-43.6437,171.7877,302.7,2003-02-26,334,D,0
-43.6431,171.7614,317.9,2003-02-26,2232,D,0
-44.1753,171.3975,318.4,2003-02-27,239,D,0
-44.1771,171.3849,314.7,2003-02-27,239,D,0
-44.1843,171.4,379.2,2003-02-27,239,D,0
-43.0889,170.6038,322.5,2003-03-01,227,D,0
-43.0905,170.5894,311.1,2003-03-01,227,D,0
-44.0578,171.6856,316.9,2003-03-01,227,D,0
-44.0594,171.6719,311.8,2003-03-01,227,D,0
-43.7229,171.4292,317.1,2003-03-01,227,D,0
-43.6174,172.6401,307.1,2003-03-03,214,D,0
-43.8677,172.1514,316.5,2003-03-03,2250,D,0
-43.7441,171.6377,318.1,2003-03-03,2250,D,0
-43.7458,171.6539,314.8,2003-03-03,2250,D,0
-43.8659,172.1342,309.3,2003-03-03,2250,D,0
-43.9802,171.8481,319.4,2003-03-03,2250,D,0
-43.9873,171.8571,321.4,2003-03-03,2250,D,0
-44.0285,171.6464,308.4,2003-03-03,2250,D,0
-39.6011,174.6198,327.6,2003-03-05,203,D,0
-41.3588,175.203,320.9,2003-03-05,203,D,0
-39.6366,176.6124,303.3,2003-03-05,2236,D,0
-41.9827,171.4726,300.1,2003-03-05,2237,D,0
-41.0264,172.8127,317.0,2003-03-05,2237,D,0
-43.817,172.2688,312.2,2003-03-06,245,D,0
-44.0117,171.4377,316.1,2003-03-06,245,D,0
-43.8193,172.2552,315.6,2003-03-06,245,D,0
-43.811,172.0475,341.8,2003-03-06,245,D,0
-44.0026,171.4348,325.9,2003-03-06,245,D,0
-43.8395,171.9653,307.3,2003-03-06,2321,D,0
-44.0725,171.6447,314.2,2003-03-07,149,D,0
-44.0678,171.6519,317.2,2003-03-07,149,D,0
-44.2999,168.3492,300.5,2003-03-07,328,D,0
-43.6157,171.6286,317.7,2003-03-07,2225,D,0
-43.9894,171.7425,322.4,2003-03-08,232,D,0
-46.0587,170.1549,319.1,2003-03-08,232,D,0
-43.9876,171.7552,315.4,2003-03-08,232,D,0
-43.7061,171.6051,312.5,2003-03-08,233,D,0
-43.8257,171.8703,316.9,2003-03-08,233,D,0
-43.4775,170.9112,300.6,2003-03-08,2308,D,0
-43.6624,171.7216,313.0,2003-03-09,137,D,0
-42.1053,171.7789,311.3,2003-03-09,2213,D,0
-43.6349,172.4225,327.9,2003-03-10,220,D,0
-43.6366,172.4081,325.2,2003-03-10,220,D,0
-42.1074,171.7739,306.0,2003-03-10,221,D,0
-43.8462,171.8786,314.6,2003-03-11,303,D,0
-43.7467,172.5567,311.0,2003-03-11,303,D,0
-43.8571,171.8667,355.6,2003-03-11,303,D,0
-43.8504,171.8583,332.5,2003-03-11,303,D,0
-43.9629,171.873,313.5,2003-03-11,303,D,0
-41.9394,171.9018,309.9,2003-03-12,2243,D,0
-43.7752,171.553,306.5,2003-03-12,2244,D,0
-43.9127,171.8519,314.3,2003-03-12,2244,D,0
-43.9109,171.8375,310.0,2003-03-12,2244,D,0
-45.8198,167.7862,307.8,2003-03-13,250,D,0
-43.7765,172.0408,385.6,2003-03-13,251,D,0
-43.7737,172.0558,317.2,2003-03-13,251,D,0
-39.8109,174.8574,310.4,2003-03-13,252,D,0
-39.8148,174.8384,328.1,2003-03-13,252,D,0
-39.8159,174.8342,323.9,2003-03-13,252,D,0
-39.3842,175.0927,314.2,2003-03-13,252,D,0
-39.3807,175.096,314.9,2003-03-13,252,D,0
-43.9031,171.857,320.6,2003-03-14,155,D,0
-44.0101,171.8087,315.6,2003-03-14,155,D,0
-42.9024,172.3508,317.6,2003-03-14,156,D,0
-42.9091,172.3555,314.7,2003-03-14,156,D,0
-40.7819,175.9973,314.4,2003-03-14,156,D,0
-40.7836,175.9806,345.7,2003-03-14,156,D,0
-42.9108,172.3285,311.8,2003-03-14,156,D,0
-38.3618,176.0294,310.0,2003-03-14,157,D,0
-38.3705,176.0462,331.9,2003-03-14,157,D,0
-38.2556,175.9075,308.5,2003-03-14,157,D,0
-38.3633,176.0382,330.0,2003-03-14,157,D,0
-42.4818,172.6412,303.4,2003-03-15,239,D,0
-39.8123,174.8552,307.7,2003-03-15,239,D,0
-41.5095,172.8585,302.1,2003-03-15,239,D,0
-39.8153,174.8393,314.4,2003-03-15,239,D,0
-39.3478,176.8963,305.3,2003-03-16,2218,D,0
-38.038,174.9299,306.8,2003-03-17,227,D,0
-38.0333,174.9359,304.9,2003-03-17,227,D,0
-39.084,174.3348,309.6,2003-03-17,1331,N,0
-39.0913,174.3387,304.0,2003-03-17,1331,N,0
-43.7872,171.5948,305.1,2003-03-17,2302,D,0
-43.789,171.6184,303.7,2003-03-17,2302,D,0
-39.6627,175.2401,348.1,2003-03-18,309,D,0
-43.8901,171.6569,315.6,2003-03-18,309,D,0
-43.8461,172.0316,310.6,2003-03-18,309,D,0
-39.6649,175.2449,347.6,2003-03-18,309,D,0
-43.7075,171.7455,326.3,2003-03-18,309,D,0
-39.3635,176.544,306.6,2003-03-18,2206,D,0
-44.6878,171.0383,312.3,2003-03-19,213,D,0
-46.0291,169.6948,305.2,2003-03-19,213,D,0
-44.0344,171.6294,308.4,2003-03-19,213,D,0
-44.0234,171.6275,332.4,2003-03-19,213,D,0
-44.0251,171.6086,309.2,2003-03-19,213,D,0
-43.6485,171.521,309.7,2003-03-19,214,D,0
-43.6467,171.5397,312.6,2003-03-19,214,D,0
-43.6599,171.6364,334.7,2003-03-19,214,D,0
-40.0525,176.5157,310.6,2003-03-19,214,D,0
-43.6581,171.6549,317.5,2003-03-19,214,D,0
-38.0087,177.3747,308.9,2003-03-19,215,D,0
-38.0068,177.3868,307.2,2003-03-19,215,D,0
-39.3788,175.0888,311.6,2003-03-19,215,D,0
-39.4349,175.6881,316.6,2003-03-19,215,D,0
-37.3541,174.7219,304.0,2003-03-19,215,D,0
-43.7679,172.0244,313.3,2003-03-19,2250,D,0
-40.9161,175.9047,310.9,2003-03-20,257,D,0
-40.9187,175.915,313.6,2003-03-20,257,D,0
-40.9082,175.938,306.8,2003-03-20,257,D,0
-43.8656,172.0553,398.8,2003-03-21,201,D,0
-43.7554,171.7964,311.9,2003-03-21,201,D,0
-43.8675,172.0291,334.1,2003-03-21,201,D,0
-43.8667,172.0367,373.4,2003-03-21,201,D,0
-43.865,172.063,382.2,2003-03-21,201,D,0
-39.2399,176.5619,315.6,2003-03-21,202,D,0
-40.4771,176.0684,317.3,2003-03-21,202,D,0
-39.552,174.9995,310.7,2003-03-21,202,D,0
-41.2243,172.1251,321.9,2003-03-21,202,D,0
-40.4787,176.0545,349.9,2003-03-21,202,D,0
-43.85,172.0219,317.4,2003-03-22,244,D,0
-43.8478,172.0352,327.0,2003-03-22,244,D,0
-42.3073,171.6432,315.9,2003-03-22,245,D,0
-43.7806,171.5981,308.9,2003-03-23,2226,D,0
-43.9264,171.5308,344.1,2003-03-24,232,D,0
-43.9247,171.5436,332.3,2003-03-24,232,D,0
-42.3105,171.6466,306.9,2003-03-24,232,D,0
-43.6124,171.6026,309.5,2003-03-24,232,D,0
-44.0068,171.8797,310.6,2003-03-24,232,D,0
-44.049,171.7066,309.7,2003-03-24,232,D,0
