latitude,longitude,brightness,acq_date,acq_time,daynight,type
-58.4311,-26.3836,316.6,2003-01-29,103,N,3
-58.4316,-26.4023,312.4,2003-02-09,45,N,3
-58.4292,-26.3749,321.0,2003-02-09,230,N,3
-58.4349,-26.3751,306.1,2003-02-12,115,N,3
-58.4355,-26.3807,305.9,2003-02-19,121,N,3
-58.426,-26.3812,324.8,2003-02-20,212,N,3
-58.428,-26.3853,308.7,2003-02-24,147,N,3
-58.4341,-26.3961,316.3,2003-04-21,50,N,3
-58.4293,-26.3749,307.5,2003-04-21,236,N,3
-58.4279,-26.3832,307.1,2003-07-21,218,N,3
-58.4262,-26.3689,310.1,2003-08-10,144,N,3
-58.4298,-26.3757,311.5,2003-08-10,153,N,3
-58.4342,-26.3701,329.1,2003-09-27,144,N,3
-58.4269,-26.3962,319.6,2003-09-27,153,N,3
-58.4317,-26.3736,318.5,2003-09-27,153,N,3
-58.4298,-26.3708,326.7,2003-09-28,236,N,3
-58.4329,-26.3932,323.8,2003-11-03,211,N,3
-58.436,-26.3755,331.0,2003-11-03,211,N,3
-58.433,-26.3783,318.5,2003-12-12,218,N,3
-58.4312,-26.388,307.0,2003-12-21,212,N,3
