latitude,longitude,brightness,acq_date,acq_time,daynight,type
38.2533,69.6231,300.1,2003-01-04,835,D,0
38.1265,69.6251,314.1,2003-01-04,835,D,0
38.0806,69.6342,303.0,2003-01-04,835,D,0
38.1357,69.6232,311.3,2003-01-04,835,D,0
37.2037,69.1082,301.6,2003-01-04,835,D,0
40.4636,69.2568,300.3,2003-01-06,647,D,0
37.1494,68.1386,305.7,2003-01-06,823,D,0
38.2668,68.9481,304.9,2003-01-18,848,D,0
38.2744,68.9566,302.7,2003-01-18,848,D,0
38.2728,68.9412,303.8,2003-01-18,848,D,0
37.3278,68.9763,307.2,2003-01-20,835,D,0
37.2195,68.1086,308.8,2003-01-28,612,D,0
36.975,68.062,301.8,2003-02-02,804,D,0
37.1014,67.8047,336.9,2003-02-03,847,D,0
37.2797,68.7448,311.7,2003-02-03,847,D,0
36.9671,68.054,336.5,2003-02-03,847,D,0
36.9656,68.0409,323.4,2003-02-03,847,D,0
37.0918,67.8064,309.3,2003-02-03,847,D,0
37.2602,69.0355,331.2,2003-02-03,847,D,0
37.0999,67.7919,365.1,2003-02-03,847,D,0
37.3894,67.9982,311.9,2003-02-03,847,D,0
37.2232,68.1056,304.4,2003-02-04,618,D,0
37.1292,68.143,319.3,2003-02-04,752,D,0
37.1191,68.1021,307.4,2003-02-04,752,D,0
37.121,68.1088,314.9,2003-02-04,752,D,0
37.1275,68.1362,324.2,2003-02-04,752,D,0
40.4363,69.2671,302.2,2003-02-05,700,D,0
37.3669,69.3658,331.2,2003-02-05,835,D,0
37.197,68.0542,304.5,2003-02-05,835,D,0
37.3845,68.011,323.9,2003-02-05,835,D,0
37.3829,67.9998,350.4,2003-02-05,835,D,0
37.3368,68.8594,311.5,2003-02-05,835,D,0
37.3579,69.3677,321.1,2003-02-05,835,D,0
37.3387,68.0291,302.7,2003-02-09,636,D,0
37.3674,69.3689,301.3,2003-02-09,811,D,0
37.2767,67.9946,313.8,2003-02-11,624,D,0
37.3194,69.3897,328.1,2003-02-11,624,D,0
37.3195,68.9952,303.6,2003-02-11,758,D,0
37.3096,69.3808,303.6,2003-02-11,758,D,0
37.2968,68.7667,305.5,2003-02-11,758,D,0
37.2673,69.0517,313.0,2003-02-12,707,D,0
37.2607,69.0444,308.4,2003-02-12,707,D,0
37.2728,69.0325,351.0,2003-02-12,841,D,0
37.1034,68.1019,308.8,2003-02-12,841,D,0
37.3331,69.3752,338.9,2003-02-12,841,D,0
37.2822,69.0307,306.0,2003-02-12,841,D,0
37.2554,69.0487,307.5,2003-02-12,841,D,0
37.321,69.3715,310.9,2003-02-14,654,D,0
37.2961,68.8916,312.3,2003-03-07,847,D,0
40.1528,69.0691,302.8,2003-03-07,848,D,0
38.5744,68.7515,307.2,2003-03-11,823,D,0
37.3035,68.8885,310.7,2003-03-13,810,D,0
37.2123,69.0992,321.7,2003-03-13,810,D,0
37.5886,69.5556,306.8,2003-03-15,1727,N,0
37.5918,69.5409,334.9,2003-03-16,841,D,0
37.5888,69.5335,326.3,2003-03-16,841,D,0
37.5904,69.5467,382.1,2003-03-16,841,D,0
37.2174,69.4159,313.0,2003-03-20,816,D,0
37.5843,69.5636,318.2,2003-03-20,816,D,0
37.2208,69.4232,314.2,2003-03-20,816,D,0
37.5916,69.5481,325.7,2003-03-20,816,D,0
37.5937,69.561,325.4,2003-03-20,816,D,0
37.4255,67.9972,317.2,2003-03-21,859,D,0
37.401,69.3707,312.3,2003-04-12,648,D,0
37.394,69.3668,319.3,2003-04-12,822,D,0
37.3328,68.8642,328.5,2003-05-29,605,D,0
37.579,67.956,327.7,2003-06-03,758,D,0
37.6187,69.8727,309.5,2003-06-08,1745,N,0
37.6214,69.8663,300.7,2003-06-08,1745,N,0
37.623,69.8829,300.8,2003-06-08,1745,N,0
37.5668,68.2236,331.6,2003-06-13,700,D,0
37.2916,67.8581,339.0,2003-06-19,623,D,0
37.2756,67.8297,316.0,2003-06-19,1727,N,0
37.2774,67.8413,312.5,2003-06-19,1727,N,0
37.2603,67.8469,304.8,2003-06-19,2137,N,0
37.9515,68.7851,326.3,2003-06-21,611,D,0
37.6602,69.5981,338.1,2003-06-22,829,D,0
37.4043,68.6123,326.5,2003-06-24,641,D,0
37.3955,68.6161,325.8,2003-06-24,641,D,0
37.2368,67.9984,335.2,2003-06-24,816,D,0
37.1486,69.2586,336.7,2003-06-27,847,D,0
37.257,69.2318,309.9,2003-06-30,1708,N,0
37.6472,69.5214,333.9,2003-07-03,635,D,0
37.6517,69.5169,329.4,2003-07-03,635,D,0
38.3601,68.6125,330.7,2003-07-03,811,D,0
38.1756,68.6064,337.7,2003-07-07,610,D,0
