latitude,longitude,brightness,acq_date,acq_time,daynight,type
48.2185,38.2466,308.0,2003-01-02,849,D,2
48.4637,38.7811,308.8,2003-01-02,849,D,2
47.8725,33.4496,323.8,2003-01-04,2351,N,2
47.8707,33.4629,304.1,2003-01-04,2351,N,2
47.1562,37.5231,301.6,2003-01-09,1035,D,2
47.151,37.5338,310.0,2003-01-13,831,D,2
47.1599,37.5364,306.4,2003-01-13,831,D,2
47.164,37.563,302.2,2003-01-18,849,D,0
51.8872,25.7079,304.4,2003-01-18,1209,D,0
51.8986,25.717,301.4,2003-01-18,1209,D,0
48.5183,34.6653,302.1,2003-01-18,1959,N,2
47.0965,37.5991,302.7,2003-01-26,1909,N,2
46.5788,32.5127,328.2,2003-03-03,914,D,0
45.318,36.228,312.0,2003-03-12,1047,D,0
45.3197,36.2425,322.3,2003-03-12,1047,D,0
50.601,33.3591,317.6,2003-03-16,842,D,0
47.6267,34.3234,301.6,2003-03-16,843,D,2
50.9842,30.0209,304.6,2003-03-16,1024,D,0
47.6305,34.3207,308.4,2003-03-16,1952,N,2
47.8695,33.4532,313.5,2003-03-16,1952,N,2
48.491,34.9717,300.6,2003-03-16,1952,N,0
47.8687,33.4501,323.5,2003-03-16,2356,N,2
49.6738,32.8026,308.3,2003-03-17,925,D,0
45.4811,29.407,308.8,2003-03-17,926,D,0
45.4868,29.4151,318.0,2003-03-17,926,D,0
46.128,29.7317,309.6,2003-03-17,926,D,0
45.4778,29.4239,308.9,2003-03-17,926,D,0
46.1247,29.7486,309.6,2003-03-17,926,D,0
45.316,28.785,301.5,2003-03-17,927,D,0
45.4509,34.8769,301.4,2003-03-17,1105,D,0
45.5483,34.8267,300.5,2003-03-17,1105,D,0
45.4525,34.8907,316.4,2003-03-17,1105,D,0
45.4528,34.8976,318.1,2003-03-17,1105,D,0
45.5586,29.4253,303.7,2003-03-17,1105,D,0
45.4705,29.1838,305.3,2003-03-17,1105,D,0
45.4837,29.4113,303.3,2003-03-17,1105,D,0
46.1663,33.0505,303.8,2003-03-17,1105,D,0
