latitude,longitude,brightness,acq_date,acq_time,daynight,type
16.5944,-24.1931,312.1,2004-03-02,1209,D,3
16.5958,-24.2031,311.8,2004-03-02,1209,D,3
16.8087,-25.0516,312.2,2004-05-21,1209,D,3
15.0081,-24.3486,321.6,2004-06-12,1435,D,0
15.0141,-24.3522,308.9,2004-06-13,2,N,0
15.0128,-24.3618,308.6,2004-06-13,2,N,0
15.0043,-24.3521,374.3,2004-06-13,1215,D,0
15.0056,-24.3613,339.2,2004-06-13,1215,D,0
15.007,-24.3704,334.0,2004-06-13,1215,D,0
14.9968,-24.3668,348.0,2004-06-13,1518,D,0
14.9986,-24.3526,352.7,2004-06-13,1518,D,0
15.0017,-24.3588,348.5,2004-06-13,1518,D,0
15.0,-24.3719,345.3,2004-06-13,1518,D,0
15.0128,-24.3484,311.5,2004-06-14,331,N,0
15.0147,-24.3601,316.3,2004-06-14,331,N,0
16.1078,-22.8997,311.7,2004-07-29,1227,D,0
