latitude,longitude,brightness,acq_date,acq_time,daynight,type
12.1348,-68.9344,317.7,2004-02-21,236,N,0
12.1342,-68.9406,320.4,2004-02-21,1451,D,0
12.1319,-68.9315,327.7,2004-02-21,1751,D,0
12.1314,-68.9348,316.0,2004-02-22,606,N,0
12.1353,-68.9428,309.5,2004-02-23,224,N,0
12.1329,-68.9476,312.0,2004-02-23,224,N,0
12.1696,-68.9829,308.0,2004-04-08,618,N,0
12.1417,-68.9562,306.8,2004-09-07,241,N,0
12.1334,-68.9306,322.4,2004-12-11,624,N,0
12.1346,-68.9352,311.2,2004-12-12,241,N,0
12.1301,-68.9272,305.7,2004-12-12,241,N,0
12.1317,-68.9355,313.2,2004-12-13,612,N,0
12.1345,-68.9278,307.8,2004-12-15,312,N,0
12.1329,-68.9403,307.3,2004-12-15,312,N,0
12.1341,-68.931,320.8,2004-12-17,259,N,0
12.1328,-68.9402,314.5,2004-12-17,259,N,0
12.1369,-68.9412,306.0,2004-12-17,548,N,0
12.133,-68.93,306.4,2004-12-18,631,N,0
12.1338,-68.9293,323.3,2004-12-19,247,N,0
12.1334,-68.9408,314.0,2004-12-19,1502,D,0
12.132,-68.9304,326.9,2004-12-19,1502,D,0
12.1343,-68.9326,327.0,2004-12-20,618,N,0
12.132,-68.938,325.5,2004-12-21,235,N,0
12.1377,-68.9344,314.3,2004-12-22,606,N,0
