latitude,longitude,brightness,acq_date,acq_time,daynight,type
18.9248,-70.3537,318.6,2004-01-02,1502,D,2
18.9401,-70.3426,325.0,2004-01-02,1805,D,2
18.3711,-70.8519,314.5,2004-01-02,1805,D,0
18.1993,-71.22,316.3,2004-01-02,1805,D,0
18.9388,-70.3521,322.2,2004-01-02,1805,D,2
19.3951,-71.6156,309.2,2004-01-02,1805,D,0
18.8103,-70.8765,321.0,2004-01-02,1805,D,0
18.9284,-70.3493,304.5,2004-01-04,239,N,2
18.9398,-70.3519,304.7,2004-01-04,239,N,2
18.9355,-70.3447,333.7,2004-01-04,1753,D,2
18.9338,-70.3554,317.1,2004-01-04,1753,D,2
18.0854,-71.1329,309.0,2004-01-05,1533,D,0
18.2781,-70.3936,312.2,2004-01-05,1533,D,0
18.0871,-71.1437,306.4,2004-01-05,1533,D,0
18.9429,-70.3318,312.4,2004-01-06,647,N,2
18.946,-70.3488,310.0,2004-01-06,647,N,0
18.9362,-70.3391,321.4,2004-01-06,647,N,2
18.9359,-70.3415,309.0,2004-01-07,1521,D,2
18.9445,-70.3434,316.9,2004-01-08,1603,D,2
18.9325,-70.3421,321.8,2004-01-08,1603,D,2
18.9415,-70.3461,358.4,2004-01-09,257,N,2
18.9325,-70.3446,302.2,2004-01-09,257,N,2
18.9312,-70.3541,313.9,2004-01-09,257,N,2
18.9401,-70.3556,302.2,2004-01-09,257,N,2
18.9302,-70.3517,316.9,2004-01-09,1508,D,2
18.9275,-70.3453,309.8,2004-01-09,1508,D,2
18.9291,-70.3579,311.4,2004-01-09,1508,D,2
18.2486,-70.365,311.7,2004-01-09,1508,D,0
18.1527,-71.0839,308.5,2004-01-09,1811,D,0
18.9312,-70.3506,362.8,2004-01-09,1811,D,2
18.9326,-70.3402,357.3,2004-01-09,1811,D,2
18.9421,-70.3413,314.2,2004-01-09,1811,D,2
18.9392,-70.3476,362.7,2004-01-10,1551,D,2
18.9351,-70.3255,328.3,2004-01-10,1551,D,2
18.9436,-70.3429,300.9,2004-01-11,245,N,2
18.9312,-70.3536,305.7,2004-01-11,245,N,2
18.9411,-70.3307,308.8,2004-01-11,1456,D,2
18.9434,-70.3514,310.5,2004-01-11,1456,D,2
18.9305,-70.3526,308.7,2004-01-11,1456,D,2
18.9372,-70.3451,315.0,2004-01-11,1759,D,2
18.9314,-70.3421,314.5,2004-01-12,610,N,2
18.9331,-70.3551,315.5,2004-01-12,610,N,2
18.9287,-70.3488,326.8,2004-01-12,610,N,2
18.9301,-70.3523,306.8,2004-01-13,1746,D,2
18.4411,-71.2713,315.1,2004-01-14,1527,D,0
18.9265,-70.3503,308.4,2004-01-15,1734,D,2
18.4431,-71.2659,312.5,2004-01-16,1514,D,0
18.4389,-71.2765,323.8,2004-01-16,1817,D,0
18.9232,-70.359,315.4,2004-01-18,1805,D,2
18.9335,-70.3509,318.6,2004-01-18,1805,D,2
18.9374,-70.3489,300.4,2004-01-19,616,N,2
18.928,-70.3502,327.2,2004-01-19,616,N,2
19.4537,-70.7063,302.7,2004-01-19,616,N,0
18.9225,-70.3458,309.3,2004-01-19,1545,D,2
18.9255,-70.3625,307.4,2004-01-19,1545,D,2
19.0038,-70.131,319.7,2004-01-20,1752,D,0
18.931,-70.3474,319.7,2004-01-20,1752,D,2
19.4917,-70.1502,314.6,2004-01-20,1752,D,0
18.9234,-70.3594,312.5,2004-01-22,1740,D,2
18.9188,-70.3653,307.5,2004-01-22,1740,D,2
18.9357,-70.3479,301.1,2004-01-24,634,N,2
18.9262,-70.3497,333.9,2004-01-24,634,N,2
18.9217,-70.3605,317.4,2004-01-25,1811,D,2
18.9231,-70.35,319.1,2004-01-25,1811,D,2
18.9301,-70.3457,315.5,2004-01-26,622,N,2
18.9315,-70.3552,311.5,2004-01-26,622,N,2
18.921,-70.3485,316.3,2004-01-26,1551,D,2
18.9356,-70.3433,320.2,2004-01-27,245,N,2
18.9232,-70.354,301.2,2004-01-27,245,N,2
18.9334,-70.3564,323.3,2004-01-27,245,N,2
18.9315,-70.342,312.2,2004-01-27,1456,D,2
18.9321,-70.3565,313.7,2004-01-27,1456,D,2
18.2556,-70.3761,320.9,2004-01-27,1758,D,0
18.2483,-70.3692,318.8,2004-01-27,1758,D,0
18.9337,-70.3455,318.4,2004-01-27,1759,D,2
18.6813,-69.9299,328.6,2004-01-27,1759,D,0
18.7506,-69.9566,322.3,2004-01-27,1759,D,0
18.9233,-70.3535,332.5,2004-01-27,1759,D,2
19.4593,-70.1512,326.5,2004-01-27,1759,D,0
18.9323,-70.3551,318.4,2004-01-27,1759,D,2
19.5156,-70.9523,313.0,2004-01-27,1759,D,0
19.4303,-70.2239,314.9,2004-01-27,1759,D,0
18.6827,-69.9205,318.2,2004-01-27,1759,D,0
19.4317,-70.2144,311.7,2004-01-27,1759,D,0
19.5115,-71.1034,314.4,2004-01-27,1759,D,0
18.9319,-70.3587,302.6,2004-01-28,327,N,2
18.9248,-70.3408,307.9,2004-01-28,610,N,2
18.9294,-70.3474,326.2,2004-01-28,610,N,2
18.9265,-70.3538,319.3,2004-01-28,610,N,2
19.641,-71.6698,316.4,2004-01-28,1538,D,0
19.6367,-71.6658,316.3,2004-01-28,1538,D,0
18.9287,-70.3533,321.6,2004-01-28,1539,D,2
18.9269,-70.3698,311.5,2004-01-28,1842,D,0
18.9882,-70.2013,314.7,2004-01-28,1842,D,0
18.9335,-70.3513,306.9,2004-01-29,1443,D,2
18.5797,-69.9381,313.7,2004-01-29,1746,D,0
18.9233,-70.353,325.8,2004-01-29,1746,D,2
18.7673,-70.1128,311.2,2004-01-29,1746,D,0
18.765,-70.4866,308.3,2004-01-29,1746,D,0
18.7669,-70.4752,307.6,2004-01-29,1746,D,0
18.5174,-70.9227,319.8,2004-01-29,1746,D,0
18.9375,-70.3531,312.7,2004-01-30,558,N,2
18.9386,-70.3578,301.7,2004-01-30,558,N,2
18.923,-70.337,300.7,2004-01-30,558,N,2
18.9361,-70.3362,302.3,2004-01-30,558,N,2
18.9399,-70.3461,328.5,2004-01-30,1526,D,2
18.5032,-69.1981,306.8,2004-01-30,1526,D,0
18.9309,-70.3477,319.4,2004-01-30,1526,D,2
18.8821,-70.4507,312.5,2004-01-30,1526,D,0
18.8806,-70.4411,310.9,2004-01-30,1526,D,0
18.9324,-70.3572,315.9,2004-01-30,1526,D,2
18.9295,-70.3508,305.1,2004-01-31,641,N,2
18.9399,-70.3487,312.1,2004-01-31,641,N,2
18.9377,-70.3358,321.0,2004-01-31,641,N,2
18.7192,-69.5268,313.2,2004-01-31,1734,D,0
18.939,-70.3471,309.5,2004-02-01,303,N,2
18.9287,-70.3552,327.2,2004-02-01,303,N,2
18.5875,-70.8818,318.9,2004-02-01,1514,D,0
18.5889,-70.8929,314.7,2004-02-01,1514,D,0
18.9224,-70.3523,327.3,2004-02-01,1514,D,2
18.9318,-70.3512,330.9,2004-02-01,1514,D,2
18.5287,-69.5033,321.3,2004-02-01,1817,D,0
18.9249,-70.3648,320.4,2004-02-01,1817,D,2
19.6295,-70.4183,312.9,2004-02-01,1817,D,0
18.7703,-70.8561,317.7,2004-02-01,1817,D,0
18.9265,-70.3518,329.7,2004-02-01,1817,D,2
18.8326,-70.28,326.0,2004-02-01,1817,D,0
18.5009,-70.0888,318.1,2004-02-01,1817,D,0
18.5026,-70.0755,318.7,2004-02-01,1817,D,0
18.9448,-70.3398,328.1,2004-02-02,628,N,2
18.9463,-70.3494,300.6,2004-02-02,628,N,0
18.9282,-70.3524,312.7,2004-02-02,628,N,2
18.9294,-70.341,309.1,2004-02-02,1557,D,2
18.9302,-70.3463,310.9,2004-02-02,1557,D,2
18.9481,-69.7073,314.5,2004-02-02,1722,D,0
18.9317,-69.7311,313.6,2004-02-02,1722,D,0
18.93,-70.3557,311.3,2004-02-03,1502,D,2
18.4161,-68.5117,315.8,2004-02-03,1805,D,0
18.42,-68.5189,318.3,2004-02-03,1805,D,0
19.6252,-71.5313,323.3,2004-02-03,1805,D,0
18.872,-71.1803,309.5,2004-02-04,1545,D,0
18.884,-69.6977,319.3,2004-02-05,1753,D,0
18.8994,-69.659,311.6,2004-02-05,1753,D,0
18.5103,-68.437,313.9,2004-02-05,1753,D,0
19.2277,-69.5559,312.5,2004-02-05,1753,D,0
18.7556,-69.2674,333.6,2004-02-05,1753,D,0
18.8849,-69.2647,320.6,2004-02-05,1753,D,0
18.9634,-69.655,308.0,2004-02-05,1753,D,0
18.8825,-69.7078,346.7,2004-02-05,1753,D,0
18.939,-70.3466,322.1,2004-02-05,1753,D,2
19.7142,-71.3675,323.9,2004-02-06,1532,D,0
18.5463,-69.7159,316.6,2004-02-06,1532,D,0
18.1734,-71.6571,311.3,2004-02-06,1835,D,0
18.9439,-70.3424,300.8,2004-02-07,226,N,2
18.9444,-70.349,302.3,2004-02-07,226,N,2
18.9209,-70.3571,311.4,2004-02-08,1823,D,2
18.9345,-70.3417,314.0,2004-02-08,1823,D,2
18.9462,-70.3397,307.4,2004-02-09,635,N,0
18.4962,-69.2408,310.7,2004-02-10,257,N,0
18.6685,-70.8431,334.6,2004-02-10,257,N,0
18.4948,-69.2502,309.2,2004-02-10,257,N,0
19.1396,-71.3858,336.1,2004-02-10,1811,D,0
18.909,-71.1198,352.6,2004-02-10,1811,D,0
18.8998,-71.1183,324.6,2004-02-10,1811,D,0
18.7913,-71.6391,329.4,2004-02-10,1811,D,0
18.7926,-71.6293,349.6,2004-02-10,1811,D,0
18.9306,-70.3532,322.8,2004-02-11,622,N,2
18.9293,-70.3437,308.7,2004-02-11,622,N,2
18.8734,-69.1107,315.9,2004-02-12,1759,D,0
18.1092,-71.4642,324.0,2004-02-12,1759,D,0
18.9356,-70.3437,314.7,2004-02-12,1759,D,2
18.5172,-70.9228,333.9,2004-02-12,1759,D,0
18.5187,-70.9129,322.4,2004-02-12,1759,D,0
19.0825,-69.8415,311.9,2004-02-12,1759,D,0
18.9338,-70.3502,319.8,2004-02-13,610,N,2
18.7599,-69.6624,328.3,2004-02-13,1539,D,0
18.1479,-71.0818,322.0,2004-02-13,1539,D,0
18.5444,-70.5027,316.3,2004-02-14,1747,D,0
18.5318,-68.3818,313.7,2004-02-14,1747,D,0
19.3338,-69.9404,308.8,2004-02-14,1747,D,0
18.8986,-71.1213,300.5,2004-02-15,315,N,0
18.7993,-70.8839,312.8,2004-02-15,1526,D,0
18.9144,-69.8808,312.0,2004-02-15,1526,D,0
18.9303,-70.3467,315.3,2004-02-15,1526,D,2
