latitude,longitude,brightness,acq_date,acq_time,daynight,type
14.1727,37.5198,308.2,2004-01-05,1949,N,0
14.4467,37.4206,331.3,2004-01-16,1931,N,0
14.9971,36.7111,337.5,2004-01-18,827,D,0
14.9849,36.7094,324.8,2004-01-18,1128,D,0
14.3333,36.5642,301.9,2004-02-01,1931,N,0
14.3369,36.5642,346.3,2004-02-02,1045,D,0
14.3267,36.8582,326.0,2004-02-05,815,D,0
14.3475,37.0222,328.7,2004-02-05,815,D,0
14.3505,37.0032,334.2,2004-02-05,815,D,0
14.349,37.0127,346.9,2004-02-05,815,D,0
14.3415,37.0055,335.7,2004-02-05,815,D,0
14.34,37.015,332.3,2004-02-05,815,D,0
14.3386,37.0393,327.7,2004-02-05,1116,D,0
14.3366,37.0236,342.3,2004-02-05,1116,D,0
14.3222,37.0279,313.4,2004-02-05,2329,N,0
14.3143,37.0015,341.0,2004-02-06,1021,D,0
14.2982,37.0148,309.3,2004-02-06,1949,N,0
14.3137,36.9966,308.0,2004-02-06,1949,N,0
14.3062,36.9716,302.8,2004-02-06,2234,N,0
14.3135,37.0017,316.9,2004-02-06,2234,N,0
14.3176,36.9649,306.1,2004-02-06,2234,N,0
14.3226,36.9735,305.2,2004-02-06,2234,N,0
14.3187,37.0105,308.0,2004-02-06,2234,N,0
14.3025,37.0078,302.2,2004-02-06,2234,N,0
14.9895,36.7097,319.6,2004-02-07,803,D,0
14.3019,36.9547,322.7,2004-02-07,803,D,0
14.3004,36.9647,326.9,2004-02-07,803,D,0
14.299,36.9748,323.6,2004-02-07,803,D,0
14.2976,36.9848,323.7,2004-02-07,803,D,0
15.0017,37.2209,337.9,2004-02-10,1134,D,0
14.9965,37.2293,340.8,2004-02-10,1134,D,0
14.4679,37.4705,325.6,2004-02-14,809,D,0
14.4545,37.4631,335.2,2004-02-14,1110,D,0
14.4439,37.4643,343.5,2004-02-14,1110,D,0
14.3814,37.3794,332.1,2004-02-25,750,D,0
14.378,37.377,340.9,2004-02-25,1051,D,0
14.4035,37.3812,336.0,2004-02-26,1134,D,0
14.4012,37.3862,336.5,2004-02-26,1134,D,0
14.432,37.4045,331.3,2004-02-27,738,D,0
14.4128,37.3608,343.6,2004-02-27,1039,D,0
14.4211,37.4122,336.8,2004-02-27,1039,D,0
14.4397,37.3957,340.7,2004-02-27,1039,D,0
14.4811,37.4479,335.4,2004-02-29,1027,D,0
14.4832,37.4545,336.0,2004-02-29,1027,D,0
14.4492,37.3763,316.8,2004-02-29,1955,N,0
14.4376,37.3589,345.4,2004-02-29,1955,N,0
14.4389,37.3682,357.3,2004-02-29,1955,N,0
14.4479,37.3669,333.9,2004-02-29,1955,N,0
14.4473,37.3485,331.6,2004-03-01,809,D,0
14.4535,37.3682,335.5,2004-03-01,809,D,0
14.4552,37.3715,339.1,2004-03-01,1110,D,0
14.3713,37.396,342.1,2004-03-03,1058,D,0
14.1251,37.5671,309.4,2004-03-04,1930,N,0
14.7763,37.8346,351.9,2004-03-05,1045,D,0
14.7748,37.8247,344.9,2004-03-05,1045,D,0
14.456,37.5293,331.5,2004-03-08,815,D,0
14.5102,37.633,333.4,2004-03-10,1104,D,0
14.4991,37.6235,344.6,2004-03-10,1104,D,0
14.5006,37.6344,340.2,2004-03-10,1104,D,0
14.606,36.5126,336.1,2004-03-12,1052,D,0
14.6045,36.5029,344.5,2004-03-12,1052,D,0
13.4284,42.1239,330.4,2004-03-18,1014,D,0
13.4311,42.1403,330.4,2004-03-18,1014,D,0
14.2985,37.5224,336.7,2004-03-29,1134,D,0
14.2962,37.528,335.0,2004-03-29,1134,D,0
14.5734,36.8403,344.4,2004-03-31,820,D,0
14.6599,36.6215,342.6,2004-04-02,808,D,0
14.7,40.0784,338.9,2004-04-04,1057,D,0
13.7911,41.6993,331.1,2004-04-09,814,D,0
13.492,41.8537,333.0,2004-04-09,814,D,0
13.4296,42.0523,331.8,2004-04-09,814,D,0
13.8162,41.6547,331.1,2004-04-09,814,D,0
13.8131,41.6723,333.1,2004-04-09,814,D,0
13.81,41.6901,332.4,2004-04-09,814,D,0
13.4322,42.1133,329.8,2004-04-09,814,D,0
13.4355,42.0937,331.0,2004-04-09,814,D,0
13.4388,42.0742,332.0,2004-04-09,814,D,0
13.4322,42.1201,329.8,2004-04-09,814,D,0
13.8252,41.6746,332.4,2004-04-09,814,D,0
13.4171,42.05,332.7,2004-04-09,814,D,0
13.4137,42.0695,332.3,2004-04-09,814,D,0
13.4103,42.0891,330.9,2004-04-09,814,D,0
13.407,42.1087,330.9,2004-04-09,814,D,0
13.4045,42.0477,333.0,2004-04-09,814,D,0
13.4012,42.0671,332.8,2004-04-09,814,D,0
13.3978,42.0867,332.3,2004-04-09,814,D,0
13.3944,42.1063,331.0,2004-04-09,814,D,0
13.4263,42.0717,330.0,2004-04-09,814,D,0
