latitude,longitude,brightness,acq_date,acq_time,daynight,type
-51.3496,-58.7855,328.1,2004-01-21,1816,D,0
-51.3499,-58.8422,311.6,2004-01-23,1804,D,0
-51.356,-58.8333,308.1,2004-01-23,1804,D,0
-51.5117,-58.909,305.3,2004-02-03,1342,D,0
-51.6255,-58.3175,437.6,2004-02-03,1746,D,0
-51.6358,-58.3148,319.1,2004-02-03,1746,D,0
-51.3629,-58.804,317.6,2004-02-03,1746,D,0
-51.6236,-58.2984,372.5,2004-02-03,1746,D,0
-51.4736,-58.6262,309.4,2004-02-22,1817,D,0
-51.7157,-59.616,312.7,2004-02-22,1817,D,0
-52.1009,-59.3028,312.8,2004-10-03,1412,D,0
-52.0898,-59.3003,334.9,2004-10-03,1412,D,0
-52.0917,-59.2775,310.4,2004-10-03,1412,D,0
-52.0224,-59.5254,319.3,2004-10-03,1817,D,0
-52.0307,-59.2192,330.5,2004-10-03,1817,D,0
-52.0509,-59.2265,325.9,2004-10-03,1817,D,0
-52.042,-59.2302,316.4,2004-10-03,1817,D,0
-52.0246,-59.54,323.1,2004-10-03,1817,D,0
-52.1512,-59.6545,336.8,2004-10-07,1753,D,0
-52.1485,-59.2077,327.8,2004-10-07,1753,D,0
-52.1605,-59.2235,325.7,2004-10-07,1753,D,0
-52.1586,-59.2051,326.3,2004-10-07,1753,D,0
-52.1577,-59.2174,341.5,2004-10-07,1753,D,0
-52.1559,-59.1989,322.3,2004-10-07,1753,D,0
-52.1015,-59.2503,312.2,2004-10-08,1835,D,0
-52.1092,-59.5598,314.2,2004-10-10,1823,D,0
-52.0975,-59.5485,326.6,2004-10-10,1823,D,0
-52.1001,-59.5638,340.9,2004-10-10,1823,D,0
-52.0909,-59.5677,325.1,2004-10-10,1823,D,0
-52.0392,-59.5798,301.9,2004-10-10,1823,D,0
-52.0418,-59.595,306.4,2004-10-10,1823,D,0
-52.0904,-60.8355,308.9,2004-10-12,1811,D,0
-51.331,-58.8645,339.5,2004-11-08,1347,D,0
-52.1116,-60.3294,317.6,2004-11-20,1816,D,0
-51.7161,-57.8368,364.1,2004-11-24,1752,D,3
-51.718,-57.8531,412.6,2004-11-24,1752,D,3
-51.8359,-60.4116,315.9,2004-12-01,1758,D,0
-51.835,-60.4009,327.8,2004-12-01,1758,D,0
-51.8341,-60.3939,316.6,2004-12-01,1758,D,0
-51.5708,-59.503,329.2,2004-12-07,1316,D,0
-51.9967,-60.5061,316.9,2004-12-08,1804,D,0
-52.0062,-60.5031,323.4,2004-12-08,1804,D,0
-52.0054,-60.4994,310.1,2004-12-09,1847,D,0
