latitude,longitude,brightness,acq_date,acq_time,daynight,type
2.7463,-59.6415,317.6,2004-01-01,1423,D,0
2.2777,-59.4977,319.2,2004-01-02,1800,D,0
2.48,-59.257,318.3,2004-01-02,1800,D,0
2.7517,-59.8807,316.9,2004-01-03,1705,D,0
4.0464,-59.5224,307.8,2004-01-04,234,N,0
3.8664,-59.3044,323.3,2004-01-04,1748,D,0
4.0705,-59.533,317.9,2004-01-06,1736,D,0
2.4601,-59.7647,317.9,2004-01-08,1723,D,0
2.4587,-59.7742,322.6,2004-01-08,1723,D,0
2.4498,-59.2617,311.5,2004-01-08,1723,D,0
3.5165,-59.6921,316.2,2004-01-09,1806,D,0
2.4518,-59.6197,318.6,2004-01-10,1417,D,0
2.4535,-59.6311,323.5,2004-01-10,1417,D,0
2.5284,-59.7777,312.4,2004-01-10,1711,D,0
3.2406,-59.8637,312.9,2004-01-12,1659,D,0
3.2467,-59.8439,319.3,2004-01-12,1659,D,0
3.2443,-59.8387,317.9,2004-01-12,1659,D,0
3.2069,-59.8962,306.3,2004-01-13,228,N,0
3.5659,-59.7023,347.4,2004-01-15,1435,D,0
3.5672,-59.7115,356.9,2004-01-15,1435,D,0
3.0298,-59.5743,326.8,2004-01-15,1729,D,0
2.5219,-59.5189,334.0,2004-01-15,1729,D,0
3.8586,-59.1835,322.3,2004-01-15,1730,D,0
3.8816,-59.5429,332.2,2004-01-15,1730,D,0
3.4039,-59.789,335.6,2004-01-15,1730,D,0
3.4026,-59.798,352.4,2004-01-15,1730,D,0
3.3936,-59.7967,336.4,2004-01-15,1730,D,0
3.4756,-59.666,312.1,2004-01-17,1423,D,0
4.2344,-59.5576,312.2,2004-01-17,1423,D,0
2.6829,-59.3941,313.9,2004-01-17,1423,D,0
2.6921,-59.3928,318.8,2004-01-17,1423,D,0
2.6934,-59.4022,316.0,2004-01-17,1423,D,0
3.4704,-59.6727,309.3,2004-01-17,1423,D,0
3.4706,-59.6703,325.0,2004-01-17,1717,D,0
4.1714,-59.657,301.0,2004-01-18,246,N,0
4.1669,-59.6541,308.0,2004-01-18,537,N,0
2.775,-59.8337,341.3,2004-01-19,1411,D,0
2.7719,-59.8283,342.8,2004-01-19,1411,D,0
2.7727,-59.8185,323.5,2004-01-19,1411,D,0
3.5526,-59.3242,317.7,2004-01-19,1705,D,0
3.8906,-59.0725,319.2,2004-01-19,1705,D,0
3.957,-59.5221,324.1,2004-01-19,1705,D,0
3.8637,-59.2526,319.1,2004-01-19,1705,D,0
6.4492,-58.1535,310.9,2004-01-21,1653,D,0
5.2829,-58.6904,303.4,2004-01-22,222,N,0
5.2816,-58.6993,313.6,2004-01-22,222,N,0
2.8665,-59.6823,322.1,2004-01-22,1441,D,0
2.8781,-59.692,327.8,2004-01-22,1441,D,0
3.522,-59.4867,319.1,2004-01-22,1441,D,0
2.8288,-59.699,322.4,2004-01-22,1441,D,0
5.2845,-58.6901,310.4,2004-01-22,1441,D,0
2.8501,-59.6844,330.5,2004-01-22,1735,D,0
2.6902,-59.3832,328.4,2004-01-22,1735,D,0
2.6888,-59.393,326.5,2004-01-22,1735,D,0
2.6949,-59.8018,331.6,2004-01-22,1735,D,0
2.2176,-59.5417,328.5,2004-01-22,1735,D,0
2.7008,-59.5596,332.3,2004-01-22,1735,D,0
2.8942,-59.9575,333.6,2004-01-22,1735,D,0
3.7642,-59.6599,337.1,2004-01-22,1736,D,0
3.4521,-59.7845,333.2,2004-01-22,1736,D,0
3.4507,-59.7941,344.6,2004-01-22,1736,D,0
3.5028,-59.4947,327.5,2004-01-22,1736,D,0
4.9446,-59.4313,312.0,2004-01-22,1736,D,0
3.5122,-59.4961,328.3,2004-01-22,1736,D,0
5.2811,-58.6974,312.6,2004-01-22,1736,D,0
3.9485,-59.3863,336.8,2004-01-22,1736,D,0
3.7656,-59.6502,333.7,2004-01-22,1736,D,0
3.1086,-59.7005,338.2,2004-01-24,1429,D,0
2.6208,-59.3927,324.9,2004-01-24,1429,D,0
2.7651,-59.9359,324.9,2004-01-24,1429,D,0
2.9839,-59.4792,317.3,2004-01-24,1429,D,0
3.1175,-59.6992,340.3,2004-01-24,1429,D,0
3.1189,-59.7081,322.0,2004-01-24,1429,D,0
3.5954,-59.8355,356.4,2004-01-24,1723,D,0
2.3159,-59.7086,327.3,2004-01-24,1723,D,0
3.635,-59.7413,339.5,2004-01-24,1723,D,0
3.7075,-59.2437,322.6,2004-01-24,1723,D,0
2.3173,-59.6991,329.9,2004-01-24,1723,D,0
2.9517,-59.6981,329.0,2004-01-24,1723,D,0
3.952,-59.2082,323.4,2004-01-24,1723,D,0
3.9297,-59.4278,331.3,2004-01-24,1723,D,0
3.4428,-59.5524,330.3,2004-01-24,1723,D,0
3.7088,-59.2346,320.8,2004-01-24,1723,D,0
3.9193,-59.4356,329.3,2004-01-24,1723,D,0
3.5876,-59.8247,346.3,2004-01-24,1723,D,0
2.8983,-59.8065,332.2,2004-01-24,1723,D,0
2.4249,-59.6524,335.5,2004-01-24,1723,D,0
3.7144,-59.5157,335.8,2004-01-24,1723,D,0
3.713,-59.5249,347.3,2004-01-24,1723,D,0
3.9206,-59.4264,322.8,2004-01-24,1723,D,0
3.9391,-59.2341,324.2,2004-01-24,1723,D,0
3.6022,-59.7883,332.1,2004-01-24,1723,D,0
3.5968,-59.826,352.8,2004-01-24,1723,D,0
6.6379,-58.516,333.2,2004-01-24,1724,D,0
5.7105,-57.6635,331.1,2004-01-24,1724,D,0
4.5757,-59.5424,319.3,2004-01-24,1724,D,0
7.2173,-58.5237,312.6,2004-01-24,1724,D,0
2.5084,-59.761,323.5,2004-01-26,1417,D,0
2.8103,-59.3092,325.9,2004-01-26,1417,D,0
2.7114,-59.6896,323.1,2004-01-26,1417,D,0
2.8669,-59.6262,325.5,2004-01-26,1417,D,0
3.5841,-59.4997,320.8,2004-01-26,1417,D,0
2.7507,-59.3235,324.2,2004-01-26,1417,D,0
2.8039,-59.9698,322.8,2004-01-26,1417,D,0
2.8057,-59.9821,330.5,2004-01-26,1417,D,0
2.7122,-59.6841,325.1,2004-01-26,1417,D,0
2.6929,-59.6332,325.3,2004-01-26,1711,D,0
2.9762,-59.7379,333.3,2004-01-26,1711,D,0
2.8105,-59.3199,328.0,2004-01-26,1711,D,0
2.8075,-59.313,325.8,2004-01-26,1711,D,0
3.0468,-59.7246,328.6,2004-01-26,1711,D,0
3.0314,-59.7514,328.8,2004-01-26,1711,D,0
3.0335,-59.7371,327.4,2004-01-26,1711,D,0
3.0319,-59.7464,330.7,2004-01-26,1711,D,0
3.7909,-59.2074,317.3,2004-01-26,1711,D,0
3.1319,-59.7733,319.8,2004-01-26,1711,D,0
3.3794,-59.6501,328.1,2004-01-26,1711,D,0
2.752,-59.7737,326.5,2004-01-26,1711,D,0
2.8316,-59.7039,327.3,2004-01-26,1711,D,0
2.8295,-59.7183,327.5,2004-01-26,1711,D,0
2.851,-59.649,325.6,2004-01-26,1711,D,0
2.882,-59.6735,325.3,2004-01-26,1711,D,0
2.965,-59.7363,328.0,2004-01-26,1711,D,0
2.9629,-59.7505,327.6,2004-01-26,1711,D,0
5.7413,-57.784,317.0,2004-01-26,1712,D,0
5.3895,-58.0981,332.8,2004-01-26,1712,D,0
7.6511,-58.9799,311.0,2004-01-26,1712,D,0
5.3847,-58.1012,336.0,2004-01-26,1712,D,0
4.2173,-59.6806,305.7,2004-01-27,240,N,0
2.7404,-59.805,304.3,2004-01-27,240,N,0
2.8971,-59.4888,304.4,2004-01-27,531,N,0
3.6641,-59.532,324.6,2004-01-27,1459,D,0
3.988,-59.2596,311.7,2004-01-27,1459,D,0
5.5866,-57.9846,311.6,2004-01-27,1459,D,0
5.583,-57.9786,311.0,2004-01-27,1459,D,0
4.6523,-59.9042,318.5,2004-01-27,1459,D,0
2.5864,-59.5711,319.8,2004-01-27,1500,D,0
