latitude,longitude,brightness,acq_date,acq_time,daynight,type
-17.1212,35.2888,342.0,2004-01-02,1120,D,0
-16.9288,35.2848,341.9,2004-01-02,1120,D,0
-16.9301,35.2755,340.1,2004-01-02,1120,D,0
-17.0107,35.2947,354.3,2004-01-02,1120,D,0
-17.0943,35.2846,342.0,2004-01-02,1120,D,0
-17.0956,35.2753,340.3,2004-01-02,1120,D,0
-17.1122,35.2874,349.6,2004-01-02,1120,D,0
-15.5021,35.7939,305.7,2004-01-03,2254,N,0
-15.0311,35.7165,315.7,2004-01-04,823,D,0
-17.1082,35.2617,339.4,2004-01-04,1107,D,0
-15.0785,35.6072,315.5,2004-01-05,1151,D,0
-12.1152,33.7595,312.0,2004-01-06,810,D,0
-12.4123,33.5363,305.6,2004-01-06,1056,D,0
-15.1072,35.547,325.1,2004-01-07,1138,D,0
-17.1239,35.2712,335.6,2004-01-07,1138,D,0
-16.3336,34.6617,322.7,2004-01-08,1043,D,0
-12.1188,33.7582,315.3,2004-01-09,1127,D,0
-12.1202,33.749,318.0,2004-01-09,1127,D,0
-13.7155,35.0497,317.4,2004-01-12,734,D,0
-14.2255,35.0475,318.3,2004-01-12,1157,D,0
-15.0926,35.5765,321.3,2004-01-16,1132,D,0
-15.0907,35.5885,321.7,2004-01-16,1132,D,0
-16.9128,35.2437,309.7,2004-01-18,836,D,0
-15.1399,35.5855,319.7,2004-02-03,1120,D,0
-15.0728,35.5559,319.8,2004-02-10,1126,D,0
-15.0557,35.6051,318.0,2004-02-10,1126,D,0
-15.0556,35.7944,325.9,2004-02-10,1126,D,0
-16.3743,34.9223,324.2,2004-02-26,1126,D,0
-11.1465,33.6433,310.4,2004-03-01,816,D,0
-15.0509,35.7215,317.5,2004-03-14,746,D,0
-14.4277,35.2028,326.8,2004-03-29,1126,D,0
-14.9779,35.8304,321.0,2004-04-16,1114,D,0
-15.5498,35.7477,318.2,2004-04-16,1114,D,0
-15.04,35.5715,311.6,2004-04-20,804,D,0
-15.3948,35.4041,317.1,2004-04-21,1132,D,0
-15.5508,35.7508,316.0,2004-04-25,1108,D,0
-14.3083,34.7717,317.5,2004-04-30,1127,D,0
-14.3011,34.77,315.1,2004-05-02,1115,D,0
-14.9918,35.853,311.9,2004-05-03,1157,D,0
-14.9877,35.8471,312.7,2004-05-03,1157,D,0
-14.2938,34.7215,313.1,2004-05-04,816,D,0
-14.4827,35.212,316.6,2004-05-06,804,D,0
-14.4403,34.7251,317.5,2004-05-07,1133,D,0
-14.388,34.7392,327.0,2004-05-07,1133,D,0
-14.9813,35.6529,317.8,2004-05-09,1121,D,0
-14.9799,35.6622,315.5,2004-05-09,1121,D,0
-14.9396,35.8752,323.6,2004-05-09,1121,D,0
-11.6108,34.2046,309.9,2004-05-09,1122,D,0
-11.7416,34.1934,318.1,2004-05-09,1122,D,0
-14.4985,35.2897,319.3,2004-05-11,1109,D,0
-14.3464,34.7432,318.0,2004-05-11,1109,D,0
-11.0035,33.4048,315.4,2004-05-13,809,D,0
-10.5732,33.795,315.4,2004-05-13,809,D,0
-10.5718,33.7859,307.3,2004-05-13,809,D,0
-14.7809,35.1859,318.2,2004-05-13,810,D,0
-15.2156,35.142,322.3,2004-05-13,1056,D,0
-14.7946,35.1745,326.4,2004-05-13,1056,D,0
-14.4317,34.7265,319.9,2004-05-13,1056,D,0
-14.7967,35.156,323.0,2004-05-13,1056,D,0
-15.2144,35.1353,325.2,2004-05-13,1056,D,0
-11.4454,33.2652,326.2,2004-05-13,1057,D,0
-11.439,33.2572,325.5,2004-05-13,1057,D,0
-14.2356,33.9844,324.2,2004-05-14,1139,D,0
-14.6777,35.3588,314.5,2004-05-14,1139,D,0
-11.1609,33.5912,325.9,2004-05-14,1140,D,0
-11.1647,33.5974,319.4,2004-05-14,1140,D,0
-15.4202,35.1619,313.1,2004-05-15,758,D,0
-14.397,34.6167,317.3,2004-05-16,1127,D,0
-14.4967,35.2423,319.3,2004-05-16,1127,D,0
-14.5435,35.3112,323.9,2004-05-16,1127,D,0
-16.5744,35.1454,315.8,2004-05-16,1127,D,0
-14.542,35.3212,317.8,2004-05-16,1127,D,0
-14.4779,35.1782,318.5,2004-05-16,1127,D,0
-14.2781,34.8038,310.7,2004-05-18,828,D,0
-12.701,33.3681,315.2,2004-05-18,1115,D,0
-14.3607,34.8004,317.9,2004-05-18,1115,D,0
-12.6996,33.3791,316.6,2004-05-18,1115,D,0
-14.4455,35.1753,336.4,2004-05-18,1115,D,0
-14.362,34.7904,327.3,2004-05-18,1115,D,0
-14.3514,34.799,316.2,2004-05-18,1115,D,0
-14.3527,34.789,327.9,2004-05-18,1115,D,0
-14.2928,34.8107,337.2,2004-05-18,1115,D,0
-14.4727,34.6962,316.5,2004-05-18,1115,D,0
-14.4739,34.8292,315.3,2004-05-18,1115,D,0
-14.3704,34.6654,318.0,2004-05-20,816,D,0
-14.3688,34.6532,322.8,2004-05-20,816,D,0
-13.6927,35.0491,311.6,2004-05-20,1103,D,0
-14.2737,34.8161,306.0,2004-05-21,1146,D,0
-13.2982,33.7417,313.0,2004-05-22,803,D,0
-13.2603,33.2468,328.0,2004-05-22,803,D,0
-13.2996,33.751,328.9,2004-05-22,803,D,0
-14.3386,34.799,314.2,2004-05-22,804,D,0
-14.1271,35.3735,313.1,2004-05-22,804,D,0
-14.5497,34.719,315.7,2004-05-23,1133,D,0
-11.7255,34.1828,308.5,2004-05-23,1134,D,0
-13.7182,34.481,313.7,2004-05-23,1134,D,0
-11.7272,34.1717,309.4,2004-05-23,1134,D,0
-13.8941,34.5534,308.4,2004-05-24,751,D,0
-11.0688,33.4421,305.1,2004-05-25,833,D,0
-14.9301,35.8218,321.9,2004-05-25,1121,D,0
-14.4326,35.1885,320.0,2004-05-25,1121,D,0
-14.3483,34.6897,333.6,2004-05-25,1121,D,0
-14.935,35.8513,331.3,2004-05-25,1121,D,0
-14.241,34.5385,316.3,2004-05-25,1121,D,0
-14.2397,34.5478,316.7,2004-05-25,1121,D,0
-14.9288,35.8311,322.6,2004-05-25,1121,D,0
-14.3792,34.6661,319.5,2004-05-25,1121,D,0
-12.5193,34.0972,313.2,2004-05-25,1122,D,0
-14.3716,34.6555,321.6,2004-05-26,739,D,0
-14.1509,34.9098,312.0,2004-05-26,739,D,0
-14.2148,35.03,313.5,2004-05-26,739,D,0
-14.3837,34.6533,318.6,2004-05-26,739,D,0
-14.3353,34.6618,312.9,2004-05-26,739,D,0
-12.6661,33.4051,314.2,2004-05-27,822,D,0
-12.6678,33.4171,312.6,2004-05-27,822,D,0
-12.6763,33.4038,313.4,2004-05-27,822,D,0
-14.1425,34.5409,310.9,2004-05-27,822,D,0
-14.2777,34.8099,312.2,2004-05-27,822,D,0
-14.1268,34.8837,339.6,2004-05-27,1109,D,0
-14.9238,35.8569,312.7,2004-05-27,1109,D,0
-14.2226,35.0096,322.9,2004-05-27,1109,D,0
-14.2118,34.9379,319.5,2004-05-27,1109,D,0
-14.0127,34.517,314.4,2004-05-27,1109,D,0
-13.6722,35.012,323.3,2004-05-27,1109,D,0
-13.6737,35.0007,319.7,2004-05-27,1109,D,0
-13.722,34.4843,314.1,2004-05-27,1109,D,0
-14.1253,34.8953,324.2,2004-05-27,1109,D,0
-14.1199,34.5361,311.5,2004-05-28,1152,D,0
-12.6598,33.4189,314.5,2004-05-29,809,D,0
-14.3734,33.7547,310.6,2004-05-29,810,D,0
-14.694,35.3275,310.9,2004-05-29,810,D,0
-14.2951,34.7782,317.8,2004-05-29,810,D,0
-13.7035,35.0097,318.8,2004-05-29,810,D,0
-13.4377,33.0127,314.1,2004-05-29,810,D,0
-14.9224,35.8824,313.1,2004-05-29,1056,D,0
-14.9518,35.2254,314.7,2004-05-29,1056,D,0
-14.6738,35.3774,348.2,2004-05-29,1057,D,0
-12.6795,33.4146,322.6,2004-05-29,1057,D,0
-12.6733,33.4074,317.0,2004-05-29,1057,D,0
-13.4883,32.9264,311.5,2004-05-29,1057,D,0
-13.4866,32.9192,314.5,2004-05-29,1057,D,0
-14.4504,35.1644,323.7,2004-05-29,1057,D,0
-14.2425,35.2736,322.2,2004-05-29,1057,D,0
-14.3134,34.7874,322.1,2004-05-29,1057,D,0
-14.686,35.379,314.7,2004-05-29,1057,D,0
-15.3691,35.5397,309.0,2004-05-30,1139,D,0
-14.9054,35.7543,316.0,2004-05-30,1139,D,0
-14.917,35.7564,324.8,2004-05-30,1139,D,0
-14.9064,35.7643,321.3,2004-05-30,1139,D,0
-13.9067,34.5448,318.5,2004-05-30,1140,D,0
-13.9081,34.5508,316.6,2004-05-30,1140,D,0
-14.4409,34.6764,340.4,2004-06-01,1127,D,0
-14.9525,34.6405,316.7,2004-06-01,1127,D,0
-14.8785,35.2662,316.0,2004-06-01,1127,D,0
-14.4318,34.6749,331.9,2004-06-01,1127,D,0
-14.0221,34.3933,309.3,2004-06-01,1127,D,0
-13.7763,34.4437,315.5,2004-06-01,1127,D,0
-14.4304,34.6845,315.8,2004-06-01,1127,D,0
-14.1528,34.5768,313.3,2004-06-01,1127,D,0
-14.1542,34.5672,320.1,2004-06-01,1127,D,0
-14.2914,34.7583,330.1,2004-06-01,1127,D,0
-14.4704,34.7301,317.2,2004-06-01,1127,D,0
-14.195,34.9616,315.8,2004-06-01,1127,D,0
-14.4246,34.7228,331.9,2004-06-01,1127,D,0
-13.7227,35.0969,310.5,2004-06-01,1127,D,0
-14.3997,34.7713,327.3,2004-06-01,1127,D,0
-14.2693,34.8435,320.6,2004-06-01,1127,D,0
-14.1607,34.5739,322.6,2004-06-01,1127,D,0
-14.4011,34.7617,325.7,2004-06-01,1127,D,0
-14.1652,35.2201,312.6,2004-06-01,1127,D,0
-11.0478,33.4002,312.8,2004-06-01,1128,D,0
-14.1697,34.8855,309.2,2004-06-02,745,D,0
-14.3,34.8233,315.1,2004-06-02,745,D,0
-14.2408,34.6668,318.7,2004-06-02,745,D,0
-14.1718,34.8987,309.8,2004-06-02,745,D,0
-13.7031,34.5759,301.6,2004-06-03,1115,D,0
-13.5552,32.8586,316.1,2004-06-04,1158,D,0
-13.5592,32.8357,332.7,2004-06-04,1158,D,0
-10.7095,33.9275,318.4,2004-06-05,815,D,0
-10.6111,33.7463,315.6,2004-06-05,815,D,0
-10.6125,33.756,315.3,2004-06-05,815,D,0
-14.3418,34.6966,317.0,2004-06-05,1103,D,0
-13.4635,34.3167,321.9,2004-06-05,1103,D,0
-14.3421,34.7066,316.3,2004-06-05,1103,D,0
-14.2186,34.5904,318.5,2004-06-05,1103,D,0
-10.6144,33.7316,307.0,2004-06-05,1104,D,0
-11.1423,33.5468,317.1,2004-06-05,1104,D,0
-10.5907,33.7564,325.7,2004-06-05,1104,D,0
-10.6084,33.7104,304.6,2004-06-05,1104,D,0
-11.2123,33.4717,317.5,2004-06-05,1104,D,0
-10.618,33.7268,308.9,2004-06-05,1104,D,0
-10.6163,33.7163,310.4,2004-06-05,1104,D,0
-10.7148,33.9409,334.0,2004-06-05,1104,D,0
-10.7167,33.9256,328.2,2004-06-05,1104,D,0
-13.2762,33.4734,327.7,2004-06-06,1146,D,0
-14.6566,35.3486,314.2,2004-06-06,1146,D,0
-13.4568,33.4248,318.5,2004-06-06,1146,D,0
-13.6079,33.5554,317.5,2004-06-06,1146,D,0
-14.1297,34.4989,320.0,2004-06-06,1146,D,0
-10.9755,33.3892,313.6,2004-06-06,1147,D,0
-10.9611,33.4035,311.5,2004-06-06,1147,D,0
-12.6782,33.4035,316.5,2004-06-07,803,D,0
-13.1313,33.2922,331.3,2004-06-07,803,D,0
-12.6767,33.394,337.0,2004-06-07,803,D,0
-13.1328,33.3018,317.6,2004-06-07,803,D,0
-13.1299,33.2827,318.5,2004-06-07,803,D,0
-15.1616,35.0018,317.1,2004-06-07,804,D,0
-14.7744,35.1901,323.3,2004-06-07,804,D,0
-14.9853,35.6333,316.7,2004-06-07,804,D,0
-14.7758,35.1996,318.7,2004-06-07,804,D,0
-14.9867,35.6431,316.5,2004-06-07,804,D,0
-14.2366,35.0289,313.3,2004-06-07,804,D,0
-14.7559,35.3328,309.7,2004-06-07,1050,D,0
-14.2261,33.7841,312.7,2004-06-07,1051,D,0
-14.2367,33.7902,313.3,2004-06-07,1051,D,0
-14.3698,34.752,326.0,2004-06-07,1051,D,0
-14.3554,34.7503,313.5,2004-06-07,1051,D,0
-14.3579,34.7576,329.6,2004-06-07,1051,D,0
-11.0988,33.6611,320.4,2004-06-07,1052,D,0
-10.5793,33.7923,306.1,2004-06-08,845,D,0
-10.5752,33.7583,316.3,2004-06-08,845,D,0
-10.5821,33.7523,312.4,2004-06-08,845,D,0
-10.586,33.7862,311.0,2004-06-08,845,D,0
-14.9147,35.268,321.3,2004-06-08,1133,D,0
-14.5511,35.3033,317.4,2004-06-08,1133,D,0
-14.3349,34.5901,315.0,2004-06-08,1133,D,0
-14.4123,34.6887,335.9,2004-06-08,1133,D,0
-14.2738,34.9128,313.9,2004-06-08,1133,D,0
-14.9814,35.6767,318.1,2004-06-08,1133,D,0
-14.9166,35.2562,323.4,2004-06-08,1133,D,0
-14.8226,35.1973,319.6,2004-06-08,1133,D,0
-14.3962,34.6634,335.2,2004-06-08,1133,D,0
-14.4312,34.7604,318.7,2004-06-08,1133,D,0
-14.4526,34.7525,327.3,2004-06-08,1133,D,0
-14.3929,34.6675,328.1,2004-06-08,1133,D,0
-14.3946,34.6564,318.6,2004-06-08,1133,D,0
-14.3544,34.787,325.5,2004-06-08,1133,D,0
-14.3411,34.8079,335.4,2004-06-08,1133,D,0
-14.3446,34.7854,318.4,2004-06-08,1133,D,0
-14.4509,34.7637,327.1,2004-06-08,1133,D,0
-14.5594,35.317,338.2,2004-06-08,1133,D,0
-14.5429,35.2896,334.1,2004-06-08,1133,D,0
-14.541,35.3015,331.3,2004-06-08,1133,D,0
-13.3844,32.9788,318.5,2004-06-08,1134,D,0
-13.6378,34.9897,317.1,2004-06-08,1134,D,0
-11.1524,33.661,319.8,2004-06-08,1134,D,0
-14.2064,34.9548,319.1,2004-06-08,1134,D,0
-13.636,35.0015,314.7,2004-06-08,1134,D,0
-14.3269,35.121,314.8,2004-06-09,751,D,0
-14.2159,34.9402,320.7,2004-06-09,751,D,0
-13.8484,35.134,308.5,2004-06-09,751,D,0
-13.6254,34.4504,311.1,2004-06-09,751,D,0
-14.2176,34.951,315.2,2004-06-09,751,D,0
-15.0404,35.2465,313.3,2004-06-09,751,D,0
-14.9068,34.9726,317.0,2004-06-09,1038,D,0
-14.9089,34.9684,315.4,2004-06-09,1038,D,0
-14.746,35.3358,313.8,2004-06-09,1038,D,0
-14.6524,35.3561,313.1,2004-06-09,1038,D,0
-14.6531,35.3604,313.4,2004-06-09,1038,D,0
-13.3959,33.4521,316.7,2004-06-10,834,D,0
-13.6897,34.991,318.3,2004-06-10,1121,D,0
-14.4814,34.7284,330.8,2004-06-10,1121,D,0
-13.6683,34.493,333.1,2004-06-10,1121,D,0
