latitude,longitude,brightness,acq_date,acq_time,daynight,type
-50.4154,-70.9716,302.8,2005-01-01,338,N,0
-33.4068,-59.3246,306.4,2005-01-01,517,N,0
-50.4176,-70.9618,300.5,2005-01-01,522,N,0
-24.8445,-65.4417,321.0,2005-01-01,1441,D,0
-31.9471,-65.1857,314.3,2005-01-01,1443,D,0
-30.7259,-64.7989,312.2,2005-01-01,1443,D,0
-30.723,-64.8049,313.4,2005-01-01,1443,D,0
-33.5822,-69.0176,320.2,2005-01-01,1444,D,0
-50.4219,-70.9689,315.0,2005-01-01,1448,D,0
-24.3329,-63.2773,319.6,2005-01-01,1723,D,0
-23.498,-64.1185,311.6,2005-01-01,1723,D,0
-50.4218,-70.9701,323.1,2005-01-01,1854,D,0
-28.5813,-58.1287,314.6,2005-01-02,1347,D,0
-33.412,-59.3214,320.2,2005-01-02,1348,D,0
-35.7776,-62.2029,320.0,2005-01-02,1802,D,0
-33.6818,-65.4731,328.8,2005-01-02,1803,D,0
-33.3708,-60.1516,328.6,2005-01-02,1803,D,2
-33.3727,-60.1632,329.2,2005-01-02,1803,D,2
-32.3463,-65.0168,316.3,2005-01-02,1803,D,0
-33.4207,-59.3273,330.4,2005-01-02,1803,D,0
-33.4111,-59.3296,324.3,2005-01-02,1803,D,0
-34.2675,-62.7105,321.9,2005-01-02,1803,D,0
-35.5428,-63.4784,322.4,2005-01-02,1803,D,0
-33.2628,-60.2905,326.2,2005-01-02,1803,D,0
-33.3163,-66.3432,328.8,2005-01-02,1803,D,0
-31.0948,-64.4926,317.4,2005-01-02,1804,D,0
-28.7415,-64.7162,327.4,2005-01-02,1804,D,0
-28.5056,-65.0636,324.5,2005-01-02,1804,D,0
-31.6559,-64.4359,318.9,2005-01-02,1804,D,0
-29.7127,-62.7997,326.0,2005-01-02,1804,D,0
-27.1693,-65.5015,314.9,2005-01-02,1805,D,0
-26.7827,-61.199,326.4,2005-01-02,1805,D,0
-40.6329,-65.0424,302.2,2005-01-03,328,N,0
-23.8611,-63.5117,305.3,2005-01-03,502,N,0
-33.364,-60.1558,308.9,2005-01-03,504,N,2
-40.6384,-65.03,306.7,2005-01-03,506,N,0
-40.6433,-65.0387,306.7,2005-01-03,506,N,0
-26.6301,-62.7355,329.0,2005-01-03,1429,D,0
-26.3878,-60.8104,314.8,2005-01-03,1429,D,0
-26.7882,-60.4359,317.8,2005-01-03,1429,D,0
-26.2776,-61.9337,321.9,2005-01-03,1429,D,0
-26.2622,-61.7982,321.2,2005-01-03,1429,D,0
-27.4782,-57.6662,314.4,2005-01-03,1430,D,0
-26.8909,-63.9654,350.5,2005-01-03,1430,D,0
-26.888,-63.9856,343.2,2005-01-03,1430,D,0
-28.0389,-63.7807,323.3,2005-01-03,1430,D,0
-26.8895,-63.9755,361.0,2005-01-03,1430,D,0
-29.1564,-62.7798,322.1,2005-01-03,1430,D,0
-28.8661,-61.2038,314.8,2005-01-03,1430,D,0
-28.9962,-61.5561,317.5,2005-01-03,1430,D,0
-27.9782,-63.1506,319.8,2005-01-03,1430,D,0
-28.7432,-64.6961,323.1,2005-01-03,1430,D,0
-27.8072,-62.9887,320.5,2005-01-03,1430,D,0
-27.8884,-62.8806,320.1,2005-01-03,1430,D,0
-27.8947,-62.8769,319.7,2005-01-03,1430,D,0
-28.2655,-60.0844,321.1,2005-01-03,1430,D,0
-29.6809,-63.7932,321.7,2005-01-03,1430,D,0
-29.69,-63.7949,336.6,2005-01-03,1430,D,0
-26.6717,-64.394,343.3,2005-01-03,1430,D,0
-29.6824,-63.7825,327.4,2005-01-03,1430,D,0
-29.6915,-63.7841,348.4,2005-01-03,1430,D,0
-32.6799,-61.5205,315.5,2005-01-03,1431,D,0
-33.0501,-61.1626,315.8,2005-01-03,1431,D,0
