latitude,longitude,brightness,acq_date,acq_time,daynight,type
41.0063,45.2043,300.4,2005-01-11,1003,D,0
41.0033,45.2826,303.2,2005-01-12,1046,D,0
39.4682,46.1299,309.9,2005-02-18,748,D,0
39.4716,46.484,303.2,2005-02-23,944,D,0
41.0238,44.3201,304.3,2005-02-25,754,D,0
41.0254,44.308,304.5,2005-02-25,754,D,0
40.9397,45.4584,302.6,2005-02-26,836,D,0
39.5179,46.4807,313.6,2005-03-02,812,D,0
39.5058,46.2893,311.6,2005-03-02,950,D,0
39.2496,46.4281,314.8,2005-03-02,950,D,0
39.5039,46.2774,306.3,2005-03-02,950,D,0
40.221,44.4475,301.0,2005-03-06,748,D,0
40.6802,45.2202,313.3,2005-03-07,1009,D,0
40.0652,44.3329,306.5,2005-03-13,754,D,0
39.05,46.1778,326.7,2005-03-14,1014,D,0
40.044,44.4436,312.0,2005-03-14,1015,D,0
40.0289,44.0498,311.7,2005-03-14,1015,D,0
40.0455,44.456,314.5,2005-03-14,1015,D,0
39.9049,44.5658,313.5,2005-03-16,825,D,0
39.9549,44.4912,309.6,2005-03-16,1002,D,0
40.1393,44.1708,301.8,2005-03-17,730,D,0
40.8737,44.8542,303.2,2005-03-18,812,D,0
40.8761,44.841,302.1,2005-03-18,812,D,0
40.8772,44.847,311.5,2005-03-18,812,D,0
39.4533,45.9412,307.2,2005-03-18,813,D,0
39.4464,45.9505,304.9,2005-03-18,813,D,0
38.9888,46.2588,309.0,2005-03-18,950,D,0
40.8792,44.8526,309.5,2005-03-18,950,D,0
39.3597,46.197,307.2,2005-03-18,950,D,0
38.9877,46.2709,304.2,2005-03-19,718,D,0
39.192,46.3865,315.0,2005-03-20,801,D,0
40.0301,44.038,320.0,2005-04-11,1039,D,0
41.0655,44.1644,322.2,2005-04-12,806,D,0
41.1772,44.5628,318.7,2005-04-12,806,D,0
39.9811,44.4527,331.7,2005-04-14,755,D,0
41.1253,44.2059,319.8,2005-04-20,1033,D,0
41.1294,44.2129,315.9,2005-04-20,1033,D,0
41.1275,44.1914,314.8,2005-04-20,1033,D,0
40.5993,45.1999,331.8,2005-04-24,1008,D,0
40.5977,45.1879,322.8,2005-04-24,1008,D,0
40.1708,44.4246,327.3,2005-04-28,807,D,0
40.1688,44.4368,314.7,2005-04-28,807,D,0
40.1595,44.3115,312.6,2005-05-17,837,D,0
40.1636,44.2619,326.0,2005-07-13,1008,D,0
40.133,43.9865,319.9,2005-07-15,819,D,0
39.2179,46.2675,308.1,2005-07-16,2239,N,0
40.1634,44.2295,309.4,2005-07-17,1912,N,0
40.1673,44.2376,328.1,2005-07-19,754,D,0
40.1359,44.2496,322.2,2005-07-24,813,D,0
40.138,44.256,355.3,2005-07-24,813,D,0
39.8489,44.6447,322.3,2005-07-24,813,D,0
40.1475,44.2588,334.6,2005-07-24,813,D,0
40.1523,44.2319,327.7,2005-07-24,813,D,0
40.0441,44.0538,320.9,2005-07-24,950,D,0
41.2359,44.8508,323.6,2005-07-24,950,D,0
40.221,44.2499,330.7,2005-07-26,800,D,0
40.1028,44.2984,333.3,2005-07-26,800,D,0
41.1929,44.8588,373.2,2005-07-29,1008,D,0
41.1913,44.8465,346.4,2005-07-29,1008,D,0
40.0288,44.4921,322.1,2005-08-02,806,D,0
40.041,44.401,305.4,2005-08-02,1911,N,0
40.0485,44.4062,311.8,2005-08-02,1911,N,0
40.047,44.3938,310.9,2005-08-02,1911,N,0
40.0914,44.3715,302.0,2005-08-02,1911,N,0
39.9287,44.5466,321.6,2005-08-04,754,D,0
41.0069,45.3852,310.4,2005-08-06,1847,N,0
41.0048,45.3726,312.3,2005-08-06,1847,N,0
41.0089,45.3939,306.5,2005-08-06,2256,N,0
40.9958,45.3951,332.8,2005-08-07,1002,D,0
41.0046,45.3929,337.2,2005-08-07,1002,D,0
41.2065,44.8489,339.5,2005-08-08,729,D,0
41.2847,44.9987,325.7,2005-08-08,729,D,0
39.5425,46.5046,325.8,2005-08-08,730,D,0
40.3214,44.5969,321.4,2005-08-09,812,D,0
40.0287,44.4411,323.1,2005-08-09,949,D,0
39.4822,46.4968,350.7,2005-08-10,1032,D,0
39.4775,46.4925,344.6,2005-08-10,1032,D,0
39.4907,46.4899,333.0,2005-08-10,1032,D,0
40.1805,44.1805,342.2,2005-08-13,748,D,0
40.1788,44.1937,338.5,2005-08-13,748,D,0
41.1581,45.1731,335.7,2005-08-14,1008,D,0
40.1779,44.1865,327.1,2005-08-15,736,D,0
40.1905,44.2166,307.7,2005-08-15,1841,N,0
41.1448,45.1499,334.4,2005-08-16,956,D,0
41.2648,44.9821,332.7,2005-08-17,1039,D,0
41.2596,44.9741,326.4,2005-08-17,1039,D,0
39.5373,46.4788,302.4,2005-08-18,1911,N,0
40.0992,44.0262,300.3,2005-08-18,1911,N,0
41.2449,45.0215,343.0,2005-08-19,1027,D,0
39.5403,46.5211,333.9,2005-08-20,754,D,0
40.0766,44.2712,317.1,2005-08-22,742,D,0
40.3741,44.2843,334.2,2005-08-27,800,D,0
39.9282,44.5435,323.2,2005-08-27,800,D,0
39.5042,46.3249,325.5,2005-09-01,819,D,0
40.1109,44.076,319.1,2005-09-06,1014,D,0
40.0675,44.1715,318.2,2005-09-08,1002,D,0
39.5047,45.4837,305.1,2005-09-09,2245,N,0
40.1737,45.7565,321.4,2005-09-12,800,D,0
39.2226,46.5947,320.5,2005-09-14,925,D,0
39.914,44.5679,329.8,2005-09-15,1008,D,0
40.2484,45.6784,327.2,2005-09-17,956,D,0
39.2232,46.4642,322.8,2005-09-22,1014,D,0
38.9722,46.1288,321.3,2005-09-23,742,D,0
40.4909,44.8331,317.6,2005-09-24,1002,D,0
40.2,45.8327,315.3,2005-09-26,812,D,0
39.9094,45.0216,313.0,2005-10-12,812,D,0
40.5056,44.9502,307.0,2005-10-12,949,D,0
39.6121,45.3035,308.4,2005-10-12,949,D,0
40.0118,44.6396,315.3,2005-10-16,748,D,0
40.1358,44.0232,304.5,2005-10-22,1026,D,0
39.4982,46.1929,306.9,2005-10-24,1014,D,0
40.9011,43.9523,302.7,2005-10-24,1014,D,0
41.0982,43.7328,300.2,2005-10-27,1045,D,0
40.5258,45.3573,301.4,2005-11-01,748,D,0
39.922,44.5394,319.5,2005-11-01,748,D,0
40.4859,45.4333,304.5,2005-11-01,925,D,0
40.481,45.4299,304.0,2005-11-01,925,D,0
39.795,45.4502,306.3,2005-11-02,1008,D,0
40.938,44.1051,319.1,2005-11-02,1008,D,0
40.097,45.8754,308.6,2005-11-02,1008,D,0
39.8987,45.1941,307.2,2005-11-02,1008,D,0
40.0955,45.8632,313.9,2005-11-02,1008,D,0
40.0821,45.8902,312.4,2005-11-03,736,D,0
39.8494,45.5145,310.8,2005-11-03,736,D,0
40.0839,45.8746,313.5,2005-11-03,736,D,0
40.082,45.8795,303.9,2005-11-03,913,D,0
39.9228,45.2598,300.0,2005-11-03,913,D,0
40.0759,45.877,305.2,2005-11-03,913,D,0
40.0776,45.8604,301.5,2005-11-03,1051,D,0
40.0729,45.8685,302.0,2005-11-03,1051,D,0
41.0292,43.7304,305.1,2005-11-04,818,D,0
40.7871,44.6292,314.3,2005-11-04,956,D,0
39.788,45.5043,322.6,2005-11-04,956,D,0
39.7861,45.4925,337.9,2005-11-04,956,D,0
40.7892,44.6424,302.6,2005-11-04,956,D,0
40.6516,45.1712,310.9,2005-11-18,1008,D,0
40.9951,43.7769,304.0,2005-11-19,1051,D,0
40.7888,44.7828,308.5,2005-11-22,2321,N,0
40.7841,44.785,302.3,2005-11-23,1026,D,0
40.8934,44.853,301.1,2005-11-24,931,D,0
40.8997,44.8716,302.4,2005-11-24,931,D,0
41.1627,44.0886,304.0,2005-11-25,1014,D,0
40.9767,43.8474,308.7,2005-11-25,1014,D,0
41.1643,44.1015,301.0,2005-11-25,1014,D,0
41.169,44.1397,301.0,2005-11-25,1014,D,0
41.1706,44.1524,300.2,2005-11-25,1014,D,0
41.0458,44.2449,308.6,2005-11-25,1014,D,0
41.0365,44.2466,329.4,2005-11-25,1014,D,0
41.0381,44.2593,330.9,2005-11-25,1014,D,0
40.6101,45.1647,311.6,2005-11-26,1847,N,0
40.6071,45.1714,301.6,2005-11-26,1847,N,0
40.6366,45.1618,325.4,2005-11-28,729,D,0
40.635,45.1802,305.9,2005-11-28,729,D,0
40.6197,45.1469,302.2,2005-11-28,1045,D,0
40.615,45.2251,303.4,2005-11-28,2244,N,0
40.6133,45.219,305.6,2005-11-28,2244,N,0
40.9829,44.4219,305.1,2005-11-29,812,D,0
40.9916,44.5999,305.2,2005-11-29,812,D,0
41.2125,44.3466,302.4,2005-11-29,812,D,0
40.9929,44.607,301.3,2005-11-29,812,D,0
40.9735,44.4187,305.5,2005-11-29,812,D,0
40.5962,45.2934,319.8,2005-11-29,812,D,0
40.6387,45.1222,302.9,2005-11-29,812,D,0
41.0277,44.1313,300.5,2005-11-29,950,D,0
41.1615,44.129,302.4,2005-11-29,950,D,0
41.0482,44.2548,317.3,2005-12-04,830,D,0
40.7713,44.6441,364.8,2005-12-04,1008,D,0
41.0604,44.4719,302.3,2005-12-04,1008,D,0
41.0434,44.2812,342.9,2005-12-04,1008,D,0
41.045,44.293,316.9,2005-12-04,1008,D,0
40.7625,44.6466,306.2,2005-12-04,1008,D,0
40.764,44.6582,305.2,2005-12-04,1008,D,0
41.1684,44.069,302.3,2005-12-05,1051,D,0
41.1712,44.0792,302.2,2005-12-05,1051,D,0
41.1669,44.076,307.3,2005-12-06,818,D,0
40.9776,43.7176,307.6,2005-12-06,956,D,0
40.6951,45.208,300.5,2005-12-06,956,D,0
40.7054,45.2372,309.9,2005-12-07,1039,D,0
40.7,45.232,313.3,2005-12-07,1039,D,0
40.6931,45.3281,314.7,2005-12-08,806,D,0
40.6599,45.1502,300.2,2005-12-08,806,D,0
41.1057,44.1014,303.4,2005-12-08,944,D,0
41.1,44.0924,305.9,2005-12-08,944,D,0
41.1287,44.3559,305.2,2005-12-09,1026,D,0
41.1104,44.1659,300.8,2005-12-09,1026,D,0
40.7681,44.7184,311.1,2005-12-10,754,D,0
41.0852,44.4922,323.9,2005-12-10,754,D,0
40.9707,44.3841,301.8,2005-12-10,754,D,0
40.7753,44.7323,320.3,2005-12-10,754,D,0
40.549,45.423,310.7,2005-12-10,931,D,0
41.1135,44.1957,301.7,2005-12-10,931,D,0
41.1115,44.1923,305.3,2005-12-10,931,D,0
40.77,44.721,308.7,2005-12-10,931,D,0
40.7706,44.7143,305.9,2005-12-10,931,D,0
41.0846,44.4952,305.5,2005-12-10,931,D,0
41.0846,44.488,310.2,2005-12-10,931,D,0
41.0954,44.1756,301.3,2005-12-10,931,D,0
41.108,44.1708,304.4,2005-12-10,931,D,0
40.5724,45.2935,313.1,2005-12-10,931,D,0
40.5456,45.432,301.3,2005-12-10,931,D,0
40.0735,45.7719,300.7,2005-12-11,837,D,0
40.0739,45.7759,312.2,2005-12-11,1014,D,0
40.7779,44.7248,302.8,2005-12-11,1014,D,0
40.0755,45.79,304.5,2005-12-11,1014,D,0
40.0779,45.7824,310.2,2005-12-11,1014,D,0
39.6042,45.4396,304.4,2005-12-13,1002,D,0
41.0822,43.8895,306.7,2005-12-13,1002,D,0
