latitude,longitude,brightness,acq_date,acq_time,daynight,type
49.68,18.6558,310.7,2005-01-07,59,N,0
49.678,18.6694,338.0,2005-01-07,59,N,2
49.8123,18.3125,302.9,2005-01-08,1114,D,0
49.6755,18.6581,334.7,2005-01-09,1156,D,2
49.6801,18.6611,305.7,2005-01-10,2028,N,0
49.6802,18.6734,301.9,2005-01-11,34,N,0
49.6748,18.6636,309.7,2005-01-11,1144,D,2
49.6775,18.6673,303.1,2005-01-12,117,N,2
49.6777,18.6724,306.0,2005-01-16,1019,D,2
49.679,18.6655,302.7,2005-01-18,40,N,2
49.6787,18.6532,301.5,2005-01-18,1150,D,0
49.6815,18.6764,327.3,2005-01-20,28,N,0
49.6761,18.6747,302.7,2005-03-12,1958,N,2
49.6699,18.6484,300.4,2005-03-12,1958,N,0
49.68,18.662,315.7,2005-03-20,937,D,0
49.6767,18.6617,310.7,2005-03-22,925,D,2
49.6763,18.6545,308.5,2005-03-22,1107,D,2
49.6769,18.6566,301.2,2005-03-22,2035,N,2
49.6789,18.6692,313.1,2005-03-23,1150,D,2
49.6771,18.654,329.5,2005-03-23,1150,D,2
49.6753,18.6741,314.7,2005-03-25,955,D,2
49.6774,18.6605,351.1,2005-03-25,955,D,2
49.6758,18.6607,316.2,2005-03-25,1138,D,2
49.6787,18.6602,310.7,2005-03-27,943,D,2
49.838,18.2386,301.5,2005-03-27,943,D,0
49.6786,18.6673,313.4,2005-03-27,2053,N,2
49.6767,18.6502,306.9,2005-03-27,2053,N,0
49.8202,18.305,301.5,2005-03-29,931,D,0
49.6793,18.6572,305.3,2005-03-29,931,D,0
49.8143,18.3179,307.0,2005-03-29,931,D,0
49.8183,18.3248,301.3,2005-03-29,931,D,0
49.8103,18.3167,303.0,2005-03-29,1113,D,0
49.6772,18.6527,302.6,2005-03-29,1113,D,0
49.8136,18.3043,307.3,2005-03-29,2041,N,0
49.8155,18.3181,308.1,2005-03-29,2041,N,0
49.8153,18.3289,304.3,2005-03-30,1014,D,0
49.6766,18.6678,303.3,2005-03-30,1014,D,2
49.8185,18.3121,332.7,2005-03-30,1014,D,0
49.6668,18.6453,311.9,2005-03-31,1101,D,0
49.8073,18.3097,319.3,2005-03-31,1101,D,0
49.6729,18.6712,314.0,2005-03-31,1101,D,2
50.2096,14.1302,303.4,2005-04-01,1144,D,0
49.6743,18.6592,308.8,2005-04-01,1144,D,2
50.0761,16.1352,308.8,2005-04-01,1144,D,0
49.813,18.3122,304.4,2005-04-01,1144,D,0
49.8101,18.3381,303.8,2005-04-02,1044,D,0
49.817,18.3194,306.8,2005-04-02,1049,D,0
49.807,18.2818,306.0,2005-04-02,1049,D,0
49.8177,18.315,308.1,2005-04-02,1049,D,0
49.8076,18.2775,303.7,2005-04-02,1049,D,0
49.8175,18.314,309.3,2005-04-03,949,D,0
49.6764,18.6685,323.4,2005-04-03,949,D,2
49.6783,18.6547,311.5,2005-04-03,949,D,2
49.2548,15.7528,301.1,2005-04-03,949,D,0
49.6772,18.663,314.5,2005-04-03,1132,D,2
49.8172,18.3133,308.6,2005-04-03,1132,D,0
49.9708,14.9319,304.2,2005-04-03,1132,D,0
49.8175,18.3158,302.8,2005-04-04,104,N,0
49.6743,18.6598,315.2,2005-04-04,1032,D,2
49.669,18.653,305.0,2005-04-04,1037,D,2
49.6737,18.642,304.2,2005-04-04,1037,D,0
48.7399,16.9405,306.3,2005-04-05,937,D,0
49.6749,18.6604,307.2,2005-04-05,937,D,2
49.4548,16.8653,315.5,2005-04-05,937,D,0
49.6763,18.6665,300.8,2005-04-07,1107,D,2
49.6746,18.6656,310.0,2005-04-12,943,D,2
49.8113,18.3102,304.1,2005-04-12,1125,D,0
49.8078,18.3183,306.7,2005-04-12,1125,D,0
49.6796,18.6615,309.0,2005-04-12,1125,D,0
49.8189,18.3282,312.4,2005-04-15,46,N,0
50.807,14.3814,305.3,2005-04-15,1014,D,0
49.6739,18.6679,306.6,2005-04-15,1014,D,2
50.0221,15.7826,309.9,2005-04-15,1014,D,0
50.2394,16.1039,306.0,2005-04-15,1014,D,0
50.7736,14.2231,306.9,2005-04-15,1156,D,0
50.3933,13.6841,300.5,2005-04-21,1115,D,0
49.6777,18.6631,302.4,2005-04-21,2047,N,2
49.686,15.5322,302.0,2005-04-22,1020,D,0
49.6746,18.655,303.4,2005-04-22,1020,D,2
49.735,13.019,303.9,2005-04-22,1202,D,0
49.368,14.6984,305.0,2005-04-22,1202,D,0
49.3115,16.9785,307.2,2005-04-24,1008,D,0
49.7808,18.4266,306.7,2005-04-30,931,D,0
49.6795,18.6528,308.8,2005-04-30,2041,N,0
49.6814,18.6668,311.0,2005-04-30,2041,N,0
49.1151,16.0542,307.3,2005-05-01,1014,D,0
49.6759,18.6684,310.6,2005-05-02,2029,N,2
49.6737,18.6545,306.1,2005-05-02,2029,N,2
49.6818,18.6703,315.3,2005-05-03,1001,D,0
49.6784,18.6692,316.2,2005-05-10,39,N,2
49.35,16.0213,303.8,2005-05-21,949,D,0
49.6774,18.6602,311.8,2005-05-21,949,D,2
49.6791,18.663,306.9,2005-05-21,2059,N,2
50.4852,13.6438,303.4,2005-05-24,1020,D,0
49.8317,18.172,307.0,2005-05-25,924,D,0
49.7871,18.3262,314.9,2005-05-26,1007,D,0
50.2247,17.1828,308.0,2005-05-26,1007,D,0
49.1238,17.4863,312.6,2005-05-26,1008,D,0
49.7298,13.3245,306.2,2005-05-26,1008,D,0
49.2355,16.9983,310.2,2005-05-26,1008,D,0
49.7279,13.3386,308.4,2005-05-26,1008,D,0
49.6774,18.6705,315.1,2005-05-27,2022,N,2
49.6748,18.6555,325.4,2005-05-27,2022,N,2
50.4972,16.2377,312.5,2005-05-28,1138,D,0
49.6735,18.6714,302.7,2005-06-02,1013,D,2
49.1818,16.7632,309.1,2005-06-02,1014,D,0
49.6795,18.6679,316.2,2005-06-06,949,D,0
49.6765,18.66,311.4,2005-06-06,1131,D,2
50.2202,17.1818,309.9,2005-06-13,1138,D,0
49.4881,16.6528,306.8,2005-06-18,1013,D,0
50.0357,15.582,308.0,2005-06-18,1013,D,0
49.087,16.2057,305.8,2005-06-18,1014,D,0
49.1216,16.2098,309.4,2005-06-18,1014,D,0
49.0535,15.7998,309.5,2005-06-18,1014,D,0
49.7928,13.3226,309.6,2005-06-18,1156,D,0
50.2401,12.9603,309.5,2005-06-18,1156,D,0
49.3293,17.5748,310.0,2005-06-20,1001,D,0
50.3302,13.5518,313.6,2005-06-20,1144,D,0
50.2392,12.9643,313.4,2005-06-23,1032,D,0
50.0357,15.5786,306.7,2005-06-23,1032,D,0
50.2256,17.1796,310.1,2005-06-25,1019,D,0
49.7196,17.2905,310.8,2005-06-27,1007,D,0
50.497,16.2355,307.1,2005-06-27,1007,D,0
49.3548,17.2892,307.4,2005-06-27,1007,D,0
50.2237,17.1877,314.2,2005-06-27,1007,D,0
50.2051,16.2533,312.9,2005-06-27,1007,D,0
49.3967,16.8088,308.9,2005-06-27,1007,D,0
49.6051,17.3004,317.6,2005-06-27,1007,D,0
49.9208,17.969,308.9,2005-06-27,1007,D,0
48.9683,16.5141,312.6,2005-06-27,1008,D,0
48.7341,16.8562,307.3,2005-06-27,1008,D,0
48.8475,17.1218,313.0,2005-06-27,1008,D,0
50.1006,13.7277,312.7,2005-06-27,1150,D,0
49.0021,14.3313,310.5,2005-06-27,1150,D,0
49.712,13.8828,307.9,2005-06-28,1233,D,0
49.6806,18.6661,303.1,2005-07-03,2041,N,0
49.1039,15.8304,310.7,2005-07-04,1014,D,0
48.8677,16.1116,312.1,2005-07-04,1014,D,0
48.8545,16.0753,314.8,2005-07-04,1014,D,0
49.0534,15.804,310.4,2005-07-04,1014,D,0
48.7898,16.0197,307.1,2005-07-06,1143,D,0
49.6828,18.6711,320.8,2005-07-13,39,N,0
49.6803,18.6553,313.6,2005-07-13,1007,D,0
49.6774,18.6707,316.9,2005-07-13,1007,D,2
49.675,18.6628,318.2,2005-07-13,1007,D,2
49.9141,15.391,311.6,2005-07-15,1137,D,0
49.0673,16.6488,311.8,2005-07-15,1137,D,0
49.6793,18.6656,308.3,2005-07-17,943,D,0
48.8491,17.1116,309.0,2005-07-17,1125,D,0
50.2228,12.5505,309.6,2005-07-18,1026,D,0
49.553,15.9501,310.7,2005-07-18,1026,D,0
49.5375,15.3377,311.5,2005-07-18,1026,D,0
49.2109,15.8861,312.0,2005-07-18,1208,D,0
49.2022,17.5242,309.9,2005-07-27,1020,D,0
48.808,16.211,314.4,2005-07-27,1020,D,0
49.2825,13.1349,311.5,2005-07-27,1202,D,0
49.675,18.6616,304.4,2005-07-28,2035,N,2
49.6784,18.6669,305.3,2005-07-29,39,N,2
48.8006,16.5396,317.9,2005-08-02,943,D,0
50.4202,14.9378,313.4,2005-08-03,1026,D,0
49.7483,14.0597,303.4,2005-08-05,1014,D,0
49.8427,13.4547,312.6,2005-08-11,147,N,0
49.8447,13.4384,311.6,2005-08-11,147,N,0
49.8399,13.4602,302.7,2005-08-11,147,N,0
48.9209,16.3177,324.1,2005-08-11,1119,D,0
49.5528,15.5524,300.8,2005-08-11,1119,D,0
48.9254,16.3391,323.8,2005-08-11,1119,D,0
49.0951,15.6144,312.0,2005-08-14,1008,D,0
49.6802,18.6747,309.6,2005-08-20,930,D,0
49.813,18.3211,318.9,2005-08-21,1013,D,0
49.6928,18.3308,303.8,2005-08-25,1131,D,0
49.6757,18.6623,306.0,2005-08-30,1007,D,2
48.9444,15.5288,315.3,2005-08-30,1007,D,0
48.9405,15.5158,317.6,2005-08-30,1149,D,0
50.1296,13.5854,312.5,2005-08-31,1233,D,0
49.8124,18.3275,311.0,2005-09-01,955,D,0
49.8144,18.3139,313.9,2005-09-01,955,D,0
49.6784,18.6611,311.2,2005-09-01,955,D,2
50.8039,14.3722,307.3,2005-09-01,1138,D,0
