latitude,longitude,brightness,acq_date,acq_time,daynight,type
13.0771,36.5145,342.1,2005-01-01,755,D,0
14.1806,37.1776,324.4,2005-01-01,755,D,0
13.3728,36.8895,324.2,2005-01-01,755,D,0
13.3627,36.8882,356.4,2005-01-01,755,D,0
13.3611,36.9002,330.9,2005-01-01,755,D,0
13.2271,36.3206,340.0,2005-01-01,755,D,0
13.2248,36.3007,325.0,2005-01-01,755,D,0
13.0924,36.4009,339.8,2005-01-01,755,D,0
13.2337,36.3147,338.6,2005-01-01,755,D,0
13.0907,36.4136,325.3,2005-01-01,755,D,0
13.2231,36.3136,359.3,2005-01-01,755,D,0
13.082,36.3993,325.6,2005-01-01,755,D,0
13.2288,36.3076,357.2,2005-01-01,755,D,0
10.3208,35.1939,316.1,2005-01-01,756,D,0
10.2237,37.0126,315.9,2005-01-01,756,D,0
10.2006,38.9836,318.2,2005-01-01,756,D,0
10.5714,36.272,323.2,2005-01-01,756,D,0
10.5263,36.6726,336.3,2005-01-01,756,D,0
12.6894,36.1902,325.5,2005-01-01,756,D,0
10.5062,36.6637,328.1,2005-01-01,756,D,0
10.2463,35.818,320.7,2005-01-01,756,D,0
11.1568,36.2352,324.8,2005-01-01,756,D,0
10.5078,36.6522,322.5,2005-01-01,756,D,0
10.4741,36.3118,315.8,2005-01-01,756,D,0
10.2252,37.0024,326.6,2005-01-01,756,D,0
10.5279,36.6611,324.4,2005-01-01,756,D,0
11.0116,35.1732,320.3,2005-01-01,756,D,0
11.0341,35.7008,319.6,2005-01-01,756,D,0
9.5801,36.6418,318.1,2005-01-01,756,D,0
9.4276,36.0516,323.9,2005-01-01,756,D,0
11.0323,35.7145,329.5,2005-01-01,756,D,0
9.9375,35.8315,321.8,2005-01-01,756,D,0
10.0401,35.5917,317.4,2005-01-01,756,D,0
11.5948,36.3879,325.9,2005-01-01,756,D,0
11.5334,36.4717,323.4,2005-01-01,756,D,0
11.8519,36.6007,323.3,2005-01-01,756,D,0
10.843,35.7595,334.3,2005-01-01,756,D,0
10.8414,35.7715,333.4,2005-01-01,756,D,0
11.1841,35.2548,320.8,2005-01-01,756,D,0
9.3002,36.8331,319.7,2005-01-01,756,D,0
9.2963,36.8372,317.1,2005-01-01,756,D,0
10.1946,34.3254,322.1,2005-01-01,756,D,0
12.0673,36.2059,325.6,2005-01-01,756,D,0
10.3003,41.7595,331.7,2005-01-01,756,D,0
10.2519,38.4403,322.9,2005-01-01,756,D,0
11.414,35.8451,321.7,2005-01-01,756,D,0
10.1999,36.2955,318.2,2005-01-01,756,D,0
10.2015,36.2896,319.8,2005-01-01,756,D,0
11.8482,36.1053,323.5,2005-01-01,756,D,0
10.8431,35.6771,319.3,2005-01-01,756,D,0
10.3879,35.7338,321.8,2005-01-01,756,D,0
9.9153,40.776,337.4,2005-01-01,756,D,0
9.9061,40.7746,339.9,2005-01-01,756,D,0
11.449,36.0283,321.4,2005-01-01,756,D,0
11.7461,35.8605,349.0,2005-01-01,756,D,0
9.5681,36.3663,316.1,2005-01-01,756,D,0
9.5156,36.3759,319.0,2005-01-01,756,D,0
11.6851,35.7922,330.1,2005-01-01,756,D,0
9.845,37.678,345.0,2005-01-01,756,D,0
9.8436,37.6878,325.9,2005-01-01,756,D,0
9.8357,37.6768,336.1,2005-01-01,756,D,0
10.839,35.6707,316.5,2005-01-01,756,D,0
11.6869,35.7789,350.5,2005-01-01,756,D,0
11.7479,35.8472,337.3,2005-01-01,756,D,0
11.6464,35.6435,323.6,2005-01-01,756,D,0
11.6306,35.9593,323.7,2005-01-01,756,D,0
11.6243,35.9649,321.5,2005-01-01,756,D,0
9.2883,37.7112,337.7,2005-01-01,756,D,0
9.2869,37.721,314.3,2005-01-01,756,D,0
12.2622,35.5857,335.1,2005-01-01,756,D,0
7.4052,34.6521,317.2,2005-01-01,757,D,0
7.4035,34.6451,319.9,2005-01-01,757,D,0
9.1825,36.1301,314.6,2005-01-01,757,D,0
7.2962,34.0988,320.9,2005-01-01,757,D,0
7.2868,34.0822,350.0,2005-01-01,757,D,0
7.2848,34.0973,335.7,2005-01-01,757,D,0
7.289,34.0757,327.2,2005-01-01,757,D,0
7.2869,34.0908,353.7,2005-01-01,757,D,0
7.2755,34.0893,324.0,2005-01-01,757,D,0
9.3915,34.2628,323.8,2005-01-01,757,D,0
9.3895,34.2784,327.2,2005-01-01,757,D,0
8.0345,34.3993,316.8,2005-01-01,757,D,0
8.4531,34.3511,318.5,2005-01-01,757,D,0
8.4526,34.3603,336.1,2005-01-01,757,D,0
9.4624,34.1758,324.7,2005-01-01,757,D,0
9.4487,34.1887,323.3,2005-01-01,757,D,0
9.4413,34.1554,366.5,2005-01-01,757,D,0
9.4392,34.1707,363.5,2005-01-01,757,D,0
9.3606,34.2511,334.1,2005-01-01,757,D,0
9.3584,34.2676,330.8,2005-01-01,757,D,0
9.3448,34.2813,321.7,2005-01-01,757,D,0
9.3324,34.197,326.9,2005-01-01,757,D,0
9.2881,34.3538,316.0,2005-01-01,757,D,0
8.4505,34.3753,319.1,2005-01-01,757,D,0
8.1114,36.7599,315.8,2005-01-01,757,D,0
7.2593,37.2312,315.0,2005-01-01,757,D,0
7.0145,36.0877,314.7,2005-01-01,757,D,0
8.4511,34.3661,343.0,2005-01-01,757,D,0
6.6994,38.043,325.5,2005-01-01,757,D,0
7.3096,34.0853,342.6,2005-01-01,757,D,0
7.2982,34.0837,353.7,2005-01-01,757,D,0
7.3004,34.0773,338.6,2005-01-01,757,D,0
7.2983,34.0923,333.9,2005-01-01,757,D,0
8.4229,34.6641,324.9,2005-01-01,757,D,0
7.3386,34.2106,321.8,2005-01-01,757,D,0
6.121,35.0396,335.5,2005-01-01,757,D,0
6.1192,35.0521,316.6,2005-01-01,757,D,0
9.3143,34.244,327.9,2005-01-01,757,D,0
8.4888,35.1769,313.4,2005-01-01,757,D,0
8.5571,36.5849,314.7,2005-01-01,757,D,0
8.5555,36.5957,312.4,2005-01-01,757,D,0
9.1085,34.2378,315.7,2005-01-01,757,D,0
9.112,34.4764,321.1,2005-01-01,757,D,0
7.1157,42.2204,332.6,2005-01-01,757,D,0
7.1177,42.2146,324.4,2005-01-01,757,D,0
7.1159,42.2264,323.7,2005-01-01,757,D,0
9.1702,34.3769,355.7,2005-01-01,757,D,0
9.1682,34.3924,339.9,2005-01-01,757,D,0
9.1727,34.3711,321.8,2005-01-01,757,D,0
9.1706,34.3865,346.2,2005-01-01,757,D,0
9.1613,34.3692,325.0,2005-01-01,757,D,0
9.1591,34.3853,340.1,2005-01-01,757,D,0
9.2047,34.381,315.4,2005-01-01,757,D,0
9.2006,34.4121,316.4,2005-01-01,757,D,0
7.6747,34.2659,337.0,2005-01-01,757,D,0
6.629,35.3437,318.5,2005-01-01,757,D,0
6.6463,34.917,318.9,2005-01-01,757,D,0
6.5744,35.1563,322.5,2005-01-01,757,D,0
6.9615,39.0186,342.7,2005-01-01,757,D,0
