latitude,longitude,brightness,acq_date,acq_time,daynight,type
11.9869,-13.7305,313.6,2005-01-01,1114,D,0
11.8358,-13.9748,312.0,2005-01-01,1114,D,0
12.0089,-13.9824,309.5,2005-01-01,1114,D,0
11.0434,-16.1047,317.2,2005-01-01,1414,D,0
11.8152,-13.9883,334.7,2005-01-01,1415,D,0
11.6482,-13.9998,325.9,2005-01-01,1415,D,0
12.4465,-13.7066,325.3,2005-01-01,1415,D,0
11.9064,-14.1906,318.4,2005-01-01,1415,D,0
12.4451,-13.7161,326.4,2005-01-01,1415,D,0
12.555,-14.0334,312.8,2005-01-01,1415,D,0
11.8245,-13.9897,328.7,2005-01-01,1415,D,0
12.5514,-14.4231,312.0,2005-01-01,1415,D,0
11.8259,-13.98,320.8,2005-01-01,1415,D,0
12.4701,-15.2149,315.1,2005-01-01,1415,D,0
12.6608,-14.2424,312.5,2005-01-01,1415,D,0
11.9907,-13.7314,324.5,2005-01-01,1415,D,0
11.8337,-13.9912,319.4,2005-01-01,1415,D,0
12.5529,-14.4131,313.4,2005-01-01,1415,D,0
12.0086,-13.9907,323.8,2005-01-01,1415,D,0
11.9588,-13.7586,316.1,2005-01-02,230,N,0
11.9669,-13.7515,304.6,2005-01-02,230,N,0
11.7976,-14.2551,315.9,2005-01-02,1156,D,0
12.0866,-13.8675,317.4,2005-01-02,1156,D,0
12.0035,-13.7668,314.1,2005-01-02,1156,D,0
11.5757,-14.5518,316.3,2005-01-02,1457,D,0
11.5725,-14.5566,313.6,2005-01-02,1457,D,0
11.5758,-14.5276,328.2,2005-01-02,1457,D,0
11.5792,-14.5229,323.4,2005-01-02,1457,D,0
12.0106,-14.278,313.1,2005-01-02,1458,D,0
12.5086,-13.7658,316.0,2005-01-02,1458,D,0
12.5249,-13.7676,324.4,2005-01-02,1458,D,0
12.5145,-13.7718,327.8,2005-01-02,1458,D,0
12.6222,-13.929,311.7,2005-01-02,1458,D,0
11.9822,-13.7723,316.9,2005-01-02,1458,D,0
11.8401,-14.009,312.1,2005-01-03,1101,D,0
11.995,-14.1868,311.3,2005-01-03,1101,D,0
11.9818,-13.8379,326.0,2005-01-03,1101,D,0
11.979,-13.8145,317.9,2005-01-03,1101,D,0
11.6907,-14.0399,319.9,2005-01-03,1101,D,0
11.7005,-14.0453,317.6,2005-01-03,1101,D,0
11.6863,-14.0466,312.9,2005-01-03,1101,D,0
12.0928,-13.957,322.4,2005-01-03,1402,D,0
11.6745,-14.0542,319.2,2005-01-03,1402,D,0
11.6975,-14.0481,318.5,2005-01-03,1402,D,0
12.0952,-13.9424,335.3,2005-01-03,1402,D,0
11.7949,-14.0183,319.8,2005-01-03,1402,D,0
11.8931,-14.6843,315.0,2005-01-03,1402,D,0
11.765,-15.4492,313.9,2005-01-03,1402,D,0
12.2121,-14.2812,315.9,2005-01-03,1402,D,0
12.2147,-14.2658,321.3,2005-01-03,1402,D,0
11.6991,-14.2524,320.2,2005-01-03,1402,D,0
12.4183,-13.8682,318.1,2005-01-03,1402,D,0
12.2149,-14.2763,319.6,2005-01-03,1402,D,0
11.7489,-13.8746,319.9,2005-01-03,1402,D,0
11.8829,-14.4745,313.9,2005-01-03,1402,D,0
12.1995,-14.0117,318.6,2005-01-03,1402,D,0
12.578,-14.5116,313.2,2005-01-03,1403,D,0
12.5247,-13.776,323.5,2005-01-03,1403,D,0
12.5671,-14.7236,314.6,2005-01-03,1403,D,0
12.5644,-14.7401,322.6,2005-01-03,1403,D,0
12.0232,-13.8256,304.5,2005-01-03,2329,N,0
12.0242,-13.8197,300.3,2005-01-03,2329,N,0
11.8497,-14.1342,307.9,2005-01-03,2329,N,0
11.8482,-14.1452,300.1,2005-01-03,2329,N,0
11.7666,-14.0842,304.6,2005-01-04,217,N,0
12.6194,-14.4202,316.6,2005-01-04,1144,D,0
11.9282,-14.4022,311.1,2005-01-04,1144,D,0
11.687,-14.3624,313.4,2005-01-04,1144,D,0
11.866,-14.1365,316.3,2005-01-04,1144,D,0
11.8369,-14.0826,317.9,2005-01-04,1144,D,0
11.9149,-14.3817,337.0,2005-01-04,1144,D,0
11.8379,-14.1526,322.7,2005-01-04,1144,D,0
11.8361,-14.1412,315.9,2005-01-04,1144,D,0
11.9632,-14.1031,326.6,2005-01-04,1144,D,0
12.56,-14.5023,312.0,2005-01-04,1144,D,0
11.9264,-14.3912,319.7,2005-01-04,1144,D,0
11.9729,-13.8448,313.1,2005-01-04,1144,D,0
12.3575,-14.5143,355.5,2005-01-04,1144,D,0
11.9878,-15.3178,320.3,2005-01-04,1144,D,0
12.5653,-14.0202,317.8,2005-01-04,1144,D,0
12.4241,-14.2285,312.5,2005-01-04,1144,D,0
11.9803,-14.1471,328.2,2005-01-04,1144,D,0
11.8351,-14.071,328.2,2005-01-04,1144,D,0
12.5671,-14.0316,313.0,2005-01-04,1144,D,0
11.923,-14.3691,321.2,2005-01-04,1144,D,0
11.6769,-13.9781,318.9,2005-01-04,1144,D,0
11.9212,-14.358,317.2,2005-01-04,1144,D,0
11.9821,-14.1584,314.8,2005-01-04,1144,D,0
11.9132,-14.3706,338.9,2005-01-04,1144,D,0
12.2167,-14.2743,311.3,2005-01-04,1144,D,0
11.9166,-14.3927,331.6,2005-01-04,1144,D,0
12.5406,-13.7389,321.8,2005-01-04,1144,D,0
11.9114,-14.3596,323.1,2005-01-04,1144,D,0
12.5822,-14.4548,335.7,2005-01-04,1144,D,0
12.5839,-14.4655,319.9,2005-01-04,1144,D,0
12.4181,-13.6801,317.3,2005-01-04,1144,D,0
12.5583,-14.4916,315.1,2005-01-04,1144,D,0
12.3558,-14.5036,315.2,2005-01-04,1144,D,0
11.6795,-14.3819,313.8,2005-01-04,1445,D,0
12.6124,-14.4221,315.3,2005-01-04,1445,D,0
12.5573,-14.4686,323.5,2005-01-04,1445,D,0
12.5552,-14.4861,321.2,2005-01-04,1445,D,0
11.7926,-14.5067,313.4,2005-01-04,1445,D,0
11.7904,-14.5235,316.5,2005-01-04,1445,D,0
11.7974,-14.5131,318.1,2005-01-04,1445,D,0
12.1241,-14.1848,330.6,2005-01-04,1445,D,0
12.1263,-14.1667,324.4,2005-01-04,1445,D,0
11.6431,-14.0496,318.6,2005-01-04,1445,D,0
12.1203,-14.1772,342.9,2005-01-04,1445,D,0
12.6615,-14.4713,332.7,2005-01-04,1445,D,0
12.0959,-13.9687,317.9,2005-01-04,1445,D,0
12.6736,-14.4727,315.4,2005-01-04,1445,D,0
11.8558,-14.1314,325.1,2005-01-04,1445,D,0
11.8414,-14.1477,323.1,2005-01-04,1445,D,0
11.8537,-14.1254,328.7,2005-01-04,1445,D,0
11.8392,-14.1417,325.5,2005-01-04,1445,D,0
11.9704,-14.1533,322.0,2005-01-04,1445,D,0
11.8157,-14.1498,313.9,2005-01-05,1350,D,0
11.8111,-14.176,317.9,2005-01-05,1350,D,0
11.8499,-14.2105,315.4,2005-01-05,1350,D,0
11.856,-14.1913,314.9,2005-01-05,1350,D,0
12.0374,-13.9291,316.1,2005-01-06,1132,D,0
12.036,-13.92,318.5,2005-01-06,1132,D,0
11.7646,-13.8312,311.2,2005-01-06,1132,D,0
12.3874,-15.4447,310.6,2005-01-06,1132,D,0
12.4701,-14.0528,308.0,2005-01-06,1132,D,0
12.3378,-15.2287,308.8,2005-01-06,1132,D,0
12.5929,-14.4473,310.2,2005-01-06,1132,D,0
11.876,-13.8231,316.9,2005-01-06,1433,D,0
11.8271,-14.1924,318.6,2005-01-06,1433,D,0
11.8775,-13.8117,312.7,2005-01-06,1433,D,0
12.0448,-14.2349,314.6,2005-01-06,1433,D,0
11.7869,-13.8442,305.1,2005-01-07,2305,N,0
12.557,-13.9661,313.2,2005-01-07,2305,N,0
12.5462,-13.7895,314.5,2005-01-08,1120,D,0
12.4709,-13.909,321.8,2005-01-08,1120,D,0
12.461,-13.9103,322.7,2005-01-08,1120,D,0
11.9786,-14.3377,321.4,2005-01-08,1120,D,0
11.9685,-14.3331,338.2,2005-01-08,1120,D,0
12.0872,-14.0102,316.0,2005-01-08,1120,D,0
12.0547,-14.2914,313.3,2005-01-08,1120,D,0
12.0237,-14.1416,319.9,2005-01-08,1120,D,0
12.1163,-14.373,309.4,2005-01-08,1120,D,0
11.9786,-14.3318,317.9,2005-01-08,1120,D,0
12.0567,-14.2315,354.3,2005-01-08,1120,D,0
12.0583,-14.2432,363.7,2005-01-08,1120,D,0
12.0552,-14.2251,320.3,2005-01-08,1120,D,0
12.5181,-14.553,319.9,2005-01-08,1120,D,0
12.0568,-14.2368,379.9,2005-01-08,1120,D,0
12.5077,-14.5545,326.1,2005-01-08,1120,D,0
11.7435,-14.0364,318.3,2005-01-08,1120,D,0
12.0584,-14.2485,326.3,2005-01-08,1120,D,0
11.8069,-13.976,321.1,2005-01-08,1120,D,0
12.0669,-14.2354,339.3,2005-01-08,1120,D,0
11.8558,-13.7383,318.3,2005-01-08,1120,D,0
11.977,-14.3259,319.8,2005-01-08,1120,D,0
12.4743,-13.7768,315.2,2005-01-08,1120,D,0
11.8846,-14.3153,310.3,2005-01-08,1120,D,0
12.4644,-13.7781,316.5,2005-01-08,1120,D,0
12.4986,-13.9569,327.5,2005-01-08,1120,D,0
11.8084,-13.9871,326.1,2005-01-08,1120,D,0
12.4971,-13.9455,320.5,2005-01-08,1120,D,0
12.0253,-14.1531,318.2,2005-01-08,1120,D,0
12.6482,-14.842,326.7,2005-01-08,1421,D,0
12.6392,-14.8406,335.0,2005-01-08,1421,D,0
12.1936,-14.2946,317.6,2005-01-08,1421,D,0
12.1846,-14.2932,339.1,2005-01-08,1421,D,0
12.186,-14.2841,317.7,2005-01-08,1421,D,0
12.2807,-14.6413,333.6,2005-01-08,1421,D,0
12.0683,-14.0124,329.7,2005-01-08,1421,D,0
12.2853,-13.9738,320.1,2005-01-08,1421,D,0
12.4708,-13.7725,330.0,2005-01-08,1421,D,0
12.4603,-13.9103,343.8,2005-01-08,1421,D,0
12.2821,-14.632,331.4,2005-01-08,1421,D,0
12.291,-14.6334,329.4,2005-01-08,1421,D,0
12.0772,-14.0138,321.7,2005-01-08,1421,D,0
12.2897,-14.6426,333.9,2005-01-08,1421,D,0
12.5065,-13.7779,324.1,2005-01-08,1421,D,0
12.5416,-13.7889,318.2,2005-01-08,1421,D,0
12.5403,-13.798,320.4,2005-01-08,1421,D,0
12.0129,-14.1433,324.3,2005-01-08,1421,D,0
11.8865,-14.5659,314.8,2005-01-08,1421,D,0
11.6814,-14.078,327.7,2005-01-08,1421,D,0
11.7952,-14.3122,317.8,2005-01-08,1421,D,0
12.4978,-13.9681,321.6,2005-01-08,1421,D,0
12.4991,-13.959,318.6,2005-01-08,1421,D,0
11.9489,-14.0714,318.4,2005-01-08,1421,D,0
12.1259,-14.1847,326.6,2005-01-08,1421,D,0
11.7488,-13.992,320.7,2005-01-08,1421,D,0
11.9803,-14.3059,320.1,2005-01-08,1421,D,0
11.9853,-14.3346,320.0,2005-01-08,1421,D,0
11.9816,-14.2968,320.5,2005-01-08,1421,D,0
11.984,-14.3437,319.4,2005-01-08,1421,D,0
11.6703,-14.5961,324.3,2005-01-08,1421,D,0
12.4616,-13.9012,321.7,2005-01-08,1421,D,0
12.2891,-14.0115,320.1,2005-01-08,1421,D,0
11.7834,-14.3226,329.9,2005-01-08,1421,D,0
11.8933,-14.0758,325.4,2005-01-08,1421,D,0
11.7536,-14.7857,318.8,2005-01-08,1421,D,0
12.6222,-13.9376,316.1,2005-01-08,1421,D,0
12.2778,-13.8984,318.4,2005-01-08,1421,D,0
12.0548,-14.2334,323.6,2005-01-08,1421,D,0
12.3142,-13.9653,322.9,2005-01-08,1421,D,0
12.0445,-14.2411,341.0,2005-01-08,1421,D,0
12.2689,-13.8971,319.5,2005-01-08,1421,D,0
12.0999,-14.3018,316.1,2005-01-08,1421,D,0
11.892,-14.0849,320.0,2005-01-08,1421,D,0
12.2801,-14.0101,319.4,2005-01-08,1421,D,0
12.4666,-13.9298,319.7,2005-01-08,1421,D,0
12.6661,-14.015,317.3,2005-01-08,1421,D,0
11.9902,-13.9107,321.4,2005-01-08,1421,D,0
12.5436,-14.4843,317.8,2005-01-08,1421,D,0
12.2412,-14.9767,329.8,2005-01-08,1421,D,0
11.5414,-14.6586,314.5,2005-01-08,1421,D,0
11.5428,-14.6494,328.2,2005-01-08,1421,D,0
12.6463,-14.9176,320.0,2005-01-08,1421,D,0
12.0859,-14.2717,319.4,2005-01-08,1421,D,0
12.284,-13.9829,321.0,2005-01-08,1421,D,0
