latitude,longitude,brightness,acq_date,acq_time,daynight,type
29.0288,47.57,319.9,2005-01-01,751,D,2
28.8862,47.7355,327.4,2005-01-01,751,D,2
29.8476,47.8398,314.1,2005-01-01,751,D,2
28.8484,47.7204,309.6,2005-01-01,751,D,2
29.8454,47.8529,326.0,2005-01-01,751,D,2
29.031,47.5571,320.8,2005-01-01,751,D,2
28.8761,47.7332,309.7,2005-01-01,751,D,2
29.8463,47.8453,337.8,2005-01-01,751,D,2
29.844,47.8583,315.3,2005-01-01,751,D,2
29.8354,47.8506,312.4,2005-01-01,751,D,2
29.0346,47.5584,313.9,2005-01-01,1850,N,2
29.8455,47.8424,307.3,2005-01-01,1850,N,2
29.8401,47.85,304.8,2005-01-01,1850,N,2
29.04,47.5769,303.0,2005-01-01,2307,N,2
29.0606,48.1425,327.5,2005-01-03,739,D,0
28.5773,47.9245,316.8,2005-01-03,739,D,2
29.0622,48.1322,306.8,2005-01-03,739,D,0
29.0342,47.5598,302.8,2005-01-03,1838,N,2
28.5789,47.9166,301.9,2005-01-03,1838,N,2
28.8827,47.7377,302.8,2005-01-03,1838,N,2
28.8811,47.7326,304.2,2005-01-03,1838,N,2
29.9052,47.7303,331.5,2005-01-03,2254,N,2
29.0371,47.5651,309.9,2005-01-03,2255,N,2
29.8449,47.8668,313.2,2005-01-04,821,D,2
28.5747,47.9265,308.0,2005-01-04,821,D,2
29.8546,47.8265,308.6,2005-01-04,821,D,0
29.841,47.8587,320.7,2005-01-04,821,D,2
29.8506,47.8183,306.6,2005-01-04,821,D,2
29.8366,47.8496,341.9,2005-01-04,954,D,2
29.0357,47.561,315.0,2005-01-04,954,D,2
29.8348,47.8384,332.3,2005-01-04,954,D,2
29.9001,47.7256,320.0,2005-01-04,954,D,2
28.8472,47.72,311.9,2005-01-04,954,D,2
29.8929,47.7221,327.8,2005-01-04,954,D,2
28.879,47.7367,316.5,2005-01-04,954,D,2
29.0263,47.5631,318.3,2005-01-04,954,D,2
28.8826,47.7306,319.1,2005-01-04,954,D,2
29.8983,47.7143,316.3,2005-01-04,954,D,2
28.8772,47.7253,312.7,2005-01-04,954,D,2
29.03,47.5593,315.3,2005-01-05,726,D,2
29.8459,47.8552,308.8,2005-01-05,2242,N,2
29.8474,47.8449,302.7,2005-01-05,2242,N,2
28.8845,47.7368,310.1,2005-01-05,2242,N,2
29.8413,47.8353,311.6,2005-01-06,809,D,2
29.8424,47.8678,308.8,2005-01-06,809,D,2
29.8479,47.8425,316.5,2005-01-06,809,D,2
29.836,47.8606,311.5,2005-01-06,809,D,2
29.8358,47.8489,314.8,2005-01-06,942,D,2
29.8368,47.842,316.7,2005-01-06,942,D,2
29.0325,47.5664,308.7,2005-01-06,1908,N,2
29.0377,47.5591,308.5,2005-01-06,1908,N,2
28.8859,47.734,313.1,2005-01-06,1908,N,2
29.0357,47.5699,312.3,2005-01-07,2230,N,2
29.8389,47.8458,313.9,2005-01-08,757,D,2
29.8737,47.7217,316.7,2005-01-08,757,D,2
28.8506,47.7216,310.9,2005-01-08,757,D,2
29.8846,47.7243,314.3,2005-01-08,757,D,2
29.0295,47.5691,320.8,2005-01-08,757,D,2
28.8838,47.7297,309.5,2005-01-08,757,D,2
29.8708,47.7374,309.2,2005-01-08,757,D,2
29.8784,47.7336,309.1,2005-01-08,929,D,2
29.8729,47.7077,310.5,2005-01-08,929,D,2
29.8342,47.8341,306.9,2005-01-08,929,D,2
28.9971,48.0283,302.5,2005-01-10,1844,N,0
28.8842,47.7315,309.6,2005-01-10,1844,N,2
29.8821,47.7245,326.0,2005-01-10,1844,N,2
29.0382,47.5721,301.5,2005-01-10,2300,N,2
29.8781,47.7342,318.1,2005-01-10,2300,N,2
29.8467,47.8668,309.5,2005-01-11,649,D,2
28.5769,47.9203,322.9,2005-01-11,959,D,2
29.8398,47.8509,333.8,2005-01-11,1000,D,2
29.8772,47.7321,310.7,2005-01-11,1000,D,2
29.8756,47.7218,326.3,2005-01-11,1000,D,2
29.8383,47.8406,345.6,2005-01-11,1000,D,2
29.895,47.7286,330.7,2005-01-11,1000,D,2
