latitude,longitude,brightness,acq_date,acq_time,daynight,type
14.1919,105.9605,310.9,2005-01-01,259,D,0
14.1952,105.9308,311.5,2005-01-01,259,D,0
14.7215,106.7683,305.0,2005-01-01,259,D,0
14.7559,107.0212,312.7,2005-01-01,601,D,0
15.323,106.3631,372.8,2005-01-01,601,D,0
14.5089,106.4001,346.7,2005-01-01,601,D,0
14.5066,106.3863,317.7,2005-01-01,601,D,0
14.607,106.4326,316.5,2005-01-01,601,D,0
14.7907,107.0604,315.5,2005-01-01,601,D,0
14.4153,105.6983,313.9,2005-01-01,601,D,0
15.1988,106.4653,306.8,2005-01-01,601,D,0
14.5194,105.6253,319.5,2005-01-01,601,D,0
15.1802,106.6164,308.0,2005-01-01,601,D,0
14.3559,105.5364,308.7,2005-01-01,601,D,0
14.0251,105.9841,315.7,2005-01-01,601,D,0
14.0237,106.0456,327.4,2005-01-01,601,D,0
13.9273,106.0234,316.0,2005-01-01,601,D,0
15.3208,106.3495,320.0,2005-01-01,601,D,0
15.1967,106.4523,309.3,2005-01-01,601,D,0
14.0848,105.9991,330.2,2005-01-01,601,D,0
15.2544,106.2433,326.1,2005-01-01,601,D,0
14.0261,106.0604,324.5,2005-01-01,601,D,0
15.1283,106.3683,306.6,2005-01-01,601,D,0
14.0873,106.014,321.7,2005-01-01,601,D,0
14.5396,105.6056,315.4,2005-01-01,601,D,0
15.2029,106.3556,310.1,2005-01-01,601,D,0
14.4981,106.402,314.7,2005-01-01,601,D,0
15.4936,106.3098,307.1,2005-01-01,601,D,0
15.2008,106.3422,318.2,2005-01-01,601,D,0
15.2437,106.2453,328.6,2005-01-01,601,D,0
14.5364,105.6008,316.6,2005-01-01,601,D,0
15.4975,106.3022,310.0,2005-01-01,601,D,0
14.5459,105.7158,315.6,2005-01-01,601,D,0
14.6543,105.6754,316.8,2005-01-01,601,D,0
15.2094,106.3957,313.5,2005-01-01,601,D,0
14.7281,105.7028,313.4,2005-01-01,601,D,0
15.2115,106.409,311.8,2005-01-01,601,D,0
15.2009,106.4108,312.6,2005-01-01,601,D,0
17.9507,102.7722,311.9,2005-01-01,602,D,0
18.4977,104.5929,318.0,2005-01-01,602,D,0
18.5005,104.6098,334.4,2005-01-01,602,D,0
18.4302,102.7908,302.4,2005-01-01,602,D,0
18.4532,103.4996,305.3,2005-01-01,602,D,0
19.1105,104.0735,300.9,2005-01-01,602,D,0
18.2796,104.6106,317.0,2005-01-01,1529,N,0
18.9489,102.9069,302.2,2005-01-02,340,D,0
18.4119,104.6611,300.2,2005-01-02,340,D,0
14.9362,106.2843,308.5,2005-01-02,341,D,0
14.7556,106.0731,311.5,2005-01-02,341,D,0
17.024,104.7573,308.0,2005-01-02,341,D,0
14.6419,107.1106,312.9,2005-01-02,341,D,0
14.6399,107.1225,314.1,2005-01-02,341,D,0
16.7831,106.4977,306.6,2005-01-02,341,D,0
17.0504,105.7414,304.6,2005-01-02,341,D,0
14.7766,107.1658,309.0,2005-01-02,341,D,0
18.3932,103.9696,311.3,2005-01-02,341,D,0
16.3584,105.5556,327.1,2005-01-02,341,D,0
14.7748,107.1773,311.2,2005-01-02,341,D,0
14.9346,106.2948,310.4,2005-01-02,341,D,0
18.3946,103.9601,318.4,2005-01-02,341,D,0
14.2151,105.9271,321.1,2005-01-02,342,D,0
14.1028,105.7096,314.0,2005-01-02,342,D,0
14.014,106.0943,310.1,2005-01-02,342,D,0
14.2167,105.9169,317.3,2005-01-02,342,D,0
14.7091,105.6706,313.1,2005-01-02,644,D,0
14.3215,105.8223,318.5,2005-01-02,644,D,0
14.9606,106.6087,317.0,2005-01-02,644,D,0
14.7071,105.6528,323.6,2005-01-02,644,D,0
16.5772,105.3773,320.7,2005-01-02,644,D,0
