latitude,longitude,brightness,acq_date,acq_time,daynight,type
16.5971,-16.1456,325.0,2005-01-02,1155,D,0
16.0928,-8.5413,325.0,2005-01-03,1100,D,0
16.0913,-8.5298,317.5,2005-01-03,1100,D,0
15.5808,-8.007,370.7,2005-01-05,1351,D,0
15.5822,-7.9975,343.1,2005-01-05,1351,D,0
16.1459,-6.0462,342.4,2005-01-19,1403,D,0
15.736,-11.2845,333.9,2005-01-19,1403,D,0
16.1442,-6.0596,362.4,2005-01-19,1403,D,0
16.5415,-16.2295,331.2,2005-01-24,1422,D,0
15.554,-9.165,341.4,2005-01-29,1137,D,0
15.548,-9.2015,322.0,2005-01-29,1137,D,0
16.5656,-16.019,324.2,2005-01-29,1137,D,0
15.571,-9.1555,321.6,2005-01-29,1137,D,0
15.5451,-9.1844,319.6,2005-01-29,1137,D,0
15.5659,-9.1628,325.8,2005-01-29,1137,D,0
15.557,-9.1822,345.8,2005-01-29,1137,D,0
15.5554,-9.1841,327.0,2005-01-29,1440,D,0
15.5723,-9.1858,325.0,2005-01-29,1440,D,0
15.558,-9.1896,332.4,2005-01-29,1440,D,0
16.5232,-16.0214,329.4,2005-01-31,1428,D,0
16.5692,-16.019,333.8,2005-01-31,1428,D,0
16.5782,-16.0204,332.5,2005-01-31,1428,D,0
16.5197,-16.0259,334.1,2005-02-02,1416,D,0
16.5978,-16.0726,321.9,2005-02-03,1155,D,0
16.5964,-16.0673,323.0,2005-02-03,1155,D,0
15.7268,-13.1533,329.3,2005-02-06,1351,D,0
15.7285,-13.1586,328.1,2005-02-06,1351,D,0
16.5323,-16.0424,319.7,2005-02-07,1131,D,0
16.5923,-15.5084,318.4,2005-02-07,1131,D,0
16.5314,-16.0328,329.9,2005-02-09,1422,D,0
16.5223,-16.0314,338.1,2005-02-09,1422,D,0
15.5211,-8.5544,313.0,2005-02-10,2253,N,0
15.5108,-8.5623,311.8,2005-02-10,2253,N,0
15.4956,-8.441,336.9,2005-03-10,1350,D,0
15.4971,-8.4312,334.7,2005-03-10,1350,D,0
16.5189,-16.0556,332.2,2005-03-11,1434,D,0
16.5505,-16.1736,347.4,2005-03-11,1434,D,0
16.5491,-16.1837,391.4,2005-03-11,1434,D,0
16.5478,-16.1937,342.1,2005-03-11,1434,D,0
16.5598,-16.175,360.0,2005-03-11,1434,D,0
16.5584,-16.185,362.9,2005-03-11,1434,D,0
16.5628,-16.0827,348.4,2005-03-11,1434,D,0
16.143,-5.8227,342.7,2005-03-12,1338,D,0
15.5118,-8.4185,350.7,2005-03-12,1338,D,0
15.6531,-9.148,340.5,2005-03-12,1338,D,0
15.511,-8.4133,350.2,2005-03-12,1338,D,0
15.5038,-8.37,337.1,2005-03-13,1421,D,0
15.5141,-8.3909,358.1,2005-03-13,1421,D,0
15.5164,-8.3716,362.9,2005-03-13,1421,D,0
15.8738,-10.0446,344.2,2005-03-13,1421,D,0
16.2586,-9.6998,348.6,2005-03-13,1421,D,0
16.2471,-9.6982,344.0,2005-03-13,1421,D,0
16.2317,-9.6864,336.0,2005-03-14,1326,D,0
16.2289,-9.7111,353.8,2005-03-14,1326,D,0
16.2261,-9.7155,343.4,2005-03-14,1326,D,0
22.7216,-12.4951,301.0,2005-03-14,2256,N,0
15.5326,-8.413,340.0,2005-03-15,1106,D,0
15.5184,-8.4445,332.8,2005-03-15,1106,D,0
15.5262,-8.4336,331.4,2005-03-15,1106,D,0
15.7467,-10.8034,342.2,2005-03-15,1409,D,0
15.7557,-10.8048,339.1,2005-03-15,1409,D,0
15.757,-10.7954,389.8,2005-03-15,1409,D,0
15.7583,-10.786,342.5,2005-03-15,1409,D,0
15.748,-10.794,357.4,2005-03-15,1409,D,0
15.5355,-8.4372,304.6,2005-03-16,222,N,0
16.5488,-16.2929,333.4,2005-03-17,1357,D,0
16.12,-5.764,341.2,2005-03-17,1357,D,0
16.5433,-16.2867,336.0,2005-03-17,1357,D,0
