latitude,longitude,brightness,acq_date,acq_time,daynight,type
22.8834,55.9268,300.4,2005-01-01,1848,N,2
22.8753,55.9248,311.2,2005-01-02,657,D,2
21.3333,56.7049,304.5,2005-01-02,2213,N,2
21.0103,56.5521,300.3,2005-01-02,2213,N,2
18.6871,55.5023,300.3,2005-01-03,1835,N,0
22.1461,56.019,332.1,2005-01-03,1835,N,0
21.3286,56.6995,300.6,2005-01-03,1835,N,2
21.3378,56.6981,304.0,2005-01-03,1835,N,2
22.8688,55.9251,305.7,2005-01-03,1836,N,2
23.1918,55.4639,303.3,2005-01-03,1836,N,2
18.6863,55.5061,300.6,2005-01-04,2202,N,0
20.9834,56.5299,303.5,2005-01-05,1823,N,0
22.8659,55.9239,302.6,2005-01-05,1823,N,2
21.3328,56.6986,317.4,2005-01-05,1823,N,2
22.8824,55.9253,300.3,2005-01-05,1823,N,2
22.8627,55.921,322.1,2005-01-06,939,D,2
21.3319,56.7005,311.8,2005-01-06,2149,N,2
21.3825,56.7247,301.8,2005-01-06,2149,N,0
20.9866,56.5359,302.4,2005-01-06,2149,N,0
21.3311,56.7002,309.9,2005-01-07,1811,N,2
20.9793,56.5318,301.1,2005-01-07,1811,N,0
22.8656,55.9231,323.0,2005-01-08,927,D,2
21.3279,56.6979,307.8,2005-01-08,1854,N,2
21.3304,56.6919,301.3,2005-01-08,1854,N,2
22.8767,55.9277,316.7,2005-01-09,703,D,2
21.3264,56.6954,304.8,2005-01-09,1759,N,2
21.3349,56.6997,307.6,2005-01-10,1841,N,2
21.3776,56.7178,301.7,2005-01-10,1841,N,0
22.8646,55.9203,301.9,2005-01-10,1842,N,2
22.8682,55.925,301.5,2005-01-10,1842,N,2
22.3461,56.4361,305.3,2005-01-12,1829,N,0
22.8809,55.9314,302.4,2005-01-13,2154,N,2
21.3309,56.7017,306.8,2005-01-14,1817,N,2
21.376,56.7226,300.3,2005-01-16,2225,N,0
22.8642,55.9252,322.6,2005-01-18,657,D,2
22.8821,55.9282,314.9,2005-01-18,657,D,2
23.1962,55.4711,301.7,2005-01-18,2213,N,0
21.3325,56.6983,307.5,2005-01-19,1835,N,2
20.3726,55.9325,302.0,2005-01-19,1835,N,0
22.8638,55.9255,307.6,2005-01-19,1836,N,2
23.1959,55.463,301.2,2005-01-19,1836,N,0
22.4689,58.0726,304.7,2005-01-19,1836,N,0
22.8819,55.9226,301.4,2005-01-19,1836,N,2
23.1911,55.4673,309.1,2005-01-21,728,D,2
21.3291,56.6983,307.9,2005-01-21,1823,N,2
22.8813,55.9305,305.5,2005-01-21,1824,N,2
22.8797,55.9201,302.2,2005-01-21,1824,N,2
22.8631,55.9252,325.2,2005-01-22,939,D,2
21.3318,56.7009,310.4,2005-01-22,2149,N,2
21.3348,56.7081,301.9,2005-01-22,2149,N,2
21.3362,56.6973,304.1,2005-01-22,2149,N,2
21.3308,56.7006,311.7,2005-01-23,1811,N,2
22.8811,55.9266,315.2,2005-01-25,703,D,2
22.863,55.9271,311.9,2005-01-25,703,D,2
21.3582,56.7279,303.2,2005-01-25,1759,N,0
21.3649,56.7318,300.0,2005-01-25,1759,N,0
21.3386,56.7048,301.3,2005-01-25,2219,N,2
21.3673,56.7329,304.1,2005-01-25,2219,N,0
21.3613,56.7345,303.2,2005-01-26,1841,N,0
21.3598,56.7225,303.7,2005-01-26,1841,N,0
21.3369,56.7016,302.8,2005-01-26,1841,N,2
22.879,55.9266,300.3,2005-01-26,1842,N,2
23.186,55.4578,300.8,2005-01-26,1842,N,2
21.3312,56.7029,307.2,2005-01-27,2207,N,2
21.3654,56.7312,313.2,2005-01-27,2207,N,0
21.3316,56.695,311.3,2005-01-28,1829,N,2
23.1888,55.4637,301.3,2005-01-28,1830,N,2
24.3034,55.8578,317.1,2005-01-29,946,D,0
21.336,56.6962,313.8,2005-01-30,1817,N,2
22.8838,55.9249,302.0,2005-01-30,1817,N,2
22.8777,55.9292,322.0,2005-02-03,657,D,2
21.3347,56.7074,305.2,2005-02-03,2213,N,2
23.5938,57.8773,326.2,2005-02-04,909,D,0
21.3358,56.7033,304.3,2005-02-04,1835,N,2
21.3344,56.6932,309.4,2005-02-04,1835,N,2
23.1899,55.4606,303.6,2005-02-04,1836,N,2
22.4464,56.6978,313.7,2005-02-04,1836,N,0
22.8768,55.9295,302.7,2005-02-04,1836,N,2
22.8664,55.9211,300.4,2005-02-04,1836,N,2
22.4371,56.6993,301.5,2005-02-04,1836,N,0
23.1915,55.4642,305.9,2005-02-05,2200,N,2
22.8768,55.9319,300.5,2005-02-05,2201,N,2
21.3335,56.7022,307.1,2005-02-05,2201,N,2
21.3319,56.6992,312.0,2005-02-06,1823,N,2
22.8837,55.9297,301.0,2005-02-06,1823,N,2
23.1894,55.4644,303.3,2005-02-06,1824,N,2
23.1924,55.471,310.2,2005-02-07,2148,N,2
23.1941,55.4575,300.5,2005-02-07,2148,N,2
22.4478,56.706,312.7,2005-02-07,2148,N,0
22.8803,55.9359,302.3,2005-02-07,2148,N,2
21.3379,56.702,308.6,2005-02-07,2149,N,2
22.8778,55.936,318.6,2005-02-08,715,D,2
22.8801,55.9224,319.4,2005-02-08,715,D,2
23.1879,55.4626,305.5,2005-02-08,1811,N,2
21.3357,56.7029,305.6,2005-02-08,1811,N,2
22.877,55.9225,303.7,2005-02-08,1811,N,2
21.3332,56.6884,302.2,2005-02-08,1811,N,2
23.1979,55.4765,302.6,2005-02-08,2231,N,0
22.8842,55.9306,303.5,2005-02-08,2231,N,2
22.8801,55.929,327.5,2005-02-09,927,D,2
22.4465,56.7006,305.0,2005-02-09,1854,N,0
22.883,55.9304,308.3,2005-02-09,1854,N,2
22.8805,55.9353,305.3,2005-02-09,2136,N,2
22.8766,55.9364,308.2,2005-02-10,2219,N,2
22.8772,55.9254,322.1,2005-02-11,915,D,2
21.3376,56.6998,300.3,2005-02-11,1841,N,2
18.6847,55.5055,302.5,2005-02-11,1841,N,0
22.4467,56.6986,308.4,2005-02-11,1842,N,0
22.8802,55.9268,315.1,2005-02-11,1842,N,2
22.7691,58.1803,323.5,2005-02-12,651,D,0
22.3251,56.4749,300.6,2005-02-12,2207,N,2
22.3501,56.437,304.7,2005-02-12,2207,N,0
21.3388,56.7057,304.1,2005-02-12,2207,N,2
23.1922,55.4635,307.5,2005-02-12,2207,N,2
22.8812,55.9304,315.2,2005-02-12,2207,N,2
18.6901,55.5122,300.9,2005-02-12,2208,N,0
22.8753,55.9244,310.9,2005-02-13,1829,N,2
20.9829,56.5318,303.7,2005-02-13,1829,N,0
22.4423,56.6951,312.3,2005-02-13,1829,N,0
21.3289,56.6992,306.9,2005-02-13,1829,N,2
21.3379,56.6978,304.5,2005-02-13,1829,N,2
22.4437,56.7047,307.5,2005-02-13,1829,N,0
23.1943,55.4594,307.1,2005-02-13,1830,N,2
23.1918,55.4662,300.8,2005-02-14,2154,N,2
22.8848,55.9283,311.3,2005-02-14,2154,N,2
22.3306,56.4788,301.3,2005-02-14,2154,N,2
22.8833,55.9388,300.1,2005-02-14,2154,N,2
22.447,56.7057,307.4,2005-02-14,2154,N,0
21.3336,56.7031,308.6,2005-02-14,2155,N,2
22.3281,56.4699,306.0,2005-02-15,1817,N,2
22.3305,56.4758,301.1,2005-02-15,1817,N,2
21.3293,56.7025,302.8,2005-02-15,1817,N,2
22.8757,55.9215,300.8,2005-02-15,1817,N,2
22.4363,56.6947,302.1,2005-02-15,1817,N,0
24.5203,56.5013,303.9,2005-02-15,1818,N,0
22.8794,55.9293,325.1,2005-02-16,933,D,2
22.878,55.9196,322.2,2005-02-16,933,D,2
18.6888,55.505,301.5,2005-02-16,1859,N,0
18.687,55.5092,301.3,2005-02-16,2143,N,0
22.8806,55.9292,325.4,2005-02-17,709,D,2
22.8781,55.9192,301.2,2005-02-17,1805,N,2
21.3312,56.7032,301.5,2005-02-17,1805,N,2
21.3323,56.7085,303.1,2005-02-17,2225,N,2
22.8764,55.9214,328.2,2005-02-18,921,D,2
21.3343,56.7026,301.6,2005-02-18,1847,N,2
21.336,56.6958,305.3,2005-02-18,1847,N,2
23.193,55.4613,300.4,2005-02-18,1848,N,2
22.8748,55.9193,303.1,2005-02-18,1848,N,2
22.8809,55.9261,313.7,2005-02-18,1848,N,2
22.8764,55.9331,306.8,2005-02-18,1848,N,2
22.8826,55.9257,322.3,2005-02-19,657,D,2
22.8812,55.9353,316.2,2005-02-19,657,D,2
22.8802,55.932,313.7,2005-02-19,2213,N,2
22.877,55.3834,308.2,2005-02-19,2213,N,0
22.8787,55.3727,314.5,2005-02-19,2213,N,0
18.3182,55.1022,303.7,2005-02-20,1834,N,0
18.6899,55.5054,301.8,2005-02-20,1834,N,0
21.3312,56.6948,304.9,2005-02-20,1835,N,2
23.1946,55.4629,302.7,2005-02-20,1836,N,2
22.8807,55.9209,304.0,2005-02-20,1836,N,2
22.882,55.9308,308.4,2005-02-20,1836,N,2
22.8787,55.3739,311.4,2005-02-20,1836,N,0
23.1913,55.4709,300.4,2005-02-21,2200,N,2
22.3269,56.4762,303.1,2005-02-21,2200,N,2
22.8776,55.9292,314.4,2005-02-21,2200,N,2
21.3348,56.6992,305.0,2005-02-21,2201,N,2
22.866,55.9199,302.0,2005-02-22,1823,N,2
22.88,55.3666,301.8,2005-02-22,1823,N,0
22.4417,56.6967,303.2,2005-02-22,1823,N,0
22.877,55.9287,314.7,2005-02-22,1823,N,2
23.1916,55.4591,306.1,2005-02-22,1823,N,2
21.3348,56.6988,305.1,2005-02-22,1823,N,2
22.8821,55.3754,300.9,2005-02-23,1906,N,0
22.8787,55.9279,303.9,2005-02-23,2148,N,2
21.3332,56.7037,305.4,2005-02-23,2148,N,2
21.4403,56.9549,334.2,2005-02-23,2148,N,0
23.1914,55.4682,303.0,2005-02-23,2148,N,2
21.4383,56.9417,326.9,2005-02-24,716,D,0
22.3226,56.472,300.5,2005-02-24,1811,N,2
21.4371,56.9615,308.0,2005-02-24,1811,N,0
21.3321,56.6929,301.4,2005-02-24,1811,N,2
21.4347,56.9475,326.5,2005-02-24,1811,N,0
21.438,56.9348,310.2,2005-02-26,1758,N,0
21.4302,56.9418,317.8,2005-02-26,1758,N,0
21.4346,56.9648,310.2,2005-02-26,1758,N,0
21.4426,56.9579,318.6,2005-02-26,1758,N,0
22.8702,55.92,300.2,2005-02-26,1759,N,2
22.8841,55.9167,300.4,2005-02-26,1759,N,2
22.8833,55.9318,311.5,2005-02-26,2219,N,2
23.1913,55.4606,302.4,2005-02-26,2219,N,2
