latitude,longitude,brightness,acq_date,acq_time,daynight,type
28.052,69.3741,308.8,2005-01-01,612,D,2
28.0536,69.3638,302.5,2005-01-01,612,D,2
24.728,68.532,314.2,2005-01-01,613,D,0
25.3808,68.8495,323.5,2005-01-01,613,D,0
26.3356,68.5228,305.3,2005-01-01,613,D,0
24.9309,68.2904,307.7,2005-01-01,613,D,0
25.4942,68.7732,311.3,2005-01-01,613,D,0
27.1277,67.0715,302.3,2005-01-01,613,D,0
25.3823,68.8394,307.7,2005-01-01,613,D,0
25.3482,68.7609,335.9,2005-01-01,613,D,0
25.857,68.9337,305.7,2005-01-01,613,D,0
25.1977,68.6591,311.4,2005-01-01,613,D,0
24.7387,68.822,315.2,2005-01-01,613,D,0
26.8403,67.793,302.9,2005-01-01,613,D,0
25.3376,69.0077,324.2,2005-01-01,613,D,0
24.7402,68.8119,345.6,2005-01-01,613,D,0
25.4434,68.7432,308.1,2005-01-01,613,D,0
25.3392,68.9976,312.8,2005-01-01,613,D,0
25.2368,68.6457,313.0,2005-01-01,613,D,0
25.1993,68.6491,320.8,2005-01-01,613,D,0
24.4683,67.9351,310.2,2005-01-01,613,D,0
24.8212,68.1028,322.9,2005-01-01,613,D,0
25.8816,69.0736,313.2,2005-01-01,613,D,0
25.4986,68.8095,306.5,2005-01-02,656,D,0
25.498,68.8141,304.6,2005-01-02,656,D,0
25.5821,68.5379,309.1,2005-01-02,826,D,0
25.3617,69.3106,312.6,2005-01-02,826,D,0
28.8777,70.7014,303.7,2005-01-02,827,D,0
28.7827,70.7482,305.1,2005-01-02,827,D,0
28.0454,69.3628,304.4,2005-01-02,827,D,0
28.4842,69.9768,301.1,2005-01-03,600,D,0
28.0489,69.3731,305.7,2005-01-03,600,D,2
29.2563,70.5092,304.4,2005-01-03,600,D,0
25.6661,68.6423,304.9,2005-01-03,601,D,0
24.87,68.3384,311.8,2005-01-03,601,D,0
25.7819,68.6782,308.5,2005-01-03,601,D,0
25.3582,68.7429,310.7,2005-01-03,601,D,0
25.5154,68.5385,306.0,2005-01-03,601,D,0
25.5167,68.6737,307.5,2005-01-03,601,D,0
25.2335,69.2677,317.9,2005-01-03,601,D,0
24.9883,68.5757,308.7,2005-01-03,601,D,0
25.0542,68.6258,308.0,2005-01-03,601,D,0
25.235,69.2573,321.5,2005-01-03,601,D,0
25.5562,68.5221,306.6,2005-01-03,601,D,0
25.5577,68.511,315.6,2005-01-03,601,D,0
25.5615,68.5182,318.7,2005-01-03,601,D,0
25.1187,68.3953,308.5,2005-01-03,601,D,0
25.1133,68.3997,308.2,2005-01-03,601,D,0
25.459,68.82,305.8,2005-01-03,601,D,0
25.732,68.6928,305.1,2005-01-03,601,D,0
25.8476,69.0165,307.1,2005-01-03,601,D,0
25.4825,69.327,314.9,2005-01-03,601,D,0
24.4496,67.9677,308.4,2005-01-03,601,D,0
24.7114,68.2219,310.4,2005-01-03,601,D,0
25.8259,69.1762,307.6,2005-01-03,601,D,0
24.6551,69.1896,313.6,2005-01-03,601,D,0
25.5507,68.4671,311.3,2005-01-03,909,D,0
24.852,68.1901,305.2,2005-01-04,644,D,0
24.9613,68.7178,305.3,2005-01-04,644,D,0
24.9599,68.7122,304.5,2005-01-04,644,D,0
24.3554,67.6127,308.1,2005-01-04,644,D,0
28.3692,69.9759,304.0,2005-01-04,815,D,0
25.6541,68.8253,323.7,2005-01-05,548,D,0
28.0551,69.3701,303.9,2005-01-05,548,D,0
25.6546,68.816,314.1,2005-01-05,548,D,0
25.6528,68.8321,314.8,2005-01-05,548,D,0
24.5995,68.9662,310.8,2005-01-05,549,D,0
25.115,68.5515,307.4,2005-01-05,549,D,0
