latitude,longitude,brightness,acq_date,acq_time,daynight,type
-21.2165,55.7552,327.7,2005-02-20,1824,N,0
-21.2026,55.7528,318.0,2005-02-20,1824,N,0
-21.2185,55.7333,305.9,2005-02-20,1824,N,0
-21.2171,55.761,320.7,2005-02-20,2129,N,0
-21.2156,55.7512,320.2,2005-02-20,2129,N,0
-21.2079,55.7631,351.6,2005-02-20,2129,N,0
-21.2064,55.7533,377.6,2005-02-20,2129,N,0
-21.214,55.7414,310.2,2005-02-20,2129,N,0
-21.2149,55.7557,368.2,2005-02-21,1907,N,0
-21.2209,55.7522,351.2,2005-02-21,1907,N,0
-21.209,55.7312,322.7,2005-02-21,1907,N,0
-21.2183,55.733,327.2,2005-02-21,1907,N,0
-21.2165,55.7447,316.4,2005-02-21,1907,N,0
-21.2191,55.7633,371.1,2005-02-21,1907,N,0
-21.2132,55.7666,336.5,2005-02-21,1907,N,0
-21.2123,55.7678,349.8,2005-02-21,2212,N,0
-21.2175,55.7796,355.8,2005-02-21,2212,N,0
-21.2084,55.7227,308.7,2005-02-21,2212,N,0
-21.2131,55.7329,325.7,2005-02-21,2212,N,0
-21.2244,55.7408,360.3,2005-02-22,1022,D,0
-21.2209,55.7608,390.0,2005-02-22,1022,D,0
-21.2098,55.7623,342.1,2005-02-22,2117,N,0
-21.2052,55.7361,371.4,2005-02-22,2117,N,0
-21.2074,55.7487,378.4,2005-02-22,2117,N,0
-21.212,55.7749,321.4,2005-02-22,2117,N,0
-21.2207,55.7592,368.1,2005-02-22,2117,N,0
-21.2229,55.7719,388.3,2005-02-22,2117,N,0
-21.2183,55.7458,359.3,2005-02-22,2117,N,0
-21.2161,55.7336,386.9,2005-02-22,2117,N,0
-21.2117,55.7536,378.4,2005-02-23,1854,N,0
-21.213,55.7439,445.8,2005-02-23,1854,N,0
-21.2156,55.7252,311.7,2005-02-23,1854,N,0
-21.2274,55.7753,313.0,2005-02-23,1854,N,0
-21.2182,55.774,354.5,2005-02-23,1854,N,0
-21.2195,55.7645,438.5,2005-02-23,1854,N,0
-21.2104,55.7634,319.5,2005-02-23,1854,N,0
-21.2208,55.7549,365.9,2005-02-23,1854,N,0
-21.2039,55.7429,318.9,2005-02-23,1854,N,0
-21.2286,55.7659,328.2,2005-02-23,1854,N,0
-21.2299,55.7565,312.5,2005-02-23,1854,N,0
-21.2052,55.7333,307.7,2005-02-23,1854,N,0
-21.2143,55.7345,399.1,2005-02-23,1854,N,0
-21.2086,55.7804,312.0,2005-02-23,2200,N,0
-21.2159,55.7347,319.2,2005-02-23,2200,N,0
-21.206,55.7572,325.0,2005-02-23,2200,N,0
-21.2185,55.7584,351.0,2005-02-23,2200,N,0
-21.2211,55.7818,339.9,2005-02-23,2200,N,0
-21.2155,55.7413,315.3,2005-02-24,1937,N,0
-21.2132,55.7844,334.1,2005-02-24,1937,N,0
-21.2237,55.733,325.5,2005-02-24,1937,N,0
-21.2316,55.743,327.7,2005-02-24,1937,N,0
-21.2044,55.7647,324.4,2005-02-24,2105,N,0
-21.2005,55.7448,306.4,2005-02-24,2105,N,0
-21.2138,55.7393,307.7,2005-02-24,2105,N,0
-21.2154,55.7951,323.6,2005-02-24,2105,N,0
-21.2117,55.7761,359.5,2005-02-24,2105,N,0
-21.2252,55.7717,329.0,2005-02-24,2105,N,0
-21.2078,55.7568,330.4,2005-02-24,2105,N,0
-21.2214,55.7782,375.4,2005-02-24,2105,N,0
-21.2177,55.7591,339.3,2005-02-24,2105,N,0
-21.2096,55.726,415.2,2005-02-25,1842,N,0
-21.2083,55.7373,413.8,2005-02-25,1842,N,0
-21.2208,55.8131,347.2,2005-02-25,1842,N,3
-21.2224,55.8003,466.3,2005-02-25,1842,N,0
-21.2239,55.7878,452.7,2005-02-25,1842,N,0
-21.2253,55.7756,384.7,2005-02-25,1842,N,0
-21.2267,55.764,323.3,2005-02-25,1842,N,0
-21.2202,55.7276,422.6,2005-02-25,1842,N,0
-21.2068,55.7499,334.2,2005-02-25,1842,N,0
-21.2314,55.8144,367.2,2005-02-25,1842,N,3
-21.2345,55.7888,361.2,2005-02-25,1842,N,0
-21.2387,55.7951,338.5,2005-02-25,1842,N,0
-21.2373,55.8079,324.1,2005-02-25,1842,N,3
-21.219,55.7384,443.4,2005-02-25,1842,N,0
-21.2227,55.7824,337.3,2005-02-25,2148,N,0
-21.2288,55.7466,316.7,2005-02-25,2148,N,0
-21.2177,55.7441,337.3,2005-02-25,2148,N,0
-21.2078,55.7452,351.3,2005-02-25,2148,N,0
-21.2028,55.7838,318.6,2005-02-25,2148,N,0
-21.2061,55.8096,328.2,2005-02-25,2148,N,0
-21.2078,55.8221,322.5,2005-02-25,2148,N,3
-21.2094,55.7573,379.3,2005-02-25,2148,N,0
-21.2111,55.7701,341.5,2005-02-25,2148,N,0
-21.2128,55.783,342.0,2005-02-25,2148,N,0
-21.2161,55.8086,335.9,2005-02-25,2148,N,3
-21.2177,55.8208,323.9,2005-02-25,2148,N,3
-21.2193,55.7566,429.8,2005-02-25,2148,N,0
-21.221,55.7694,400.0,2005-02-25,2148,N,0
-21.2274,55.7416,326.1,2005-02-25,2148,N,0
-21.2291,55.7544,326.0,2005-02-25,2148,N,0
-21.2272,55.7333,315.1,2005-02-25,2148,N,0
-21.2305,55.7598,319.9,2005-02-25,2148,N,0
-21.2165,55.7921,412.9,2005-02-26,1925,N,0
-21.221,55.7671,342.4,2005-02-26,1925,N,0
-21.22,55.7757,387.0,2005-02-26,1925,N,0
-21.2222,55.7741,312.8,2005-02-27,2135,N,0
-21.2089,55.747,311.8,2005-02-27,2135,N,0
-21.2193,55.7551,306.8,2005-02-27,2135,N,0
-21.2146,55.7852,322.6,2005-02-27,2135,N,0
-21.2208,55.7646,316.6,2005-02-27,2135,N,0
-21.225,55.7932,305.2,2005-02-27,2135,N,0
-21.216,55.7947,324.4,2005-02-27,2135,N,0
-20.924,55.5088,317.3,2005-08-07,945,D,0
-20.9286,55.5011,328.9,2005-08-07,945,D,0
-20.9257,55.4954,323.7,2005-08-07,945,D,0
-21.0154,55.2749,323.4,2005-08-11,638,D,0
-21.295,55.5005,321.9,2005-09-11,1016,D,0
-21.2524,55.7079,306.7,2005-10-05,1854,N,0
-21.2419,55.7164,310.5,2005-10-05,1854,N,1
-21.2432,55.7067,309.6,2005-10-05,1854,N,0
-21.2446,55.7286,316.2,2005-10-06,549,D,0
-21.2461,55.7085,364.9,2005-10-06,1009,D,0
-21.2453,55.7421,306.3,2005-10-06,1937,N,0
-21.2472,55.6992,310.0,2005-10-06,1937,N,0
-21.2499,55.7315,313.7,2005-10-06,2104,N,0
-21.246,55.7118,337.0,2005-10-06,2104,N,0
-21.2429,55.7198,345.7,2005-10-06,2104,N,0
-21.2461,55.7153,399.6,2005-10-07,632,D,0
-21.2504,55.7092,362.4,2005-10-07,1842,N,0
-21.2489,55.7221,318.2,2005-10-07,1842,N,0
-21.2398,55.7081,306.5,2005-10-07,1842,N,1
-21.2473,55.719,368.2,2005-10-07,2147,N,0
