latitude,longitude,brightness,acq_date,acq_time,daynight,type
-26.0305,29.3877,327.2,2005-01-01,806,D,2
-26.5499,29.1438,302.6,2005-01-01,2014,N,0
-26.0276,29.3988,307.2,2005-01-01,2322,N,2
-25.6625,27.842,306.7,2005-01-01,2322,N,2
-25.6139,27.2244,307.4,2005-01-01,2322,N,2
-26.536,29.1609,307.7,2005-01-01,2322,N,0
-25.8587,29.1761,306.6,2005-01-01,2322,N,2
-26.5686,27.9911,302.4,2005-01-01,2322,N,2
-25.7154,27.4098,303.2,2005-01-01,2322,N,2
-25.9924,29.2806,302.7,2005-01-01,2322,N,0
-25.8848,29.0998,300.7,2005-01-01,2322,N,2
-26.0261,29.3886,311.7,2005-01-01,2322,N,2
-25.8037,29.497,301.5,2005-01-01,2322,N,0
-26.671,27.8157,304.4,2005-01-01,2322,N,2
-25.0649,30.4755,302.2,2005-01-01,2322,N,0
-33.4409,22.5095,301.7,2005-01-01,2324,N,0
-33.4434,22.5236,302.5,2005-01-01,2324,N,0
-27.795,24.6707,330.8,2005-01-02,850,D,0
-33.4023,18.4663,327.9,2005-01-02,851,D,0
-33.3933,18.4682,328.0,2005-01-02,851,D,0
-27.0941,32.7955,330.7,2005-01-02,1129,D,0
-27.0846,32.794,328.2,2005-01-02,1129,D,0
-29.0981,31.4076,319.2,2005-01-02,1129,D,0
-33.4387,22.5204,327.4,2005-01-02,2055,N,0
-33.7107,18.9354,327.5,2005-01-02,2055,N,0
-33.7141,18.9295,316.6,2005-01-02,2055,N,0
-33.6989,18.9256,322.1,2005-01-02,2055,N,0
-33.709,18.964,303.8,2005-01-02,2055,N,0
-33.7122,18.9584,307.9,2005-01-02,2055,N,0
-33.6969,18.9564,301.3,2005-01-02,2055,N,0
-33.72,18.9481,303.6,2005-01-03,8,N,0
-33.6983,18.9446,326.2,2005-01-03,8,N,0
-33.7098,18.9564,307.4,2005-01-03,8,N,0
-33.803,23.6435,313.9,2005-01-03,1211,D,0
-27.7918,29.7619,334.5,2005-01-03,1212,D,0
-28.0484,25.1004,358.6,2005-01-03,1212,D,0
-26.8338,30.6032,317.7,2005-01-03,1212,D,0
-26.8375,30.5839,334.1,2005-01-03,1212,D,0
-33.708,18.9456,307.5,2005-01-03,2138,N,0
-33.7674,18.7343,301.8,2005-01-03,2138,N,0
-25.62,27.2237,302.7,2005-01-03,2310,N,2
-25.6266,28.0855,318.8,2005-01-04,837,D,0
-25.6327,28.0923,316.5,2005-01-04,837,D,0
-26.0348,27.9535,316.9,2005-01-04,837,D,0
-25.6206,27.2217,327.2,2005-01-04,837,D,2
-26.131,27.9048,316.1,2005-01-04,837,D,0
-26.3333,30.5609,325.1,2005-01-04,837,D,0
-26.3354,30.5816,321.0,2005-01-04,837,D,0
-26.2659,28.181,317.9,2005-01-04,837,D,0
-26.5113,30.5289,310.2,2005-01-04,837,D,0
-25.8556,29.1746,315.8,2005-01-04,837,D,2
-25.8107,29.495,312.8,2005-01-04,837,D,2
-26.0276,29.3845,323.6,2005-01-04,837,D,2
-25.7469,28.1987,318.6,2005-01-04,837,D,0
-26.0295,29.4015,318.1,2005-01-04,837,D,2
-26.9323,30.7242,323.9,2005-01-04,1117,D,0
-26.9343,30.7012,326.5,2005-01-04,1117,D,0
-26.9226,30.7185,324.8,2005-01-04,1117,D,0
-26.9248,30.6952,316.5,2005-01-04,1117,D,0
-27.3094,30.6964,315.2,2005-01-04,1117,D,0
-27.3005,30.6901,316.2,2005-01-04,1117,D,0
-26.5267,30.5136,319.7,2005-01-04,1117,D,0
-26.5246,30.5363,317.4,2005-01-04,1117,D,0
-26.8352,30.5395,340.2,2005-01-04,1117,D,0
-26.8219,30.5381,332.4,2005-01-04,1117,D,0
-33.8967,18.9678,327.0,2005-01-04,1254,D,0
-33.8992,18.9536,323.5,2005-01-04,1254,D,0
-25.8852,29.0972,302.7,2005-01-04,2044,N,2
-25.7177,30.2237,300.5,2005-01-04,2044,N,0
-25.8879,29.0769,305.2,2005-01-04,2044,N,2
-25.8116,29.5002,304.1,2005-01-04,2044,N,2
-26.5712,27.9855,310.2,2005-01-04,2044,N,2
-26.6714,27.8071,307.6,2005-01-04,2044,N,2
-26.5659,27.9898,302.1,2005-01-04,2044,N,2
-26.0283,29.3923,312.3,2005-01-04,2044,N,2
-25.804,29.4887,304.7,2005-01-04,2044,N,0
-25.8026,29.4987,302.7,2005-01-04,2044,N,0
-26.0297,29.3822,313.8,2005-01-04,2044,N,2
-25.813,29.4902,311.4,2005-01-04,2044,N,2
-26.5674,27.9787,304.7,2005-01-04,2044,N,2
-25.9964,29.2256,301.1,2005-01-04,2044,N,0
-25.6186,27.2175,311.5,2005-01-04,2045,N,2
-25.7161,27.4031,307.1,2005-01-04,2045,N,2
-25.6599,27.8392,303.5,2005-01-04,2045,N,2
-26.0271,29.397,300.2,2005-01-04,2353,N,2
-33.6931,18.9483,305.5,2005-01-04,2355,N,0
-26.0292,29.4041,316.1,2005-01-05,742,D,2
-28.6338,28.2654,320.3,2005-01-05,743,D,0
-32.1569,18.8123,331.9,2005-01-05,922,D,0
-32.1554,18.8067,331.4,2005-01-05,922,D,0
-27.5481,30.1012,326.9,2005-01-05,1200,D,0
-27.547,30.0954,326.9,2005-01-05,1200,D,0
-27.863,29.9348,321.6,2005-01-05,1200,D,0
-29.0302,27.0078,384.3,2005-01-05,1200,D,0
-25.8117,29.4905,327.3,2005-01-05,1200,D,2
-29.0317,26.9975,357.7,2005-01-05,1200,D,0
-25.2858,26.7254,332.1,2005-01-05,1201,D,0
-24.0586,28.8161,317.3,2005-01-06,824,D,0
-25.467,30.9739,319.9,2005-01-06,824,D,0
-25.4686,30.9874,318.6,2005-01-06,824,D,0
-27.2761,30.9303,327.7,2005-01-06,825,D,0
