latitude,longitude,brightness,acq_date,acq_time,daynight,type
15.7638,101.0772,313.4,2005-01-01,436,D,0
16.6633,99.8875,308.9,2005-01-01,436,D,0
16.4116,100.6654,310.7,2005-01-01,436,D,0
16.0409,100.5302,314.5,2005-01-01,436,D,0
17.4729,100.3244,309.2,2005-01-01,436,D,0
16.0371,100.5224,312.5,2005-01-01,436,D,0
17.141,100.2697,317.9,2005-01-01,436,D,0
16.3041,100.6818,316.1,2005-01-01,436,D,0
16.7713,100.5306,309.6,2005-01-01,436,D,0
15.7639,101.0702,311.5,2005-01-01,436,D,0
17.143,100.2994,317.8,2005-01-01,436,D,0
16.3003,100.6758,313.8,2005-01-01,436,D,0
15.2092,100.4587,320.7,2005-01-01,436,D,0
16.7764,100.5396,307.2,2005-01-01,436,D,0
17.1344,100.3028,315.2,2005-01-01,436,D,0
14.9541,99.5915,318.2,2005-01-01,437,D,0
13.5091,99.4105,313.7,2005-01-01,437,D,0
14.8589,99.7379,315.7,2005-01-01,437,D,0
14.9476,99.6254,314.4,2005-01-01,437,D,0
14.866,99.7444,314.1,2005-01-01,437,D,0
14.9561,99.6203,315.0,2005-01-01,437,D,0
14.9624,99.5862,311.0,2005-01-01,437,D,0
15.206,100.4526,317.4,2005-01-01,437,D,0
15.6731,104.269,314.1,2005-01-01,601,D,0
13.7289,102.3748,314.3,2005-01-01,601,D,0
15.1665,103.0333,311.6,2005-01-01,601,D,0
14.0911,101.8494,315.6,2005-01-01,601,D,0
12.296,102.5026,307.8,2005-01-01,601,D,0
13.823,101.6264,313.3,2005-01-01,601,D,0
14.0957,101.8526,313.7,2005-01-01,601,D,0
14.8938,103.2547,344.3,2005-01-01,601,D,0
15.0233,102.2424,308.8,2005-01-01,601,D,0
13.968,102.6926,315.2,2005-01-01,601,D,0
15.2028,102.1333,315.8,2005-01-01,601,D,0
14.6835,104.5568,314.7,2005-01-01,601,D,0
13.7488,102.4,314.4,2005-01-01,601,D,0
13.7738,102.4531,313.8,2005-01-01,601,D,0
14.9042,103.2721,319.3,2005-01-01,601,D,0
14.8906,103.2747,318.1,2005-01-01,601,D,0
14.8948,103.2976,315.3,2005-01-01,601,D,0
14.9258,102.2984,349.3,2005-01-01,601,D,0
14.9404,102.2954,340.9,2005-01-01,601,D,0
14.6867,104.5753,316.1,2005-01-01,601,D,0
15.2478,102.2989,318.1,2005-01-01,601,D,0
15.2035,102.138,312.0,2005-01-01,601,D,0
15.1984,102.1102,318.4,2005-01-01,601,D,0
15.3001,102.5073,312.9,2005-01-01,601,D,0
15.2333,102.3018,314.9,2005-01-01,601,D,0
15.4779,102.5354,314.1,2005-01-01,601,D,0
15.4755,102.5409,316.4,2005-01-01,601,D,0
15.302,102.5021,314.9,2005-01-01,601,D,0
13.7437,102.3719,314.6,2005-01-01,601,D,0
15.1975,102.1056,315.4,2005-01-01,601,D,0
14.8864,103.2517,331.1,2005-01-01,601,D,0
14.7436,99.698,310.5,2005-01-01,601,D,0
14.9453,102.3226,315.6,2005-01-01,601,D,0
