latitude,longitude,brightness,acq_date,acq_time,daynight,type
9.8994,-66.1876,300.4,2005-01-01,216,N,0
9.6518,-63.5678,301.5,2005-01-01,216,N,2
9.4693,-64.3891,301.5,2005-01-01,216,N,2
8.1756,-66.8082,343.8,2005-01-01,1432,D,0
8.1785,-66.8305,314.0,2005-01-01,1432,D,0
8.474,-67.2247,314.4,2005-01-01,1432,D,0
6.4727,-69.3043,309.1,2005-01-01,1433,D,0
6.4644,-69.2979,310.5,2005-01-01,1433,D,0
7.517,-65.5099,318.6,2005-01-01,1731,D,0
7.8278,-65.9541,316.0,2005-01-01,1731,D,0
7.0003,-69.7166,314.3,2005-01-01,1731,D,0
8.0598,-63.9695,328.6,2005-01-01,1731,D,0
5.2617,-66.0738,316.7,2005-01-01,1731,D,0
5.4248,-65.8825,314.8,2005-01-01,1731,D,0
6.8681,-68.3553,314.5,2005-01-01,1731,D,0
5.4222,-65.8994,315.4,2005-01-01,1731,D,0
7.9589,-69.1561,320.5,2005-01-01,1732,D,0
8.3969,-67.2682,312.7,2005-01-01,1732,D,0
8.3744,-68.6833,310.5,2005-01-01,1732,D,0
9.1336,-67.2627,317.1,2005-01-01,1732,D,0
9.3298,-67.9833,323.5,2005-01-01,1732,D,0
7.9554,-69.1797,318.4,2005-01-01,1732,D,0
7.9599,-69.1522,319.9,2005-01-01,1732,D,0
9.3264,-68.0045,320.6,2005-01-01,1732,D,0
9.8066,-63.7855,348.1,2005-01-01,1732,D,0
9.4699,-64.3905,320.1,2005-01-01,1732,D,2
7.9292,-69.063,318.9,2005-01-01,1732,D,0
7.9289,-69.0556,316.9,2005-01-01,1732,D,0
7.9313,-69.6839,315.0,2005-01-01,1732,D,0
10.3336,-68.747,311.7,2005-01-01,1732,D,0
8.24,-66.8682,315.9,2005-01-02,258,N,0
8.2507,-66.8597,304.1,2005-01-02,258,N,0
8.2386,-66.878,318.0,2005-01-02,258,N,0
8.248,-66.8794,313.7,2005-01-02,258,N,0
8.1518,-66.1707,305.9,2005-01-02,258,N,0
8.2493,-66.8696,317.8,2005-01-02,258,N,0
10.1661,-67.429,305.7,2005-01-02,259,N,0
10.1648,-67.4387,321.5,2005-01-02,259,N,0
9.7339,-63.4756,310.9,2005-01-02,259,N,2
8.9876,-67.0542,306.0,2005-01-02,259,N,0
10.4774,-68.115,306.2,2005-01-02,548,N,0
8.432,-67.271,331.2,2005-01-02,1515,D,0
9.0174,-67.214,326.3,2005-01-02,1515,D,0
10.0092,-68.1434,326.7,2005-01-02,1515,D,0
9.6067,-69.2036,321.6,2005-01-02,1515,D,0
8.2802,-69.5795,323.0,2005-01-02,1515,D,0
10.0459,-69.1822,327.0,2005-01-02,1515,D,0
9.7358,-63.4645,322.1,2005-01-02,1515,D,2
10.0097,-69.1877,319.4,2005-01-02,1515,D,0
9.0373,-67.146,327.2,2005-01-02,1515,D,0
9.0355,-67.1344,319.2,2005-01-02,1515,D,0
9.5021,-67.4978,328.9,2005-01-02,1515,D,0
8.3585,-66.3626,322.1,2005-01-02,1515,D,0
8.0832,-64.8585,310.3,2005-01-02,1515,D,0
9.5153,-67.5182,318.4,2005-01-02,1515,D,0
10.0974,-66.9129,309.8,2005-01-02,1515,D,0
9.7325,-63.4595,317.6,2005-01-02,1515,D,2
8.0539,-63.7901,311.3,2005-01-02,1515,D,0
9.6952,-67.8696,318.7,2005-01-02,1515,D,0
9.6904,-67.8657,325.0,2005-01-02,1515,D,0
8.0428,-65.4796,313.6,2005-01-02,1515,D,0
7.8352,-64.6169,316.1,2005-01-02,1515,D,0
9.7851,-68.8618,317.7,2005-01-02,1515,D,0
9.7865,-68.8714,311.3,2005-01-02,1515,D,0
9.5525,-68.1713,325.5,2005-01-02,1515,D,0
9.8991,-66.9563,319.3,2005-01-02,1515,D,0
10.1414,-67.5217,318.2,2005-01-02,1515,D,0
9.9009,-66.9679,315.3,2005-01-02,1515,D,0
8.6279,-67.8708,313.9,2005-01-02,1515,D,0
9.7361,-63.4803,315.5,2005-01-02,1515,D,2
