latitude,longitude,brightness,acq_date,acq_time,daynight,type
13.0969,-59.5085,320.2,2006-03-12,1501,D,0
13.1002,-59.5135,319.3,2006-03-12,1501,D,0
13.1096,-59.4787,311.6,2006-04-24,229,N,0
13.1642,-59.5924,321.7,2006-04-26,1733,D,0
13.1779,-59.5632,328.5,2006-05-07,1715,D,0
13.1806,-59.5941,322.3,2006-05-14,1721,D,0
13.1646,-59.4605,325.0,2006-05-21,1727,D,0
13.232,-59.5471,314.5,2006-05-23,1413,D,0
13.17,-59.5499,344.4,2006-05-23,1715,D,0
13.1684,-59.5601,336.2,2006-05-23,1715,D,0
13.1621,-59.6014,330.1,2006-05-23,1715,D,0
13.1033,-59.4673,308.6,2006-05-24,529,N,0
13.1133,-59.4539,325.2,2006-06-15,1419,D,0
