latitude,longitude,brightness,acq_date,acq_time,daynight,type
29.8229,31.3038,310.1,2006-01-02,1113,D,0
30.5492,30.6175,310.2,2006-01-02,1113,D,0
30.7273,31.1259,307.4,2006-01-02,1113,D,0
29.7787,31.3225,317.3,2006-01-02,1113,D,2
31.3641,30.3246,304.5,2006-01-02,1114,D,0
31.3548,30.319,303.4,2006-01-03,845,D,0
29.8219,31.3067,308.6,2006-01-03,846,D,0
25.6256,32.5192,315.2,2006-01-03,847,D,0
31.368,30.3354,300.2,2006-01-04,1,N,0
29.9834,27.7871,301.9,2006-01-04,2,N,2
29.9821,27.7907,305.2,2006-01-04,2028,N,2
29.7839,31.3306,317.8,2006-01-05,834,D,2
25.299,32.5183,313.5,2006-01-05,835,D,0
31.4728,31.74,309.9,2006-01-06,1049,D,0
29.9817,27.7843,303.9,2006-01-06,2016,N,2
31.1259,29.8109,301.7,2006-01-06,2016,N,0
30.2937,30.768,304.2,2006-01-07,821,D,0
25.7287,32.7038,308.6,2006-01-07,822,D,0
24.5669,32.9431,328.0,2006-01-07,823,D,0
31.3494,30.3193,308.8,2006-01-08,904,D,2
29.9818,27.7868,311.3,2006-01-10,852,D,2
26.6446,33.926,309.9,2006-01-10,852,D,0
26.6353,33.9191,312.6,2006-01-10,1023,D,0
29.7811,31.3236,308.5,2006-01-11,1107,D,2
29.9834,27.7828,300.7,2006-01-11,2034,N,2
28.115,33.2813,309.6,2006-01-13,1054,D,0
25.6304,32.503,307.2,2006-01-13,1054,D,0
30.0306,28.068,306.3,2006-01-14,2343,N,0
29.9827,27.7893,301.7,2006-01-15,2010,N,2
29.9832,27.7929,312.0,2006-01-17,858,D,2
29.794,31.3368,305.9,2006-01-19,845,D,2
30.7192,30.338,304.8,2006-01-19,845,D,0
30.7387,30.1397,307.4,2006-01-19,845,D,0
30.7476,30.1414,309.8,2006-01-19,845,D,0
26.1012,32.1638,305.7,2006-01-19,846,D,0
31.1239,29.8119,302.6,2006-01-20,1102,D,0
31.3652,30.3331,305.7,2006-01-21,833,D,0
29.7805,31.3242,302.0,2006-01-21,2349,N,2
29.9828,27.7849,305.6,2006-01-22,2016,N,2
31.1255,29.8114,303.1,2006-01-24,2004,N,0
27.8926,30.8081,311.1,2006-01-25,1119,D,0
30.7202,30.0692,372.8,2006-01-26,852,D,0
30.2506,30.5876,315.2,2006-01-26,852,D,0
30.2489,30.5984,311.0,2006-01-26,852,D,0
30.7124,30.0611,307.5,2006-01-26,852,D,0
30.7186,30.0797,314.2,2006-01-26,852,D,0
30.7108,30.0716,321.5,2006-01-26,852,D,0
29.8543,30.8639,312.0,2006-01-26,1951,N,0
31.1007,26.6207,303.4,2006-01-27,8,N,0
29.8254,31.3096,308.4,2006-01-28,840,D,0
29.8037,32.0902,307.3,2006-01-28,840,D,0
25.6207,32.5019,311.8,2006-01-28,841,D,0
24.4362,33.0843,313.8,2006-01-28,841,D,0
25.8324,32.7342,307.6,2006-01-28,841,D,0
29.9828,27.7912,301.9,2006-01-28,2356,N,2
25.3782,32.4912,307.1,2006-01-30,828,D,0
25.6553,32.4817,309.1,2006-01-30,828,D,0
30.2435,30.686,309.8,2006-01-31,1043,D,0
29.7846,31.3246,304.3,2006-01-31,2010,N,2
25.9946,32.2945,311.8,2006-02-04,847,D,0
29.9833,27.7919,305.9,2006-02-05,2,N,2
29.9866,27.7897,305.5,2006-02-05,2028,N,2
30.7099,26.9816,302.3,2006-02-05,2029,N,0
31.2594,30.3061,326.5,2006-02-06,833,D,0
31.1258,29.8064,305.6,2006-02-06,833,D,0
31.3678,30.3358,302.6,2006-02-06,833,D,0
25.6319,32.4925,315.2,2006-02-06,835,D,0
31.3997,31.5937,306.2,2006-02-06,1934,N,0
29.9869,27.7844,308.6,2006-02-07,2016,N,2
31.2441,30.3054,305.9,2006-02-08,821,D,0
25.4227,32.5279,314.7,2006-02-08,822,D,0
30.1223,31.0202,306.7,2006-02-09,904,D,0
26.0232,32.3272,300.2,2006-02-09,2003,N,0
31.3477,30.3168,307.4,2006-02-10,1120,D,2
29.8248,31.3117,308.5,2006-02-11,852,D,0
31.3548,30.3226,304.4,2006-02-11,852,D,0
26.0142,32.186,310.2,2006-02-11,853,D,0
26.0921,32.268,311.2,2006-02-11,853,D,0
24.4603,33.0127,317.0,2006-02-13,841,D,0
26.2119,31.9254,339.0,2006-02-13,841,D,0
29.9774,27.7837,310.0,2006-02-14,1055,D,2
29.9833,27.7843,315.7,2006-02-14,2022,N,2
29.781,31.324,321.2,2006-02-15,828,D,2
25.6557,32.583,345.8,2006-02-15,829,D,0
24.4411,33.0377,306.3,2006-02-15,829,D,0
29.9851,27.7937,318.2,2006-02-16,911,D,2
31.1256,29.8117,302.5,2006-02-16,2010,N,0
29.9805,27.7858,309.1,2006-02-16,2010,N,2
24.8469,32.8694,315.9,2006-02-18,859,D,0
29.983,27.7843,304.4,2006-02-18,1958,N,2
29.9822,27.7903,301.7,2006-02-18,1958,N,2
29.9859,27.7931,301.2,2006-02-19,14,N,2
24.391,32.9986,320.8,2006-02-19,1112,D,0
31.4691,31.7379,312.3,2006-02-19,1114,D,0
29.7931,31.3313,316.0,2006-02-19,1114,D,2
28.1138,33.2831,311.0,2006-02-20,846,D,0
29.9847,27.787,304.1,2006-02-21,2,N,2
29.782,31.3303,303.8,2006-02-21,2,N,2
31.3518,30.324,317.7,2006-02-21,2,N,2
29.778,31.3204,317.3,2006-02-21,1101,D,2
29.7673,31.3116,317.3,2006-02-21,1101,D,2
31.3481,30.3195,311.3,2006-02-21,1102,D,2
31.2463,30.2667,307.3,2006-02-21,1102,D,0
29.9798,27.7811,300.2,2006-02-21,2029,N,2
31.363,30.3439,305.5,2006-02-21,2306,N,2
31.3563,30.3387,312.9,2006-02-21,2306,N,2
31.348,30.3221,339.1,2006-02-22,833,D,2
28.1195,33.2824,311.5,2006-02-22,834,D,0
25.1979,32.6449,317.3,2006-02-22,835,D,0
26.0901,32.1624,324.2,2006-02-22,835,D,0
29.9863,27.7947,300.8,2006-02-22,2350,N,2
29.9834,27.7875,302.9,2006-02-22,2350,N,2
26.2185,32.047,319.0,2006-02-23,1048,D,0
31.3492,30.3266,308.0,2006-02-23,1050,D,2
31.3452,30.3177,322.4,2006-02-23,1050,D,2
25.9053,32.786,315.1,2006-02-24,823,D,0
25.9028,32.7795,315.1,2006-02-24,823,D,0
25.9068,32.7744,336.7,2006-02-24,823,D,0
26.2289,31.997,322.8,2006-02-26,1119,D,0
31.3512,30.3208,307.8,2006-02-27,852,D,2
26.2222,32.0362,327.0,2006-02-27,853,D,0
24.4205,33.0835,300.2,2006-02-27,1950,N,0
31.417,31.6811,300.3,2006-02-27,1952,N,0
29.9831,27.7877,303.8,2006-02-28,8,N,2
25.7035,32.6169,332.9,2006-02-28,1107,D,0
25.7021,32.607,341.6,2006-02-28,1107,D,0
31.1308,29.8882,307.6,2006-02-28,1108,D,0
31.4718,31.7367,312.6,2006-02-28,1108,D,0
31.2388,30.2399,318.9,2006-02-28,1108,D,0
31.1324,29.8988,307.9,2006-02-28,1108,D,0
29.9792,27.7892,300.5,2006-02-28,2035,N,2
29.9854,27.7819,305.5,2006-02-28,2035,N,2
29.7949,31.3337,314.8,2006-03-01,840,D,2
26.1725,32.1652,323.7,2006-03-01,841,D,0
26.2189,31.986,317.4,2006-03-01,841,D,0
26.2205,31.9759,320.7,2006-03-01,841,D,0
25.6468,32.522,320.7,2006-03-01,1938,N,0
24.9951,32.762,330.3,2006-03-02,1054,D,0
26.1776,32.5985,370.8,2006-03-03,829,D,0
25.7485,32.6439,316.7,2006-03-03,829,D,0
26.1573,32.5423,332.2,2006-03-03,829,D,0
25.7099,32.7208,336.3,2006-03-03,829,D,0
30.187,30.945,319.9,2006-03-04,1043,D,0
24.4524,32.9616,319.2,2006-03-04,2009,N,0
29.9788,27.7842,300.5,2006-03-04,2010,N,2
29.7946,31.3312,300.4,2006-03-04,2010,N,2
26.684,31.6,319.6,2006-03-06,859,D,0
29.9888,27.7906,304.5,2006-03-07,14,N,0
30.9827,29.6575,302.8,2006-03-08,846,D,0
29.9872,27.7832,302.8,2006-03-09,2029,N,2
29.9842,27.791,310.0,2006-03-10,2350,N,2
29.9815,27.7882,307.7,2006-03-11,2017,N,2
25.6505,32.6507,317.3,2006-03-12,823,D,0
26.1476,32.5235,319.1,2006-03-12,823,D,0
29.9858,27.7851,304.2,2006-03-13,2004,N,2
27.9239,30.7753,314.5,2006-03-15,853,D,0
24.4498,32.9477,326.9,2006-03-15,1950,N,0
24.4517,32.9593,305.7,2006-03-15,1950,N,0
30.6095,31.2636,300.1,2006-03-15,1952,N,0
31.1133,32.3377,314.6,2006-03-16,1108,D,0
27.9233,30.7738,319.2,2006-03-17,841,D,0
26.0125,32.8265,314.7,2006-03-17,841,D,0
25.7531,32.7138,318.3,2006-03-17,841,D,0
25.0007,32.9209,310.3,2006-03-17,1938,N,0
24.9974,32.9033,323.5,2006-03-17,1938,N,0
29.9876,27.7866,303.7,2006-03-17,2356,N,0
24.4301,32.9652,303.9,2006-03-18,2021,N,0
29.9836,27.7899,306.9,2006-03-18,2023,N,2
30.6421,30.0574,319.4,2006-03-20,911,D,0
30.6429,30.0459,317.6,2006-03-20,911,D,0
31.4692,31.7343,313.3,2006-03-20,1044,D,0
29.9869,27.7877,312.6,2006-03-20,2011,N,2
30.6485,26.7256,305.4,2006-03-21,27,N,0
30.6453,26.7424,307.3,2006-03-21,27,N,0
26.1884,32.6549,300.1,2006-03-22,1957,N,0
29.9822,27.7954,305.5,2006-03-23,15,N,2
29.9832,27.79,309.8,2006-03-23,15,N,2
31.3485,30.32,341.2,2006-03-23,1115,D,2
29.9797,27.7899,300.2,2006-03-23,2041,N,2
26.1781,32.1046,326.9,2006-03-24,847,D,0
29.9822,27.7946,301.2,2006-03-25,2,N,2
29.9809,27.7874,304.0,2006-03-25,2029,N,2
31.3645,30.332,307.3,2006-03-26,834,D,0
27.8715,30.8209,321.1,2006-03-26,835,D,0
27.8802,30.7549,317.4,2006-03-26,835,D,0
25.7205,32.6285,323.9,2006-03-26,835,D,0
27.7679,30.7914,324.2,2006-03-26,835,D,0
29.9859,27.7913,325.5,2006-03-29,905,D,2
24.9407,32.8836,303.5,2006-03-29,2003,N,0
