latitude,longitude,brightness,acq_date,acq_time,daynight,type
28.0178,85.8579,302.3,2006-01-01,540,D,0
28.2981,84.8611,305.3,2006-01-01,712,D,0
28.3099,84.8711,301.3,2006-01-01,712,D,0
28.2808,84.7034,307.0,2006-01-01,712,D,0
27.7515,87.3802,308.2,2006-01-01,712,D,0
27.8237,87.5113,312.6,2006-01-01,712,D,0
27.8258,87.5241,326.0,2006-01-01,712,D,0
28.2771,84.6995,304.6,2006-01-01,712,D,0
28.0101,85.8374,314.1,2006-01-01,712,D,0
28.2793,84.7029,311.5,2006-01-01,1639,N,0
28.3128,84.8939,310.0,2006-01-02,445,D,0
28.2398,85.2534,325.4,2006-01-02,445,D,0
27.4734,85.4824,305.6,2006-01-02,446,D,0
27.0635,87.8711,300.3,2006-01-02,446,D,0
27.605,87.0194,303.7,2006-01-02,446,D,0
28.2729,84.8687,310.8,2006-01-02,755,D,0
28.3473,84.9166,317.3,2006-01-02,755,D,0
28.2436,85.2474,332.4,2006-01-02,755,D,0
28.7985,80.152,315.7,2006-01-02,755,D,0
28.7999,80.1622,313.7,2006-01-02,755,D,0
28.5051,81.2521,312.1,2006-01-02,755,D,0
28.0108,85.8381,310.7,2006-01-02,755,D,0
28.2636,84.783,306.1,2006-01-02,755,D,0
27.4554,87.4461,309.2,2006-01-02,755,D,0
27.4539,87.4293,308.7,2006-01-02,755,D,0
27.4525,87.4428,308.3,2006-01-02,755,D,0
27.999,85.8414,319.4,2006-01-02,755,D,0
27.952,85.7327,304.5,2006-01-02,755,D,0
28.2713,84.8536,305.9,2006-01-02,755,D,0
28.2753,84.7358,301.3,2006-01-03,528,D,0
28.2595,84.882,305.5,2006-01-03,528,D,0
28.301,84.2809,304.1,2006-01-03,528,D,0
28.1401,85.0211,303.4,2006-01-03,528,D,0
28.4443,84.7693,370.3,2006-01-03,700,D,0
27.6086,87.0143,302.5,2006-01-03,700,D,0
27.6067,87.0195,307.4,2006-01-03,700,D,0
28.334,84.8995,304.5,2006-01-03,700,D,0
28.3417,84.936,301.7,2006-01-03,700,D,0
28.2358,85.0416,330.7,2006-01-03,700,D,0
28.2412,85.0368,328.0,2006-01-03,700,D,0
28.246,85.0592,314.7,2006-01-03,700,D,0
28.1348,84.9994,301.8,2006-01-03,700,D,0
27.6487,87.1611,320.3,2006-01-04,433,D,0
26.6363,86.975,318.5,2006-01-04,433,D,0
27.6187,86.6786,306.9,2006-01-04,433,D,0
28.585,83.5017,318.8,2006-01-04,433,D,0
28.5894,83.4987,317.9,2006-01-04,433,D,0
27.6071,87.0312,305.2,2006-01-04,433,D,0
28.2702,84.8295,304.7,2006-01-04,433,D,0
28.2493,85.069,330.7,2006-01-04,433,D,0
28.2463,85.1024,317.2,2006-01-04,433,D,0
27.642,87.1536,309.2,2006-01-04,433,D,0
27.5234,87.7039,311.0,2006-01-04,742,D,0
27.6452,87.1618,305.4,2006-01-04,742,D,0
27.4467,87.8274,312.1,2006-01-04,742,D,0
