latitude,longitude,brightness,acq_date,acq_time,daynight,type
15.2526,120.6001,315.7,2006-01-01,227,D,0
10.4247,123.3482,310.3,2006-01-01,228,D,0
9.5861,122.801,316.7,2006-01-01,228,D,0
10.6606,122.9696,319.0,2006-01-01,528,D,0
18.4076,120.8238,313.5,2006-01-01,530,D,0
15.3152,120.7108,300.6,2006-01-02,1401,N,0
15.3316,120.609,315.2,2006-01-03,214,D,0
12.6177,121.1305,317.5,2006-01-03,215,D,0
7.79,125.0009,317.1,2006-01-03,216,D,0
7.862,124.8235,306.5,2006-01-03,515,D,0
12.8522,121.0245,312.6,2006-01-03,516,D,0
10.6242,123.0713,320.7,2006-01-03,516,D,0
12.9662,120.9849,314.8,2006-01-03,516,D,0
16.239,120.8102,319.1,2006-01-03,517,D,0
15.8297,120.9711,318.0,2006-01-03,517,D,0
14.3132,120.8051,316.6,2006-01-03,517,D,0
16.2376,120.8009,314.9,2006-01-03,517,D,0
14.4743,120.5859,312.8,2006-01-03,517,D,0
14.8943,120.3155,312.2,2006-01-03,517,D,0
15.0688,120.6178,310.3,2006-01-03,517,D,0
16.2169,120.848,316.5,2006-01-03,517,D,0
17.6939,120.81,312.7,2006-01-03,518,D,0
17.7914,120.7887,311.1,2006-01-03,518,D,0
17.7288,120.8625,310.4,2006-01-04,257,D,0
15.8857,120.1625,310.5,2006-01-04,257,D,0
15.9944,119.9976,318.8,2006-01-04,257,D,0
10.7911,123.0143,311.4,2006-01-05,503,D,0
10.773,123.4936,313.1,2006-01-05,503,D,0
11.0173,124.6345,314.8,2006-01-05,503,D,0
17.8462,120.752,314.0,2006-01-05,505,D,0
15.4554,120.6822,319.5,2006-01-05,505,D,0
17.848,120.7634,317.8,2006-01-05,505,D,0
18.4528,120.7013,316.1,2006-01-05,506,D,0
18.451,120.6901,313.5,2006-01-05,506,D,0
17.7739,120.8185,313.9,2006-01-06,244,D,0
14.4943,120.4159,311.6,2006-01-06,245,D,0
13.9406,122.7356,307.5,2006-01-06,245,D,0
13.0964,120.8209,311.8,2006-01-06,246,D,0
13.0948,120.8265,313.7,2006-01-06,246,D,0
12.5779,121.0509,314.6,2006-01-06,246,D,0
7.7844,125.0593,310.5,2006-01-06,247,D,0
12.7743,121.1291,310.6,2006-01-07,452,D,0
12.774,121.1503,322.4,2006-01-07,452,D,0
17.7598,120.7235,313.6,2006-01-07,453,D,0
17.7632,120.7429,314.2,2006-01-07,453,D,0
12.6223,121.1774,306.4,2006-01-07,1419,N,0
16.2932,120.7873,300.8,2006-01-07,1420,N,0
18.2273,120.8194,311.1,2006-01-08,232,D,0
17.6544,120.8976,310.1,2006-01-08,232,D,0
18.1522,120.8302,311.0,2006-01-08,232,D,0
18.3464,120.8243,310.5,2006-01-08,232,D,0
15.2268,120.1059,319.2,2006-01-08,233,D,0
15.1274,120.5385,317.5,2006-01-08,233,D,0
15.7135,120.1777,318.0,2006-01-08,233,D,0
15.7045,120.1761,402.0,2006-01-08,233,D,0
15.4373,120.752,312.6,2006-01-08,233,D,0
15.7032,120.1855,332.7,2006-01-08,233,D,0
12.8743,121.0017,317.1,2006-01-08,233,D,0
15.0757,120.6374,317.4,2006-01-08,233,D,0
12.8805,121.0214,312.1,2006-01-08,233,D,0
15.1724,120.674,313.7,2006-01-08,233,D,0
15.1635,120.6666,312.1,2006-01-08,233,D,0
15.2025,120.0823,315.1,2006-01-08,233,D,0
13.2377,120.7929,317.0,2006-01-08,233,D,0
