latitude,longitude,brightness,acq_date,acq_time,daynight,type
39.9487,20.1509,301.3,2007-01-16,922,D,0
41.8437,20.2943,303.1,2007-01-21,1120,D,0
41.8429,20.2988,301.9,2007-01-21,1120,D,0
40.6244,20.8306,305.5,2007-01-21,1120,D,0
40.4853,19.5846,302.8,2007-01-21,1120,D,0
40.6237,20.8361,302.0,2007-01-21,1120,D,0
40.5718,20.8137,307.7,2007-01-22,1203,D,0
39.8767,20.0682,302.9,2007-01-31,1157,D,0
39.8782,20.0809,325.5,2007-01-31,1157,D,0
39.8464,20.0336,303.4,2007-02-02,1144,D,0
41.6114,19.6191,333.1,2007-02-04,952,D,0
40.6293,19.6778,315.4,2007-02-04,1132,D,0
40.4974,19.6532,305.8,2007-02-24,928,D,0
40.4959,19.6658,301.8,2007-02-24,928,D,0
40.4304,20.6734,312.6,2007-02-25,1151,D,0
40.4559,19.9955,304.4,2007-03-02,1209,D,0
40.4538,20.0023,303.5,2007-03-02,1209,D,0
41.4518,19.4965,315.9,2007-03-02,1210,D,0
40.1513,20.3281,306.6,2007-03-04,1157,D,0
40.8696,20.5635,304.8,2007-03-04,1157,D,0
40.8711,20.5771,301.0,2007-03-04,1157,D,0
40.3368,20.5634,303.9,2007-03-06,1145,D,0
40.5682,20.3793,312.0,2007-03-06,1145,D,0
40.5698,20.3909,313.3,2007-03-06,1145,D,0
40.3807,20.4869,308.0,2007-03-06,1145,D,0
40.3819,20.5587,313.5,2007-03-06,1145,D,0
41.0941,20.0799,300.5,2007-03-07,909,D,0
41.0466,19.46,311.6,2007-03-11,1203,D,0
41.9529,19.8231,303.6,2007-03-12,927,D,0
41.6436,20.0672,308.4,2007-03-13,1151,D,0
40.9018,20.1649,309.6,2007-03-13,1151,D,0
41.1948,20.2276,317.9,2007-03-13,1151,D,0
41.5393,19.5289,314.2,2007-03-14,915,D,0
40.8025,19.5212,302.4,2007-03-14,916,D,0
40.8019,19.5336,302.3,2007-03-14,916,D,0
42.2638,20.2355,307.8,2007-03-15,1139,D,0
40.7179,20.3688,319.8,2007-03-15,1139,D,0
40.7232,20.0478,306.7,2007-03-15,1139,D,0
40.5231,20.1936,324.6,2007-03-15,1139,D,0
42.1211,20.0632,311.1,2007-03-16,1222,D,0
41.7185,19.8186,306.9,2007-03-16,1222,D,0
41.3183,20.1806,305.8,2007-03-17,946,D,0
41.645,20.2952,305.8,2007-03-17,946,D,0
40.7592,20.2991,307.1,2007-03-17,946,D,0
40.35,19.7162,307.6,2007-03-17,1126,D,0
42.4129,20.1922,306.5,2007-03-17,1127,D,0
41.9867,19.5959,304.9,2007-03-18,1210,D,0
40.495,19.7456,308.2,2007-03-19,934,D,0
40.2645,19.6089,302.7,2007-03-19,934,D,0
40.4966,19.7337,307.1,2007-03-19,934,D,0
40.2662,19.5963,313.3,2007-03-19,934,D,0
40.9851,20.3955,321.5,2007-03-19,934,D,0
42.074,19.9918,300.1,2007-04-07,1004,D,0
42.2913,20.2428,311.4,2007-04-09,952,D,0
42.2841,20.2421,313.2,2007-04-09,1133,D,0
41.2775,20.1048,311.8,2007-04-12,1203,D,0
41.639,20.2091,328.0,2007-04-13,927,D,0
41.6286,20.2008,308.2,2007-04-13,1108,D,0
41.6328,20.2055,310.1,2007-04-13,1108,D,0
42.1483,19.9094,312.5,2007-04-14,1151,D,0
42.1655,20.1457,309.1,2007-04-15,915,D,0
42.1612,20.1427,317.0,2007-04-15,1056,D,0
42.2466,20.4354,316.7,2007-04-15,2021,N,0
42.2367,20.4449,312.4,2007-04-16,958,D,0
42.2451,20.4352,322.6,2007-04-16,958,D,0
42.2399,20.4279,312.2,2007-04-16,958,D,0
42.2436,20.4302,323.2,2007-04-16,1139,D,0
41.6343,20.4113,314.2,2007-04-18,946,D,0
41.635,20.4123,307.2,2007-04-18,1127,D,0
42.3178,20.2459,310.1,2007-04-20,933,D,0
42.3137,20.2321,315.2,2007-04-21,1157,D,0
42.3182,20.2385,314.8,2007-04-21,1157,D,0
42.412,19.7597,321.6,2007-04-21,1157,D,0
42.0738,20.2504,320.8,2007-04-21,1157,D,0
41.494,20.4494,310.8,2007-04-22,921,D,0
41.598,19.8322,313.7,2007-04-23,1145,D,0
40.6284,20.8583,328.0,2007-04-23,1145,D,0
40.6271,20.863,315.8,2007-04-24,909,D,0
42.4187,20.1219,309.2,2007-04-28,1204,D,0
41.532,20.1695,325.1,2007-04-29,927,D,0
42.1791,20.0485,336.3,2007-04-29,927,D,0
41.3919,20.2815,315.7,2007-04-30,1151,D,0
42.145,20.165,318.3,2007-05-12,1216,D,0
42.1398,20.1472,316.4,2007-05-12,1216,D,0
42.1421,20.176,314.5,2007-05-12,1216,D,0
42.1469,20.1653,328.4,2007-05-13,939,D,0
42.1499,20.1657,314.5,2007-05-13,1121,D,0
42.1465,20.1486,320.8,2007-05-13,1121,D,0
42.1525,20.1691,301.1,2007-05-13,2045,N,0
42.1508,20.1563,311.3,2007-05-13,2045,N,0
42.1452,20.1653,318.3,2007-05-14,1203,D,0
42.1516,20.1548,305.9,2007-05-15,2033,N,0
42.1497,20.1426,300.4,2007-05-15,2033,N,0
42.1425,20.1506,308.0,2007-05-15,2033,N,0
42.1411,20.1549,326.3,2007-05-16,1151,D,0
39.8004,20.0696,319.5,2007-06-19,958,D,0
40.862,19.9276,324.1,2007-06-19,1138,D,0
39.7624,20.1943,326.4,2007-06-19,1138,D,0
41.5276,20.3832,327.2,2007-06-26,1145,D,0
41.641,20.2689,312.7,2007-06-27,1050,D,0
41.6438,20.2624,317.0,2007-06-27,1050,D,0
40.8087,19.4826,320.6,2007-06-28,1132,D,0
40.8061,19.4679,319.6,2007-06-28,1132,D,0
39.7943,20.1734,330.9,2007-07-03,1150,D,0
39.8033,20.1713,327.4,2007-07-03,1150,D,0
42.2341,20.3491,317.0,2007-07-05,958,D,0
42.2201,19.4344,339.8,2007-07-05,1139,D,0
42.2313,19.4445,334.4,2007-07-05,1139,D,0
42.2292,19.4317,345.5,2007-07-05,1139,D,0
41.8597,19.5975,327.5,2007-07-07,946,D,0
40.5324,19.5669,324.2,2007-07-07,1126,D,0
41.852,19.5844,321.3,2007-07-07,1126,D,0
41.8656,19.598,318.3,2007-07-07,1126,D,0
40.5218,19.5706,323.7,2007-07-07,1126,D,0
39.7877,20.1986,305.5,2007-07-07,2051,N,0
41.8657,19.5825,302.3,2007-07-07,2052,N,0
41.8564,19.585,301.8,2007-07-07,2052,N,0
40.7,19.4409,319.2,2007-07-08,851,D,0
40.6937,19.435,318.2,2007-07-08,851,D,0
39.7842,20.1902,322.6,2007-07-08,1208,D,0
39.6997,20.035,327.4,2007-07-08,1208,D,0
39.7817,20.1971,325.7,2007-07-08,1208,D,0
40.3809,19.4912,323.1,2007-07-09,934,D,0
40.2103,19.5278,321.1,2007-07-09,934,D,0
40.9819,19.5898,326.8,2007-07-10,1156,D,0
40.2109,19.5226,328.8,2007-07-10,1156,D,0
40.7464,20.8396,323.9,2007-07-11,921,D,0
40.8601,19.5916,320.6,2007-07-12,1004,D,0
40.8613,19.5855,324.0,2007-07-12,1004,D,0
41.5912,20.2555,312.0,2007-07-13,909,D,0
39.9014,20.0355,320.7,2007-07-13,909,D,0
39.8115,20.1671,318.6,2007-07-13,909,D,0
39.7998,20.1645,317.3,2007-07-13,909,D,0
41.5818,20.235,304.9,2007-07-13,1049,D,0
41.593,20.2759,309.9,2007-07-13,1049,D,0
42.3575,19.4351,326.9,2007-07-13,2015,N,0
40.1956,20.4178,303.9,2007-07-13,2015,N,0
42.369,19.4329,306.8,2007-07-13,2015,N,0
41.7547,20.1805,318.2,2007-07-14,952,D,0
41.8991,20.3041,312.2,2007-07-14,952,D,0
40.3006,19.437,320.6,2007-07-14,952,D,0
39.8075,20.1566,321.0,2007-07-14,952,D,0
39.8339,20.2394,326.5,2007-07-14,952,D,0
39.8315,20.2523,333.7,2007-07-14,952,D,0
40.2,19.7877,318.5,2007-07-14,1132,D,0
39.9408,20.1855,330.2,2007-07-14,1132,D,0
39.9437,20.2012,321.6,2007-07-14,1132,D,0
41.9975,19.9294,324.3,2007-07-14,1132,D,0
41.9951,19.916,320.8,2007-07-14,1132,D,0
41.0648,20.5239,325.1,2007-07-14,1132,D,0
39.9374,20.1776,325.7,2007-07-14,1132,D,0
39.9401,20.1927,348.4,2007-07-14,1132,D,0
39.9302,20.1941,331.8,2007-07-14,1132,D,0
39.8268,20.249,317.7,2007-07-14,1132,D,0
41.7492,20.1707,321.4,2007-07-14,1132,D,0
41.7517,20.1855,317.2,2007-07-14,1132,D,0
41.7574,20.4475,317.9,2007-07-14,1132,D,0
