latitude,longitude,brightness,acq_date,acq_time,daynight,type
11.8579,2.8601,339.1,2007-01-01,1012,D,0
12.008,2.8818,316.7,2007-01-01,1012,D,0
12.018,2.8831,318.0,2007-01-01,1012,D,0
12.0196,2.8716,315.0,2007-01-01,1012,D,0
11.8182,2.7016,315.5,2007-01-01,1012,D,0
11.8595,2.8486,342.0,2007-01-01,1012,D,0
11.9578,2.727,342.1,2007-01-01,1012,D,0
11.7848,2.4976,312.9,2007-01-01,1012,D,0
11.814,2.9584,317.3,2007-01-01,1012,D,0
11.8166,2.7132,320.5,2007-01-01,1012,D,0
11.8679,2.8614,312.7,2007-01-01,1012,D,0
11.9646,2.7517,313.7,2007-01-01,1012,D,0
12.0096,2.8702,326.0,2007-01-01,1012,D,0
11.7988,2.77,314.8,2007-01-01,1012,D,0
12.1784,2.7521,317.3,2007-01-01,1012,D,0
7.7771,2.3976,315.5,2007-01-01,1013,D,0
8.5277,2.1465,317.6,2007-01-01,1013,D,0
11.2038,3.5919,315.9,2007-01-01,1013,D,0
10.7171,3.5761,316.9,2007-01-01,1013,D,0
9.9181,2.9997,320.4,2007-01-01,1013,D,0
10.6345,3.2308,316.2,2007-01-01,1013,D,0
11.1771,1.641,323.2,2007-01-01,1013,D,0
8.6894,2.1583,318.3,2007-01-01,1013,D,0
7.8555,2.631,313.3,2007-01-01,1013,D,0
8.6809,2.1455,323.6,2007-01-01,1013,D,0
8.6166,2.095,323.6,2007-01-01,1013,D,0
10.0933,3.2982,315.8,2007-01-01,1013,D,0
11.1879,1.6424,343.8,2007-01-01,1013,D,0
11.1861,1.6559,338.4,2007-01-01,1013,D,0
11.1843,1.6693,343.0,2007-01-01,1013,D,0
11.1824,1.6828,341.8,2007-01-01,1013,D,0
11.1789,1.6275,322.0,2007-01-01,1013,D,0
9.0899,2.9346,319.7,2007-01-01,1013,D,0
8.6529,1.9821,313.5,2007-01-01,1013,D,0
9.9966,3.3313,314.9,2007-01-01,1013,D,0
9.2356,2.0521,315.7,2007-01-01,1013,D,0
9.235,2.0465,316.6,2007-01-01,1013,D,0
10.6441,3.2321,320.6,2007-01-01,1013,D,0
10.1115,3.2376,322.1,2007-01-01,1013,D,0
9.2451,2.0479,314.9,2007-01-01,1013,D,0
10.6427,3.2426,314.4,2007-01-01,1013,D,0
9.396,2.8841,318.7,2007-01-01,1013,D,0
11.1993,3.4861,316.6,2007-01-01,1013,D,0
10.2121,2.2191,338.6,2007-01-01,1013,D,0
11.2089,3.4875,313.3,2007-01-01,1013,D,0
9.0994,2.1461,313.6,2007-01-01,1013,D,0
7.9182,2.4188,315.5,2007-01-01,1013,D,0
9.7068,2.9143,316.5,2007-01-01,1013,D,0
10.7969,1.5792,350.6,2007-01-01,1013,D,0
10.7951,1.5926,328.2,2007-01-01,1013,D,0
11.1499,1.4922,323.2,2007-01-01,1013,D,0
11.1518,1.4993,316.6,2007-01-01,1013,D,0
11.1536,1.4855,319.0,2007-01-01,1013,D,0
9.6549,1.8088,315.0,2007-01-01,1013,D,0
9.6832,3.0831,318.9,2007-01-01,1013,D,0
9.4549,1.648,319.1,2007-01-01,1013,D,0
9.4648,2.6744,336.1,2007-01-01,1013,D,0
11.145,1.3644,331.6,2007-01-01,1013,D,0
11.1431,1.3784,315.1,2007-01-01,1013,D,0
9.9471,1.5637,320.8,2007-01-01,1013,D,0
9.455,2.6731,325.0,2007-01-01,1013,D,0
9.9852,3.0367,314.7,2007-01-01,1013,D,0
10.7523,1.6347,316.2,2007-01-01,1013,D,0
8.6731,1.9848,312.5,2007-01-01,1013,D,0
8.6983,2.0186,318.0,2007-01-01,1013,D,0
8.6999,2.0069,323.4,2007-01-01,1013,D,0
11.1808,1.614,318.9,2007-01-01,1013,D,0
8.7084,2.02,329.2,2007-01-01,1013,D,0
8.71,2.0083,337.3,2007-01-01,1013,D,0
10.7541,1.6214,314.7,2007-01-01,1013,D,0
10.6826,3.2374,318.1,2007-01-01,1013,D,0
10.673,3.2361,316.9,2007-01-01,1013,D,0
9.9408,1.569,316.7,2007-01-01,1013,D,0
8.7185,2.0214,320.7,2007-01-01,1013,D,0
9.7927,2.4438,318.2,2007-01-01,1013,D,0
8.0338,2.4631,314.0,2007-01-01,1013,D,0
10.155,2.5538,317.0,2007-01-01,1013,D,0
10.1566,2.5424,314.5,2007-01-01,1013,D,0
8.0354,2.4523,315.5,2007-01-01,1013,D,0
9.3433,2.3733,317.6,2007-01-01,1013,D,0
10.7186,3.5659,317.8,2007-01-01,1013,D,0
11.132,2.4976,323.8,2007-01-01,1013,D,0
11.1336,2.4859,334.0,2007-01-01,1013,D,0
10.5345,2.4675,315.7,2007-01-01,1013,D,0
11.1091,3.4038,313.8,2007-01-01,1013,D,0
8.5177,1.6341,314.2,2007-01-01,1013,D,0
10.3452,0.9248,319.2,2007-01-01,1013,D,0
9.9202,2.7022,336.5,2007-01-01,1013,D,0
9.9218,2.6911,324.0,2007-01-01,1013,D,0
9.9928,3.2889,317.8,2007-01-01,1013,D,0
9.1495,2.0761,318.2,2007-01-01,1013,D,0
11.1539,1.7329,327.2,2007-01-01,1013,D,0
11.1664,1.7211,318.5,2007-01-01,1013,D,0
8.6909,2.1469,317.1,2007-01-01,1013,D,0
7.1374,1.7254,313.1,2007-01-01,1014,D,0
6.3206,1.872,313.3,2007-01-01,1014,D,0
7.1224,1.7584,333.1,2007-01-01,1014,D,0
7.5171,2.2875,321.3,2007-01-01,1014,D,0
7.7401,1.7932,338.5,2007-01-01,1014,D,0
7.5155,2.2983,317.3,2007-01-01,1014,D,0
7.7385,1.8048,361.5,2007-01-01,1014,D,0
7.0081,2.4239,312.7,2007-01-01,1014,D,0
7.4788,2.2041,326.6,2007-01-01,1014,D,0
7.73,1.7918,314.8,2007-01-01,1014,D,0
7.0946,2.3235,312.7,2007-01-01,1014,D,0
7.7283,1.8034,325.2,2007-01-01,1014,D,0
7.4165,1.6279,312.7,2007-01-01,1014,D,0
7.3048,1.9124,314.2,2007-01-01,1014,D,0
7.6744,2.4937,321.8,2007-01-01,1314,D,0
6.8615,2.0518,325.4,2007-01-01,1314,D,0
7.3906,2.1269,337.8,2007-01-01,1314,D,0
6.8599,2.0416,344.9,2007-01-01,1314,D,0
7.7727,2.0244,325.7,2007-01-01,1314,D,0
9.0069,2.7175,319.7,2007-01-01,1314,D,0
9.1623,2.3952,321.8,2007-01-01,1314,D,0
8.437,2.4762,331.9,2007-01-01,1314,D,0
8.2083,2.239,323.6,2007-01-01,1314,D,0
6.8584,2.0315,332.3,2007-01-01,1314,D,0
7.4894,1.7477,331.6,2007-01-01,1314,D,0
8.4356,2.4667,322.8,2007-01-01,1314,D,0
7.8811,2.6447,319.7,2007-01-01,1314,D,0
9.4187,2.9503,323.9,2007-01-01,1314,D,0
7.491,1.7581,325.6,2007-01-01,1314,D,0
8.7617,2.3057,318.3,2007-01-01,1314,D,0
8.6171,2.3201,324.0,2007-01-01,1314,D,0
8.915,1.8424,321.7,2007-01-01,1314,D,0
8.3867,2.1998,323.2,2007-01-01,1314,D,0
9.6403,3.0815,324.1,2007-01-01,1314,D,0
8.5065,1.7033,317.5,2007-01-01,1314,D,0
8.7184,2.0156,319.6,2007-01-01,1314,D,0
8.6122,2.0938,320.5,2007-01-01,1314,D,0
7.6283,1.7306,320.6,2007-01-01,1314,D,0
8.1337,2.5504,325.2,2007-01-01,1314,D,0
8.8377,2.3274,326.3,2007-01-01,1314,D,0
7.158,2.4206,319.3,2007-01-01,1314,D,0
7.0655,2.4211,342.6,2007-01-01,1314,D,0
9.4703,2.9892,322.0,2007-01-01,1314,D,0
9.06,2.2031,319.5,2007-01-01,1314,D,0
9.3273,2.4541,331.7,2007-01-01,1314,D,0
8.8302,2.3245,317.4,2007-01-01,1314,D,0
9.1342,2.3317,320.4,2007-01-01,1314,D,0
7.3742,2.2102,323.4,2007-01-01,1314,D,0
7.1353,2.7053,317.4,2007-01-01,1314,D,0
8.2055,2.5298,317.4,2007-01-01,1314,D,0
7.1913,2.5832,317.5,2007-01-01,1314,D,0
9.5989,2.733,321.8,2007-01-01,1314,D,0
6.8541,2.0387,340.0,2007-01-01,1314,D,0
7.3853,2.6495,328.8,2007-01-01,1314,D,0
7.6855,1.9556,323.6,2007-01-01,1314,D,0
7.687,1.9657,321.7,2007-01-01,1314,D,0
9.3004,2.7119,333.3,2007-01-01,1314,D,0
7.5867,2.7038,335.0,2007-01-01,1314,D,0
9.5763,2.4518,326.7,2007-01-01,1314,D,0
9.7344,3.0988,322.9,2007-01-01,1314,D,0
7.16,2.7532,321.5,2007-01-01,1314,D,0
9.0265,2.0406,319.2,2007-01-01,1314,D,0
8.0654,2.5179,321.6,2007-01-01,1314,D,0
9.5755,2.5093,324.8,2007-01-01,1314,D,0
8.2635,1.9948,316.3,2007-01-01,1314,D,0
9.5092,2.5003,326.9,2007-01-01,1314,D,0
9.5078,2.491,326.2,2007-01-01,1314,D,0
8.265,2.0046,320.6,2007-01-01,1314,D,0
8.0668,2.5274,367.3,2007-01-01,1314,D,0
9.0181,2.1113,319.0,2007-01-01,1314,D,0
8.0681,2.5368,332.3,2007-01-01,1314,D,0
9.4907,1.7018,327.6,2007-01-01,1314,D,0
7.8204,2.5443,333.0,2007-01-01,1314,D,0
7.5257,1.7949,325.3,2007-01-01,1314,D,0
8.8326,2.4695,325.4,2007-01-01,1314,D,0
7.5273,1.8052,330.0,2007-01-01,1314,D,0
9.4226,2.0351,325.0,2007-01-01,1314,D,0
9.3268,2.261,320.9,2007-01-01,1314,D,0
9.3254,2.2516,324.6,2007-01-01,1314,D,0
9.3965,2.6721,328.3,2007-01-01,1314,D,0
